#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Atlético Madrid,,Jan Oblak,43,8,1,21,2,7.16,7.16
2,FC Bayern München,,Manuel Neuer,37,4,1,28,15,7.00,7.00
3,Galatasaray,,Fernando Muslera,36,0,0,14,9,7.20,7.20
4,Sevilla,,Sergio Rico,35,2,0,18,2,7.32,7.32
5,Manchester City,,Joe Hart,34,3,2,28,4,6.99,6.99
6,PSV Eindhoven,,Jeroen Zoet,33,4,0,18,5,7.21,7.21
7,Malmö FF,,Johan Sellberg-Wiland,33,1,0,21,12,6.87,6.87
8,BATE Borisov,,Sergey Chernik,32,1,0,20,5,7.13,7.13
9,Paris Saint-Germain,,Kevin Trapp,31,5,0,20,5,7.03,7.03
10,Roma,,Wojciech Szczęsny,31,1,1,19,5,6.74,6.74
11,Barcelona,,Marc-André ter Stegen,29,3,1,16,12,7.07,7.07
12,GNK Dinamo Zagreb,,Eduardo,29,0,1,18,3,6.77,6.77
13,Zenit St. Petersburg,,Yury Lodygin,28,2,0,16,3,7.13,7.13
14,Real Madrid,,Keylor Navas,26,9,0,14,8,7.18,7.18
15,VfL Wolfsburg,,Diego Benaglio,26,4,1,17,3,7.05,7.05
16,KAA Gent,,Matz Sels,25,1,1,17,6,6.99,6.99
17,Maccabi Tel Aviv,,Predrag Rajković,25,0,0,13,2,6.35,6.35
18,Juventus,,Gianluigi Buffon,24,3,0,15,2,6.91,6.91
19,Arsenal,,Petr Čech,23,3,0,12,5,7.32,7.32
20,Valencia,,Jaume Doménech,22,1,0,14,5,6.85,6.85
21,Benfica,,Júlio César,21,2,0,11,10,7.01,7.01
22,CSKA Moscow,,Igor Akinfeev,21,0,0,17,3,6.80,6.80
23,Borussia M'gladbach,,Yann Sommer,21,1,0,17,3,6.60,6.60
24,Olympiacos FC,,Roberto Jiménez,21,1,0,14,2,6.50,6.50
25,Olympique Lyonnais,,Anthony Lopes,19,1,0,7,1,6.82,6.82
26,Dynamo Kyiv,,Oleksandr Shovkovskyi,18,5,0,10,14,7.07,7.07
27,FC Porto,,Iker Casillas,18,1,0,12,7,6.70,6.70
28,Bayer 04 Leverkusen,,Bernd Leno,17,0,0,8,6,6.43,6.43
29,Manchester United,,David De Gea,16,2,1,8,4,6.90,6.90
30,Shakhtar Donetsk,,Andriy Pyatov,16,0,1,10,2,6.55,6.55
31,Benfica,,Ederson,13,0,0,10,2,7.03,7.03
32,Chelsea,,Asmir Begović,12,3,0,6,3,6.94,6.94
33,Chelsea,,Thibaut Courtois,11,1,0,5,1,6.97,6.97
34,Arsenal,,David Ospina,10,0,0,7,4,6.37,6.37
35,Shakhtar Donetsk,,Anton Kanibolotskiy,6,1,0,3,4,7.05,7.05
36,VfL Wolfsburg,,Koen Casteels,6,1,0,1,1,6.80,6.80
37,FC Bayern München,,Sven Ulreich,4,1,0,3,0,7.30,7.30
38,Real Madrid,,Kiko Casilla,2,1,0,1,0,6.65,6.65
39,Zenit St. Petersburg,,Mikhail Kerzhakov,2,0,0,2,1,6.45,6.45
40,Dynamo Kyiv,,Oleksandr Rybka,1,0,0,0,1,5.60,5.60
41,Roma,,Morgan De Sanctis,0,0,0,0,0,6.80,6.80
42,Manchester City,,Willy Caballero,0,0,0,0,0,6.50,6.50
