#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Real Madrid,,Thibaut Courtois,59,5,1,35,3,7.48,7.48
2,Villarreal,,Gerónimo Rulli,41,3,0,24,10,6.84,6.84
3,Benfica,,Odysseas Vlachodimos,37,5,1,26,2,7.12,7.12
4,Sheriff Tiraspol,,Giorgos Athanasiadis,27,1,0,17,0,7.42,7.42
5,Club Brugge KV,,Simon Mignolet,27,0,0,25,4,6.70,6.70
6,Atlético Madrid,,Jan Oblak,26,3,0,17,3,6.91,6.91
7,Atalanta,,Juan Musso,21,1,0,14,3,6.65,6.65
8,Manchester United,,David De Gea,20,1,0,11,1,6.74,6.74
9,Beşiktaş,,Ersin Destanoğlu,20,0,0,14,5,6.36,6.36
10,Paris Saint-Germain,,Gianluigi Donnarumma,19,2,1,13,3,7.28,7.28
11,Malmö FF,,Johan Dahlin,19,0,0,14,0,6.80,6.80
12,VfL Wolfsburg,,Koen Casteels,18,1,0,11,0,6.92,6.92
13,FC Porto,,Diogo Costa,18,2,0,9,5,6.62,6.62
14,Shakhtar Donetsk,,Anatoliy Trubin,17,0,0,12,1,6.87,6.87
15,Sporting,,Antonio Adán,17,2,0,8,0,6.59,6.59
16,Barcelona,,Marc-André ter Stegen,16,3,0,13,1,6.73,6.73
17,Red Bull Salzburg,,Philipp Köhn,16,1,0,11,3,6.49,6.49
18,Manchester City,,Ederson,15,3,0,11,6,6.54,6.54
19,FC Bayern München,,Manuel Neuer,14,4,0,8,5,6.93,6.93
20,Sevilla,,Bono,14,2,0,8,3,6.93,6.93
21,Milan,,Mike Maignan,14,0,1,8,0,6.83,6.83
22,AFC Ajax,,Remko Pasveer,14,2,0,7,0,6.75,6.75
23,Liverpool,,Alisson,14,4,0,10,9,6.64,6.64
24,Borussia Dortmund,,Gregor Kobel,13,2,1,10,2,6.70,6.70
25,Juventus,,Wojciech Szczęsny,13,3,0,9,2,6.69,6.69
26,Dynamo Kyiv,,Heorhiy Bushchan,13,0,0,7,1,6.40,6.40
27,Lille,,Ivo Grbić,12,3,0,6,0,6.88,6.88
28,Inter,,Samir Handanović,12,3,0,4,1,6.81,6.81
29,Malmö FF,,Ismael Diawara,12,0,0,9,1,6.77,6.77
30,Paris Saint-Germain,,Keylor Navas,11,0,0,9,0,7.13,7.13
31,Zenit St. Petersburg,,Stanislav Kritsyuk,11,1,0,6,0,6.88,6.88
32,Young Boys,,Guillaume Faivre,11,0,0,6,0,6.83,6.83
33,RB Leipzig,,Péter Gulácsi,11,0,0,9,2,6.18,6.18
34,Young Boys,,David von Ballmoos,9,0,0,9,0,6.67,6.67
35,Chelsea,,Edouard Mendy,9,5,0,4,3,6.64,6.64
36,Milan,,Ciprian Tătărușanu,7,1,0,6,0,7.10,7.10
37,Shakhtar Donetsk,,Andriy Pyatov,6,1,0,3,0,6.87,6.87
38,VfL Wolfsburg,,Pavao Pervan,5,0,0,3,1,7.10,7.10
39,Sheriff Tiraspol,,Dumitru Celeadnic,5,0,0,2,0,7.00,7.00
40,Zenit St. Petersburg,,Mikhail Kerzhakov,5,0,0,4,0,6.40,6.40
41,Dynamo Kyiv,,Denys Boyko,4,1,0,2,0,7.70,7.70
42,FC Bayern München,,Sven Ulreich,4,0,0,3,1,7.50,7.50
43,Beşiktaş,,Mert Günok,4,0,0,3,1,6.70,6.70
44,Chelsea,,Kepa Arrizabalaga,4,0,0,4,0,6.50,6.50
45,Lille,,Léo Jardim,4,0,0,3,0,6.30,6.30
46,RB Leipzig,,Josep Martínez,3,1,0,3,1,7.60,7.60
47,Manchester United,,Dean Henderson,3,0,0,1,3,6.80,6.80
48,Manchester City,,Zack Steffen,3,0,0,3,1,6.80,6.80
49,Sporting,,João Virgínia,3,0,0,2,0,6.10,6.10
50,Juventus,,Mattia Perin,2,1,0,0,0,7.30,7.30
51,AFC Ajax,,André Onana,2,0,0,2,1,6.15,6.15
52,Manchester City,,Scott Carson,1,0,0,1,0,6.70,6.70
53,Shakhtar Donetsk,,Oleksiy Shevchenko,1,0,0,1,0,6.30,6.30
54,Manchester United,,Tom Heaton,0,0,0,0,0,6.50,6.50
