#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Juventus,,Gianluigi Buffon,36,6,0,16,6,7.15,7.15
2,Basel,,Tomáš Vaclík,36,2,0,18,8,7.10,7.10
3,NK Maribor,,Jasmin Handanović,35,0,1,22,2,7.27,7.27
4,Manchester City,,Joe Hart,34,1,1,21,7,7.26,7.26
5,Malmö FF,,Robin Olsen,34,1,0,21,5,7.17,7.17
6,Real Madrid,,Iker Casillas,31,5,0,13,4,7.09,7.09
7,Barcelona,,Marc-André ter Stegen,31,6,1,18,7,7.05,7.05
8,AS Monaco,,Danijel Subašić,29,6,0,19,9,7.23,7.23
9,Shakhtar Donetsk,,Andriy Pyatov,29,4,1,17,1,7.23,7.23
10,CSKA Moscow,,Igor Akinfeev,26,0,0,15,7,6.82,6.82
11,FC Bayern München,,Manuel Neuer,24,6,0,14,18,6.88,6.88
12,APOEL Nicosia,,Urko Pardo,24,0,0,16,7,6.63,6.63
13,Liverpool,,Simon Mignolet,23,0,0,9,3,6.68,6.68
14,RSC Anderlecht,,Silvio Proto,22,1,0,17,7,7.30,7.30
15,Ludogorets,,Vladislav Stoyanov,21,1,1,14,1,7.02,7.02
16,Atlético Madrid,,Jan Oblak,19,1,0,8,1,7.60,7.60
17,Chelsea,,Thibaut Courtois,19,2,0,10,4,7.26,7.26
18,FC Schalke 04,,Ralf Fährmann,19,1,0,13,4,6.53,6.53
19,Olympiacos FC,,Roberto Jiménez,18,1,1,15,5,6.77,6.77
20,Galatasaray,,Fernando Muslera,18,0,0,8,4,6.30,6.30
21,BATE Borisov,,Sergey Chernik,18,0,0,11,3,5.78,5.78
22,Sporting,,Rui Patrício,17,0,0,9,4,6.57,6.57
23,Atlético Madrid,,Miguel Ángel Moyà,16,5,0,5,5,7.21,7.21
24,Paris Saint-Germain,,Salvatore Sirigu,16,2,0,9,12,6.58,6.58
25,Zenit St. Petersburg,,Yury Lodygin,15,3,0,8,9,7.12,7.12
26,FC Porto,,Fabiano,15,4,0,9,11,6.69,6.69
27,AFC Ajax,,Jasper Cillessen,15,1,0,7,11,6.62,6.62
28,Arsenal,,Wojciech Szczęsny,15,0,0,6,6,6.60,6.60
29,Athletic Club,,Gorka Iraizoz,14,3,0,6,12,6.83,6.83
30,Benfica,,Júlio César,13,1,0,4,0,6.97,6.97
31,Roma,,Morgan De Sanctis,13,0,0,9,4,6.28,6.28
32,Bayer 04 Leverkusen,,Bernd Leno,11,3,0,8,9,6.99,6.99
33,Borussia Dortmund,,Roman Weidenfeller,9,3,0,4,7,6.53,6.53
34,Real Madrid,,Keylor Navas,8,2,0,2,4,7.85,7.85
35,Arsenal,,David Ospina,8,1,0,4,0,6.83,6.83
36,FC Schalke 04,,Timon Wellenreuther,8,0,0,3,2,6.65,6.65
37,Chelsea,,Petr Čech,7,1,0,2,1,7.00,7.00
38,Benfica,,Artur Moraes,7,2,0,2,0,6.00,6.00
39,Arsenal,,Emiliano Martínez,6,1,0,3,2,7.25,7.25
40,Roma,,Łukasz Skorupski,6,0,0,2,2,6.65,6.65
41,BATE Borisov,,Artem Soroko,5,0,0,1,1,7.10,7.10
42,Ludogorets,,Milan Borjan,5,0,0,3,3,6.80,6.80
43,FC Porto,,Andrés Fernández,2,0,0,2,2,6.90,6.90
44,RSC Anderlecht,,Davy Roef,2,0,0,2,2,6.70,6.70
45,Borussia Dortmund,,Mitchell Langerak,2,0,0,1,0,6.60,6.60
46,Benfica,,Paulo Lopes,2,0,0,1,1,6.60,6.60
47,Galatasaray,,Sinan Bolat,2,0,0,2,0,6.00,6.00
48,FC Santa Coloma,,Eloy Casals,,,,,,,
49,Lille,,Steeve Elana,,,,,,,
50,Napoli,,Rafael Cabral,,,,,,,
51,Celtic,,Craig Gordon,,,,,,,
52,F91 Dudelange,,Jonathan Joubert,,,,,,,
53,The New Saints,,Paul Harrison,,,,,,,
54,Valletta FC,,Nicholas Vella,,,,,,,
55,Lincoln Red Imps,,Jordan Perez,,,,,,,
56,Lille,,Vincent Enyeama,,,,,,,
57,Red Bull Salzburg,,Péter Gulácsi,,,,,,,
58,Celtic,,Fraser Forster,,,,,,,
59,Qarabağ,,Ibrahim Šehić,,,,,,,
60,GNK Dinamo Zagreb,,Eduardo,,,,,,,
61,HB Tórshavn,,Teitur Gestsson,,,,,,,
62,FC København,,Stephan Andersen,,,,,,,
63,Sheriff Tiraspol,,Matias Degra,,,,,,,
64,Maccabi Tel Aviv,,Juan Pablo,,,,,,,
65,HJK,,Michael Tørnes,,,,,,,
66,ŠK Slovan Bratislava,,Dušan Perniš,,,,,,,
