#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Barcelona,,Lionel Messi,16,5,722,86.16,39,8.52,8.52
2,Barcelona,,Neymar,7,0,418,82.28,24,7.43,7.43
3,Juventus,,Carlos Tévez,6,1,439,84.75,30,7.58,7.58
4,Paris Saint-Germain,,Lucas Moura,6,1,191,85.27,14,7.34,7.34
5,Juventus,,Arturo Vidal,6,0,545,82.83,15,7.29,7.29
6,Atlético Madrid,,Koke,5,4,416,81.25,24,7.79,7.79
7,Barcelona,,Andrés Iniesta,5,5,567,90,13,7.29,7.29
8,Arsenal,,Alexis Sánchez,5,1,239,74.92,11,7.27,7.27
9,Paris Saint-Germain,,Blaise Matuidi,5,2,431,91.31,15,7.04,7.04
10,Real Madrid,,Karim Benzema,4,1,232,81.69,20,7.54,7.54
11,Real Madrid,,Marcelo,4,2,520,86.52,19,7.54,7.54
12,Real Madrid,,Isco,4,0,628,89.71,23,7.47,7.47
13,Real Madrid,,James Rodríguez,4,2,414,86.97,28,7.46,7.46
14,Arsenal,,Santi Cazorla,4,2,391,86.12,9,7.43,7.43
15,Barcelona,,Dani Alves,4,4,700,86.63,18,7.42,7.42
16,FC Bayern München,,Thomas Müller,4,3,228,74.51,19,7.40,7.40
17,AFC Ajax,,Ricardo Kishna,4,2,89,77.39,10,7.35,7.35
18,Borussia Dortmund,,Łukasz Piszczek,4,3,193,82.48,5,7.28,7.28
19,Atlético Madrid,,Juanfran,4,3,318,81.75,16,7.26,7.26
20,RSC Anderlecht,,Dennis Praet,4,2,152,88.89,7,7.23,7.23
21,Shakhtar Donetsk,,Vyacheslav Shevchuk,4,2,133,72.68,5,7.05,7.05
22,Atlético Madrid,,Arda Turan,4,2,385,85.18,16,6.97,6.97
23,Sporting,,Nani,3,2,152,79.17,17,8.14,8.14
24,Chelsea,,Eden Hazard,3,2,297,82.04,17,7.90,7.90
25,Sporting,,Jefferson,3,2,93,75,7,7.83,7.83
26,Chelsea,,Cesc Fàbregas,3,3,532,87.36,23,7.81,7.81
27,Barcelona,,Luis Suárez,3,3,232,74.6,10,7.59,7.59
28,FC Bayern München,,Arjen Robben,3,1,256,87.07,14,7.54,7.54
29,FC Porto,,Danilo,3,1,335,77.19,8,7.45,7.45
30,Arsenal,,Aaron Ramsey,3,1,281,86.46,10,7.43,7.43
31,Borussia Dortmund,,Kevin Großkreutz,3,2,96,78.69,9,7.33,7.33
32,Real Madrid,,Gareth Bale,3,1,238,78.29,9,7.13,7.13
33,FC Bayern München,,Robert Lewandowski,3,2,190,71.97,13,7.12,7.12
34,Borussia Dortmund,,Pierre-Emerick Aubameyang,3,2,144,74.61,10,7.10,7.10
35,FC Porto,,Héctor Herrera,3,5,407,82.06,10,7.09,7.09
36,Olympiacos FC,,Pajtim Kasami,3,3,126,81.29,5,6.98,6.98
37,Chelsea,,Oscar,3,0,180,86.12,6,6.92,6.92
38,AS Monaco,,Yannick Carrasco,3,1,155,77.5,8,6.84,6.84
39,Barcelona,,Pedro,3,3,175,89.29,7,6.71,6.71
40,Zenit St. Petersburg,,Hulk,3,1,120,62.83,6,6.50,6.50
41,Real Madrid,,Cristiano Ronaldo,2,3,349,81.54,16,7.60,7.60
42,Shakhtar Donetsk,,Darijo Srna,2,1,307,79.53,7,7.50,7.50
43,Real Madrid,,Toni Kroos,2,3,810,95.07,22,7.49,7.49
44,FC Porto,,Alex Sandro,2,1,399,80.93,11,7.48,7.48
45,FC Bayern München,,David Alaba,2,2,435,92.55,11,7.40,7.40
46,Bayer 04 Leverkusen,,Hakan Çalhanoğlu,2,2,278,75.96,21,7.39,7.39
47,Chelsea,,Willian,2,1,222,88.45,14,7.37,7.37
48,Bayer 04 Leverkusen,,Lars Bender,2,0,220,74.07,9,7.37,7.37
49,FC Bayern München,,Bastian Schweinsteiger,2,4,373,87.97,16,7.27,7.27
50,FC Porto,,Cristian Tello,2,2,149,83.71,14,7.26,7.26
51,Roma,,Radja Nainggolan,2,2,323,89.23,6,7.25,7.25
52,AS Monaco,,João Moutinho,2,2,377,81.43,14,7.24,7.24
53,Athletic Club,,Beñat Etxebarria,2,2,146,82.02,12,7.24,7.24
54,Ludogorets,,Fábio Espinho,2,0,240,89.22,9,7.24,7.24
55,Chelsea,,Gary Cahill,2,2,273,89.51,2,7.23,7.23
56,AFC Ajax,,Davy Klaassen,2,1,217,85.77,8,7.18,7.18
57,Juventus,,Claudio Marchisio,2,1,484,82.74,13,7.17,7.17
58,Basel,,Fabian Frei,2,3,374,83.86,8,7.14,7.14
59,Roma,,Miralem Pjanić,2,0,270,90.91,7,7.12,7.12
60,FC Bayern München,,Rafinha,2,1,564,91.71,10,7.11,7.11
61,Barcelona,,Ivan Rakitić,2,1,575,89.15,13,7.03,7.03
62,Sporting,,Islam Slimani,2,0,116,75.32,10,7.02,7.02
63,Juventus,,Paul Pogba,2,3,348,84.06,9,7.00,7.00
64,FC Bayern München,,Juan Bernat,2,2,545,90.83,8,6.97,6.97
65,Manchester City,,Jesús Navas,2,0,222,88.1,8,6.93,6.93
66,Shakhtar Donetsk,,Bernard,2,2,57,86.36,7,6.90,6.90
67,Shakhtar Donetsk,,Taison,2,2,197,83.83,9,6.90,6.90
68,Benfica,,Anderson Talisca,2,0,82,77.36,6,6.88,6.88
69,Juventus,,Stephan Lichtsteiner,2,0,485,83.48,8,6.84,6.84
70,AS Monaco,,Dimitar Berbatov,2,1,147,65.63,6,6.83,6.83
71,Malmö FF,,Magnus Eriksson,2,0,138,73.8,7,6.78,6.78
72,Manchester City,,James Milner,2,0,236,78.93,9,6.76,6.76
73,RSC Anderlecht,,Aleksandar Mitrović,2,0,62,72.94,2,6.74,6.74
74,APOEL Nicosia,,Gustavo Manduca,2,0,111,78.72,4,6.72,6.72
75,RSC Anderlecht,,Ibrahima Conte,2,0,139,86.88,8,6.72,6.72
76,NK Maribor,,Mitja Viler,2,1,140,77.78,9,6.70,6.70
77,Zenit St. Petersburg,,Oleg Shatov,2,1,99,72.26,4,6.68,6.68
78,RSC Anderlecht,,Matías Suárez,2,0,28,65.12,3,6.45,6.45
79,AS Monaco,,Anthony Martial,2,1,89,76.72,4,6.44,6.44
80,Shakhtar Donetsk,,Ivan Ordets,1,1,47,94,1,8.50,8.50
81,Real Madrid,,Pepe,1,1,289,90.6,1,7.60,7.60
82,Shakhtar Donetsk,,Luiz Adriano,1,1,78,61.9,7,7.59,7.59
