#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,RB Leipzig,,Konrad Laimer,38,4,4,0,6.87,6.87
2,FC Bayern München,,Thiago Alcântara,34,23,4,0,7.60,7.60
3,Atlético Madrid,,Thomas Partey,29,12,8,0,7.61,7.61
4,AFC Ajax,,Nicolás Tagliafico,27,18,16,0,7.50,7.50
5,RB Leipzig,,Nordi Mukiele,26,12,26,2,6.96,6.96
6,RB Leipzig,,Dayot Upamecano,25,12,27,0,7.28,7.28
7,Atalanta,,José Luis Palomino,25,17,15,1,6.97,6.97
8,Atalanta,,Marten de Roon,24,17,19,0,6.77,6.77
9,Real Madrid,,Casemiro,23,8,7,0,7.14,7.14
10,Paris Saint-Germain,,Presnel Kimpembe,23,15,31,0,7.12,7.12
11,Atlético Madrid,,Renan Lodi,23,16,18,0,7.11,7.11
12,Atalanta,,Robin Gosens,23,11,10,0,6.95,6.95
13,Napoli,,Allan,23,4,10,0,6.75,6.75
14,Paris Saint-Germain,,Marco Verratti,22,4,4,0,7.18,7.18
15,Paris Saint-Germain,,Marquinhos,22,17,28,0,7.16,7.16
16,Shakhtar Donetsk,,Taras Stepanenko,22,7,11,1,6.78,6.78
17,FC Bayern München,,Serge Gnabry,21,5,2,0,7.74,7.74
18,Manchester City,,Rodri,21,9,5,0,7.09,7.09
19,Chelsea,,Jorginho,21,13,4,0,6.91,6.91
20,Olympique Lyonnais,,Lucas Tousart,21,8,9,0,6.86,6.86
21,Borussia Dortmund,,Achraf Hakimi,20,7,9,0,7.55,7.55
22,Paris Saint-Germain,,Idrissa Gueye,20,12,6,0,6.97,6.97
23,Barcelona,,Nélson Semedo,20,9,11,0,6.97,6.97
24,Zenit St. Petersburg,,Wílmar Barrios,20,23,2,0,6.88,6.88
25,Red Bull Salzburg,,Enock Mwepu,20,4,2,0,6.86,6.86
26,KRC Genk,,Joakim Mæhle,20,8,10,0,6.57,6.57
27,Red Bull Salzburg,,Rasmus Kristensen,20,5,19,0,6.43,6.43
28,Red Bull Salzburg,,Andreas Ulmer,19,6,6,0,6.92,6.92
29,Atalanta,,Rafael Tolói,19,9,12,0,6.44,6.44
30,FK Crvena zvezda,,Marko Gobeljić,19,7,17,1,6.38,6.38
31,FK Crvena zvezda,,Mateo García,19,7,7,0,6.25,6.25
32,FC Bayern München,,Alphonso Davies,18,10,7,0,7.35,7.35
33,Valencia,,Geoffrey Kondogbia,18,13,7,0,7.26,7.26
34,Atlético Madrid,,Saúl Ñíguez,18,13,20,0,7.14,7.14
35,Lille,,Benjamin André,18,11,5,0,7.10,7.10
36,Borussia Dortmund,,Mats Hummels,18,30,32,1,7.00,7.00
37,Manchester City,,Nicolás Otamendi,18,5,14,0,6.97,6.97
38,Napoli,,Dries Mertens,17,4,0,0,7.45,7.45
39,Olympiacos FC,,Konstantinos Tsimikas,17,12,21,1,7.10,7.10
40,Juventus,,Rodrigo Bentancur,17,6,3,0,6.89,6.89
41,Manchester City,,João Cancelo,17,13,4,0,6.88,6.88
42,GNK Dinamo Zagreb,,Dino Perić,17,11,22,0,6.84,6.84
43,Napoli,,Mário Rui,17,11,13,0,6.83,6.83
44,Benfica,,Franco Cervi,17,3,0,0,6.80,6.80
45,SK Slavia Praha,,Peter Olayinka,17,6,1,0,6.68,6.68
46,Liverpool,,Trent Alexander-Arnold,16,7,5,0,7.33,7.33
47,Paris Saint-Germain,,Juan Bernat,16,12,20,0,7.15,7.15
48,Inter,,Diego Godín,16,15,15,0,7.08,7.08
49,Inter,,Marcelo Brozović,16,10,12,0,7.07,7.07
50,Liverpool,,Fabinho,16,7,1,0,6.99,6.99
51,Atlético Madrid,,Koke,16,7,12,0,6.97,6.97
52,Benfica,,Gabriel Pires,16,16,10,0,6.96,6.96
53,Barcelona,,Frenkie de Jong,16,12,5,0,6.92,6.92
54,Shakhtar Donetsk,,Ismaily,16,13,18,0,6.70,6.70
55,Lokomotiv Moscow,,Vladislav Ignatjev,16,5,11,0,6.40,6.40
56,Real Madrid,,Toni Kroos,15,9,2,0,7.97,7.97
57,FC Bayern München,,Joshua Kimmich,15,10,8,0,7.55,7.55
58,SK Slavia Praha,,Tomáš Souček,15,15,17,0,7.37,7.37
59,FC Bayern München,,Leon Goretzka,15,11,3,0,7.17,7.17
60,Valencia,,José Luis Gayà,15,3,13,0,7.17,7.17
61,FC Bayern München,,Thomas Müller,15,5,5,0,7.14,7.14
62,Olympiacos FC,,Giorgos Masouras,15,7,4,0,6.97,6.97
63,Inter,,Milan Škriniar,15,11,14,0,6.97,6.97
64,Real Madrid,,Daniel Carvajal,15,6,13,0,6.89,6.89
65,AFC Ajax,,Joël Veltman,15,11,18,1,6.78,6.78
66,Atalanta,,Remo Freuler,15,9,10,0,6.63,6.63
67,Zenit St. Petersburg,,Douglas Santos,15,12,12,0,6.55,6.55
68,Club Brugge KV,,Clinton Mata,15,10,4,1,6.43,6.43
69,AFC Ajax,,Hakim Ziyech,14,2,1,0,7.50,7.50
70,Bayer 04 Leverkusen,,Sven Bender,14,19,18,0,7.22,7.22
71,Bayer 04 Leverkusen,,Wendell,14,4,5,0,7.20,7.20
72,Napoli,,Kalidou Koulibaly,14,12,31,0,7.20,7.20
73,Zenit St. Petersburg,,Magomed Ozdoev,14,15,16,0,7.10,7.10
74,Olympique Lyonnais,,Houssem Aouar,14,5,1,0,7.06,7.06
75,Paris Saint-Germain,,Thilo Kehrer,14,3,6,0,7.04,7.04
76,AFC Ajax,,Edson Álvarez,14,5,6,0,6.95,6.95
77,Liverpool,,Andrew Robertson,14,7,7,0,6.90,6.90
78,Benfica,,Ferro,14,4,23,0,6.88,6.88
79,Napoli,,Giovanni Di Lorenzo,14,2,11,0,6.81,6.81
80,Galatasaray,,Marcão,14,10,23,0,6.65,6.65
81,Liverpool,,Roberto Firmino,13,3,2,0,7.27,7.27
82,Liverpool,,Sadio Mané,13,4,1,0,7.25,7.25
83,Chelsea,,Fikayo Tomori,13,6,10,0,7.25,7.25
84,Zenit St. Petersburg,,Sebastián Driussi,13,3,5,0,7.10,7.10
85,Juventus,,Danilo,13,8,12,0,7.10,7.10
86,Chelsea,,César Azpilicueta,13,11,12,0,7.06,7.06
87,Borussia Dortmund,,Axel Witsel,13,8,5,0,6.90,6.90
88,FK Crvena zvezda,,Nemanja Milunović,13,11,35,1,6.87,6.87
89,AFC Ajax,,Lisandro Martínez,13,10,13,0,6.87,6.87
90,Club Brugge KV,,Emmanuel Dennis,13,3,0,0,6.72,6.72
91,Zenit St. Petersburg,,Vyacheslav Karavaev,13,4,12,0,6.63,6.63
92,GNK Dinamo Zagreb,,Petar Stojanović,13,4,7,0,6.23,6.23
93,Valencia,,Dani Parejo,12,8,4,0,7.30,7.30
94,Paris Saint-Germain,,Thiago Silva,12,13,39,0,7.24,7.24
95,Atlético Madrid,,Felipe,12,14,33,0,7.19,7.19
96,RB Leipzig,,Dani Olmo,12,6,11,0,7.03,7.03
97,Juventus,,Adrien Rabiot,12,1,3,0,6.98,6.98
98,RB Leipzig,,Marcel Halstenberg,12,7,17,0,6.93,6.93
99,Liverpool,,James Milner,12,3,1,0,6.91,6.91
100,Lokomotiv Moscow,,Grzegorz Krychowiak,12,8,6,0,6.83,6.83
101,Lille,,Gabriel Magalhães,12,13,22,0,6.73,6.73
102,Benfica,,Florentino Luís,12,2,2,0,6.60,6.60
103,Tottenham Hotspur,,Harry Winks,12,8,8,1,6.60,6.60
104,Manchester City,,İlkay Gündoğan,11,11,6,0,7.32,7.32
105,AFC Ajax,,Donny van de Beek,11,10,2,0,7.32,7.32
106,Juventus,,Miralem Pjanić,11,17,7,0,7.16,7.16
107,Red Bull Salzburg,,Zlatko Junuzović,11,10,5,0,7.12,7.12
108,Inter,,Nicolò Barella,11,7,4,0,7.03,7.03
109,Inter,,Stefan de Vrij,11,15,25,0,7.00,7.00
110,Liverpool,,Jordan Henderson,11,8,1,0,6.98,6.98
111,FC Bayern München,,Niklas Süle,11,4,7,0,6.98,6.98
112,Manchester City,,Fernandinho,11,15,10,0,6.91,6.91
113,Club Brugge KV,,Brandon Mechele,11,9,20,0,6.90,6.90
114,Lille,,Yusuf Yazıcı,11,3,1,0,6.88,6.88
115,Bayer 04 Leverkusen,,Kerem Demirbay,11,2,3,0,6.88,6.88
116,RB Leipzig,,Christopher Nkunku,11,1,2,0,6.88,6.88
117,Borussia Dortmund,,Manuel Akanji,11,9,9,0,6.85,6.85
118,Napoli,,Diego Demme,11,7,7,0,6.80,6.80
119,RB Leipzig,,Lukas Klostermann,11,16,24,1,6.78,6.78
120,Borussia Dortmund,,Julian Weigl,11,3,6,0,6.78,6.78
121,SK Slavia Praha,,Vladimír Coufal,11,6,12,0,6.73,6.73
122,Galatasaray,,Christian Luyindama,11,4,16,0,6.73,6.73
123,Valencia,,Daniel Wass,11,14,19,0,6.66,6.66
124,Bayer 04 Leverkusen,,Julian Baumgartlinger,11,4,4,0,6.63,6.63
125,Barcelona,,Arturo Vidal,11,2,4,0,6.63,6.63
126,Benfica,,Tomás Tavares,11,2,12,0,6.54,6.54
127,GNK Dinamo Zagreb,,Nikola Moro,11,11,6,0,6.40,6.40
128,KRC Genk,,Junya Ito,11,4,6,0,6.38,6.38
129,FK Crvena zvezda,,Miloš Degenek,11,13,33,0,6.38,6.38
130,Atlético Madrid,,Ángel Correa,11,5,4,0,6.36,6.36
131,Lille,,Zeki Çelik,11,11,17,1,6.28,6.28
132,FK Crvena zvezda,,Rajiv Van La Parra,11,1,1,0,6.26,6.26
133,FC Bayern München,,Robert Lewandowski,10,2,8,0,8.35,8.35
134,Juventus,,Alex Sandro,10,10,9,0,7.45,7.45
135,Tottenham Hotspur,,Tanguy Ndombélé,10,6,3,0,7.20,7.20
136,Paris Saint-Germain,,Thomas Meunier,10,11,9,0,7.12,7.12
137,Chelsea,,Mateo Kovačić,10,7,5,1,7.09,7.09
138,Olympiacos FC,,Guilherme,10,3,6,0,7.00,7.00
139,Chelsea,,N'Golo Kanté,10,9,2,0,6.95,6.95
140,Galatasaray,,Jean Michaël Seri,10,2,4,0,6.87,6.87
141,Napoli,,Fabián Ruiz,10,19,7,0,6.86,6.86
142,Borussia Dortmund,,Thorgan Hazard,10,1,0,0,6.70,6.70
143,Club Brugge KV,,Eduard Sobol,10,2,4,0,6.67,6.67
144,Galatasaray,,Mariano,10,15,5,0,6.63,6.63
145,Lille,,Reinildo Mandava,10,3,3,0,6.60,6.60
146,Red Bull Salzburg,,Jérôme Onguene,10,4,22,1,6.60,6.60
147,Atalanta,,Berat Djimsiti,10,6,18,0,6.50,6.50
148,Paris Saint-Germain,,Ángel Di María,9,4,6,0,7.73,7.73
149,Manchester City,,Riyad Mahrez,9,5,1,0,7.46,7.46
150,Liverpool,,Naby Keïta,9,2,1,0,7.33,7.33
151,Tottenham Hotspur,,Giovani Lo Celso,9,5,4,0,7.24,7.24
152,Atlético Madrid,,Kieran Trippier,9,7,13,0,7.22,7.22
153,Benfica,,Alejandro Grimaldo,9,9,13,0,7.17,7.17
154,Red Bull Salzburg,,Maximilian Wöber,9,18,44,0,7.17,7.17
155,KRC Genk,,Carlos Cuesta,9,7,15,0,7.15,7.15
156,Liverpool,,Virgil van Dijk,9,9,32,1,7.14,7.14
