#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Paris Saint-Germain,,Kylian Mbappé,8,2,208,77.32,19,7.62,7.62
2,Juventus,,Juan Cuadrado,7,6,327,86.28,25,7.82,7.82
3,FC Bayern München,,Joshua Kimmich,6,4,424,87.78,25,8.01,8.01
4,AFC Ajax,,David Neres,5,0,102,79.07,8,7.45,7.45
5,Sevilla,,Papu Gómez,5,2,234,81.53,18,7.31,7.31
6,Liverpool,,Trent Alexander-Arnold,5,2,370,72.55,18,7.26,7.26
7,FC Bayern München,,Thomas Müller,5,1,225,75.25,14,7.12,7.12
8,Real Madrid,,Lucas Vázquez,5,2,498,88.61,16,7.06,7.06
9,Barcelona,,Lionel Messi,4,2,384,88.68,23,8.23,8.23
10,Borussia Dortmund,,Erling Haaland,4,2,116,75.32,11,7.96,7.96
11,Manchester United,,Bruno Fernandes,4,1,216,73.97,15,7.80,7.80
12,Manchester City,,Kevin De Bruyne,4,4,356,84.16,17,7.64,7.64
13,Paris Saint-Germain,,Neymar,4,2,297,81.37,20,7.46,7.46
14,Manchester City,,Phil Foden,4,3,485,87.23,19,7.44,7.44
15,Borussia M'gladbach,,Florian Neuhaus,4,0,373,85.55,9,7.43,7.43
16,Lazio,,Joaquín Correa,4,2,180,82.95,9,7.11,7.11
17,Paris Saint-Germain,,Ángel Di María,4,4,232,77.08,13,7.04,7.04
18,Chelsea,,Hakim Ziyech,4,0,153,78.06,9,7.03,7.03
19,Chelsea,,Mason Mount,4,2,288,88.07,12,7.01,7.01
20,Chelsea,,Christian Pulišić,4,2,127,79.38,11,6.98,6.98
21,Manchester City,,Bernardo Silva,4,2,454,87.48,14,6.85,6.85
22,RB Leipzig,,Nordi Mukiele,4,0,273,73.58,10,6.84,6.84
23,FC Porto,,Jesús Corona,4,2,181,77.68,7,6.66,6.66
24,Real Madrid,,Toni Kroos,3,2,932,92.92,25,7.53,7.53
25,Sevilla,,Marcos Acuña,3,1,208,85.6,11,7.50,7.50
