#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Real Madrid,,Karim Benzema,15,2,12,46,32.61,8.08,8.08
2,FC Bayern München,,Robert Lewandowski,13,4,9,31,41.94,7.84,7.84
3,AFC Ajax,,Sébastien Haller,11,6,8,24,45.83,7.78,7.78
4,Liverpool,,Mohamed Salah,8,7,26,43,18.6,7.30,7.30
5,RB Leipzig,,Christopher Nkunku,7,2,4,17,41.18,7.87,7.87
6,Manchester City,,Riyad Mahrez,7,3,17,37,18.92,7.68,7.68
7,FC Bayern München,,Leroy Sané,6,5,24,34,17.65,7.65,7.65
8,Manchester United,,Cristiano Ronaldo,6,2,9,22,27.27,7.54,7.54
9,Paris Saint-Germain,,Kylian Mbappé,6,6,23,27,22.22,7.41,7.41
10,Benfica,,Darwin Núñez,6,3,13,17,35.29,7.06,7.06
11,Villarreal,,Arnaut Danjuma,6,2,16,25,24,6.89,6.89
12,Paris Saint-Germain,,Lionel Messi,5,4,23,26,19.23,7.80,7.80
13,Real Madrid,,Rodrygo,5,0,10,23,21.74,7.27,7.27
14,Liverpool,,Roberto Firmino,5,0,4,12,41.67,7.23,7.23
15,Liverpool,,Sadio Mané,5,2,16,21,23.81,7.03,7.03
16,Chelsea,,Timo Werner,4,0,4,10,40,7.52,7.52
17,Sporting,,Pedro Gonçalves,4,1,4,13,30.77,7.44,7.44
18,FC Bayern München,,Thomas Müller,4,2,7,14,28.57,7.29,7.29
19,Real Madrid,,Vinícius Júnior,4,2,32,27,14.81,7.27,7.27
20,Manchester City,,Gabriel Jesus,4,1,12,9,44.44,7.16,7.16
21,Atlético Madrid,,Antoine Griezmann,4,4,3,14,28.57,7.16,7.16
22,Liverpool,,Luis Díaz,4,3,36,29,13.79,6.96,6.96
23,Juventus,,Paulo Dybala,3,1,10,12,25,7.60,7.60
