#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Borussia Dortmund,,Mats Hummels,53,25,66,1,7.35,7.35
2,Barcelona,,João Cancelo,32,19,11,0,7.60,7.60
3,FC Bayern München,,Konrad Laimer,32,8,12,0,6.80,6.80
4,Borussia Dortmund,,Julian Ryerson,27,4,14,0,6.83,6.83
5,Borussia Dortmund,,Nico Schlotterbeck,26,11,34,0,7.13,7.13
6,Real Madrid,,Eduardo Camavinga,25,9,19,0,7.14,7.14
7,Benfica,,João Neves,24,10,9,0,7.37,7.37
8,Real Madrid,,Daniel Carvajal,24,9,24,0,7.12,7.12
9,Atlético Madrid,,Nahuel Molina,24,7,16,0,7.04,7.04
10,FC Bayern München,,Joshua Kimmich,23,11,13,0,7.49,7.49
11,RB Leipzig,,Benjamin Henrichs,22,3,8,0,7.28,7.28
12,Red Bull Salzburg,,Mads Bidstrup,22,7,16,0,6.80,6.80
13,Borussia Dortmund,,Ramy Bensebaini,21,7,8,0,7.52,7.52
14,Real Madrid,,Toni Kroos,21,12,8,0,7.44,7.44
15,Real Madrid,,Federico Valverde,21,13,16,0,7.10,7.10
16,RB Leipzig,,Xaver Schlager,21,5,6,0,7.05,7.05
17,FC Porto,,João Mário,21,2,10,0,6.93,6.93
18,Real Madrid,,Jude Bellingham,20,7,5,0,7.74,7.74
19,Paris Saint-Germain,,Achraf Hakimi,20,12,12,1,7.26,7.26
20,FC København,,Mohamed Elyounoussi,20,11,5,0,7.24,7.24
21,Napoli,,Giovanni Di Lorenzo,20,6,13,0,7.23,7.23
22,RC Lens,,Przemysław Frankowski,20,6,11,0,7.20,7.20
23,FC Bayern München,,Sacha Boey,20,6,19,0,7.05,7.05
24,FK Crvena zvezda,,In-Beom Hwang,19,5,2,0,7.47,7.47
25,Atlético Madrid,,Arthur Vermeeren,19,7,5,1,7.25,7.25
26,FC København,,Rasmus Falk Jensen,19,9,9,0,7.03,7.03
27,Galatasaray,,Abdülkerim Bardakcı,19,11,24,0,6.88,6.88
28,Borussia Dortmund,,Emre Can,19,12,14,0,6.81,6.81
29,Sporting Braga,,Rodrigo Zalazar,18,2,2,0,7.13,7.13
30,Real Sociedad,,Martín Zubimendi,18,7,12,0,7.03,7.03
31,RC Lens,,Jonathan Gradit,18,8,15,0,6.93,6.93
32,Milan,,Davide Calabria,18,3,9,0,6.85,6.85
33,RB Leipzig,,David Raum,17,10,15,0,7.56,7.56
34,FC Porto,,Mehdi Taremi,17,0,8,0,7.53,7.53
35,Borussia Dortmund,,Julian Brandt,17,4,10,0,7.25,7.25
36,FC København,,Lukas Lerager,17,8,12,0,7.12,7.12
37,Milan,,Fikayo Tomori,17,10,14,0,7.12,7.12
38,Paris Saint-Germain,,Marquinhos,17,12,28,1,7.05,7.05
39,FC Bayern München,,Noussair Mazraoui,17,7,7,0,7.00,7.00
40,Lazio,,Felipe Anderson,17,12,5,0,6.90,6.90
41,Arsenal,,Bukayo Saka,16,2,3,0,7.71,7.71
42,Inter,,Nicolò Barella,16,5,3,0,7.34,7.34
43,FC Bayern München,,Dayot Upamecano,16,5,11,0,7.20,7.20
44,FC Porto,,Wendell,16,9,8,0,7.04,7.04
45,Arsenal,,Jorginho,16,9,4,0,6.94,6.94
46,Arsenal,,Kai Havertz,16,3,5,0,6.77,6.77
47,FC København,,Elias Achouri,16,2,2,0,6.70,6.70
48,Real Sociedad,,Mikel Merino,15,4,14,0,7.56,7.56
49,Paris Saint-Germain,,Vitinha,15,13,14,0,7.48,7.48
50,Paris Saint-Germain,,Ousmane Dembélé,15,6,1,0,7.35,7.35
51,Newcastle United,,Miguel Almirón,15,4,2,0,7.20,7.20
52,Atlético Madrid,,Koke,15,3,12,0,7.13,7.13
53,Borussia Dortmund,,Ian Maatsen,15,12,23,2,7.04,7.04
54,Paris Saint-Germain,,Warren Zaïre-Emery,15,7,9,0,7.03,7.03
55,PSV Eindhoven,,Jordan Teze,15,7,6,0,7.00,7.00
56,PSV Eindhoven,,Olivier Boscagli,15,11,26,0,6.99,6.99
57,Feyenoord,,Quilindschy Hartman,15,7,8,0,6.88,6.88
58,Benfica,,Morato,15,6,17,0,6.86,6.86
59,Paris Saint-Germain,,Lucas Hernández,15,3,18,0,6.81,6.81
60,FC Porto,,Alan Varela,15,8,10,0,6.80,6.80
61,Celtic,,Alistair Johnston,15,4,12,0,6.62,6.62
62,Sevilla,,Juanlu Sánchez,15,2,4,0,6.60,6.60
63,Manchester City,,Rodri,14,6,6,0,7.86,7.86
64,FC Porto,,Stephen Eustaquio,14,10,6,0,7.23,7.23
