#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Real Madrid,,Cristiano Ronaldo,16,11,8,95,16.84,8.11,8.11
2,FC Bayern München,,Robert Lewandowski,9,6,9,48,18.75,7.25,7.25
3,Barcelona,,Luis Suárez,8,6,9,30,26.67,7.59,7.59
4,FC Bayern München,,Thomas Müller,8,6,2,36,22.22,7.10,7.10
5,Atlético Madrid,,Antoine Griezmann,7,5,10,36,19.44,7.38,7.38
6,Barcelona,,Lionel Messi,6,5,34,39,15.38,8.17,8.17
7,Zenit St. Petersburg,,Artem Dzyuba,6,6,3,19,31.58,7.10,7.10
8,Chelsea,,Willian,5,1,24,17,29.41,7.64,7.64
9,Paris Saint-Germain,,Zlatan Ibrahimović,5,9,12,41,12.2,7.50,7.50
10,Bayer 04 Leverkusen,,Javier Hernández,5,6,2,23,21.74,7.08,7.08
11,Arsenal,,Olivier Giroud,5,3,1,18,27.78,7.04,7.04
12,Zenit St. Petersburg,,Hulk,4,0,34,23,17.39,7.61,7.61
13,Benfica,,Nicolás Gaitán,4,1,22,21,19.05,7.38,7.38
14,Bayer 04 Leverkusen,,Admir Mehmedi,4,1,5,11,36.36,7.18,7.18
15,Real Madrid,,Karim Benzema,4,7,17,27,14.81,7.13,7.13
16,Barcelona,,Neymar,3,6,46,35,8.57,7.91,7.91
17,Arsenal,,Alexis Sánchez,3,1,44,18,16.67,7.81,7.81
18,FC Porto,,Vincent Aboubakar,3,1,13,19,15.79,7.58,7.58
19,Paris Saint-Germain,,Ángel Di María,3,3,30,27,11.11,7.58,7.58
20,Borussia M'gladbach,,Lars Stindl,3,1,5,13,23.08,7.40,7.40
21,Paris Saint-Germain,,Adrien Rabiot,3,0,13,7,42.86,7.29,7.29
22,KAA Gent,,Danijel Miličević,3,0,2,12,25,7.20,7.20
23,Shakhtar Donetsk,,Alex Teixeira,3,1,13,18,16.67,7.13,7.13
24,VfL Wolfsburg,,Julian Draxler,3,2,20,13,23.08,7.12,7.12
25,Manchester City,,Raheem Sterling,3,3,13,20,15,7.04,7.04
26,Olympiacos FC,,Felipe Pardo,3,0,6,9,33.33,6.95,6.95
27,Benfica,,Raúl Jiménez,3,4,3,17,17.65,6.91,6.91
28,Atlético Madrid,,Saúl Ñíguez,3,0,15,20,15,6.86,6.86
29,Manchester City,,Kevin De Bruyne,3,0,10,14,21.43,6.77,6.77
30,CSKA Moscow,,Seydou Doumbia,3,4,6,11,27.27,6.57,6.57
31,Manchester City,,Wilfried Bony,2,1,4,17,11.76,7.68,7.68
32,Bayer 04 Leverkusen,,Hakan Çalhanoğlu,2,1,6,18,11.11,7.55,7.55
33,FC Bayern München,,Arturo Vidal,2,0,0,27,7.41,7.52,7.52
34,PSV Eindhoven,,Maxime Lestienne,2,0,3,8,25,7.48,7.48
35,KAA Gent,,Sven Kums,2,0,12,8,25,7.43,7.43
36,FC Bayern München,,Arjen Robben,2,1,5,6,33.33,7.40,7.40
37,Galatasaray,,Selçuk İnan,2,0,0,9,22.22,7.40,7.40
38,Valencia,,Sofiane Feghouli,2,0,7,5,40,7.38,7.38
39,Roma,,Miralem Pjanić,2,1,2,14,14.29,7.34,7.34
40,VfL Wolfsburg,,Naldo,2,0,2,7,28.57,7.34,7.34
41,FC Bayern München,,Kingsley Coman,2,0,14,15,13.33,7.31,7.31
42,Astana,,Patrick Twumasi,2,0,6,9,22.22,7.30,7.30
43,Sevilla,,Éver Banega,2,0,18,11,18.18,7.30,7.30
44,Borussia M'gladbach,,Raffael,2,3,14,17,11.76,7.28,7.28
45,KAA Gent,,Kalifa Coulibaly,2,0,0,5,40,7.23,7.23
46,Benfica,,Jonas,2,2,17,23,8.7,7.23,7.23
47,Zenit St. Petersburg,,Oleg Shatov,2,0,5,6,33.33,7.21,7.21
48,Chelsea,,Oscar,2,0,5,10,20,7.21,7.21
49,FC Porto,,André André,2,1,14,6,33.33,7.20,7.20
50,FC Bayern München,,Douglas Costa,2,1,43,33,6.06,7.19,7.19
51,Paris Saint-Germain,,Lucas Moura,2,0,27,9,22.22,7.17,7.17
52,Juventus,,Mario Mandžukić,2,2,0,8,25,7.16,7.16
53,Juventus,,Álvaro Morata,2,5,12,26,7.69,7.15,7.15
54,Olympique Lyonnais,,Alexandre Lacazette,2,2,8,21,9.52,7.15,7.15
55,Barcelona,,Ivan Rakitić,2,2,4,12,16.67,7.11,7.11
56,VfL Wolfsburg,,Max Kruse,2,1,6,14,14.29,7.10,7.10
57,Manchester City,,Fernandinho,2,1,12,18,11.11,7.09,7.09
58,Borussia M'gladbach,,Fabian Johnson,2,0,4,6,33.33,7.04,7.04
59,Arsenal,,Theo Walcott,2,1,3,17,11.76,7.03,7.03
60,Benfica,,Anderson Talisca,2,0,4,8,25,7.03,7.03
61,FC Bayern München,,Mario Götze,2,0,1,6,33.33,7.00,7.00
62,Manchester City,,David Silva,2,2,10,11,18.18,7.00,7.00
63,Galatasaray,,Lukas Podolski,2,0,3,13,15.38,6.97,6.97
64,Chelsea,,Diego Costa,2,4,21,20,10,6.96,6.96
65,Roma,,Daniele De Rossi,2,0,0,6,33.33,6.95,6.95
66,PSV Eindhoven,,Luuk de Jong,2,2,5,9,22.22,6.93,6.93
