#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Atlético Madrid,,Gabi,45,29,16,0,7.53,7.53
2,Real Madrid,,Casemiro,43,24,25,0,7.58,7.58
3,Atlético Madrid,,Filipe Luís,38,23,21,0,7.23,7.23
4,Manchester City,,Fernandinho,35,22,11,0,7.09,7.09
5,Atlético Madrid,,Diego Godín,34,38,77,0,7.47,7.47
6,VfL Wolfsburg,,Christian Träsch,33,13,27,0,7.06,7.06
7,Manchester City,,Nicolás Otamendi,33,32,50,0,6.92,6.92
8,CSKA Moscow,,Mário Fernandes,31,26,19,0,7.32,7.32
9,Chelsea,,César Azpilicueta,31,29,18,0,7.19,7.19
10,Olympique Lyonnais,,Maxime Gonalons,29,13,8,0,7.52,7.52
11,KAA Gent,,Renato Neto,29,12,7,1,7.11,7.11
12,FC Bayern München,,Thiago Alcântara,28,19,7,0,7.88,7.88
13,Real Madrid,,Toni Kroos,27,11,2,0,7.49,7.49
14,Manchester City,,Fernando,27,23,21,1,7.05,7.05
15,FC Bayern München,,Arturo Vidal,26,20,16,0,7.52,7.52
16,Atlético Madrid,,Saúl Ñíguez,26,21,13,0,6.86,6.86
17,Valencia,,Enzo Pérez,25,10,2,0,7.28,7.28
18,PSV Eindhoven,,Jeffrey Bruma,24,24,53,0,7.54,7.54
19,Real Madrid,,Sergio Ramos,24,25,42,0,7.47,7.47
20,Atlético Madrid,,Koke,24,12,16,0,7.14,7.14
21,CSKA Moscow,,Pontus Wernbloom,24,23,11,0,7.05,7.05
22,Bayer 04 Leverkusen,,Wendell,24,11,8,0,6.88,6.88
23,Manchester City,,Bacary Sagna,24,13,38,0,6.82,6.82
24,KAA Gent,,Sven Kums,23,9,14,1,7.43,7.43
25,Benfica,,Ljubomir Fejsa,23,9,8,0,7.18,7.18
26,Benfica,,Nicolás Gaitán,22,8,5,0,7.38,7.38
27,Barcelona,,Sergio Busquets,22,23,7,0,7.31,7.31
28,Real Madrid,,Danilo,22,12,19,0,7.01,7.01
29,PSV Eindhoven,,Davy Pröpper,22,12,9,0,6.99,6.99
30,BATE Borisov,,Filip Mladenović,22,17,6,0,6.92,6.92
31,Atlético Madrid,,Juanfran,22,21,13,0,6.84,6.84
32,BATE Borisov,,Evgeni Yablonski,21,18,9,0,7.18,7.18
33,Benfica,,Eliseu,21,18,18,0,7.04,7.04
34,BATE Borisov,,Denis Polyakov,21,17,22,0,6.82,6.82
35,Paris Saint-Germain,,Thiago Silva,20,27,55,0,7.46,7.46
36,Atlético Madrid,,Antoine Griezmann,20,26,7,0,7.38,7.38
37,Paris Saint-Germain,,Marquinhos,20,12,19,0,7.30,7.30
38,Chelsea,,Cesc Fàbregas,20,5,9,0,7.21,7.21
39,Zenit St. Petersburg,,Axel Witsel,20,14,11,0,7.13,7.13
40,VfL Wolfsburg,,Ricardo Rodríguez,20,14,22,0,7.12,7.12
41,VfL Wolfsburg,,Dante,20,22,26,0,7.08,7.08
42,Zenit St. Petersburg,,Javi García,20,15,12,0,6.90,6.90
43,Olympiacos FC,,Pajtim Kasami,20,9,9,0,6.83,6.83
44,FC Bayern München,,Xabi Alonso,19,11,15,0,7.53,7.53
45,Chelsea,,Nemanja Matić,19,7,11,0,7.40,7.40
46,Atlético Madrid,,José María Giménez,19,29,24,0,7.30,7.30
47,Barcelona,,Dani Alves,19,14,4,0,7.29,7.29
48,Roma,,Konstantinos Manolas,19,23,40,0,7.05,7.05
49,Olympique Lyonnais,,Rafael,19,10,10,0,6.98,6.98
50,VfL Wolfsburg,,Josuha Guilavogui,19,19,8,0,6.98,6.98
51,Olympiacos FC,,Arthur Masuaku,19,11,14,0,6.96,6.96
52,PSV Eindhoven,,Joshua Brenet,19,17,15,0,6.96,6.96
53,Zenit St. Petersburg,,Domenico Criscito,19,25,25,0,6.85,6.85
54,Paris Saint-Germain,,Marco Verratti,18,11,2,0,7.60,7.60
55,Barcelona,,Javier Mascherano,18,21,11,0,7.33,7.33
56,Valencia,,Dani Parejo,18,10,8,0,7.25,7.25
57,Bayer 04 Leverkusen,,Kevin Kampl,18,17,1,0,7.23,7.23
58,PSV Eindhoven,,Héctor Moreno,18,17,33,0,7.23,7.23
59,FC Bayern München,,Douglas Costa,18,6,1,0,7.19,7.19
60,Paris Saint-Germain,,Serge Aurier,18,14,9,0,7.16,7.16
61,Barcelona,,Ivan Rakitić,18,13,2,0,7.11,7.11
62,FC Bayern München,,Philipp Lahm,18,15,17,0,7.09,7.09
63,Manchester City,,Gaël Clichy,18,30,30,0,7.03,7.03
64,Paris Saint-Germain,,Blaise Matuidi,18,11,7,0,6.97,6.97
65,Benfica,,André Almeida,18,14,7,0,6.61,6.61
66,Roma,,Lucas Digne,18,22,26,0,6.56,6.56
67,Paris Saint-Germain,,Adrien Rabiot,17,4,5,0,7.29,7.29
68,PSV Eindhoven,,Santiago Arias,17,21,21,0,7.10,7.10
69,VfL Wolfsburg,,Vieirinha,17,6,8,0,7.08,7.08
70,Atlético Madrid,,Augusto Fernández,17,7,7,0,6.93,6.93
