#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Paris Saint-Germain,,Kylian Mbappé,9,0,309,84.66,26,7.69,7.69
2,Real Madrid,,Jude Bellingham,7,5,512,90.14,24,7.74,7.74
3,FC Bayern München,,Joshua Kimmich,7,2,767,90.88,26,7.49,7.49
4,Manchester City,,Phil Foden,5,3,393,89.93,15,8.04,8.04
5,Atlético Madrid,,Antoine Griezmann,5,1,399,86.36,28,7.84,7.84
6,Real Madrid,,Vinícius Júnior,5,4,218,79.56,19,7.66,7.66
7,RB Leipzig,,David Raum,5,3,256,84.49,20,7.56,7.56
8,Paris Saint-Germain,,Vitinha,5,1,671,93.85,20,7.48,7.48
9,Manchester City,,Jack Grealish,5,2,243,89.01,16,7.44,7.44
10,Barcelona,,İlkay Gündoğan,5,4,506,90.68,25,7.43,7.43
11,Paris Saint-Germain,,Achraf Hakimi,5,1,705,86.5,27,7.26,7.26
12,Shakhtar Donetsk,,Oleksandr Zubkov,5,2,145,77.13,9,7.23,7.23
13,Barcelona,,Raphinha,4,2,129,80.12,10,7.74,7.74
14,Manchester United,,Bruno Fernandes,4,2,196,75.1,14,7.47,7.47
15,FC Bayern München,,Jamal Musiala,4,1,311,88.1,18,7.31,7.31
16,Arsenal,,Gabriel Jesus,4,3,105,82.03,8,7.30,7.30
17,Barcelona,,Lamine Yamal,4,2,194,79.84,11,7.24,7.24
18,Atlético Madrid,,Marcos Llorente,4,1,252,85.42,14,7.18,7.18
19,Napoli,,Matteo Politano,4,1,193,77.82,11,7.16,7.16
20,FC Bayern München,,Thomas Müller,4,1,131,80.37,15,7.13,7.13
21,Galatasaray,,Dries Mertens,4,0,47,73.44,10,7.12,7.12
22,Feyenoord,,Quinten Timber,4,0,115,80.99,6,6.98,6.98
23,Arsenal,,Bukayo Saka,3,4,203,85.65,17,7.71,7.71
24,RB Leipzig,,Xavi Simons,3,2,226,81.88,19,7.65,7.65
25,Manchester City,,Matheus Nunes,3,1,287,92.88,13,7.45,7.45
26,Benfica,,Ángel Di María,3,1,136,83.44,9,7.40,7.40
27,Sevilla,,Ivan Rakitić,3,3,210,80.77,17,7.37,7.37
