#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Real Madrid,,Casemiro,45,23,22,0,7.33,7.33
2,Juventus,,Alex Sandro,30,8,12,0,6.99,6.99
3,Paris Saint-Germain,,Marco Verratti,26,14,5,0,7.58,7.58
4,FC Bayern München,,Thiago Alcântara,26,14,2,0,7.57,7.57
5,Liverpool,,James Milner,25,11,9,0,7.15,7.15
6,RSC Anderlecht,,Adrien Trebel,25,18,6,0,7.12,7.12
7,Liverpool,,Trent Alexander-Arnold,25,22,25,0,7.06,7.06
8,Sevilla,,Gabriel Mercado,25,8,20,0,6.50,6.50
9,Paris Saint-Germain,,Dani Alves,24,13,7,1,7.35,7.35
10,Liverpool,,Jordan Henderson,24,16,9,0,6.98,6.98
11,Liverpool,,Roberto Firmino,23,3,4,0,7.77,7.77
12,Shakhtar Donetsk,,Fred,23,9,6,0,7.36,7.36
13,Real Madrid,,Daniel Carvajal,23,17,10,0,7.33,7.33
14,Barcelona,,Sergio Busquets,23,5,6,0,7.16,7.16
15,Liverpool,,Sadio Mané,22,7,4,0,7.77,7.77
16,Atlético Madrid,,Filipe Luís,22,13,4,0,7.33,7.33
17,Chelsea,,N'Golo Kanté,22,15,3,0,7.12,7.12
18,Roma,,Aleksandar Kolarov,22,18,22,0,7.10,7.10
19,Real Madrid,,Nacho Fernández,22,13,18,0,7.08,7.08
20,FC Porto,,Sérgio Oliveira,22,3,5,0,7.06,7.06
21,Roma,,Federico Fazio,21,21,45,0,7.15,7.15
22,Sevilla,,Sergio Escudero,21,19,34,0,7.11,7.11
23,Roma,,Kevin Strootman,21,12,2,0,6.72,6.72
24,Atlético Madrid,,Saúl Ñíguez,20,14,18,0,7.45,7.45
25,FC Bayern München,,Arturo Vidal,20,10,4,0,6.93,6.93
26,NK Maribor,,Marwan Kabha,20,6,8,0,6.75,6.75
27,Chelsea,,Cesc Fàbregas,19,14,4,0,7.46,7.46
28,Real Madrid,,Toni Kroos,19,7,0,0,7.38,7.38
29,Real Madrid,,Sergio Ramos,19,18,45,1,7.21,7.21
30,FC Bayern München,,Javi Martínez,19,19,19,0,6.95,6.95
31,FC Porto,,Héctor Herrera,19,8,2,0,6.85,6.85
32,Beşiktaş,,Atiba Hutchinson,19,12,9,0,6.77,6.77
33,FC Bayern München,,Mats Hummels,18,10,26,0,7.23,7.23
34,Roma,,Radja Nainggolan,18,4,3,1,7.21,7.21
35,Beşiktaş,,Duško Tošić,18,22,40,0,7.00,7.00
36,AS Monaco,,Fabinho,18,8,5,0,6.94,6.94
37,Shakhtar Donetsk,,Taras Stepanenko,18,14,9,0,6.88,6.88
38,FC Porto,,Ricardo Pereira,18,12,8,0,6.87,6.87
39,RSC Anderlecht,,Dennis Appiah,18,6,12,0,6.52,6.52
40,Roma,,Diego Perotti,17,8,2,0,7.38,7.38
41,Liverpool,,Alberto Moreno,17,9,23,0,7.34,7.34
42,Real Madrid,,Marcelo,17,15,11,0,7.33,7.33
43,FC Bayern München,,James Rodríguez,17,10,0,0,7.32,7.32
44,Manchester City,,Nicolás Otamendi,17,18,38,1,7.28,7.28
45,Manchester United,,Nemanja Matić,17,14,6,0,7.21,7.21
46,Juventus,,Juan Cuadrado,17,5,5,0,7.18,7.18
47,Borussia Dortmund,,Marc Bartra,17,11,14,0,7.15,7.15
48,Real Madrid,,Lucas Vázquez,17,6,10,0,7.12,7.12
49,FC Bayern München,,Rafinha,17,13,11,1,7.01,7.01
50,Manchester City,,Fernandinho,17,14,19,0,6.81,6.81
51,Sporting,,Rodrigo Battaglia,17,9,9,0,6.63,6.63
52,FC Spartak Moscow,,Andrey Eshchenko,17,6,22,0,6.62,6.62
53,Qarabağ,,Maksim Medvedev,17,7,14,0,6.55,6.55
54,Manchester City,,İlkay Gündoğan,16,8,1,0,7.26,7.26
55,Beşiktaş,,Pepe,16,13,40,0,7.20,7.20
56,Sevilla,,Clément Lenglet,16,17,32,0,7.12,7.12
57,Liverpool,,Dejan Lovren,16,17,65,2,6.98,6.98
58,RB Leipzig,,Marcel Halstenberg,16,9,10,0,6.72,6.72
59,RB Leipzig,,Naby Keïta,15,12,5,0,7.56,7.56
60,Sporting,,Bruno Fernandes,15,4,1,0,7.32,7.32
61,Juventus,,Giorgio Chiellini,15,13,46,0,7.19,7.19
62,Roma,,Juan Jesus,15,4,29,0,7.15,7.15
63,RB Leipzig,,Dayot Upamecano,15,12,35,0,7.04,7.04
64,Real Madrid,,Luka Modrić,15,14,4,0,7.01,7.01
65,AS Monaco,,João Moutinho,15,7,8,0,6.92,6.92
66,Barcelona,,Nélson Semedo,15,8,10,0,6.90,6.90
67,Beşiktaş,,Tolgay Arslan,15,4,1,0,6.85,6.85
68,Celtic,,Olivier Ntcham,15,3,4,0,6.78,6.78
69,Barcelona,,Sergi Roberto,15,4,3,0,6.71,6.71
70,Beşiktaş,,Adriano,15,11,19,1,6.67,6.67
71,Olympiacos FC,,Jacques-Alaixys Romao,15,7,8,0,6.60,6.60
72,Roma,,Daniele De Rossi,14,14,13,0,7.05,7.05
73,Roma,,Konstantinos Manolas,14,10,48,0,7.04,7.04
74,Tottenham Hotspur,,Jan Vertonghen,14,14,22,0,7.02,7.02
75,Real Madrid,,Isco,14,2,1,0,7.01,7.01
76,Basel,,Éder Balanta,14,12,30,0,7.00,7.00
77,Tottenham Hotspur,,Eric Dier,14,5,22,0,6.97,6.97
78,Celtic,,Mikael Lustig,14,14,28,0,6.97,6.97
79,CSKA Moscow,,Mário Fernandes,14,7,22,0,6.87,6.87
80,Shakhtar Donetsk,,Ivan Ordets,14,14,43,0,6.84,6.84
81,Liverpool,,Georginio Wijnaldum,14,10,11,0,6.83,6.83
82,Shakhtar Donetsk,,Ismaily,14,15,15,0,6.75,6.75
83,Napoli,,Elseid Hysaj,14,14,13,0,6.68,6.68
84,Sevilla,,Guido Pizarro,14,2,6,0,6.61,6.61
85,AS Monaco,,Jorge,14,9,9,0,6.30,6.30
86,Sevilla,,Éver Banega,13,6,2,0,7.80,7.80
87,Manchester City,,Kevin De Bruyne,13,12,1,0,7.53,7.53
88,Manchester United,,Daley Blind,13,13,20,0,7.50,7.50
89,FC Porto,,Danilo Pereira,13,10,7,0,7.22,7.22
90,Borussia Dortmund,,Sokratis,13,8,24,0,7.18,7.18
91,Manchester United,,Ander Herrera,13,12,7,0,7.17,7.17
92,Sevilla,,Joaquín Correa,13,7,1,0,7.15,7.15
93,Barcelona,,Ivan Rakitić,13,16,2,0,7.15,7.15
94,Liverpool,,Emre Can,13,7,3,0,7.04,7.04
95,Chelsea,,César Azpilicueta,13,17,13,0,7.01,7.01
96,Basel,,Taulant Xhaka,13,4,12,0,6.98,6.98
97,Manchester City,,Aymeric Laporte,13,2,15,0,6.97,6.97
98,Juventus,,Andrea Barzagli,13,13,19,0,6.94,6.94
