#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Galatasaray,,Fernando Muslera,33,1,0,23,1,7.28,7.28
2,RB Leipzig,,Péter Gulácsi,33,3,0,20,5,7.06,7.06
3,FK Crvena zvezda,,Milan Borjan,33,0,0,16,1,6.95,6.95
4,Lokomotiv Moscow,,Guilherme Marinato,29,0,0,15,2,7.30,7.30
5,FC Bayern München,,Manuel Neuer,28,6,0,21,6,7.08,7.08
6,Barcelona,,Marc-André ter Stegen,27,2,1,24,2,6.99,6.99
7,AFC Ajax,,André Onana,26,3,0,14,2,7.47,7.47
8,SK Slavia Praha,,Ondřej Kolář,26,1,0,17,6,7.35,7.35
9,Borussia Dortmund,,Roman Bürki,26,2,1,19,3,7.04,7.04
10,Olympique Lyonnais,,Anthony Lopes,25,2,0,14,2,6.66,6.66
11,Atlético Madrid,,Jan Oblak,23,4,0,13,1,6.94,6.94
12,GNK Dinamo Zagreb,,Dominik Livaković,22,1,0,14,1,6.73,6.73
13,Inter,,Samir Handanović,21,1,0,10,0,6.88,6.88
14,Valencia,,Jasper Cillessen,21,1,0,13,1,6.87,6.87
15,Olympiacos FC,,José Sá,21,1,0,14,0,6.72,6.72
16,Zenit St. Petersburg,,Mikhail Kerzhakov,20,1,0,8,1,7.33,7.33
17,Paris Saint-Germain,,Keylor Navas,20,5,1,14,0,7.26,7.26
18,Real Madrid,,Thibaut Courtois,20,2,0,17,0,6.93,6.93
19,Atalanta,,Pierluigi Gollini,20,2,0,8,3,6.64,6.64
20,KRC Genk,,Gaëtan Coucke,20,1,0,15,5,6.56,6.56
21,Shakhtar Donetsk,,Andriy Pyatov,20,0,1,8,2,6.52,6.52
22,Bayer 04 Leverkusen,,Lukáš Hrádecký,19,1,0,13,0,6.80,6.80
23,Lille,,Mike Maignan,19,0,0,11,2,6.63,6.63
24,Benfica,,Odysseas Vlachodimos,18,1,0,11,4,6.95,6.95
25,Manchester City,,Ederson,18,2,0,11,9,6.76,6.76
26,Tottenham Hotspur,,Paulo Gazzaniga,17,2,0,11,1,7.28,7.28
27,Juventus,,Wojciech Szczęsny,16,2,0,9,1,6.90,6.90
28,Napoli,,Alex Meret,15,3,0,11,2,7.07,7.07
29,Club Brugge KV,,Simon Mignolet,14,1,0,7,1,6.47,6.47
30,Liverpool,,Alisson,13,1,0,9,4,7.10,7.10
31,Chelsea,,Kepa Arrizabalaga,13,1,1,12,4,6.73,6.73
32,Zenit St. Petersburg,,Andrey Lunev,12,0,0,5,0,7.45,7.45
33,Tottenham Hotspur,,Hugo Lloris,12,0,0,8,0,6.18,6.18
34,Red Bull Salzburg,,Cican Stanković,9,0,0,8,1,6.38,6.38
35,Atalanta,,Marco Sportiello,8,0,0,5,0,6.65,6.65
36,Liverpool,,Adrián,8,0,0,4,0,6.03,6.03
37,Barcelona,,Neto,7,0,0,4,0,8.00,8.00
38,Red Bull Salzburg,,Carlos Coronel,7,0,0,4,0,6.70,6.70
39,Chelsea,,Willy Caballero,6,0,0,2,1,5.75,5.75
40,Lokomotiv Moscow,,Anton Kochenkov,4,0,1,2,0,6.70,6.70
41,Paris Saint-Germain,,Sergio Rico,3,2,0,0,0,6.87,6.87
42,Valencia,,Jaume Doménech,3,1,0,2,1,6.55,6.55
43,RB Leipzig,,Yvon Mvogo,2,0,0,0,0,6.80,6.80
44,Real Madrid,,Alphonse Aréola,2,0,0,2,0,6.70,6.70
45,Napoli,,David Ospina,2,0,0,2,0,6.25,6.25
46,Juventus,,Gianluigi Buffon,1,1,0,1,0,7.40,7.40
47,Lille,,Léo Jardim,1,0,0,0,0,6.60,6.60
48,Manchester City,,Claudio Bravo,1,0,0,1,2,6.30,6.30
49,KRC Genk,,Maarten Vandevoordt,1,0,0,0,0,4.30,4.30
