#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Real Madrid,,Cristiano Ronaldo,12,6,15,73,16.44,7.85,7.85
2,Barcelona,,Lionel Messi,11,2,28,38,28.95,8.23,8.23
3,Paris Saint-Germain,,Edinson Cavani,8,9,2,35,22.86,7.25,7.25
4,FC Bayern München,,Robert Lewandowski,8,8,5,36,22.22,7.20,7.20
5,Borussia Dortmund,,Pierre-Emerick Aubameyang,7,7,3,30,23.33,7.13,7.13
6,Atlético Madrid,,Antoine Griezmann,6,2,4,30,20,7.41,7.41
7,AS Monaco,,Kylian Mbappé,6,4,18,17,35.29,7.07,7.07
8,Manchester City,,Sergio Agüero,5,3,21,21,23.81,7.34,7.34
9,Napoli,,Dries Mertens,5,5,6,25,20,7.21,7.21
10,Real Madrid,,Karim Benzema,5,11,15,37,13.51,6.99,6.99
11,Juventus,,Gonzalo Higuaín,5,7,17,42,11.9,6.99,6.99
12,AS Monaco,,Radamel Falcao,5,7,5,29,17.24,6.98,6.98
13,Barcelona,,Neymar,4,2,50,20,20,7.82,7.82
14,Borussia Dortmund,,Marco Reus,4,0,2,12,33.33,7.70,7.70
15,Arsenal,,Mesut Özil,4,2,7,12,33.33,7.41,7.41
16,Paris Saint-Germain,,Ángel Di María,4,3,2,24,16.67,7.39,7.39
17,Juventus,,Paulo Dybala,4,1,25,23,17.39,7.31,7.31
18,Arsenal,,Theo Walcott,4,1,9,14,28.57,7.28,7.28
19,Barcelona,,Arda Turan,4,0,2,7,57.14,7.26,7.26
20,FC Porto,,André Silva,4,2,3,15,26.67,7.15,7.15
21,Atlético Madrid,,Saúl Ñíguez,4,0,8,18,22.22,6.96,6.96
22,Leicester City,,Riyad Mahrez,4,0,26,15,26.67,6.86,6.86
23,FC Bayern München,,Arturo Vidal,3,2,3,22,13.64,7.63,7.63
24,Juventus,,Dani Alves,3,0,14,13,23.08,7.54,7.54
25,FC Bayern München,,Arjen Robben,3,2,16,26,11.54,7.49,7.49
26,Borussia Dortmund,,Shinji Kagawa,3,1,7,6,50,7.48,7.48
27,Arsenal,,Lucas Pérez,3,0,1,4,75,7.47,7.47
28,Arsenal,,Alexis Sánchez,3,5,22,15,20,7.40,7.40
29,Juventus,,Mario Mandžukić,3,2,3,19,15.79,7.07,7.07
30,Real Madrid,,Marco Asensio,3,0,5,11,27.27,7.04,7.04
31,Napoli,,Arkadiusz Milik,3,1,0,7,42.86,7.03,7.03
32,FC Bayern München,,Joshua Kimmich,3,1,0,11,27.27,6.98,6.98
33,FC Rostov,,Dmitriy Poloz,3,0,3,5,60,6.95,6.95
34,Beşiktaş,,Vincent Aboubakar,3,1,8,13,23.08,6.95,6.95
35,Barcelona,,Luis Suárez,3,6,4,21,14.29,6.89,6.89
36,Celtic,,Moussa Dembélé,3,4,5,14,21.43,6.85,6.85
37,FC Bayern München,,Thomas Müller,3,3,1,22,13.64,6.84,6.84
38,Real Madrid,,Álvaro Morata,3,0,2,5,60,6.83,6.83
39,Benfica,,Eduardo Salvio,3,1,19,18,16.67,6.83,6.83
40,Beşiktaş,,Ricardo Quaresma,3,0,7,12,25,6.50,6.50
41,Real Madrid,,Casemiro,2,0,5,13,15.38,7.68,7.68
42,FC Bayern München,,Thiago Alcântara,2,2,16,9,22.22,7.64,7.64
43,FC København,,Zanka,2,0,0,2,100,7.53,7.53
44,Borussia Dortmund,,Ousmane Dembélé,2,2,31,21,9.52,7.42,7.42
45,Real Madrid,,Gareth Bale,2,1,14,22,9.09,7.38,7.38
46,Tottenham Hotspur,,Harry Kane,2,1,2,13,15.38,7.33,7.33
47,Napoli,,Marek Hamšík,2,0,7,18,11.11,7.31,7.31
48,Real Madrid,,Raphaël Varane,2,0,6,9,22.22,7.31,7.31
49,FC Bayern München,,Juan Bernat,2,0,7,3,66.67,7.20,7.20
50,Manchester City,,İlkay Gündoğan,2,1,13,12,16.67,7.18,7.18
51,Benfica,,Gonçalo Guedes,2,2,9,18,11.11,7.17,7.17
