#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Borussia Dortmund,,Erling Haaland,10,3,8,26,38.46,7.96,7.96
2,Paris Saint-Germain,,Kylian Mbappé,8,6,37,32,25,7.62,7.62
3,Juventus,,Álvaro Morata,6,3,11,17,35.29,7.55,7.55
4,Paris Saint-Germain,,Neymar,6,5,33,31,19.35,7.46,7.46
5,Manchester United,,Marcus Rashford,6,1,15,19,31.58,7.45,7.45
6,Sevilla,,Youssef En-Nesyri,6,1,3,16,37.5,7.33,7.33
7,Real Madrid,,Karim Benzema,6,7,12,33,18.18,7.27,7.27
8,Chelsea,,Olivier Giroud,6,2,0,10,60,7.18,7.18
9,Liverpool,,Mohamed Salah,6,6,15,22,27.27,7.00,7.00
10,Barcelona,,Lionel Messi,5,1,29,37,13.51,8.23,8.23
11,Lazio,,Ciro Immobile,5,1,4,16,31.25,7.70,7.70
12,Borussia M'gladbach,,Alassane Pléa,5,3,4,16,31.25,7.35,7.35
13,FC Bayern München,,Robert Lewandowski,5,2,6,23,21.74,7.28,7.28
14,FC Porto,,Sérgio Oliveira,5,0,5,13,38.46,7.23,7.23
15,Manchester United,,Bruno Fernandes,4,0,3,20,20,7.80,7.80
16,Inter,,Romelu Lukaku,4,2,10,15,26.67,7.38,7.38
17,Juventus,,Cristiano Ronaldo,4,3,10,23,17.39,7.35,7.35
18,Manchester City,,Riyad Mahrez,4,3,18,26,15.38,7.25,7.25
19,Manchester City,,Ferran Torres,4,1,7,13,30.77,7.25,7.25
20,Red Bull Salzburg,,Mergim Berisha,4,2,9,17,23.53,7.18,7.18
21,FC Bayern München,,Eric Maxim Choupo-Moting,4,1,4,12,33.33,7.15,7.15
22,Juventus,,Federico Chiesa,4,3,8,13,30.77,7.06,7.06
23,Chelsea,,Timo Werner,4,5,7,25,16,6.98,6.98
24,Liverpool,,Diogo Jota,4,5,12,18,22.22,6.94,6.94
25,Manchester City,,Kevin De Bruyne,3,2,11,20,15,7.64,7.64
26,Manchester City,,Phil Foden,3,3,26,33,9.09,7.44,7.44
27,RB Leipzig,,Angeliño,3,1,0,12,25,7.37,7.37
28,Atlético Madrid,,João Félix,3,2,21,26,11.54,7.35,7.35
29,Paris Saint-Germain,,Marquinhos,3,1,5,8,37.5,7.33,7.33
30,Barcelona,,Ousmane Dembélé,3,4,16,21,14.29,7.28,7.28
31,Club Brugge KV,,Hans Vanaken,3,1,5,8,37.5,7.25,7.25
32,Manchester City,,İlkay Gündoğan,3,1,17,12,25,7.22,7.22
33,FC Bayern München,,Kingsley Coman,3,2,18,17,17.65,7.20,7.20
34,FC Bayern München,,Leroy Sané,3,0,28,19,15.79,7.13,7.13
35,Barcelona,,Martin Braithwaite,3,2,2,8,37.5,7.12,7.12
36,Lazio,,Joaquín Correa,3,3,18,17,17.65,7.11,7.11
37,Başakşehir FK,,İrfan Can Kahveci,3,0,6,13,23.08,6.98,6.98
38,Liverpool,,Sadio Mané,3,1,12,16,18.75,6.97,6.97
39,Lokomotiv Moscow,,Anton Miranchuk,3,0,5,7,42.86,6.95,6.95
40,Atalanta,,Duván Zapata,3,7,10,23,13.04,6.93,6.93
41,Atalanta,,Luis Muriel,3,1,6,11,27.27,6.90,6.90
42,Real Madrid,,Vinícius Júnior,3,2,25,17,17.65,6.88,6.88
43,Paris Saint-Germain,,Moise Kean,3,0,9,11,27.27,6.84,6.84
44,Borussia Dortmund,,Jadon Sancho,2,0,14,8,25,7.38,7.38
45,Real Madrid,,Sergio Ramos,2,0,2,5,40,7.34,7.34
46,Manchester United,,Anthony Martial,2,2,9,9,22.22,7.20,7.20
47,Barcelona,,Antoine Griezmann,2,3,2,16,12.5,7.17,7.17
48,Chelsea,,Callum Hudson-Odoi,2,0,6,7,28.57,7.17,7.17
49,Sevilla,,Ivan Rakitić,2,0,3,9,22.22,7.16,7.16
50,FC Midtjylland,,Alexander Scholz,2,0,4,4,50,7.13,7.13
51,FC Bayern München,,Thomas Müller,2,1,3,12,16.67,7.12,7.12
52,Olympique de Marseille,,Dimitri Payet,2,1,1,9,22.22,7.12,7.12
53,FC Bayern München,,Leon Goretzka,2,1,1,10,20,7.07,7.07
54,Borussia M'gladbach,,Lars Stindl,2,1,0,9,22.22,7.07,7.07
55,AFC Ajax,,Dušan Tadić,2,1,6,6,33.33,7.05,7.05
56,Borussia M'gladbach,,Marcus Thuram,2,2,14,13,15.38,7.04,7.04
57,Chelsea,,Hakim Ziyech,2,1,5,13,15.38,7.03,7.03
58,Sevilla,,Luuk de Jong,2,2,1,12,16.67,7.02,7.02
59,Chelsea,,Mason Mount,2,3,11,12,16.67,7.01,7.01
60,Club Brugge KV,,Charles De Ketelaere,2,2,6,10,20,7.00,7.00
61,Chelsea,,Christian Pulišić,2,4,16,15,13.33,6.98,6.98
62,Real Madrid,,Marco Asensio,2,3,13,23,8.7,6.92,6.92
63,Red Bull Salzburg,,Dominik Szoboszlai,2,2,2,13,15.38,6.92,6.92
64,Borussia M'gladbach,,Ramy Bensebaini,2,0,4,4,50,6.90,6.90
65,Lazio,,Marco Parolo,2,1,0,4,50,6.90,6.90
66,FK Krasnodar,,Marcus Berg,2,2,4,10,20,6.90,6.90
67,FC Porto,,Moussa Marega,2,4,3,14,14.29,6.87,6.87
68,Shakhtar Donetsk,,Manor Solomon,2,0,16,3,66.67,6.80,6.80
69,Manchester City,,Gabriel Jesus,2,2,9,9,22.22,6.74,6.74
70,Stade Rennais,,Serhou Guirassy,2,1,3,7,28.57,6.73,6.73
71,Dynamo Kyiv,,Viktor Tsygankov,2,3,3,9,22.22,6.70,6.70
72,FC Porto,,Luis Díaz,2,0,13,5,40,6.70,6.70
73,Ferencváros TC,,Franck Boli,2,2,2,6,33.33,6.64,6.64
74,FC Porto,,Mehdi Taremi,2,1,0,7,28.57,6.62,6.62
75,Manchester City,,Sergio Agüero,2,0,0,2,100,6.57,6.57
76,FC Bayern München,,Joshua Kimmich,1,1,11,11,9.09,8.01,8.01
77,Atalanta,,Cristian Romero,1,0,1,5,20,7.47,7.47
78,AFC Ajax,,David Neres,1,1,9,5,20,7.45,7.45
79,Barcelona,,Philippe Coutinho,1,0,5,6,16.67,7.40,7.40
80,Sevilla,,Suso,1,0,7,6,16.67,7.35,7.35
81,Borussia Dortmund,,Axel Witsel,1,0,3,4,25,7.35,7.35
82,AFC Ajax,,Antony,1,0,5,9,11.11,7.33,7.33
83,RB Leipzig,,Christopher Nkunku,1,1,8,6,16.67,7.31,7.31
84,Sevilla,,Papu Gómez,1,0,12,9,11.11,7.31,7.31
85,Barcelona,,Ansu Fati,1,2,4,9,11.11,7.30,7.30
