#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
80,Atalanta,,Hans Hateboer,2,1,3,7,28.57,6.78,6.78
81,Barcelona,,Antoine Griezmann,2,2,7,10,20,6.74,6.74
82,Shakhtar Donetsk,,Manor Solomon,2,0,3,3,66.67,6.72,6.72
83,Club Brugge KV,,Emmanuel Dennis,2,2,16,16,12.5,6.72,6.72
84,Real Madrid,,Toni Kroos,1,1,7,14,7.14,7.97,7.97
85,Atlético Madrid,,Thomas Partey,1,0,15,15,6.67,7.61,7.61
86,Juventus,,Douglas Costa,1,0,4,1,100,7.60,7.60
87,AFC Ajax,,Nicolás Tagliafico,1,0,5,3,33.33,7.50,7.50
88,Manchester City,,Riyad Mahrez,1,2,12,13,7.69,7.46,7.46
89,Chelsea,,Willian,1,3,28,10,10,7.41,7.41
90,Barcelona,,Carles Pérez,1,0,1,4,25,7.40,7.40
91,Atalanta,,Papu Gómez,1,1,16,16,6.25,7.37,7.37
92,Liverpool,,Naby Keïta,1,1,11,9,11.11,7.33,7.33
93,Juventus,,Juan Cuadrado,1,0,10,2,50,7.32,7.32
94,Valencia,,Dani Parejo,1,2,10,10,10,7.30,7.30
95,KRC Genk,,Stephen Odey,1,0,0,1,100,7.30,7.30
96,Inter,,Matías Vecino,1,0,2,5,20,7.30,7.30
97,Chelsea,,Christian Pulišić,1,0,14,7,14.29,7.28,7.28
98,Liverpool,,Roberto Firmino,1,1,18,14,7.14,7.27,7.27
99,Valencia,,Geoffrey Kondogbia,1,0,3,6,16.67,7.26,7.26
100,Tottenham Hotspur,,Giovani Lo Celso,1,0,14,8,12.5,7.24,7.24
101,Zenit St. Petersburg,,Yaroslav Rakitskyi,1,0,8,2,50,7.22,7.22
102,Bayer 04 Leverkusen,,Sven Bender,1,0,0,3,33.33,7.22,7.22
103,Liverpool,,Dejan Lovren,1,0,0,2,50,7.20,7.20
104,Atlético Madrid,,Felipe,1,0,0,4,25,7.19,7.19
105,FC Bayern München,,Leon Goretzka,1,2,3,21,4.76,7.17,7.17
106,Tottenham Hotspur,,Christian Eriksen,1,0,0,8,12.5,7.16,7.16
107,Atlético Madrid,,Saúl Ñíguez,1,0,12,16,6.25,7.14,7.14
108,Real Madrid,,Casemiro,1,0,7,12,8.33,7.14,7.14
109,Paris Saint-Germain,,Thomas Meunier,1,0,1,4,25,7.12,7.12
110,Zenit St. Petersburg,,Magomed Ozdoev,1,0,5,4,25,7.10,7.10
111,Benfica,,Rafa Silva,1,0,4,3,33.33,7.10,7.10
112,Olympique Lyonnais,,Joachim Andersen,1,0,1,1,100,7.10,7.10
113,Chelsea,,Mateo Kovačić,1,1,33,6,16.67,7.09,7.09
114,Inter,,Antonio Candreva,1,0,5,5,20,7.08,7.08
115,Olympique Lyonnais,,Houssem Aouar,1,0,35,9,11.11,7.06,7.06
116,Inter,,Nicolò Barella,1,0,5,5,20,7.03,7.03
117,Atlético Madrid,,Stefan Savić,1,0,0,4,25,7.03,7.03
118,Real Madrid,,Vinícius Júnior,1,0,5,3,33.33,7.02,7.02
119,Olympiacos FC,,Guilherme,1,0,13,11,9.09,7.00,7.00
120,Real Madrid,,Isco,1,1,7,8,12.5,7.00,7.00
121,Benfica,,Raúl de Tomás,1,0,1,10,10,7.00,7.00
122,Olympique Lyonnais,,Bertrand Traoré,1,0,11,9,11.11,6.96,6.96
123,AFC Ajax,,Edson Álvarez,1,0,0,6,16.67,6.95,6.95
124,Atalanta,,Robin Gosens,1,0,4,8,12.5,6.95,6.95
125,RB Leipzig,,Tyler Adams,1,0,2,2,50,6.93,6.93
126,Atalanta,,Luis Muriel,1,0,6,14,7.14,6.92,6.92
127,Red Bull Salzburg,,Andreas Ulmer,1,0,5,5,20,6.92,6.92
128,Olympiacos FC,,Mathieu Valbuena,1,0,0,2,50,6.90,6.90
129,Galatasaray,,Adem Büyük,1,1,1,3,33.33,6.90,6.90
130,Liverpool,,Andrew Robertson,1,1,3,9,11.11,6.90,6.90
131,Chelsea,,Reece James,1,0,7,6,16.67,6.88,6.88
132,Paris Saint-Germain,,Eric Maxim Choupo-Moting,1,0,2,5,20,6.88,6.88
133,RB Leipzig,,Konrad Laimer,1,1,11,8,12.5,6.87,6.87
134,FK Crvena zvezda,,Nemanja Milunović,1,0,1,3,33.33,6.87,6.87
135,Olympique Lyonnais,,Lucas Tousart,1,0,5,10,10,6.86,6.86
136,Barcelona,,Clément Lenglet,1,1,1,3,33.33,6.85,6.85
137,Lokomotiv Moscow,,Grzegorz Krychowiak,1,3,6,13,7.69,6.83,6.83
138,Olympiacos FC,,Daniel Podence,1,2,18,11,9.09,6.83,6.83
139,Olympique Lyonnais,,Martin Terrier,1,0,5,3,33.33,6.82,6.82
140,Club Brugge KV,,Hans Vanaken,1,0,8,5,20,6.82,6.82
141,Shakhtar Donetsk,,Alan Patrick,1,0,10,7,14.29,6.80,6.80
142,Benfica,,Franco Cervi,1,2,1,4,25,6.80,6.80
143,Atalanta,,Ruslan Malinovskyi,1,0,8,6,16.67,6.80,6.80
144,Shakhtar Donetsk,,Tetê,1,1,2,5,20,6.80,6.80
145,Chelsea,,Michy Batshuayi,1,2,1,10,10,6.80,6.80
146,Shakhtar Donetsk,,Yevhen Konoplyanka,1,0,3,3,33.33,6.80,6.80
147,Napoli,,Diego Demme,1,1,3,4,25,6.80,6.80
148,GNK Dinamo Zagreb,,Bruno Petković,1,1,15,4,25,6.78,6.78
149,Bayer 04 Leverkusen,,Kevin Volland,1,1,5,11,9.09,6.78,6.78
150,Tottenham Hotspur,,Lucas Moura,1,1,11,7,14.29,6.77,6.77
151,Tottenham Hotspur,,Erik Lamela,1,3,7,9,11.11,6.76,6.76
152,FK Crvena zvezda,,Richmond Boakye,1,0,4,6,16.67,6.76,6.76
153,Real Madrid,,Luka Modrić,1,0,1,6,16.67,6.75,6.75
154,Juventus,,Blaise Matuidi,1,0,2,5,20,6.74,6.74
155,GNK Dinamo Zagreb,,Luka Ivanušec,1,0,4,1,100,6.73,6.73
156,KRC Genk,,Jhon Lucumí,1,0,2,2,50,6.73,6.73
157,GNK Dinamo Zagreb,,Marin Leovac,1,0,0,5,20,6.72,6.72
158,Napoli,,Hirving Lozano,1,1,6,12,8.33,6.70,6.70
159,Tottenham Hotspur,,Dele Alli,1,1,6,7,14.29,6.69,6.69
160,Juventus,,Federico Bernardeschi,1,1,6,5,20,6.68,6.68
161,SK Slavia Praha,,Peter Olayinka,1,1,11,7,14.29,6.68,6.68
162,Napoli,,Fernando Llorente,1,1,0,3,33.33,6.68,6.68
163,Barcelona,,Ansu Fati,1,0,1,2,50,6.68,6.68
164,Red Bull Salzburg,,Patson Daka,1,2,3,11,9.09,6.67,6.67
165,Atlético Madrid,,Héctor Herrera,1,0,1,3,33.33,6.67,6.67
166,Valencia,,Daniel Wass,1,0,2,6,16.67,6.66,6.66
167,Tottenham Hotspur,,Serge Aurier,1,0,5,1,100,6.66,6.66
168,GNK Dinamo Zagreb,,Arijan Ademi,1,0,7,2,50,6.63,6.63
169,Atalanta,,Remo Freuler,1,0,5,5,20,6.63,6.63
170,FK Crvena zvezda,,Miloš Vulić,1,0,1,5,20,6.63,6.63
171,Club Brugge KV,,Krépin Diatta,1,0,11,5,20,6.62,6.62
172,Olympique Lyonnais,,Maxwel Cornet,1,1,7,6,16.67,6.61,6.61
173,Lille,,Jonathan Ikoné,1,2,9,6,16.67,6.60,6.60
174,Lille,,Loïc Rémy,1,1,2,9,11.11,6.60,6.60
175,Juventus,,Aaron Ramsey,1,0,0,3,33.33,6.60,6.60
176,SK Slavia Praha,,Jan Bořil,1,0,3,5,20,6.58,6.58
177,Lokomotiv Moscow,,Dmitriy Barinov,1,0,2,6,16.67,6.58,6.58
178,Paris Saint-Germain,,Edinson Cavani,1,1,0,3,33.33,6.57,6.57
179,Atalanta,,Timothy Castagne,1,2,2,3,33.33,6.57,6.57
180,Atalanta,,Duván Zapata,1,3,3,9,11.11,6.54,6.54
181,Benfica,,Carlos Vinícius,1,1,1,5,20,6.54,6.54
