#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Paris Saint-Germain,,Keylor Navas,54,2,1,36,4,7.37,7.37
2,FC Bayern München,,Manuel Neuer,35,3,0,26,6,7.44,7.44
3,Chelsea,,Edouard Mendy,31,9,0,23,2,7.35,7.35
4,FC Porto,,Agustín Marchesín,29,5,0,21,5,7.26,7.26
5,Real Madrid,,Thibaut Courtois,26,4,0,18,5,6.81,6.81
6,Lokomotiv Moscow,,Guilherme Marinato,25,1,0,13,2,7.03,7.03
7,Shakhtar Donetsk,,Anatoliy Trubin,24,3,0,15,0,7.14,7.14
8,Olympiacos FC,,José Sá,24,1,0,13,0,6.90,6.90
9,RB Leipzig,,Péter Gulácsi,23,1,1,15,5,6.76,6.76
10,FK Krasnodar,,Matvey Safonov,22,1,0,15,0,7.35,7.35
11,AFC Ajax,,André Onana,22,0,0,11,0,6.85,6.85
12,Borussia M'gladbach,,Yann Sommer,22,2,0,16,1,6.81,6.81
13,FC Midtjylland,,Jesper Hansen,21,0,0,17,1,6.98,6.98
14,Atalanta,,Marco Sportiello,21,1,0,11,1,6.48,6.48
15,Juventus,,Wojciech Szczęsny,20,2,0,10,5,6.90,6.90
16,Borussia Dortmund,,Marwin Hitz,20,0,0,11,1,6.62,6.62
17,Ferencváros TC,,Dénes Dibusz,20,0,0,8,1,6.30,6.30
18,Liverpool,,Alisson,19,5,0,12,2,7.29,7.29
19,Başakşehir FK,,Mert Günok,19,0,0,10,3,6.18,6.18
20,Manchester City,,Ederson,17,7,0,10,6,6.91,6.91
21,Lazio,,Pepe Reina,17,0,0,10,1,6.44,6.44
22,Sevilla,,Bono,16,2,0,8,0,7.00,7.00
23,Barcelona,,Marc-André ter Stegen,16,1,0,14,1,6.88,6.88
24,Club Brugge KV,,Simon Mignolet,16,1,0,12,4,6.78,6.78
25,Red Bull Salzburg,,Cican Stanković,16,0,0,7,1,6.18,6.18
26,Stade Rennais,,Alfred Gomis,15,0,0,9,1,6.85,6.85
27,Inter,,Samir Handanović,15,2,0,9,4,6.77,6.77
28,Zenit St. Petersburg,,Mikhail Kerzhakov,15,0,0,12,0,6.58,6.58
29,Manchester United,,David De Gea,14,1,0,10,1,6.78,6.78
30,Atlético Madrid,,Jan Oblak,14,2,0,9,0,6.61,6.61
31,Dynamo Kyiv,,Heorhiy Bushchan,13,1,0,12,0,6.48,6.48
32,Olympique de Marseille,,Steve Mandanda,13,0,0,9,2,6.38,6.38
33,Dynamo Kyiv,,Ruslan Neshcheret,12,0,0,8,0,9.70,9.70
34,FK Krasnodar,,Evgeniy Gorodov,10,0,0,6,0,7.05,7.05
35,Liverpool,,Caoimhin Kelleher,9,1,0,8,0,7.65,7.65
36,Borussia Dortmund,,Roman Bürki,9,3,0,4,0,7.23,7.23
37,Juventus,,Gianluigi Buffon,7,1,0,2,0,8.50,8.50
38,Lazio,,Thomas Strakosha,6,0,0,5,0,7.60,7.60
39,Atalanta,,Pierluigi Gollini,5,2,0,4,1,7.03,7.03
40,Liverpool,,Adrián,4,1,0,3,1,7.80,7.80
41,Stade Rennais,,Romain Salin,4,0,0,3,1,6.40,6.40
42,Barcelona,,Neto,3,2,0,2,0,6.90,6.90
43,Club Brugge KV,,Ethan Horvath,3,0,0,2,0,6.80,6.80
44,FC Bayern München,,Alexander Nübel,3,0,0,2,1,6.55,6.55
45,Sevilla,,Tomáš Vaclík,3,0,0,3,0,6.30,6.30
46,Manchester City,,Zack Steffen,2,1,0,1,0,7.20,7.20
47,Dynamo Kyiv,,Denys Boyko,2,0,0,1,0,6.40,6.40
48,FC Midtjylland,,Mikkel Andersen,2,0,0,0,1,6.15,6.15
49,Sevilla,,Alfonso Pastor,2,0,0,2,0,5.70,5.70
50,Shakhtar Donetsk,,Andriy Pyatov,2,0,0,2,0,5.60,5.60
51,FC Porto,,Diogo Costa,1,1,0,0,0,7.00,7.00
52,Chelsea,,Kepa Arrizabalaga,1,0,0,1,0,6.60,6.60
53,Manchester United,,Dean Henderson,1,0,0,1,0,6.10,6.10
