#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Real Madrid,,Casemiro,47,27,16,0,7.68,7.68
2,FC Bayern München,,Arturo Vidal,36,23,7,0,7.63,7.63
3,Juventus,,Dani Alves,34,16,19,0,7.54,7.54
4,AS Monaco,,Fabinho,33,21,18,0,7.30,7.30
5,Atlético Madrid,,Gabi,33,21,11,0,7.18,7.18
6,Atlético Madrid,,Filipe Luís,32,14,16,0,7.15,7.15
7,AS Monaco,,Djibril Sidibé,31,11,23,0,6.83,6.83
8,Sevilla,,Sergio Escudero,30,23,16,0,7.28,7.28
9,Paris Saint-Germain,,Marco Verratti,29,5,4,0,7.43,7.43
10,Bayer 04 Leverkusen,,Benjamin Henrichs,29,24,29,0,7.30,7.30
11,Sevilla,,Gabriel Mercado,29,11,17,0,7.13,7.13
12,AS Monaco,,Tiemoué Bakayoko,29,28,19,1,7.09,7.09
13,Atlético Madrid,,Saúl Ñíguez,29,17,16,0,6.96,6.96
14,FC Bayern München,,Thiago Alcântara,28,19,3,0,7.64,7.64
15,Atlético Madrid,,Diego Godín,28,29,68,0,7.26,7.26
16,CSKA Moscow,,Pontus Wernbloom,27,13,5,0,7.28,7.28
17,Juventus,,Alex Sandro,27,13,16,0,7.01,7.01
18,Real Madrid,,Daniel Carvajal,27,18,14,0,6.97,6.97
19,Barcelona,,Javier Mascherano,26,25,11,0,7.31,7.31
20,Borussia Dortmund,,Julian Weigl,26,8,10,0,7.16,7.16
21,Olympique Lyonnais,,Maxime Gonalons,25,18,3,0,7.45,7.45
22,Real Madrid,,Sergio Ramos,25,25,41,0,7.31,7.31
23,Real Madrid,,Marcelo,25,24,14,0,7.26,7.26
24,Juventus,,Miralem Pjanić,25,18,10,0,7.12,7.12
25,Sevilla,,Vitolo,25,7,1,0,6.89,6.89
26,AS Monaco,,Jemerson,25,25,67,0,6.88,6.88
27,Napoli,,Kalidou Koulibaly,24,7,26,0,6.80,6.80
28,Bayer 04 Leverkusen,,Wendell,24,12,17,0,6.76,6.76
29,CSKA Moscow,,Aleksandr Golovin,24,17,3,0,6.67,6.67
30,Real Madrid,,Toni Kroos,23,13,3,0,7.38,7.38
31,Barcelona,,Sergio Busquets,23,14,4,0,7.04,7.04
32,Leicester City,,Danny Drinkwater,23,26,27,0,6.89,6.89
33,Paris Saint-Germain,,Blaise Matuidi,23,10,2,0,6.81,6.81
34,Bayer 04 Leverkusen,,Kevin Kampl,22,19,6,0,7.53,7.53
35,Bayer 04 Leverkusen,,Julian Baumgartlinger,22,11,5,0,7.38,7.38
36,Real Madrid,,Raphaël Varane,22,13,36,0,7.31,7.31
37,Leicester City,,Christian Fuchs,22,12,45,0,7.21,7.21
38,Atlético Madrid,,Koke,22,16,9,0,7.16,7.16
39,Borussia Dortmund,,Marc Bartra,22,14,39,0,7.14,7.14
40,Atlético Madrid,,Antoine Griezmann,21,8,5,0,7.41,7.41
41,Manchester City,,Fernandinho,21,15,12,0,6.81,6.81
42,Benfica,,Nélson Semedo,21,21,19,0,6.69,6.69
43,Atlético Madrid,,José María Giménez,20,20,46,0,7.42,7.42
44,Manchester City,,Nicolás Otamendi,20,26,27,0,7.00,7.00
45,Borussia M'gladbach,,Christoph Kramer,20,6,5,0,6.74,6.74
46,Juventus,,Leonardo Bonucci,19,20,41,0,7.25,7.25
47,Benfica,,Franco Cervi,19,11,0,0,7.10,7.10
48,Juventus,,Mario Mandžukić,19,9,21,0,7.07,7.07
49,CSKA Moscow,,Mário Fernandes,19,8,21,0,6.90,6.90
50,Sevilla,,Steven​ N'Zonzi,18,13,10,0,7.44,7.44
51,Juventus,,Giorgio Chiellini,18,16,46,0,7.38,7.38
52,Sevilla,,Mariano,18,12,3,0,7.13,7.13
53,AS Monaco,,Benjamin Mendy,18,9,19,0,7.07,7.07
54,AS Monaco,,João Moutinho,18,17,11,0,6.89,6.89
55,Arsenal,,Francis Coquelin,18,18,8,0,6.88,6.88
56,Club Brugge KV,,Tomás Pina,18,9,5,0,6.86,6.86
57,Celtic,,Scott Brown,18,30,8,0,6.85,6.85
58,Basel,,Éder Balanta,18,11,25,0,6.82,6.82
59,AS Monaco,,Andrea Raggi,18,15,43,0,6.55,6.55
60,FC Porto,,Otávio,17,3,2,0,7.12,7.12
61,Arsenal,,Kieran Gibbs,17,8,17,0,7.02,7.02
