#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
91,Olympique Lyonnais,,Nabil Fekir,1,2,177,88.06,14,7.63,7.63
92,AFC Ajax,,Carel Eiting,1,1,81,85.26,3,7.60,7.60
93,Shakhtar Donetsk,,Taison,1,1,237,85.87,10,7.52,7.52
94,FC Bayern München,,Javi Martínez,1,0,249,83.28,4,7.43,7.43
95,TSG Hoffenheim,,Andrej Kramarić,1,1,171,84.65,9,7.40,7.40
96,FC Bayern München,,James Rodríguez,1,1,202,88.21,9,7.36,7.36
97,Barcelona,,Ousmane Dembélé,1,1,160,78.43,15,7.34,7.34
98,Manchester City,,Oleksandr Zinchenko,1,2,300,92.88,6,7.32,7.32
99,Napoli,,Lorenzo Insigne,1,0,221,80.95,6,7.30,7.30
100,Roma,,Justin Kluivert,1,0,70,79.55,7,7.28,7.28
101,FC Bayern München,,Niklas Süle,1,0,351,92.13,2,7.26,7.26
102,Galatasaray,,Maicon,1,0,146,85.38,1,7.25,7.25
103,Real Madrid,,Marcelo,1,1,227,85.66,7,7.23,7.23
104,PSV Eindhoven,,Luuk de Jong,1,0,96,64,3,7.22,7.22
105,Napoli,,Dries Mertens,1,0,84,75.68,10,7.20,7.20
106,TSG Hoffenheim,,Joelinton,1,1,79,77.45,6,7.20,7.20
107,Olympique Lyonnais,,Maxwel Cornet,1,0,39,67.24,2,7.18,7.18
108,Juventus,,Leonardo Bonucci,1,2,606,87.57,5,7.18,7.18
109,Manchester City,,Phil Foden,1,0,54,84.38,4,7.17,7.17
110,Barcelona,,Sergio Busquets,1,1,903,93.19,11,7.17,7.17
111,Valencia,,Cristiano Piccini,1,0,65,67.71,2,7.17,7.17
112,Liverpool,,Virgil van Dijk,1,2,626,86.7,4,7.16,7.16
113,Barcelona,,Gerard Piqué,1,0,633,88.53,2,7.15,7.15
114,Shakhtar Donetsk,,Júnior Moraes,1,2,79,77.45,4,7.15,7.15
115,FC Porto,,Jesús Corona,1,2,168,78.87,11,7.15,7.15
116,Club Brugge KV,,Hans Vanaken,1,1,229,86.42,9,7.15,7.15
117,FC Schalke 04,,Naldo,1,0,171,83.41,2,7.15,7.15
118,Juventus,,João Cancelo,1,2,199,81.22,7,7.14,7.14
119,Manchester United,,Marouane Fellaini,1,0,173,89.18,6,7.14,7.14
120,Benfica,,Alejandro Grimaldo,1,0,245,85.96,6,7.13,7.13
121,Benfica,,Pizzi,1,1,196,82.01,16,7.13,7.13
122,Benfica,,Jonas,1,1,35,71.43,1,7.10,7.10
123,Inter,,Stefan de Vrij,1,1,234,89.31,1,7.10,7.10
124,Club Brugge KV,,Ruud Vormer,1,1,171,78.8,6,7.07,7.07
125,Benfica,,Andrija Živković,1,0,30,83.33,2,7.05,7.05
126,Borussia Dortmund,,Julian Weigl,1,0,255,93.75,1,7.05,7.05
127,Liverpool,,James Milner,1,2,442,81.55,20,7.03,7.03
128,Paris Saint-Germain,,Edinson Cavani,1,1,59,83.1,3,7.03,7.03
129,Real Madrid,,Dani Ceballos,1,0,169,94.94,5,7.03,7.03
130,Borussia Dortmund,,Jacob Bruun Larsen,1,1,48,88.89,5,7.03,7.03
131,Real Madrid,,Vinícius Júnior,1,2,52,80,5,7.03,7.03
132,Manchester City,,İlkay Gündoğan,1,1,463,92.23,10,7.03,7.03
133,Liverpool,,Roberto Firmino,1,1,244,78.21,12,7.02,7.02
134,Club Brugge KV,,Stefano Denswil,1,0,279,85.85,2,7.02,7.02
135,Real Madrid,,Daniel Carvajal,1,1,252,85.71,9,7.00,7.00
136,Borussia Dortmund,,Shinji Kagawa,1,0,18,75,1,7.00,7.00
137,AEK Athens,,Anastasios Bakasetas,1,0,82,81.19,2,7.00,7.00
138,Atlético Madrid,,Juanfran,1,0,141,78.77,5,7.00,7.00
139,PSV Eindhoven,,Angeliño,1,1,117,69.64,7,6.98,6.98
140,Atlético Madrid,,Thomas Partey,1,1,216,81.82,3,6.97,6.97
141,Tottenham Hotspur,,Jan Vertonghen,1,1,408,83.95,1,6.96,6.96
142,Napoli,,Nikola Maksimović,1,1,255,87.33,5,6.96,6.96
143,Benfica,,Haris Seferović,1,0,60,58.25,6,6.95,6.95
144,Manchester City,,Benjamin Mendy,1,0,88,90.72,3,6.95,6.95
145,Inter,,Marcelo Brozović,1,0,389,88.41,7,6.95,6.95
146,CSKA Moscow,,Mário Fernandes,1,0,136,79.07,9,6.95,6.95
147,FC Porto,,Héctor Herrera,1,1,356,82.79,6,6.94,6.94
148,Real Madrid,,Álvaro Odriozola,1,0,126,95.45,3,6.93,6.93
149,FC Schalke 04,,Matija Nastasić,1,0,247,89.17,2,6.93,6.93
150,AFC Ajax,,Lasse Schöne,1,2,496,87.32,18,6.92,6.92
151,AFC Ajax,,Frenkie de Jong,1,0,718,89.3,9,6.92,6.92
152,PSV Eindhoven,,Pablo Rosario,1,1,159,82.38,4,6.90,6.90
153,FC Bayern München,,David Alaba,1,2,298,82.78,6,6.90,6.90
154,AEK Athens,,Marios Oikonomou,1,1,131,89.12,2,6.90,6.90
155,Barcelona,,Arthur,1,0,505,94.22,6,6.88,6.88
156,Viktoria Plzeň,,Jan Kovařík,1,0,70,73.68,6,6.88,6.88
157,Viktoria Plzeň,,Jan Kopic,1,2,84,79.25,6,6.88,6.88
158,Galatasaray,,Younès Belhanda,1,0,117,80.14,4,6.88,6.88
159,AFC Ajax,,Daley Blind,1,0,648,81.51,6,6.87,6.87
160,Paris Saint-Germain,,Thomas Meunier,1,1,162,81.41,3,6.86,6.86
161,Tottenham Hotspur,,Harry Winks,1,0,432,90.38,9,6.86,6.86
162,Roma,,Steven​ N'Zonzi,1,0,373,88.81,8,6.85,6.85
163,Tottenham Hotspur,,Fernando Llorente,1,1,47,55.29,4,6.84,6.84
164,Borussia Dortmund,,Jadon Sancho,1,1,227,87.98,10,6.84,6.84
165,Roma,,Bryan Cristante,1,0,286,85.12,10,6.84,6.84
166,Tottenham Hotspur,,Serge Aurier,1,1,179,77.83,3,6.84,6.84
167,FC Schalke 04,,Weston McKennie,1,1,87,61.7,6,6.83,6.83
168,TSG Hoffenheim,,Leonardo Bittencourt,1,1,31,75.61,6,6.83,6.83
169,FC Porto,,Tiquinho Soares,1,1,45,73.77,3,6.83,6.83
170,Tottenham Hotspur,,Toby Alderweireld,1,0,634,86.14,2,6.83,6.83
171,FC Bayern München,,Rafinha,1,1,282,88.13,3,6.82,6.82
172,CSKA Moscow,,Arnór Sigurðsson,1,1,82,82.83,4,6.82,6.82
173,Manchester United,,Ashley Young,1,1,229,80.63,6,6.81,6.81
174,Lokomotiv Moscow,,Anton Miranchuk,1,0,143,75.26,8,6.80,6.80
175,FC Porto,,Hernâni,1,1,14,66.67,1,6.80,6.80
176,Paris Saint-Germain,,Julian Draxler,1,1,204,92.31,6,6.78,6.78
177,Borussia Dortmund,,Thomas Delaney,1,0,189,86.7,5,6.78,6.78
178,Liverpool,,Fabinho,1,0,364,81.07,4,6.78,6.78
179,Atlético Madrid,,Diego Costa,1,1,79,77.45,4,6.78,6.78
180,FC Porto,,André Pereira,1,0,22,81.48,2,6.78,6.78
181,Manchester City,,Ederson,1,1,218,88.26,2,6.76,6.76
182,Barcelona,,Nélson Semedo,1,0,293,90.99,4,6.76,6.76
183,Lokomotiv Moscow,,Dmitriy Barinov,1,0,81,71.68,2,6.75,6.75
184,Borussia Dortmund,,Christian Pulišić,1,0,198,83.54,3,6.74,6.74
185,PSV Eindhoven,,Gastón Pereiro,1,1,79,74.53,6,6.74,6.74
186,Valencia,,Daniel Wass,1,0,113,80.71,3,6.73,6.73
187,Napoli,,Piotr Zieliński,1,0,110,84.62,4,6.73,6.73
188,AEK Athens,,Niklas Hult,1,1,179,74.58,5,6.72,6.72
189,Viktoria Plzeň,,Luděk Pernica,1,0,24,82.76,1,6.70,6.70
190,FK Crvena zvezda,,Richmond Boakye,1,0,36,76.6,1,6.70,6.70
191,Club Brugge KV,,Thibault Vlietinck,1,0,76,79.17,3,6.70,6.70
192,Manchester United,,Anthony Martial,1,0,183,83.94,9,6.69,6.69
193,Galatasaray,,Yuto Nagatomo,1,0,136,80,4,6.68,6.68
194,Young Boys,,Christian Fassnacht,1,1,93,78.81,6,6.67,6.67
195,AS Monaco,,Radamel Falcao,1,0,67,79.76,6,6.66,6.66
196,Valencia,,Rodrigo,1,1,123,83.67,12,6.65,6.65
197,Paris Saint-Germain,,Eric Maxim Choupo-Moting,1,0,16,76.19,1,6.63,6.63
198,Young Boys,,Roger Assalé,1,0,81,83.51,5,6.62,6.62
199,Benfica,,Eduardo Salvio,1,1,69,75.82,5,6.60,6.60
200,Manchester United,,Jesse Lingard,1,0,120,88.89,8,6.60,6.60
201,Paris Saint-Germain,,Thilo Kehrer,1,0,292,92.41,1,6.60,6.60
202,PSV Eindhoven,,Donyell Malen,1,0,26,81.25,1,6.58,6.58
203,FC Schalke 04,,Daniel Caligiuri,1,0,114,72.15,5,6.57,6.57
204,Shakhtar Donetsk,,Alan Patrick,1,1,111,90.98,8,6.56,6.56
205,Young Boys,,Miralem Sulejmani,1,0,81,81,4,6.52,6.52
206,Atlético Madrid,,Ángel Correa,1,1,98,71.01,4,6.50,6.50
207,AEK Athens,,Michalis Bakakis,1,0,135,71.43,2,6.47,6.47
208,FK Crvena zvezda,,Lorenzo Ebecilio,1,1,35,76.09,2,6.45,6.45
209,Shakhtar Donetsk,,Serhiy Bolbat,1,0,37,78.72,3,6.45,6.45
210,TSG Hoffenheim,,Ádám Szalai,1,0,51,80.95,4,6.36,6.36
211,Viktoria Plzeň,,Milan Petržela,1,0,50,75.76,3,6.25,6.25
212,AS Monaco,,Sofiane Diop,1,0,78,81.25,3,5.93,5.93
213,Barcelona,,Jasper Cillessen,0,0,20,74.07,0,8.00,8.00
214,Club Brugge KV,,Ethan Horvath,0,0,31,38.75,0,7.67,7.67
215,CSKA Moscow,,Nikola Vlašić,0,2,178,84.36,18,7.63,7.63
216,CSKA Moscow,,Ilya Pomazun,0,0,4,14.81,0,7.60,7.60
217,Galatasaray,,Emre Akbaba,0,1,18,72,2,7.50,7.50
218,Borussia Dortmund,,Manuel Akanji,0,0,537,95.04,1,7.44,7.44
219,FC Bayern München,,Robert Lewandowski,0,0,102,71.83,6,7.43,7.43
220,Borussia Dortmund,,Axel Witsel,0,0,590,94.55,2,7.41,7.41
221,Barcelona,,Juan Miranda,0,0,50,83.33,0,7.40,7.40
222,Juventus,,Medhi Benatia,0,0,69,94.52,0,7.40,7.40
223,Lokomotiv Moscow,,Maciej Rybus,0,0,51,78.46,1,7.40,7.40
224,Manchester City,,Sergio Agüero,0,1,142,88.2,5,7.39,7.39
225,Manchester City,,Bernardo Silva,0,1,266,89.26,11,7.38,7.38
226,Juventus,,Giorgio Chiellini,0,0,348,89.46,3,7.37,7.37
227,FC Bayern München,,Mats Hummels,0,0,402,87.58,1,7.35,7.35
228,Roma,,Robin Olsen,0,0,113,64.2,0,7.35,7.35
229,Juventus,,Paulo Dybala,0,0,258,89.27,7,7.34,7.34
230,Real Madrid,,Sergio Ramos,0,0,291,91.22,1,7.34,7.34
231,Inter,,Samir Handanović,0,0,127,80.38,0,7.33,7.33
232,Galatasaray,,Ozan Kabak,0,0,252,88.73,0,7.28,7.28
233,Viktoria Plzeň,,Michael Krmenčík,0,0,30,71.43,2,7.27,7.27
234,Atlético Madrid,,Filipe Luís,0,1,216,85.71,8,7.26,7.26
235,AS Monaco,,Aleksandr Golovin,0,1,94,84.68,4,7.23,7.23
236,Valencia,,Ezequiel Garay,0,0,109,87.2,0,7.23,7.23
237,FK Crvena zvezda,,Milan Borjan,0,0,98,50,0,7.23,7.23
238,Borussia Dortmund,,Abdou Diallo,0,0,474,88.93,3,7.23,7.23
239,FC Bayern München,,Thiago Alcântara,0,1,283,86.28,7,7.22,7.22
240,Barcelona,,Philippe Coutinho,0,3,470,86.72,17,7.22,7.22
241,Napoli,,Kalidou Koulibaly,0,0,400,87.53,1,7.22,7.22
242,Barcelona,,Rafinha Alcântara,0,0,54,94.74,1,7.20,7.20
243,Tottenham Hotspur,,Paulo Gazzaniga,0,0,18,81.82,0,7.20,7.20
244,FC Schalke 04,,Abdul Rahman Baba,0,0,27,79.41,1,7.20,7.20
245,TSG Hoffenheim,,Justin Hoogma,0,0,22,78.57,0,7.20,7.20
246,Roma,,Diego Perotti,0,0,42,75,3,7.20,7.20
247,Club Brugge KV,,Brandon Mechele,0,0,192,91.87,1,7.20,7.20
248,Liverpool,,Alisson,0,0,283,76.69,0,7.18,7.18
249,Borussia Dortmund,,Dan-Axel Zagadou,0,0,304,92.12,1,7.18,7.18
250,Paris Saint-Germain,,Thiago Silva,0,0,519,92.35,0,7.17,7.17
251,Manchester City,,Gabriel Jesus,0,0,89,82.41,5,7.17,7.17
252,Barcelona,,Ivan Rakitić,0,2,835,91.36,10,7.17,7.17
253,Napoli,,Marek Hamšík,0,1,393,88.91,7,7.17,7.17
254,Napoli,,Raúl Albiol,0,0,373,90.1,0,7.17,7.17
255,Galatasaray,,Badou Ndiaye,0,0,199,82.92,2,7.16,7.16
256,FC Schalke 04,,Alexander Nübel,0,0,27,61.36,0,7.15,7.15
257,Shakhtar Donetsk,,Yaroslav Rakitskyi,0,0,210,86.42,6,7.15,7.15
258,Roma,,Federico Fazio,0,0,314,86.26,2,7.15,7.15
259,Club Brugge KV,,Benoît Poulain,0,0,285,82.61,1,7.15,7.15
260,Inter,,Mauro Icardi,0,0,66,73.33,8,7.13,7.13
261,Olympique Lyonnais,,Anthony Lopes,0,0,117,57.92,0,7.13,7.13
262,Young Boys,,Guillaume Hoarau,0,0,72,66.67,3,7.12,7.12
263,FC Bayern München,,Jérôme Boateng,0,0,367,85.95,1,7.12,7.12
264,Tottenham Hotspur,,Lucas Moura,0,0,171,75.33,11,7.12,7.12
265,Real Madrid,,Sergio Reguilón,0,1,173,80.84,7,7.10,7.10
266,Borussia Dortmund,,Marwin Hitz,0,0,24,88.89,0,7.10,7.10
267,Club Brugge KV,,Matej Mitrović,0,0,31,93.94,0,7.10,7.10
268,Roma,,Juan Jesus,0,0,129,92.81,0,7.10,7.10
269,Borussia Dortmund,,Ömer Toprak,0,0,229,95.42,0,7.10,7.10
270,Manchester United,,Nemanja Matić,0,0,379,87.94,4,7.10,7.10
271,Real Madrid,,Casemiro,0,0,345,90.08,3,7.08,7.08
272,Atlético Madrid,,José María Giménez,0,0,115,83.33,0,7.08,7.08
273,AFC Ajax,,Matthijs de Ligt,0,0,525,84.68,1,7.07,7.07
274,Liverpool,,Joël Matip,0,1,365,83.14,4,7.06,7.06
275,FC Porto,,Felipe,0,0,455,79.27,0,7.06,7.06
276,CSKA Moscow,,Ilzat Akhmetov,0,1,151,82.97,4,7.05,7.05
277,Tottenham Hotspur,,Juan Foyth,0,0,81,90,2,7.05,7.05
278,Borussia Dortmund,,Marius Wolf,0,0,105,78.95,3,7.05,7.05
279,Paris Saint-Germain,,Marco Verratti,0,0,550,91.97,4,7.04,7.04
280,Barcelona,,Clément Lenglet,0,0,545,87.9,0,7.04,7.04
281,Real Madrid,,Nacho Fernández,0,0,258,93.48,2,7.04,7.04
282,Valencia,,Gabriel Paulista,0,0,228,89.41,0,7.04,7.04
283,TSG Hoffenheim,,Steven Zuber,0,0,31,77.5,1,7.03,7.03
284,Benfica,,Alfa Semedo,0,0,61,85.92,0,7.03,7.03
285,Olympique Lyonnais,,Kenny Tete,0,0,83,78.3,2,7.03,7.03
286,Borussia Dortmund,,Marcel Schmelzer,0,0,173,88.27,2,7.03,7.03
287,AEK Athens,,Vasilis Lampropoulos,0,0,69,80.23,2,7.03,7.03
288,Young Boys,,Djibril Sow,0,0,236,87.73,6,7.03,7.03
289,PSV Eindhoven,,Jeroen Zoet,0,0,104,58.76,0,7.03,7.03
290,Tottenham Hotspur,,Davinson Sánchez,0,0,453,89.35,3,7.03,7.03
291,Valencia,,Santi Mina,0,0,56,78.87,2,7.03,7.03
292,FK Crvena zvezda,,Milan Pavkov,0,0,14,40,0,7.03,7.03
293,Real Madrid,,Raphaël Varane,0,0,213,89.12,0,7.03,7.03
294,Atlético Madrid,,Santiago Arias,0,0,114,82.61,3,7.03,7.03
295,Valencia,,Neto,0,0,52,58.43,0,7.02,7.02
296,Club Brugge KV,,Marvelous Nakamba,0,0,121,84.03,1,7.02,7.02
297,Napoli,,Fabián Ruiz,0,0,299,85.19,6,7.02,7.02
298,FC Bayern München,,Manuel Neuer,0,0,225,76.01,1,7.01,7.01
299,Real Madrid,,Jesús Vallejo,0,0,49,96.08,0,7.00,7.00
300,Roma,,Javier Pastore,0,0,43,84.31,1,7.00,7.00
301,Benfica,,Cristian Lema,0,0,5,71.43,0,7.00,7.00
302,Valencia,,Jaume Doménech,0,0,16,76.19,0,7.00,7.00
303,AS Monaco,,Loïc Badiashile,0,0,18,62.07,0,7.00,7.00
304,Manchester City,,Danilo,0,0,142,95.3,1,7.00,7.00
305,Viktoria Plzeň,,Matúš Kozáčik,0,0,23,41.82,0,7.00,7.00
306,Real Madrid,,Keylor Navas,0,0,51,89.47,0,7.00,7.00
307,Valencia,,Mouctar Diakhaby,0,0,118,84.89,1,7.00,7.00
308,CSKA Moscow,,Jaka Bijol,0,0,103,78.63,1,7.00,7.00
309,Galatasaray,,Serdar Aziz,0,0,226,92.24,1,7.00,7.00
310,Manchester City,,John Stones,0,0,379,95.71,1,7.00,7.00
311,Manchester United,,Luke Shaw,0,0,340,84.79,7,7.00,7.00
312,Barcelona,,Marc-André ter Stegen,0,0,251,78.93,0,7.00,7.00
313,Juventus,,Mario Mandžukić,0,0,83,63.36,5,6.99,6.99
314,Valencia,,Geoffrey Kondogbia,0,0,225,85.23,5,6.98,6.98
315,AEK Athens,,Dmytro Chygrynskiy,0,0,196,89.91,0,6.98,6.98
316,Galatasaray,,Martin Linnes,0,0,145,80.11,1,6.98,6.98
317,Galatasaray,,Fernando,0,0,135,86.54,3,6.98,6.98
318,Juventus,,Wojciech Szczęsny,0,0,184,74.19,0,6.97,6.97
319,FC Porto,,Éder Militão,0,0,337,80.82,3,6.97,6.97
320,Paris Saint-Germain,,Dani Alves,0,0,133,85.26,4,6.97,6.97
321,Napoli,,Elseid Hysaj,0,0,111,90.98,0,6.97,6.97
322,Manchester United,,Antonio Valencia,0,0,141,86.5,1,6.97,6.97
323,FK Crvena zvezda,,Vujadin Savić,0,0,24,61.54,0,6.97,6.97
324,AFC Ajax,,Nicolás Tagliafico,0,0,318,80.51,2,6.96,6.96
325,Borussia Dortmund,,Roman Bürki,0,0,141,71.57,0,6.96,6.96
326,Inter,,Radja Nainggolan,0,0,85,79.44,6,6.95,6.95
327,Manchester United,,Ander Herrera,0,0,98,95.15,2,6.95,6.95
328,Napoli,,David Ospina,0,0,129,69.35,0,6.95,6.95
329,Manchester United,,Chris Smalling,0,0,238,84.7,0,6.95,6.95
330,AFC Ajax,,André Onana,0,0,193,56.93,0,6.94,6.94
331,AFC Ajax,,Joël Veltman,0,0,130,77.84,1,6.94,6.94
332,Manchester City,,Fernandinho,0,0,428,87.35,5,6.94,6.94
333,PSV Eindhoven,,Hirving Lozano,0,1,77,71.3,16,6.93,6.93
334,Viktoria Plzeň,,Tomáš Chorý,0,0,53,68.83,2,6.93,6.93
335,FC Schalke 04,,Salif Sané,0,0,219,82.95,4,6.93,6.93
336,Juventus,,Douglas Costa,0,0,63,91.3,2,6.93,6.93
337,CSKA Moscow,,Igor Akinfeev,0,0,64,41.03,0,6.92,6.92
338,Young Boys,,Sandro Lauper,0,0,154,86.52,0,6.92,6.92
339,FC Bayern München,,Leon Goretzka,0,0,159,88.33,1,6.92,6.92
340,Juventus,,Rodrigo Bentancur,0,0,288,84.71,8,6.91,6.91
341,Roma,,Alessandro Florenzi,0,1,200,75.47,10,6.91,6.91
342,Olympique Lyonnais,,Marcelo,0,0,366,87.98,0,6.91,6.91
343,FC Porto,,Danilo Pereira,0,0,432,87.27,5,6.91,6.91
344,Club Brugge KV,,Arnaut Danjuma,0,0,40,75.47,2,6.90,6.90
345,TSG Hoffenheim,,Håvard Nordtveit,0,0,63,86.3,0,6.90,6.90
346,FC Schalke 04,,Alessandro Schöpf,0,0,107,83.59,4,6.90,6.90
347,Liverpool,,Naby Keïta,0,0,117,81.25,4,6.90,6.90
348,Roma,,Konstantinos Manolas,0,0,259,86.91,1,6.90,6.90
349,Inter,,Kwadwo Asamoah,0,1,221,85.33,5,6.90,6.90
