#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Barcelona,,Lionel Messi,9,3,501,84.49,28,8.90,8.90
2,AFC Ajax,,Hakim Ziyech,8,3,360,75.63,25,7.48,7.48
3,Tottenham Hotspur,,Christian Eriksen,8,4,489,80.56,29,7.43,7.43
4,Paris Saint-Germain,,Kylian Mbappé,7,5,184,80.7,16,7.40,7.40
5,Liverpool,,Trent Alexander-Arnold,7,3,353,65.49,22,7.32,7.32
6,AFC Ajax,,Dušan Tadić,6,4,333,75.34,37,7.63,7.63
7,Manchester City,,Leroy Sané,6,4,151,85.8,13,7.50,7.50
8,Roma,,Lorenzo Pellegrini,6,3,125,79.11,19,7.42,7.42
9,Paris Saint-Germain,,Ángel Di María,6,3,304,85.63,21,7.41,7.41
10,Real Madrid,,Toni Kroos,5,2,613,94.02,29,7.74,7.74
11,Barcelona,,Jordi Alba,5,5,779,87.53,23,7.36,7.36
12,Liverpool,,Mohamed Salah,5,2,232,71.17,14,7.21,7.21
13,Juventus,,Federico Bernardeschi,5,1,151,82.51,11,7.03,7.03
14,Paris Saint-Germain,,Neymar,4,2,262,82.91,21,8.18,8.18
15,Atlético Madrid,,Antoine Griezmann,4,2,242,75.39,13,7.55,7.55
16,Juventus,,Cristiano Ronaldo,4,2,225,84.59,17,7.54,7.54
17,Manchester City,,Raheem Sterling,4,2,303,83.47,26,7.39,7.39
18,Barcelona,,Luis Suárez,4,3,271,80.42,22,7.28,7.28
19,Inter,,Ivan Perišić,4,0,103,66.45,11,7.13,7.13
20,Liverpool,,Jordan Henderson,4,1,395,84.58,17,7.10,7.10
21,Galatasaray,,Garry Rodrigues,4,1,114,83.21,10,7.08,7.08
22,Liverpool,,Andrew Robertson,4,2,507,79.1,10,6.90,6.90
23,Roma,,Edin Džeko,3,3,90,66.18,7,7.90,7.90
24,Borussia Dortmund,,Marco Reus,3,1,194,80.17,10,7.58,7.58
25,Valencia,,Carlos Soler,3,2,149,81.42,6,7.55,7.55
26,Manchester City,,Kevin De Bruyne,3,4,114,82.01,10,7.55,7.55
27,FC Bayern München,,Joshua Kimmich,3,2,431,90.17,16,7.46,7.46
28,Real Madrid,,Karim Benzema,3,2,221,86.67,9,7.45,7.45
29,Manchester City,,David Silva,3,2,409,84.16,19,7.36,7.36
30,FC Porto,,Moussa Marega,3,2,97,69.78,7,7.27,7.27
31,Manchester United,,Paul Pogba,3,1,397,85.19,18,7.24,7.24
32,Olympique Lyonnais,,Memphis Depay,3,4,197,82.43,26,7.21,7.21
33,Olympique Lyonnais,,Houssem Aouar,3,3,276,88.18,10,7.20,7.20
34,Napoli,,José Callejón,3,2,221,86.33,17,7.17,7.17
35,Tottenham Hotspur,,Kieran Trippier,3,2,288,75.99,25,7.06,7.06
36,AFC Ajax,,Donny van de Beek,3,2,254,77.44,17,7.03,7.03
37,Real Madrid,,Luka Modrić,3,1,319,88.61,9,7.00,7.00
38,Shakhtar Donetsk,,Ismaily,3,3,236,83.39,5,6.98,6.98
39,Juventus,,Juan Cuadrado,3,2,179,90.4,13,6.94,6.94
40,TSG Hoffenheim,,Nico Schulz,3,1,159,82.38,8,6.90,6.90
41,Borussia Dortmund,,Paco Alcácer,3,1,68,71.58,6,6.86,6.86
42,Tottenham Hotspur,,Dele Alli,3,3,248,81.05,13,6.84,6.84
43,AFC Ajax,,David Neres,3,2,267,86.41,13,6.82,6.82
44,FC Bayern München,,Serge Gnabry,3,1,114,76.51,7,6.80,6.80
45,Tottenham Hotspur,,Moussa Sissoko,3,1,300,87.21,11,6.71,6.71
46,Borussia Dortmund,,Raphaël Guerreiro,2,0,220,90.91,8,7.70,7.70
47,Borussia Dortmund,,Maximilian Philipp,2,1,28,73.68,3,7.45,7.45
48,Real Madrid,,Gareth Bale,2,2,164,80.79,9,7.40,7.40
49,Manchester City,,Riyad Mahrez,2,4,173,85.64,13,7.40,7.40
50,Tottenham Hotspur,,Harry Kane,2,1,135,78.03,10,7.34,7.34
51,Juventus,,Miralem Pjanić,2,1,562,87.81,22,7.32,7.32
52,Atlético Madrid,,Koke,2,1,420,88.24,12,7.30,7.30
53,Real Madrid,,Marco Asensio,2,0,159,87.85,11,7.30,7.30
54,FC Porto,,Alex Telles,2,3,255,73.91,22,7.30,7.30
55,Roma,,Cengiz Ünder,2,1,115,71.43,8,7.25,7.25
56,Real Madrid,,Isco,2,0,206,87.29,8,7.25,7.25
57,Olympique Lyonnais,,Tanguy Ndombélé,2,0,336,88.19,6,7.14,7.14
58,Liverpool,,Sadio Mané,2,1,247,75.77,16,7.12,7.12
59,Real Madrid,,Lucas Vázquez,2,1,170,85.43,9,7.10,7.10
60,AS Monaco,,Youri Tielemans,2,0,284,83.53,6,7.07,7.07
61,Galatasaray,,Sofiane Feghouli,2,0,65,77.38,7,7.03,7.03
62,Galatasaray,,Eren Derdiyok,2,0,45,60,4,7.03,7.03
63,FK Crvena zvezda,,Marko Marin,2,3,116,77.85,9,7.02,7.02
64,Inter,,Matías Vecino,2,1,169,77.52,5,7.02,7.02
65,TSG Hoffenheim,,Ishak Belfodil,2,1,71,77.17,7,6.98,6.98
66,FC Porto,,Otávio,2,1,164,69.2,9,6.98,6.98
67,Liverpool,,Daniel Sturridge,2,1,35,77.78,4,6.96,6.96
68,Viktoria Plzeň,,Patrik Hrošovský,2,1,256,91.76,6,6.95,6.95
69,Liverpool,,Xherdan Shaqiri,2,2,63,72.41,4,6.93,6.93
70,Lokomotiv Moscow,,Aleksei Miranchuk,2,2,203,76.03,19,6.90,6.90
71,CSKA Moscow,,Fedor Chalov,2,0,94,70.68,5,6.88,6.88
72,TSG Hoffenheim,,Pavel Kadeřábek,2,0,166,80.19,10,6.87,6.87
73,Borussia Dortmund,,Achraf Hakimi,2,3,298,84.9,6,6.86,6.86
74,Olympique Lyonnais,,Ferland Mendy,2,1,290,83.57,10,6.84,6.84
75,Inter,,Matteo Politano,2,1,110,70.97,12,6.83,6.83
76,TSG Hoffenheim,,Kerem Demirbay,2,2,154,79.38,8,6.82,6.82
77,Roma,,Nicolò Zaniolo,2,0,84,76.36,3,6.81,6.81
78,FC Bayern München,,Arjen Robben,2,1,100,77.52,7,6.80,6.80
79,FC Bayern München,,Franck Ribéry,2,0,166,80.58,3,6.80,6.80
80,FC Bayern München,,Thomas Müller,2,1,106,68.39,6,6.80,6.80
81,Napoli,,Mário Rui,2,0,299,81.03,8,6.80,6.80
82,FC Porto,,Óliver Torres,2,1,178,79.82,6,6.72,6.72
83,AFC Ajax,,Klaas-Jan Huntelaar,2,2,12,75,3,6.70,6.70
84,FC Porto,,Yacine Brahimi,2,2,200,81.3,8,6.69,6.69
85,Shakhtar Donetsk,,Maycon,2,0,224,87.84,2,6.68,6.68
86,FC Schalke 04,,Mark Uth,2,0,82,77.36,5,6.66,6.66
87,PSV Eindhoven,,Steven Bergwijn,2,1,79,82.29,7,6.64,6.64
88,Young Boys,,Kevin Mbabu,2,0,96,71.64,13,6.64,6.64
89,AEK Athens,,Petros Mantalos,2,0,152,77.55,8,6.57,6.57
90,Viktoria Plzeň,,Radim Řezník,2,0,113,69.33,2,6.20,6.20
