#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Juventus,,Arturo Vidal,52,19,16,0,7.29,7.29
2,Chelsea,,Nemanja Matić,46,14,12,0,7.58,7.58
3,FC Porto,,Casemiro,45,30,21,0,7.81,7.81
4,AS Monaco,,Jérémy Toulalan,40,23,15,0,7.11,7.11
5,FC Porto,,Alex Sandro,37,39,29,0,7.48,7.48
6,Barcelona,,Javier Mascherano,35,26,21,0,7.24,7.24
7,Real Madrid,,Isco,33,13,8,0,7.47,7.47
8,Barcelona,,Dani Alves,33,18,22,0,7.42,7.42
9,Barcelona,,Sergio Busquets,33,25,8,0,7.10,7.10
10,Paris Saint-Germain,,Marco Verratti,32,14,1,0,7.37,7.37
11,AS Monaco,,Geoffrey Kondogbia,32,13,6,0,7.25,7.25
12,FC Bayern München,,Juan Bernat,32,13,14,0,6.97,6.97
13,Real Madrid,,Toni Kroos,31,14,5,0,7.49,7.49
14,Bayer 04 Leverkusen,,Lars Bender,31,18,16,0,7.37,7.37
15,Paris Saint-Germain,,Gregory van der Wiel,31,18,27,0,7.06,7.06
16,FC Schalke 04,,Marco Höger,31,8,9,0,6.83,6.83
17,Galatasaray,,Felipe Melo,29,18,18,0,7.33,7.33
18,AS Monaco,,Fabinho,29,25,22,0,7.18,7.18
19,FC Bayern München,,Xabi Alonso,27,23,9,2,7.30,7.30
20,Athletic Club,,Mikel Balenziaga,27,19,15,0,7.22,7.22
21,Manchester City,,Fernandinho,27,14,11,0,7.00,7.00
22,Atlético Madrid,,Koke,26,14,6,0,7.79,7.79
23,Real Madrid,,Sergio Ramos,25,28,27,0,7.33,7.33
24,AS Monaco,,Layvin Kurzawa,25,35,18,1,7.18,7.18
25,Bayer 04 Leverkusen,,Wendell,25,10,9,0,6.94,6.94
26,Chelsea,,Cesc Fàbregas,24,10,5,0,7.81,7.81
27,Real Madrid,,Marcelo,24,17,7,0,7.54,7.54
28,Barcelona,,Jordi Alba,24,22,24,0,7.16,7.16
29,Arsenal,,Kieran Gibbs,24,25,12,0,7.05,7.05
30,APOEL Nicosia,,Mario Sergio,24,4,20,0,6.72,6.72
31,Chelsea,,Filipe Luís,23,10,8,0,7.52,7.52
32,Real Madrid,,Raphaël Varane,23,29,81,0,7.39,7.39
33,Zenit St. Petersburg,,Domenico Criscito,23,11,21,0,7.35,7.35
34,FC Bayern München,,Rafinha,23,16,14,0,7.11,7.11
35,Paris Saint-Germain,,Blaise Matuidi,23,26,7,0,7.04,7.04
36,Juventus,,Stephan Lichtsteiner,23,13,17,0,6.84,6.84
37,Basel,,Derlis González,23,5,7,0,6.84,6.84
38,Barcelona,,Gerard Piqué,22,17,60,0,7.24,7.24
39,Real Madrid,,Álvaro Arbeloa,22,10,11,0,7.13,7.13
40,Borussia Dortmund,,Marcel Schmelzer,22,15,21,0,7.08,7.08
41,Sporting,,Adrien Silva,22,10,4,0,6.93,6.93
42,APOEL Nicosia,,Vinicius,22,6,11,0,6.80,6.80
43,Bayer 04 Leverkusen,,Emir Spahić,21,31,64,0,7.31,7.31
44,Juventus,,Claudio Marchisio,21,31,17,0,7.17,7.17
45,Olympiacos FC,,Arthur Masuaku,21,10,4,0,7.08,7.08
46,CSKA Moscow,,Mário Fernandes,21,28,19,0,7.03,7.03
47,Liverpool,,Javier Manquillo,21,12,13,0,7.00,7.00
48,Paris Saint-Germain,,Thiago Motta,20,10,12,0,7.58,7.58
49,Barcelona,,Andrés Iniesta,20,8,3,0,7.29,7.29
50,Atlético Madrid,,Juanfran,20,9,15,0,7.26,7.26
51,Benfica,,André Almeida,20,14,28,0,7.22,7.22
52,Atlético Madrid,,Miranda,20,12,48,0,7.18,7.18
