#,Clube,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
522,FC København,Davit Khocholava,0.0,0.09,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
523,Sevilla,Nemanja Gudelj,0.0,0.07,0.0,0.0,2.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
524,Shakhtar Donetsk,Oleg Ocheretko,0.0,0.06,0.0,1.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
525,Milan,Fikayo Tomori,0.0,0.06,0.0,0.0,2.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
526,Barcelona,Ronald Araújo,0.0,0.05,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
527,GNK Dinamo Zagreb,Mahir Emreli,0.0,0.02,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
528,Liverpool,Calvin Ramsay,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
529,Sporting,Jovane Cabral,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
530,Borussia Dortmund,Soumaila Coulibaly,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
531,Club Brugge KV,Mats Rits,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
532,Celtic,Stephen Welsh,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
533,Club Brugge KV,Lynnt Audoor,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
534,Bayer 04 Leverkusen,Sardar Azmoun,0.0,0.0,0.0,1.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
535,FC København,Nicolai Boilesen,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
536,Paris Saint-Germain,Warren Zaïre-Emery,0.0,0.0,0.0,2.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
537,Tottenham Hotspur,Yves Bissouma,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
538,Paris Saint-Germain,Presnel Kimpembe,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
539,Eintracht Frankfurt,Hrvoje Smolčić,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
540,Viktoria Plzeň,Jhon Mosquera,0.0,0.36,1.0,4.0,9.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
541,FC Porto,Toni Martínez,0.0,0.39,1.0,1.0,4.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
542,Rangers,Steven Davis,0.0,0.07,0.0,0.0,0.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
543,GNK Dinamo Zagreb,Martin Baturina,0.0,0.0,0.0,0.0,0.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
544,Benfica,Gilberto,0.0,0.0,0.0,3.0,0.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
545,Liverpool,Joe Gomez,0.0,0.12,0.0,0.0,1.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
546,Sevilla,Marcos Acuña,0.0,0.09,0.0,1.0,2.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
547,Borussia Dortmund,Marius Wolf,0.0,0.35,0.0,2.0,5.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
548,Sevilla,Kasper Dolberg,0.0,0.15,0.0,3.0,1.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
549,Rangers,Connor Goldson,0.0,0.01,0.0,0.0,1.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
550,Viktoria Plzeň,Erik Jirka,0.0,0.27,0.0,0.0,4.0,0.0,6.57,6.57,Ataque,,,,,,,,,,,,,,
551,FC København,Mohamed Daramy,0.0,0.1,0.0,12.0,2.0,0.0,6.57,6.57,Ataque,,,,,,,,,,,,,,
552,Sporting,Sotiris Alexandropoulos,0.0,0.08,0.0,0.0,3.0,0.0,6.57,6.57,Ataque,,,,,,,,,,,,,,
553,Napoli,Juan Jesus,0.0,0.0,0.0,0.0,0.0,0.0,6.57,6.57,Ataque,,,,,,,,,,,,,,
554,Sevilla,Erik Lamela,0.0,0.48,1.0,2.0,3.0,0.0,6.56,6.56,Ataque,,,,,,,,,,,,,,
555,Borussia Dortmund,Anthony Modeste,0.0,0.58,1.0,0.0,4.0,0.0,6.56,6.56,Ataque,,,,,,,,,,,,,,
556,Paris Saint-Germain,Achraf Hakimi,0.0,0.51,1.0,5.0,4.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
557,Rangers,Ryan Jack,0.0,0.0,0.0,1.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
558,Tottenham Hotspur,Dejan Kulusevski,0.0,0.22,0.0,2.0,3.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
559,Liverpool,Curtis Jones,0.0,0.16,1.0,0.0,3.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
560,Viktoria Plzeň,Modou N'Diaye,0.0,0.11,0.0,3.0,3.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
561,FC København,Mathew Ryan,0.0,0.0,0.0,0.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
562,RB Leipzig,Lukas Klostermann,0.0,0.0,0.0,0.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
563,Sporting,José Marsà,0.0,0.0,0.0,0.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
564,Celtic,Oliver Abildgaard,0.0,0.0,0.0,0.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
565,Napoli,Gianluca Gaetano,0.0,0.0,0.0,1.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
566,Club Brugge KV,Éder Balanta,0.0,0.0,0.0,1.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
567,Chelsea,Christian Pulišić,0.0,0.19,0.0,1.0,1.0,0.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
568,Atlético Madrid,Álvaro Morata,0.0,0.99,2.0,0.0,4.0,0.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
569,Maccabi Haifa,Dylan Batubinsika,0.0,0.33,0.0,0.0,2.0,0.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
570,Barcelona,Marc-André ter Stegen,0.0,0.0,0.0,0.0,0.0,0.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
571,Celtic,Kyogo Furuhashi,0.0,1.71,3.0,1.0,11.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
572,Atlético Madrid,Ángel Correa,0.0,0.81,1.0,4.0,9.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
573,Viktoria Plzeň,Václav Jemelka,0.0,0.0,0.0,1.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
574,AFC Ajax,Youri Baas,0.0,0.07,0.0,0.0,1.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
575,Atlético Madrid,Marcos Llorente,0.0,0.0,0.0,1.0,1.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
576,Olympique de Marseille,Gerson,0.0,0.0,0.0,0.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
577,Tottenham Hotspur,Lucas Moura,0.0,0.0,0.0,2.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
578,Celtic,James Forrest,0.0,0.0,0.0,1.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
579,Bayer 04 Leverkusen,Amine Adli,0.0,0.67,0.0,1.0,3.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
580,Eintracht Frankfurt,Rafael Borré,0.0,0.46,0.0,1.0,6.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
581,Eintracht Frankfurt,Christopher Lenz,0.0,0.28,1.0,0.0,2.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
582,Milan,Fodé Ballo-Touré,0.0,0.0,0.0,1.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
583,Sporting,Hidemasa Morita,0.0,0.05,0.0,0.0,2.0,0.0,6.52,6.52,Ataque,,,,,,,,,,,,,,
584,FC Porto,David Carmo,0.0,0.16,0.0,0.0,2.0,0.0,6.52,6.52,Ataque,,,,,,,,,,,,,,
585,RB Leipzig,Yussuf Poulsen,0.0,0.0,0.0,0.0,0.0,0.0,6.52,6.52,Ataque,,,,,,,,,,,,,,
586,Sporting,Antonio Adán,0.0,0.0,0.0,0.0,0.0,0.0,6.52,6.52,Ataque,,,,,,,,,,,,,,
587,Celtic,Daizen Maeda,0.0,1.44,3.0,2.0,6.0,0.0,6.52,6.52,Ataque,,,,,,,,,,,,,,
588,GNK Dinamo Zagreb,Luka Ivanušec,0.0,0.92,1.0,8.0,8.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
589,Red Bull Salzburg,Andreas Ulmer,0.0,0.18,0.0,0.0,2.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
590,Viktoria Plzeň,Fortune Akpan Bassey,0.0,0.16,0.0,0.0,4.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
591,Celtic,Aaron Mooy,0.0,0.08,0.0,0.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
592,Shakhtar Donetsk,Ivan Petriak,0.0,0.08,0.0,0.0,3.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
593,Eintracht Frankfurt,Kristijan Jakić,0.0,0.07,0.0,2.0,2.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
594,Benfica,Julian Draxler,0.0,0.07,0.0,1.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
595,FC Bayern München,Paul Wanner,0.0,0.06,0.0,1.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
596,AFC Ajax,Lucas Ocampos,0.0,0.05,0.0,0.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
597,Red Bull Salzburg,Sekou Koita,0.0,0.04,0.0,0.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
598,Chelsea,Edouard Mendy,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
599,Real Madrid,Mariano Díaz,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
600,Tottenham Hotspur,Arnaut Danjuma,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
601,Borussia Dortmund,Julian Ryerson,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
602,Paris Saint-Germain,El Chadaille Bitshiabu,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
603,Maccabi Haifa,Suf Podgoreanu,0.0,0.0,0.0,1.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
604,Rangers,Jon McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
605,Red Bull Salzburg,Roko Šimić,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
606,Shakhtar Donetsk,Serhiy Kryvtsov,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
607,Eintracht Frankfurt,Philipp Max,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
608,Borussia Dortmund,Antonios Papadopoulos,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
609,FC Porto,Bernardo Folha,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
610,Bayer 04 Leverkusen,Timothy Fosu-Mensah,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
611,Borussia Dortmund,Tom Rothe,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
612,Shakhtar Donetsk,Neven Đurasek,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
613,AFC Ajax,Jurriën Timber,0.0,0.38,1.0,3.0,2.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
614,Celtic,Liel Abada,0.0,0.34,0.0,1.0,5.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
615,Shakhtar Donetsk,Yukhym Konoplia,0.0,0.04,0.0,1.0,1.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
616,FC København,Christian Sørensen,0.0,0.03,0.0,0.0,1.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
617,AFC Ajax,Jorge Sánchez,0.0,0.16,0.0,3.0,2.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
618,Olympique de Marseille,Issa Kaboré,0.0,0.03,0.0,0.0,1.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
619,Sevilla,Jesús Navas,0.0,0.0,0.0,1.0,0.0,0.0,6.47,6.47,Ataque,,,,,,,,,,,,,,
620,Inter,Raoul Bellanova,0.0,0.0,0.0,1.0,0.0,0.0,6.47,6.47,Ataque,,,,,,,,,,,,,,
621,Rangers,Borna Barišić,0.0,0.0,0.0,0.0,0.0,0.0,6.47,6.47,Ataque,,,,,,,,,,,,,,
622,AFC Ajax,Remko Pasveer,0.0,0.0,0.0,0.0,0.0,0.0,6.47,6.47,Ataque,,,,,,,,,,,,,,
623,Inter,Danilo D'Ambrosio,0.0,0.19,0.0,1.0,2.0,0.0,6.46,6.46,Ataque,,,,,,,,,,,,,,
624,Celtic,David Turnbull,0.0,0.13,0.0,0.0,3.0,0.0,6.46,6.46,Ataque,,,,,,,,,,,,,,
625,Borussia Dortmund,Donyell Malen,0.0,0.92,2.0,4.0,8.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
626,Bayer 04 Leverkusen,Paulinho,0.0,0.31,1.0,3.0,2.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
627,Milan,Sergiño Dest,0.0,0.29,0.0,0.0,2.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
628,FC Porto,Gonçalo Borges,0.0,0.05,0.0,2.0,1.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
629,Tottenham Hotspur,Davinson Sánchez,0.0,0.0,0.0,0.0,0.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
630,Maccabi Haifa,Raz Meir,0.0,0.0,0.0,0.0,0.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
631,FC København,Elias Jelert,0.0,0.0,0.0,2.0,0.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
632,Eintracht Frankfurt,Tuta,0.0,0.11,0.0,2.0,2.0,0.0,6.44,6.44,Ataque,,,,,,,,,,,,,,
633,Milan,Ante Rebić,0.0,0.79,2.0,3.0,6.0,0.0,6.44,6.44,Ataque,,,,,,,,,,,,,,
634,FC Porto,João Mário,0.0,0.3,1.0,3.0,3.0,0.0,6.44,6.44,Ataque,,,,,,,,,,,,,,
635,GNK Dinamo Zagreb,Josip Drmić,0.0,0.11,1.0,0.0,1.0,0.0,6.44,6.44,Ataque,,,,,,,,,,,,,,
636,Viktoria Plzeň,Jindřich Staněk,0.0,0.0,0.0,0.0,0.0,0.0,6.44,6.44,Ataque,,,,,,,,,,,,,,
637,FC Porto,Gabriel Veron,0.0,0.0,0.0,0.0,0.0,0.0,6.43,6.43,Ataque,,,,,,,,,,,,,,
638,Viktoria Plzeň,Mohamed Tijani,0.0,0.0,0.0,0.0,0.0,0.0,6.43,6.43,Ataque,,,,,,,,,,,,,,
639,Shakhtar Donetsk,Danylo Sikan,0.0,0.19,1.0,0.0,2.0,0.0,6.43,6.43,Ataque,,,,,,,,,,,,,,
640,Paris Saint-Germain,Hugo Ekitiké,0.0,0.18,1.0,0.0,2.0,0.0,6.43,6.43,Ataque,,,,,,,,,,,,,,
641,Eintracht Frankfurt,Luca Pellegrini,0.0,0.09,0.0,3.0,3.0,0.0,6.43,6.43,Ataque,,,,,,,,,,,,,,
642,Rangers,Malik Tillman,0.0,0.15,0.0,5.0,2.0,0.0,6.42,6.42,Ataque,,,,,,,,,,,,,,
643,Maccabi Haifa,Ali Mohamed,0.0,0.0,0.0,2.0,0.0,0.0,6.42,6.42,Ataque,,,,,,,,,,,,,,
644,Viktoria Plzeň,Milan Havel,0.0,0.05,0.0,2.0,1.0,0.0,6.42,6.42,Ataque,,,,,,,,,,,,,,
645,Sporting,Pedro Gonçalves,0.0,0.33,1.0,2.0,3.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
646,Rangers,Alfredo Morelos,0.0,1.58,3.0,0.0,6.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
647,Olympique de Marseille,Sead Kolašinac,0.0,0.35,1.0,1.0,1.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
648,Viktoria Plzeň,Václav Pilař,0.0,0.28,0.0,2.0,5.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
649,FC Bayern München,Daley Blind,0.0,0.22,0.0,1.0,3.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
650,Chelsea,Armando Broja,0.0,0.1,0.0,1.0,1.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
651,Shakhtar Donetsk,Andrii Totovytskyi,0.0,0.1,0.0,0.0,1.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
652,Liverpool,Arthur,0.0,0.07,0.0,0.0,1.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
653,Rangers,Rabbi Matondo,0.0,0.07,1.0,1.0,1.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
654,Rangers,Rıdvan Yılmaz,0.0,0.01,0.0,1.0,1.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
655,Barcelona,Memphis Depay,0.0,0.0,0.0,1.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
656,Club Brugge KV,Cyle Larin,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
657,GNK Dinamo Zagreb,Antonio Marin,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
658,Shakhtar Donetsk,Dmytro Kryskiv,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
659,FC København,Orri Steinn Óskarsson,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
660,Eintracht Frankfurt,Lucas Alario,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
661,Benfica,Rodrigo Pinho,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
662,Maccabi Haifa,Josh Cohen,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
663,Barcelona,Ansu Fati,0.0,0.87,2.0,2.0,13.0,0.0,6.38,6.38,Ataque,,,,,,,,,,,,,,
664,Viktoria Plzeň,Lukáš Hejda,0.0,0.15,0.0,0.0,2.0,0.0,6.38,6.38,Ataque,,,,,,,,,,,,,,
665,AFC Ajax,Florian Grillitsch,0.0,0.0,0.0,0.0,0.0,0.0,6.38,6.38,Ataque,,,,,,,,,,,,,,
666,Sevilla,Bono,0.0,0.0,0.0,0.0,0.0,0.0,6.38,6.38,Ataque,,,,,,,,,,,,,,
667,Sporting,Flávio Nazinho,0.0,0.51,2.0,0.0,2.0,0.0,6.37,6.37,Ataque,,,,,,,,,,,,,,
668,Maccabi Haifa,Sean Goldberg,0.0,0.14,0.0,1.0,1.0,0.0,6.37,6.37,Ataque,,,,,,,,,,,,,,
669,FC København,Marko Stamenić,0.0,0.06,0.0,3.0,2.0,0.0,6.37,6.37,Ataque,,,,,,,,,,,,,,
670,Eintracht Frankfurt,Junior Dina Ebimbe,0.0,0.14,0.0,1.0,2.0,0.0,6.36,6.36,Ataque,,,,,,,,,,,,,,
671,Viktoria Plzeň,Pavel Bucha,0.0,0.1,0.0,4.0,3.0,0.0,6.36,6.36,Ataque,,,,,,,,,,,,,,
672,Eintracht Frankfurt,Aurélio Buta,0.0,0.0,0.0,0.0,0.0,0.0,6.35,6.35,Ataque,,,,,,,,,,,,,,
673,Juventus,Wojciech Szczęsny,0.0,0.0,0.0,0.0,0.0,0.0,6.35,6.35,Ataque,,,,,,,,,,,,,,
674,Viktoria Plzeň,Libor Holík,0.0,0.18,0.0,0.0,3.0,0.0,6.33,6.33,Ataque,,,,,,,,,,,,,,
675,Club Brugge KV,Roman Yaremchuk,0.0,0.5,1.0,2.0,3.0,0.0,6.33,6.33,Ataque,,,,,,,,,,,,,,
676,Rangers,Antonio Čolak,0.0,0.23,2.0,0.0,4.0,0.0,6.33,6.33,Ataque,,,,,,,,,,,,,,
677,RB Leipzig,Konrad Laimer,0.0,0.2,0.0,0.0,2.0,0.0,6.33,6.33,Ataque,,,,,,,,,,,,,,
678,Rangers,Scott Wright,0.0,0.0,0.0,1.0,0.0,0.0,6.33,6.33,Ataque,,,,,,,,,,,,,,
679,Olympique de Marseille,Nuno Tavares,0.0,0.35,0.0,15.0,12.0,0.0,6.32,6.32,Ataque,,,,,,,,,,,,,,
680,Barcelona,Alejandro Balde,0.0,0.01,0.0,5.0,1.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
681,Celtic,Alexandro Bernabei,0.0,0.0,0.0,1.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
682,Atlético Madrid,Ivo Grbić,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
683,Rangers,Alex Lowry,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
684,Borussia Dortmund,Jamie Gittens,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
685,Juventus,Federico Gatti,0.0,0.0,0.0,2.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
686,Maccabi Haifa,Arad Ofri,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
687,Milan,Charles De Ketelaere,0.0,0.54,1.0,1.0,4.0,0.0,6.28,6.28,Ataque,,,,,,,,,,,,,,
688,Rangers,Ryan Kent,0.0,0.29,0.0,12.0,7.0,0.0,6.28,6.28,Ataque,,,,,,,,,,,,,,
689,RB Leipzig,Benjamin Henrichs,0.0,0.27,1.0,1.0,2.0,0.0,6.28,6.28,Ataque,,,,,,,,,,,,,,
690,Juventus,Fabio Miretti,0.0,0.35,1.0,2.0,4.0,0.0,6.26,6.26,Ataque,,,,,,,,,,,,,,
691,Shakhtar Donetsk,Lucas Taylor,0.0,0.0,0.0,5.0,0.0,0.0,6.26,6.26,Ataque,,,,,,,,,,,,,,
692,FC København,Roony Bardghji,0.0,0.32,1.0,2.0,3.0,0.0,6.25,6.25,Ataque,,,,,,,,,,,,,,
693,Club Brugge KV,Tajon Buchanan,0.0,0.36,1.0,9.0,8.0,0.0,6.23,6.23,Ataque,,,,,,,,,,,,,,
694,Maccabi Haifa,Mavis Tchibota,0.0,0.12,0.0,1.0,4.0,0.0,6.23,6.23,Ataque,,,,,,,,,,,,,,
695,Rangers,Ben Davies,0.0,0.09,0.0,0.0,2.0,0.0,6.23,6.23,Ataque,,,,,,,,,,,,,,
696,Celtic,Joe Hart,0.0,0.0,0.0,0.0,0.0,0.0,6.23,6.23,Ataque,,,,,,,,,,,,,,
697,Maccabi Haifa,Sun Menahem,0.0,0.0,0.0,0.0,0.0,0.0,6.23,6.23,Ataque,,,,,,,,,,,,,,
698,Viktoria Plzeň,Luděk Pernica,0.0,0.3,1.0,0.0,1.0,0.0,6.22,6.22,Ataque,,,,,,,,,,,,,,
699,Rangers,James Sands,0.0,0.05,0.0,0.0,1.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
700,Inter,Valentín Carboni,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
701,Club Brugge KV,Cisse Sandra,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
702,FC København,Mamoudou Karamoko,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
703,FC København,Peter Ankersen,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
704,Club Brugge KV,Clinton Mata,0.0,0.0,0.0,2.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
705,Sporting,Franco Israel,0.0,0.0,0.0,0.0,0.0,0.0,6.15,6.15,Ataque,,,,,,,,,,,,,,
706,Rangers,John Lundstram,0.0,0.15,0.0,2.0,1.0,0.0,6.14,6.14,Ataque,,,,,,,,,,,,,,
707,Rangers,Leon King,0.0,0.07,0.0,1.0,1.0,0.0,6.1,6.1,Ataque,,,,,,,,,,,,,,
708,Atlético Madrid,Pablo Barrios,0.0,0.0,0.0,1.0,0.0,0.0,6.1,6.1,Ataque,,,,,,,,,,,,,,
709,Club Brugge KV,Jack Hendry,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,Ataque,,,,,,,,,,,,,,
710,Viktoria Plzeň,Jan Kopic,0.0,0.1,0.0,0.0,2.0,0.0,6.0,6.0,Ataque,,,,,,,,,,,,,,
711,Sevilla,Karim Rekik,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,Ataque,,,,,,,,,,,,,,
712,Rangers,Glen Kamara,0.0,0.0,0.0,1.0,0.0,0.0,5.9,5.9,Ataque,,,,,,,,,,,,,,
713,RB Leipzig,Péter Gulácsi,0.0,0.0,0.0,0.0,0.0,0.0,5.77,5.77,Ataque,,,,,,,,,,,,,,
714,Sporting,Ricardo Esgaio,0.0,0.0,0.0,0.0,0.0,0.0,4.65,4.65,Ataque,,,,,,,,,,,,,,
715,Viktoria Plzeň,Adam Kronus,0.0,0.12,0.0,0.0,2.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
716,Benfica,Andreas Schjelderup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
717,Juventus,Enzo Barrenechea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
