#,Clube,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
1,Paris Saint-Germain,Kylian Mbappé,8.0,8.16,10.0,36.0,51.0,15.69,7.69,7.69,Ataque,,,,,,,,,,,,,,
2,FC Bayern München,Harry Kane,8.0,5.9,3.0,4.0,36.0,22.22,7.62,7.62,Ataque,,,,,,,,,,,,,,
3,Atlético Madrid,Antoine Griezmann,6.0,4.24,3.0,5.0,22.0,27.27,7.84,7.84,Ataque,,,,,,,,,,,,,,
4,Real Madrid,Vinícius Júnior,6.0,4.49,4.0,37.0,30.0,20.0,7.66,7.66,Ataque,,,,,,,,,,,,,,
5,Manchester City,Erling Haaland,6.0,6.99,12.0,3.0,43.0,13.95,7.21,7.21,Ataque,,,,,,,,,,,,,,
6,Manchester City,Julián Álvarez,5.0,1.74,1.0,6.0,15.0,33.33,8.07,8.07,Ataque,,,,,,,,,,,,,,
7,Manchester City,Phil Foden,5.0,3.26,2.0,11.0,33.0,15.15,8.04,8.04,Ataque,,,,,,,,,,,,,,
8,FC Porto,Wenderson Galeno,5.0,2.87,2.0,9.0,16.0,31.25,7.59,7.59,Ataque,,,,,,,,,,,,,,
9,Real Madrid,Joselu,5.0,5.44,3.0,0.0,30.0,16.67,7.23,7.23,Ataque,,,,,,,,,,,,,,
10,Manchester United,Rasmus Højlund,5.0,3.31,1.0,5.0,11.0,45.45,7.15,7.15,Ataque,,,,,,,,,,,,,,
11,Real Madrid,Rodrygo,5.0,5.71,8.0,18.0,38.0,13.16,7.13,7.13,Ataque,,,,,,,,,,,,,,
12,Atlético Madrid,Álvaro Morata,5.0,4.6,7.0,3.0,25.0,20.0,6.91,6.91,Ataque,,,,,,,,,,,,,,
13,Real Madrid,Jude Bellingham,4.0,3.02,2.0,19.0,23.0,17.39,7.74,7.74,Ataque,,,,,,,,,,,,,,
14,Arsenal,Bukayo Saka,4.0,1.57,0.0,10.0,13.0,30.77,7.71,7.71,Ataque,,,,,,,,,,,,,,
15,FC Porto,Evanilson,4.0,1.75,0.0,5.0,14.0,28.57,7.41,7.41,Ataque,,,,,,,,,,,,,,
16,Arsenal,Gabriel Jesus,4.0,2.16,4.0,11.0,15.0,26.67,7.3,7.3,Ataque,,,,,,,,,,,,,,
17,Shakhtar Donetsk,Danylo Sikan,4.0,3.03,1.0,6.0,11.0,36.36,7.18,7.18,Ataque,,,,,,,,,,,,,,
18,Arsenal,Leandro Trossard,4.0,1.55,1.0,4.0,9.0,44.44,7.07,7.07,Ataque,,,,,,,,,,,,,,
19,RB Leipzig,Loïs Openda,4.0,3.52,3.0,10.0,29.0,13.79,7.06,7.06,Ataque,,,,,,,,,,,,,,
20,Lazio,Ciro Immobile,4.0,3.06,2.0,6.0,10.0,40.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
21,Barcelona,Raphinha,3.0,2.53,0.0,8.0,24.0,12.5,7.74,7.74,Ataque,,,,,,,,,,,,,,
22,Atlético Madrid,Samuel Lino,3.0,2.04,3.0,9.0,18.0,16.67,7.54,7.54,Ataque,,,,,,,,,,,,,,
23,Real Sociedad,Brais Méndez,3.0,1.66,1.0,8.0,14.0,21.43,7.41,7.41,Ataque,,,,,,,,,,,,,,
24,FC København,Mohamed Elyounoussi,3.0,2.1,2.0,10.0,17.0,17.65,7.24,7.24,Ataque,,,,,,,,,,,,,,
25,Barcelona,Robert Lewandowski,3.0,2.96,2.0,2.0,22.0,13.64,7.23,7.23,Ataque,,,,,,,,,,,,,,
26,Barcelona,Ferran Torres,3.0,1.84,0.0,4.0,11.0,27.27,7.19,7.19,Ataque,,,,,,,,,,,,,,
27,PSV Eindhoven,Luuk de Jong,3.0,3.77,2.0,0.0,23.0,13.04,7.14,7.14,Ataque,,,,,,,,,,,,,,
28,Benfica,João Mário,3.0,1.46,0.0,6.0,7.0,42.86,7.12,7.12,Ataque,,,,,,,,,,,,,,
29,FC København,Lukas Lerager,3.0,1.36,0.0,3.0,6.0,50.0,7.12,7.12,Ataque,,,,,,,,,,,,,,
30,Borussia Dortmund,Niclas Füllkrug,3.0,5.4,10.0,2.0,35.0,8.57,7.01,7.01,Ataque,,,,,,,,,,,,,,
31,Barcelona,João Félix,3.0,1.61,2.0,7.0,17.0,17.65,6.97,6.97,Ataque,,,,,,,,,,,,,,
32,Manchester City,Kevin De Bruyne,2.0,1.16,2.0,2.0,13.0,15.38,8.65,8.65,Ataque,,,,,,,,,,,,,,
33,RB Leipzig,Xavi Simons,2.0,1.25,0.0,15.0,18.0,11.11,7.65,7.65,Ataque,,,,,,,,,,,,,,
34,Barcelona,João Cancelo,2.0,0.63,0.0,29.0,11.0,18.18,7.6,7.6,Ataque,,,,,,,,,,,,,,
35,Real Sociedad,Mikel Merino,2.0,1.94,1.0,10.0,14.0,14.29,7.56,7.56,Ataque,,,,,,,,,,,,,,
36,FC Porto,Mehdi Taremi,2.0,2.6,1.0,3.0,22.0,9.09,7.53,7.53,Ataque,,,,,,,,,,,,,,
37,Paris Saint-Germain,Vitinha,2.0,1.31,1.0,11.0,22.0,9.09,7.48,7.48,Ataque,,,,,,,,,,,,,,
38,Manchester United,Bruno Fernandes,2.0,1.56,0.0,7.0,15.0,13.33,7.47,7.47,Ataque,,,,,,,,,,,,,,
39,Manchester United,Casemiro,2.0,0.21,0.0,1.0,5.0,40.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
