#,Clube,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
40,Paris Saint-Germain,Ousmane Dembélé,2.0,2.96,6.0,23.0,33.0,6.06,7.35,7.35,Ataque,,,,,,,,,,,,,,
41,Sporting Braga,Bruma,2.0,0.71,0.0,11.0,12.0,16.67,7.34,7.34,Ataque,,,,,,,,,,,,,,
42,Arsenal,Martin Ødegaard,2.0,1.33,0.0,12.0,17.0,11.76,7.33,7.33,Ataque,,,,,,,,,,,,,,
43,FC Bayern München,Jamal Musiala,2.0,1.97,1.0,32.0,23.0,8.7,7.31,7.31,Ataque,,,,,,,,,,,,,,
44,Borussia Dortmund,Julian Brandt,2.0,1.4,2.0,11.0,19.0,10.53,7.25,7.25,Ataque,,,,,,,,,,,,,,
45,Sevilla,Sergio Ramos,2.0,1.8,0.0,1.0,8.0,25.0,7.24,7.24,Ataque,,,,,,,,,,,,,,
46,FC Porto,Pepe,2.0,0.15,0.0,1.0,3.0,66.67,7.23,7.23,Ataque,,,,,,,,,,,,,,
47,FC Bayern München,Kingsley Coman,2.0,1.72,1.0,16.0,11.0,18.18,7.2,7.2,Ataque,,,,,,,,,,,,,,
48,Galatasaray,Hakim Ziyech,2.0,0.23,0.0,3.0,7.0,28.57,7.18,7.18,Ataque,,,,,,,,,,,,,,
49,Manchester City,Manuel Akanji,2.0,0.95,0.0,1.0,5.0,40.0,7.18,7.18,Ataque,,,,,,,,,,,,,,
50,FK Crvena zvezda,Osman Bukari,2.0,0.97,0.0,12.0,12.0,16.67,7.17,7.17,Ataque,,,,,,,,,,,,,,
51,Manchester City,Bernardo Silva,2.0,1.77,2.0,3.0,17.0,11.76,7.14,7.14,Ataque,,,,,,,,,,,,,,
52,Arsenal,Gabriel Martinelli,2.0,1.81,2.0,20.0,10.0,20.0,7.13,7.13,Ataque,,,,,,,,,,,,,,
53,FC Bayern München,Leroy Sané,2.0,1.66,5.0,35.0,25.0,8.0,7.11,7.11,Ataque,,,,,,,,,,,,,,
54,Galatasaray,Mauro Icardi,2.0,4.17,6.0,1.0,21.0,9.52,7.07,7.07,Ataque,,,,,,,,,,,,,,
55,FC København,Diogo Gonçalves,2.0,1.93,1.0,5.0,12.0,16.67,7.06,7.06,Ataque,,,,,,,,,,,,,,
56,FC Bayern München,Mathys Tel,2.0,0.46,1.0,11.0,8.0,25.0,7.01,7.01,Ataque,,,,,,,,,,,,,,
57,Real Sociedad,Sheraldo Becker,2.0,1.31,2.0,0.0,11.0,18.18,6.98,6.98,Ataque,,,,,,,,,,,,,,
58,Galatasaray,Kerem Aktürkoğlu,2.0,2.1,4.0,3.0,18.0,11.11,6.97,6.97,Ataque,,,,,,,,,,,,,,
59,RC Lens,Angelo Fulgini,2.0,1.42,1.0,3.0,7.0,28.57,6.97,6.97,Ataque,,,,,,,,,,,,,,
60,Borussia Dortmund,Marco Reus,2.0,2.02,0.0,3.0,10.0,20.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
61,Milan,Samuel Chukwueze,2.0,0.94,2.0,5.0,9.0,22.22,6.93,6.93,Ataque,,,,,,,,,,,,,,
62,Sevilla,Youssef En-Nesyri,2.0,1.82,2.0,1.0,10.0,20.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
63,Real Sociedad,Mikel Oyarzabal,2.0,1.99,4.0,2.0,10.0,20.0,6.91,6.91,Ataque,,,,,,,,,,,,,,
64,Inter,Alexis Sánchez,2.0,1.25,0.0,2.0,3.0,66.67,6.9,6.9,Ataque,,,,,,,,,,,,,,
65,Red Bull Salzburg,Oscar Gloukh,2.0,1.24,0.0,6.0,7.0,28.57,6.88,6.88,Ataque,,,,,,,,,,,,,,
66,Sporting Braga,Álvaro Djaló,2.0,1.85,2.0,9.0,9.0,22.22,6.88,6.88,Ataque,,,,,,,,,,,,,,
67,Feyenoord,Santiago Giménez,2.0,2.29,4.0,4.0,11.0,18.18,6.88,6.88,Ataque,,,,,,,,,,,,,,
68,Napoli,Victor Osimhen,2.0,2.35,3.0,5.0,16.0,12.5,6.87,6.87,Ataque,,,,,,,,,,,,,,
69,Lazio,Pedro,2.0,0.98,0.0,5.0,4.0,50.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
70,Borussia Dortmund,Karim Adeyemi,2.0,1.77,1.0,13.0,15.0,13.33,6.86,6.86,Ataque,,,,,,,,,,,,,,
71,Real Madrid,Brahim Díaz,2.0,1.53,1.0,12.0,10.0,20.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
72,Inter,Lautaro Martínez,2.0,4.67,5.0,4.0,34.0,5.88,6.85,6.85,Ataque,,,,,,,,,,,,,,
73,Barcelona,Fermín López,2.0,2.16,3.0,4.0,11.0,18.18,6.85,6.85,Ataque,,,,,,,,,,,,,,
74,FC Bayern München,Serge Gnabry,2.0,0.5,0.0,0.0,4.0,50.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
75,RC Lens,Elye Wahi,2.0,1.08,0.0,5.0,14.0,14.29,6.78,6.78,Ataque,,,,,,,,,,,,,,
76,Young Boys,Meschack Elia,2.0,0.73,1.0,6.0,7.0,28.57,6.73,6.73,Ataque,,,,,,,,,,,,,,
77,Inter,Marko Arnautović,2.0,2.85,3.0,2.0,7.0,28.57,6.73,6.73,Ataque,,,,,,,,,,,,,,
78,Benfica,Rafa Silva,2.0,2.34,3.0,4.0,12.0,16.67,6.72,6.72,Ataque,,,,,,,,,,,,,,
79,Sevilla,Nemanja Gudelj,2.0,0.44,0.0,0.0,4.0,50.0,6.72,6.72,Ataque,,,,,,,,,,,,,,
80,Celtic,Luis Palma,2.0,1.06,0.0,3.0,6.0,33.33,6.7,6.7,Ataque,,,,,,,,,,,,,,
81,Celtic,Kyogo Furuhashi,2.0,1.5,2.0,1.0,10.0,20.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
82,RB Leipzig,Benjamin Šeško,2.0,2.84,4.0,5.0,15.0,13.33,6.63,6.63,Ataque,,,,,,,,,,,,,,
83,RB Leipzig,Willi Orbán,1.0,0.25,0.0,1.0,5.0,20.0,7.9,7.9,Ataque,,,,,,,,,,,,,,
84,Manchester City,Rodri,1.0,0.81,2.0,10.0,12.0,8.33,7.86,7.86,Ataque,,,,,,,,,,,,,,
85,Manchester City,Jérémy Doku,1.0,1.28,1.0,29.0,12.0,8.33,7.59,7.59,Ataque,,,,,,,,,,,,,,
86,RB Leipzig,David Raum,1.0,0.21,0.0,0.0,2.0,50.0,7.56,7.56,Ataque,,,,,,,,,,,,,,
87,Feyenoord,Calvin Stengs,1.0,0.4,1.0,12.0,4.0,25.0,7.52,7.52,Ataque,,,,,,,,,,,,,,
88,FC Bayern München,Joshua Kimmich,1.0,0.73,0.0,4.0,9.0,11.11,7.49,7.49,Ataque,,,,,,,,,,,,,,
89,FK Crvena zvezda,In-Beom Hwang,1.0,0.91,1.0,3.0,13.0,7.69,7.47,7.47,Ataque,,,,,,,,,,,,,,
90,Benfica,Ángel Di María,1.0,0.34,0.0,8.0,12.0,8.33,7.4,7.4,Ataque,,,,,,,,,,,,,,
91,Real Madrid,Dani Ceballos,1.0,0.19,0.0,3.0,2.0,50.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
92,Manchester City,Joško Gvardiol,1.0,0.13,0.0,6.0,2.0,50.0,7.38,7.38,Ataque,,,,,,,,,,,,,,
93,Inter,Hakan Çalhanoğlu,1.0,1.14,0.0,1.0,12.0,8.33,7.38,7.38,Ataque,,,,,,,,,,,,,,
94,PSV Eindhoven,Johan Bakayoko,1.0,1.24,1.0,20.0,24.0,4.17,7.36,7.36,Ataque,,,,,,,,,,,,,,
95,Borussia Dortmund,Mats Hummels,1.0,0.93,1.0,7.0,10.0,10.0,7.35,7.35,Ataque,,,,,,,,,,,,,,
96,RB Leipzig,Dani Olmo,1.0,0.89,0.0,3.0,9.0,11.11,7.3,7.3,Ataque,,,,,,,,,,,,,,
97,Galatasaray,Cédric Bakambu,1.0,0.53,0.0,0.0,7.0,14.29,7.3,7.3,Ataque,,,,,,,,,,,,,,
98,Sporting Braga,André Castro,1.0,0.03,0.0,0.0,1.0,100.0,7.3,7.3,Ataque,,,,,,,,,,,,,,
99,Paris Saint-Germain,Achraf Hakimi,1.0,0.95,0.0,8.0,17.0,5.88,7.26,7.26,Ataque,,,,,,,,,,,,,,
100,Atlético Madrid,Arthur Vermeeren,1.0,0.53,0.0,6.0,5.0,20.0,7.25,7.25,Ataque,,,,,,,,,,,,,,
101,Milan,Rafael Leão,1.0,1.1,2.0,18.0,11.0,9.09,7.24,7.24,Ataque,,,,,,,,,,,,,,
102,FC Porto,Stephen Eustaquio,1.0,0.54,0.0,1.0,7.0,14.29,7.23,7.23,Ataque,,,,,,,,,,,,,,
103,Napoli,Giovanni Di Lorenzo,1.0,0.39,0.0,6.0,10.0,10.0,7.23,7.23,Ataque,,,,,,,,,,,,,,
104,RC Lens,Przemysław Frankowski,1.0,0.79,0.0,3.0,1.0,100.0,7.2,7.2,Ataque,,,,,,,,,,,,,,
105,Newcastle United,Miguel Almirón,1.0,1.39,1.0,1.0,12.0,8.33,7.2,7.2,Ataque,,,,,,,,,,,,,,
106,Newcastle United,Dan Burn,1.0,0.22,0.0,0.0,3.0,33.33,7.18,7.18,Ataque,,,,,,,,,,,,,,
107,Napoli,Leo Østigård,1.0,0.38,0.0,1.0,4.0,25.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
108,Napoli,Matteo Politano,1.0,0.58,0.0,6.0,13.0,7.69,7.16,7.16,Ataque,,,,,,,,,,,,,,
109,Real Madrid,Nico Paz,1.0,0.01,0.0,5.0,1.0,100.0,7.15,7.15,Ataque,,,,,,,,,,,,,,
110,Paris Saint-Germain,Kang-in Lee,1.0,1.21,1.0,5.0,12.0,8.33,7.14,7.14,Ataque,,,,,,,,,,,,,,
111,Atlético Madrid,Rodrigo de Paul,1.0,0.71,0.0,6.0,6.0,16.67,7.14,7.14,Ataque,,,,,,,,,,,,,,
112,FC Bayern München,Thomas Müller,1.0,1.32,3.0,1.0,7.0,14.29,7.13,7.13,Ataque,,,,,,,,,,,,,,
113,Manchester United,Harry Maguire,1.0,0.28,0.0,0.0,2.0,50.0,7.13,7.13,Ataque,,,,,,,,,,,,,,
114,Real Madrid,Daniel Carvajal,1.0,0.59,0.0,3.0,8.0,12.5,7.12,7.12,Ataque,,,,,,,,,,,,,,
115,Feyenoord,Mats Wieffer,1.0,0.63,0.0,9.0,7.0,14.29,7.12,7.12,Ataque,,,,,,,,,,,,,,
116,Young Boys,Filip Ugrinić,1.0,0.54,0.0,5.0,9.0,11.11,7.12,7.12,Ataque,,,,,,,,,,,,,,
117,Napoli,Amir Rrahmani,1.0,0.46,0.0,2.0,5.0,20.0,7.11,7.11,Ataque,,,,,,,,,,,,,,
118,Inter,Davide Frattesi,1.0,0.94,0.0,1.0,10.0,10.0,7.1,7.1,Ataque,,,,,,,,,,,,,,
119,Real Madrid,Federico Valverde,1.0,1.15,0.0,10.0,24.0,4.17,7.1,7.1,Ataque,,,,,,,,,,,,,,
120,Newcastle United,Joelinton,1.0,0.54,1.0,5.0,7.0,14.29,7.1,7.1,Ataque,,,,,,,,,,,,,,
121,Paris Saint-Germain,Milan Škriniar,1.0,0.53,0.0,0.0,3.0,33.33,7.1,7.1,Ataque,,,,,,,,,,,,,,
122,Lazio,Ivan Provedel,1.0,0.47,0.0,0.0,1.0,100.0,7.08,7.08,Ataque,,,,,,,,,,,,,,
123,Napoli,Piotr Zieliński,1.0,2.04,3.0,5.0,8.0,12.5,7.07,7.07,Ataque,,,,,,,,,,,,,,
124,Borussia Dortmund,Marcel Sabitzer,1.0,1.17,3.0,4.0,12.0,8.33,7.06,7.06,Ataque,,,,,,,,,,,,,,
125,FC Porto,Pepê,1.0,1.19,1.0,10.0,9.0,11.11,7.06,7.06,Ataque,,,,,,,,,,,,,,
126,Real Sociedad,Ander Barrenetxea,1.0,0.4,0.0,16.0,9.0,11.11,7.06,7.06,Ataque,,,,,,,,,,,,,,
127,RB Leipzig,Xaver Schlager,1.0,0.06,0.0,5.0,2.0,50.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
128,FC København,Magnus Mattsson,1.0,0.54,1.0,1.0,5.0,20.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
129,Feyenoord,Alireza Jahanbakhsh,1.0,0.25,0.0,1.0,3.0,33.33,7.05,7.05,Ataque,,,,,,,,,,,,,,
130,FC Bayern München,Sacha Boey,1.0,0.24,0.0,7.0,5.0,20.0,7.05,7.05,Ataque,,,,,,,,,,,,,,
131,Manchester City,Micah Hamilton,1.0,0.2,0.0,0.0,3.0,33.33,7.05,7.05,Ataque,,,,,,,,,,,,,,
132,Borussia Dortmund,Ian Maatsen,1.0,0.18,0.0,5.0,4.0,25.0,7.04,7.04,Ataque,,,,,,,,,,,,,,
133,Red Bull Salzburg,Roko Šimić,1.0,1.2,0.0,3.0,8.0,12.5,7.04,7.04,Ataque,,,,,,,,,,,,,,
134,Borussia Dortmund,Donyell Malen,1.0,2.09,1.0,7.0,23.0,4.35,7.04,7.04,Ataque,,,,,,,,,,,,,,
135,Atlético Madrid,Memphis Depay,1.0,1.02,2.0,3.0,7.0,14.29,7.03,7.03,Ataque,,,,,,,,,,,,,,
136,Paris Saint-Germain,Warren Zaïre-Emery,1.0,0.71,1.0,10.0,7.0,14.29,7.03,7.03,Ataque,,,,,,,,,,,,,,
137,Newcastle United,Fabian Schär,1.0,0.23,0.0,0.0,5.0,20.0,7.02,7.02,Ataque,,,,,,,,,,,,,,
138,Barcelona,Andreas Christensen,1.0,0.71,0.0,1.0,4.0,25.0,7.01,7.01,Ataque,,,,,,,,,,,,,,
139,Shakhtar Donetsk,Georgiy Sudakov,1.0,1.08,1.0,6.0,10.0,10.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
140,1. FC Union Berlin,David Datro Fofana,1.0,0.9,1.0,5.0,8.0,12.5,7.0,7.0,Ataque,,,,,,,,,,,,,,
141,Barcelona,Gavi,1.0,0.46,0.0,3.0,3.0,33.33,7.0,7.0,Ataque,,,,,,,,,,,,,,
142,PSV Eindhoven,Jordan Teze,1.0,0.26,0.0,1.0,4.0,25.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
143,Manchester City,Oscar Bobb,1.0,0.22,0.0,3.0,4.0,25.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
144,Feyenoord,Ramiz Zerrouki,1.0,0.15,0.0,5.0,5.0,20.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
145,Shakhtar Donetsk,Yaroslav Rakitskyi,1.0,0.05,0.0,0.0,1.0,100.0,7.0,7.0,Ataque,,,,,,,,,,,,,,
146,Shakhtar Donetsk,Mykola Matviyenko,1.0,0.45,2.0,0.0,3.0,33.33,6.98,6.98,Ataque,,,,,,,,,,,,,,
147,Feyenoord,Yankuba Minteh,1.0,1.32,2.0,11.0,10.0,10.0,6.98,6.98,Ataque,,,,,,,,,,,,,,
148,Red Bull Salzburg,Luka Sučić,1.0,0.3,0.0,9.0,8.0,12.5,6.97,6.97,Ataque,,,,,,,,,,,,,,
149,Sevilla,Lucas Ocampos,1.0,0.69,1.0,16.0,12.0,8.33,6.96,6.96,Ataque,,,,,,,,,,,,,,
150,PSV Eindhoven,Yorbe Vertessen,1.0,0.41,1.0,4.0,5.0,20.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
151,Young Boys,Ebrima Colley,1.0,0.79,0.0,1.0,6.0,16.67,6.95,6.95,Ataque,,,,,,,,,,,,,,
152,Benfica,Arthur Cabral,1.0,0.68,0.0,1.0,3.0,33.33,6.95,6.95,Ataque,,,,,,,,,,,,,,
153,Arsenal,Jorginho,1.0,0.81,0.0,0.0,2.0,50.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
154,Atlético Madrid,Pablo Barrios,1.0,0.32,0.0,4.0,4.0,25.0,6.94,6.94,Ataque,,,,,,,,,,,,,,
155,Inter,Federico Dimarco,1.0,0.47,0.0,1.0,6.0,16.67,6.94,6.94,Ataque,,,,,,,,,,,,,,
156,Feyenoord,Dávid Hancko,1.0,1.3,1.0,2.0,7.0,14.29,6.93,6.93,Ataque,,,,,,,,,,,,,,
157,Borussia Dortmund,Jadon Sancho,1.0,0.17,0.0,26.0,3.0,33.33,6.93,6.93,Ataque,,,,,,,,,,,,,,
158,Newcastle United,Sean Longstaff,1.0,0.13,0.0,3.0,2.0,50.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
159,1. FC Union Berlin,Robin Gosens,1.0,0.4,0.0,1.0,5.0,20.0,6.92,6.92,Ataque,,,,,,,,,,,,,,
160,FC Bayern München,Alphonso Davies,1.0,0.23,0.0,20.0,4.0,25.0,6.91,6.91,Ataque,,,,,,,,,,,,,,
161,Atlético Madrid,Mario Hermoso,1.0,0.1,0.0,6.0,4.0,25.0,6.91,6.91,Ataque,,,,,,,,,,,,,,
162,Barcelona,Marc Guiu,1.0,0.37,0.0,0.0,2.0,50.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
163,Shakhtar Donetsk,Eguinaldo,1.0,0.12,0.0,0.0,2.0,50.0,6.9,6.9,Ataque,,,,,,,,,,,,,,
164,Inter,Marcus Thuram,1.0,1.48,2.0,12.0,9.0,11.11,6.89,6.89,Ataque,,,,,,,,,,,,,,
165,1. FC Union Berlin,Alex Král,1.0,0.06,0.0,1.0,3.0,33.33,6.88,6.88,Ataque,,,,,,,,,,,,,,
166,Napoli,Frank Anguissa,1.0,1.02,2.0,6.0,10.0,10.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
167,FC Porto,Francisco Conceição,1.0,0.92,0.0,5.0,7.0,14.29,6.87,6.87,Ataque,,,,,,,,,,,,,,
168,Galatasaray,Wilfried Zaha,1.0,0.78,0.0,10.0,9.0,11.11,6.85,6.85,Ataque,,,,,,,,,,,,,,
169,Young Boys,Cédric Itten,1.0,1.27,0.0,0.0,8.0,12.5,6.85,6.85,Ataque,,,,,,,,,,,,,,
170,Milan,Christian Pulišić,1.0,1.09,1.0,6.0,10.0,10.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
171,Lazio,Matías Vecino,1.0,0.6,0.0,1.0,7.0,14.29,6.85,6.85,Ataque,,,,,,,,,,,,,,
172,PSV Eindhoven,Ismael Saibari,1.0,1.8,2.0,9.0,11.0,9.09,6.84,6.84,Ataque,,,,,,,,,,,,,,
173,Manchester United,Scott McTominay,1.0,1.38,1.0,3.0,9.0,11.11,6.84,6.84,Ataque,,,,,,,,,,,,,,
174,PSV Eindhoven,Ricardo Pepi,1.0,0.79,1.0,0.0,5.0,20.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
175,Atlético Madrid,Ángel Correa,1.0,2.07,4.0,9.0,16.0,6.25,6.83,6.83,Ataque,,,,,,,,,,,,,,
176,Napoli,Giovanni Simeone,1.0,1.37,0.0,1.0,7.0,14.29,6.83,6.83,Ataque,,,,,,,,,,,,,,
177,FC København,Roony Bardghji,1.0,0.45,1.0,6.0,4.0,25.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
178,FK Crvena zvezda,Cherif Ndiaye,1.0,2.85,2.0,5.0,9.0,11.11,6.82,6.82,Ataque,,,,,,,,,,,,,,
179,RB Leipzig,Emil Forsberg,1.0,0.82,0.0,4.0,9.0,11.11,6.82,6.82,Ataque,,,,,,,,,,,,,,
180,Paris Saint-Germain,Lucas Hernández,1.0,0.65,0.0,4.0,4.0,25.0,6.81,6.81,Ataque,,,,,,,,,,,,,,
181,Royal Antwerp FC,Vincent Janssen,1.0,0.96,0.0,2.0,12.0,8.33,6.8,6.8,Ataque,,,,,,,,,,,,,,
182,Manchester City,Kalvin Phillips,1.0,0.91,0.0,0.0,5.0,20.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
183,Sporting Braga,Sikou Niakaté,1.0,0.86,0.0,0.0,3.0,33.33,6.8,6.8,Ataque,,,,,,,,,,,,,,
184,RB Leipzig,Mohamed Simakan,1.0,0.7,1.0,1.0,5.0,20.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
185,Paris Saint-Germain,Bradley Barcola,1.0,2.41,4.0,19.0,16.0,6.25,6.79,6.79,Ataque,,,,,,,,,,,,,,
186,Napoli,Giacomo Raspadori,1.0,0.34,0.0,2.0,9.0,11.11,6.79,6.79,Ataque,,,,,,,,,,,,,,
187,Borussia Dortmund,Sébastien Haller,1.0,0.31,0.0,0.0,1.0,100.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
188,Arsenal,Kai Havertz,1.0,0.99,2.0,3.0,11.0,9.09,6.77,6.77,Ataque,,,,,,,,,,,,,,
189,FK Crvena zvezda,Aleksandar Katai,1.0,0.37,0.0,3.0,6.0,16.67,6.76,6.76,Ataque,,,,,,,,,,,,,,
190,Celtic,Gustaf Lagerbielke,1.0,0.79,0.0,0.0,1.0,100.0,6.75,6.75,Ataque,,,,,,,,,,,,,,
191,Royal Antwerp FC,Alhassan Yusuf,1.0,0.23,0.0,3.0,3.0,33.33,6.73,6.73,Ataque,,,,,,,,,,,,,,
192,Atlético Madrid,Saúl Ñíguez,1.0,0.39,0.0,0.0,5.0,20.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
193,Borussia Dortmund,Felix Nmecha,1.0,0.48,1.0,4.0,7.0,14.29,6.73,6.73,Ataque,,,,,,,,,,,,,,
194,Newcastle United,Alexander Isak,1.0,1.42,1.0,2.0,6.0,16.67,6.72,6.72,Ataque,,,,,,,,,,,,,,
195,Arsenal,Edward Nketiah,1.0,0.36,0.0,1.0,5.0,20.0,6.72,6.72,Ataque,,,,,,,,,,,,,,
196,Royal Antwerp FC,Arbnor Muja,1.0,0.8,1.0,6.0,11.0,9.09,6.7,6.7,Ataque,,,,,,,,,,,,,,
