#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Real Madrid,,Cristiano Ronaldo,8,5,359,87.14,20,7.85,7.85
2,Barcelona,,Lionel Messi,7,2,395,81.44,20,8.23,8.23
3,Barcelona,,Neymar,6,8,341,74.78,26,7.82,7.82
4,FC Bayern München,,Arjen Robben,6,0,288,83,19,7.49,7.49
5,Borussia Dortmund,,Ousmane Dembélé,6,6,227,74.18,22,7.42,7.42
6,AS Monaco,,Thomas Lemar,6,4,331,83.17,24,6.99,6.99
7,Juventus,,Dani Alves,5,4,619,87.31,31,7.54,7.54
8,Paris Saint-Germain,,Marco Verratti,5,2,547,89.53,18,7.43,7.43
9,Paris Saint-Germain,,Ángel Di María,5,1,239,80.74,16,7.39,7.39
10,AS Monaco,,Benjamin Mendy,5,3,167,79.15,10,7.07,7.07
11,FC Bayern München,,Douglas Costa,5,3,228,85.07,13,7.06,7.06
12,FC Bayern München,,Thiago Alcântara,4,3,722,91.74,20,7.64,7.64
13,Napoli,,Lorenzo Insigne,4,0,306,83.15,10,7.04,7.04
14,Borussia Dortmund,,Christian Pulišić,4,2,193,79.75,10,6.93,6.93
15,FC København,,Ludwig Augustinsson,3,3,235,78.33,17,7.60,7.60
16,Paris Saint-Germain,,Lucas Moura,3,1,197,80.41,25,7.40,7.40
17,Manchester City,,Sergio Agüero,3,2,122,81.33,7,7.34,7.34
18,Juventus,,Paulo Dybala,3,0,345,85.61,15,7.31,7.31
19,Manchester City,,Kevin De Bruyne,3,1,232,84.06,10,7.28,7.28
20,Paris Saint-Germain,,Edinson Cavani,3,1,108,79.41,5,7.25,7.25
21,Tottenham Hotspur,,Christian Eriksen,3,1,235,81.31,21,7.18,7.18
22,Juventus,,Miralem Pjanić,3,3,497,83.95,20,7.12,7.12
23,FC Bayern München,,David Alaba,3,2,583,89.97,14,7.11,7.11
24,Manchester City,,David Silva,3,2,274,84.05,19,7.10,7.10
25,Real Madrid,,Karim Benzema,3,0,312,83.87,19,6.99,6.99
26,FC Bayern München,,Franck Ribéry,3,2,231,84.62,11,6.98,6.98
27,Barcelona,,Luis Suárez,3,2,161,71.56,7,6.89,6.89
28,Manchester City,,Raheem Sterling,3,3,184,84.02,15,6.87,6.87
29,Benfica,,Eduardo Salvio,3,2,183,78.54,13,6.83,6.83
30,AS Monaco,,Bernardo Silva,3,1,344,85.36,16,6.65,6.65
31,Arsenal,,Santi Cazorla,2,1,193,90.19,9,7.87,7.87
32,Borussia Dortmund,,Marco Reus,2,1,97,76.98,4,7.70,7.70
33,Real Madrid,,Casemiro,2,2,450,86.54,5,7.68,7.68
34,Bayer 04 Leverkusen,,Kevin Kampl,2,2,365,83.91,16,7.53,7.53
35,Borussia Dortmund,,Shinji Kagawa,2,2,184,88.04,6,7.48,7.48
36,Tottenham Hotspur,,Harry Kane,2,0,56,74.67,7,7.33,7.33
37,Tottenham Hotspur,,Kieran Trippier,2,0,165,82.09,4,7.33,7.33
38,Real Madrid,,Sergio Ramos,2,2,611,88.42,4,7.31,7.31
39,AS Monaco,,Fabinho,2,3,360,85.11,8,7.30,7.30
40,Sevilla,,Sergio Escudero,2,1,344,83.29,8,7.28,7.28
41,Real Madrid,,Marcelo,2,2,539,83.96,23,7.26,7.26
42,Napoli,,Dries Mertens,2,2,145,78.38,9,7.21,7.21
43,FC Bayern München,,Robert Lewandowski,2,1,141,75.4,11,7.20,7.20
44,Bayer 04 Leverkusen,,Hakan Çalhanoğlu,2,2,117,72.22,8,7.20,7.20
45,Real Madrid,,Luka Modrić,2,1,659,89.17,14,7.17,7.17
46,Borussia M'gladbach,,Thorgan Hazard,2,1,89,78.76,5,7.13,7.13
47,Sevilla,,Mariano,2,2,269,82.01,9,7.13,7.13
48,Borussia Dortmund,,Mario Götze,2,1,143,85.12,10,7.10,7.10
49,AS Monaco,,Tiemoué Bakayoko,2,0,395,87.39,4,7.09,7.09
50,Juventus,,Mario Mandžukić,2,0,210,68.18,11,7.07,7.07
51,Manchester City,,Leroy Sané,2,2,84,84.85,4,7.00,7.00
52,Real Madrid,,James Rodríguez,2,2,185,88.94,10,7.00,7.00
