#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Real Madrid,,Cristiano Ronaldo,15,12,22,82,18.29,8.11,8.11
2,Liverpool,,Mohamed Salah,10,3,28,43,23.26,7.86,7.86
3,Liverpool,,Sadio Mané,10,4,38,31,32.26,7.77,7.77
4,Liverpool,,Roberto Firmino,10,5,23,42,23.81,7.77,7.77
5,Sevilla,,Wissam Ben Yedder,8,4,5,23,34.78,7.48,7.48
6,Roma,,Edin Džeko,8,3,9,46,17.39,7.42,7.42
7,Tottenham Hotspur,,Harry Kane,7,4,20,32,21.88,7.90,7.90
8,Paris Saint-Germain,,Edinson Cavani,7,3,0,27,25.93,7.29,7.29
9,Paris Saint-Germain,,Neymar,6,5,51,28,21.43,8.73,8.73
10,Barcelona,,Lionel Messi,6,3,37,44,13.64,7.88,7.88
11,Liverpool,,Philippe Coutinho,5,0,17,14,35.71,8.24,8.24
12,FC Porto,,Vincent Aboubakar,5,1,2,15,33.33,7.40,7.40
13,Manchester United,,Romelu Lukaku,5,6,15,26,19.23,7.39,7.39
14,Juventus,,Gonzalo Higuaín,5,4,18,24,20.83,7.34,7.34
15,Real Madrid,,Karim Benzema,5,4,13,18,27.78,7.24,7.24
16,FC Bayern München,,Robert Lewandowski,5,8,8,46,10.87,7.11,7.11
17,FC Bayern München,,Joshua Kimmich,4,0,2,7,57.14,7.59,7.59
18,Paris Saint-Germain,,Kylian Mbappé,4,5,27,24,16.67,7.49,7.49
19,Beşiktaş,,Cenk Tosun,4,1,9,15,26.67,7.28,7.28
20,Manchester City,,Raheem Sterling,4,1,24,10,40,7.25,7.25
21,Juventus,,Mario Mandžukić,4,3,1,15,26.67,7.20,7.20
22,Manchester City,,Sergio Agüero,4,3,7,24,16.67,7.13,7.13
23,Tottenham Hotspur,,Heung-min Son,4,2,6,25,16,7.07,7.07
24,Borussia Dortmund,,Pierre-Emerick Aubameyang,4,6,3,23,17.39,7.05,7.05
25,Manchester City,,Gabriel Jesus,4,1,2,11,36.36,7.03,7.03
