#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
26,Basel,,Dimitri Oberlin,4,4,9,17,23.53,6.98,6.98
27,Beşiktaş,,Anderson Talisca,4,0,7,14,28.57,6.86,6.86
28,Manchester City,,John Stones,3,0,3,4,75,7.92,7.92
29,Chelsea,,Eden Hazard,3,1,34,22,13.64,7.79,7.79
30,FC Bayern München,,Thiago Alcântara,3,0,19,9,33.33,7.57,7.57
31,FC Bayern München,,Corentin Tolisso,3,0,4,13,23.08,7.54,7.54
32,Napoli,,Lorenzo Insigne,3,0,8,16,18.75,7.46,7.46
33,Real Madrid,,Gareth Bale,3,2,3,11,27.27,7.46,7.46
34,Roma,,Diego Perotti,3,2,37,18,16.67,7.38,7.38
35,Paris Saint-Germain,,Layvin Kurzawa,3,0,3,4,75,7.37,7.37
36,Real Madrid,,Marcelo,3,0,10,10,30,7.33,7.33
37,Chelsea,,Willian,3,1,26,14,21.43,7.28,7.28
38,AS Monaco,,Radamel Falcao,3,1,7,13,23.08,7.24,7.24
39,FC Bayern München,,Thomas Müller,3,4,6,23,13.04,7.16,7.16
40,Manchester United,,Marcus Rashford,3,1,17,19,15.79,7.11,7.11
41,Basel,,Michael Lang,3,0,7,8,37.5,7.10,7.10
42,RB Leipzig,,Timo Werner,3,2,6,12,25,7.07,7.07
43,Shakhtar Donetsk,,Facundo Ferreyra,3,4,2,19,15.79,6.95,6.95
44,Shakhtar Donetsk,,Bernard,3,1,17,6,50,6.88,6.88
45,Paris Saint-Germain,,Marco Verratti,2,0,9,4,50,7.58,7.58
46,FC Bayern München,,Kingsley Coman,2,0,18,10,20,7.56,7.56
47,RB Leipzig,,Naby Keïta,2,1,24,13,15.38,7.56,7.56
48,Tottenham Hotspur,,Dele Alli,2,1,12,8,25,7.46,7.46
49,Napoli,,Dries Mertens,2,2,5,17,11.76,7.42,7.42
50,Atlético Madrid,,Antoine Griezmann,2,1,5,18,11.11,7.38,7.38
51,Paris Saint-Germain,,Dani Alves,2,0,12,5,40,7.35,7.35
52,Tottenham Hotspur,,Christian Eriksen,2,2,4,20,10,7.32,7.32
53,Manchester City,,İlkay Gündoğan,2,1,10,13,15.38,7.26,7.26
54,Roma,,Radja Nainggolan,2,1,13,24,8.33,7.21,7.21
55,FC Spartak Moscow,,Quincy Promes,2,0,9,18,11.11,7.20,7.20
56,CSKA Moscow,,Vitinho,2,0,11,21,9.52,7.18,7.18
57,Sporting,,Bas Dost,2,3,1,8,25,7.08,7.08
58,Basel,,Mohamed Elyounoussi,2,2,17,21,9.52,7.08,7.08
59,Roma,,Stephan El Shaarawy,2,1,5,12,16.67,7.06,7.06
60,Roma,,Konstantinos Manolas,2,3,1,7,28.57,7.04,7.04
61,Feyenoord,,Nicolai Jørgensen,2,0,6,8,25,7.03,7.03
62,Shakhtar Donetsk,,Marlos Romero,2,0,21,13,15.38,7.00,7.00
63,FC Spartak Moscow,,Zé Luís,2,1,2,7,28.57,6.97,6.97
64,Olympiacos FC,,Felipe Pardo,2,0,3,5,40,6.95,6.95
65,Liverpool,,Alex Oxlade-Chamberlain,2,0,10,10,20,6.95,6.95
66,Napoli,,Piotr Zieliński,2,0,5,5,40,6.94,6.94
67,RB Leipzig,,Emil Forsberg,2,0,14,12,16.67,6.94,6.94
68,Chelsea,,Michy Batshuayi,2,1,0,5,40,6.90,6.90
69,Sporting,,Bruno César,2,0,2,6,33.33,6.80,6.80
70,Beşiktaş,,Ryan Babel,2,0,9,7,28.57,6.79,6.79
71,APOEL Nicosia,,Mickaël Poté,2,1,4,6,33.33,6.78,6.78
72,Sevilla,,Éver Banega,1,0,30,11,9.09,7.80,7.80
73,Napoli,,Jorginho,1,0,2,2,50,7.60,7.60
74,Manchester City,,Kevin De Bruyne,1,1,17,17,5.88,7.53,7.53
75,Manchester United,,Daley Blind,1,0,1,3,33.33,7.50,7.50
76,Chelsea,,Cesc Fàbregas,1,1,2,6,16.67,7.46,7.46
77,Atlético Madrid,,Saúl Ñíguez,1,3,8,17,5.88,7.45,7.45
78,Barcelona,,Lucas Digne,1,1,3,1,100,7.40,7.40
79,Shakhtar Donetsk,,Fred,1,0,23,13,7.69,7.36,7.36
80,Feyenoord,,Steven Berghuis,1,1,7,14,7.14,7.35,7.35
81,Real Madrid,,Casemiro,1,0,13,7,14.29,7.33,7.33
82,FC Bayern München,,James Rodríguez,1,2,10,20,5,7.32,7.32
83,Sporting,,Bruno Fernandes,1,1,9,20,5,7.32,7.32
84,Sevilla,,Ganso,1,0,0,2,50,7.30,7.30
85,Manchester City,,Nicolás Otamendi,1,1,1,5,20,7.28,7.28
86,FC Porto,,Miguel Layún,1,0,4,1,100,7.25,7.25
87,Borussia Dortmund,,Andriy Yarmolenko,1,1,8,9,11.11,7.24,7.24
88,FC Bayern München,,Mats Hummels,1,1,8,19,5.26,7.23,7.23
89,Juventus,,Paulo Dybala,1,2,10,33,3.03,7.23,7.23
90,FC Porto,,Danilo Pereira,1,0,2,10,10,7.22,7.22
91,Manchester City,,Bernardo Silva,1,0,20,10,10,7.21,7.21
92,Real Madrid,,Sergio Ramos,1,2,4,16,6.25,7.21,7.21
93,Juventus,,Juan Cuadrado,1,1,9,5,20,7.18,7.18
94,Borussia Dortmund,,Sokratis,1,0,4,2,50,7.18,7.18
95,Juventus,,Miralem Pjanić,1,0,8,4,25,7.16,7.16
96,Sevilla,,Joaquín Correa,1,0,21,17,5.88,7.15,7.15
97,Beşiktaş,,Vágner Love,1,0,4,3,33.33,7.15,7.15
98,Barcelona,,Ivan Rakitić,1,0,4,5,20,7.15,7.15
99,FC Porto,,Felipe,1,0,3,4,25,7.14,7.14
100,Atlético Madrid,,Thomas Partey,1,0,8,7,14.29,7.13,7.13
101,Manchester United,,Anthony Martial,1,4,20,11,9.09,7.13,7.13
102,Real Madrid,,Lucas Vázquez,1,2,11,6,16.67,7.12,7.12
103,Sevilla,,Clément Lenglet,1,1,2,9,11.11,7.12,7.12
104,Basel,,Luca Zuffi,1,0,8,4,25,7.11,7.11
105,Roma,,Aleksandar Kolarov,1,0,26,16,6.25,7.10,7.10
106,Manchester United,,Henrikh Mkhitaryan,1,4,3,8,12.5,7.10,7.10
107,Napoli,,José Callejón,1,1,0,6,16.67,7.08,7.08
108,RSC Anderlecht,,Sofiane Hanni,1,0,6,10,10,7.08,7.08
109,Real Madrid,,Nacho Fernández,1,0,4,5,20,7.08,7.08
110,FC Porto,,Alex Telles,1,0,7,1,100,7.07,7.07
111,Liverpool,,Trent Alexander-Arnold,1,0,5,8,12.5,7.06,7.06
112,Roma,,Daniele De Rossi,1,0,1,3,33.33,7.05,7.05
113,Liverpool,,Emre Can,1,1,8,7,14.29,7.04,7.04
114,Borussia Dortmund,,Raphaël Guerreiro,1,0,2,2,50,7.03,7.03
115,FC Bayern München,,Sandro Wagner,1,0,2,2,50,7.03,7.03
116,Chelsea,,Pedro,1,1,7,8,12.5,7.03,7.03
117,AS Monaco,,Youri Tielemans,1,1,2,5,20,7.03,7.03
118,Barcelona,,Gerard Piqué,1,0,0,3,33.33,7.02,7.02
119,Chelsea,,César Azpilicueta,1,0,1,1,100,7.01,7.01
120,Real Madrid,,Luka Modrić,1,1,16,9,11.11,7.01,7.01
121,Napoli,,Arkadiusz Milik,1,1,0,5,20,7.00,7.00
122,Celtic,,Moussa Dembélé,1,1,4,8,12.5,7.00,7.00
123,Juventus,,Federico Bernardeschi,1,0,1,8,12.5,7.00,7.00
124,Real Madrid,,Marco Asensio,1,1,9,9,11.11,6.99,6.99
125,Shakhtar Donetsk,,Taison,1,2,21,17,5.88,6.99,6.99
126,Basel,,Taulant Xhaka,1,0,9,3,33.33,6.98,6.98
127,Manchester United,,Marouane Fellaini,1,0,1,7,14.29,6.97,6.97
128,Sevilla,,Simon Kjær,1,0,1,4,25,6.97,6.97
129,Olympiacos FC,,Vadis Odjidja-Ofoe,1,0,14,7,14.29,6.95,6.95
130,FC Bayern München,,Javi Martínez,1,1,2,13,7.69,6.95,6.95
131,Sporting,,Seydou Doumbia,1,2,1,2,50,6.93,6.93
132,FC Porto,,Maxi Pereira,1,0,5,2,50,6.93,6.93
133,Benfica,,Haris Seferović,1,0,1,8,12.5,6.93,6.93
134,Paris Saint-Germain,,Ángel Di María,1,1,6,7,14.29,6.92,6.92
135,CSKA Moscow,,Pontus Wernbloom,1,0,1,6,16.67,6.92,6.92
136,NK Maribor,,Damjan Bohar,1,0,7,11,9.09,6.92,6.92
137,Paris Saint-Germain,,Adrien Rabiot,1,0,10,4,25,6.90,6.90
138,Sevilla,,Pablo Sarabia,1,2,13,22,4.55,6.90,6.90
139,Real Madrid,,Borja Mayoral,1,1,1,4,25,6.90,6.90
140,FC Porto,,Yacine Brahimi,1,0,36,8,12.5,6.90,6.90
141,Tottenham Hotspur,,Georges-Kévin N'Koudou,1,2,7,7,14.29,6.90,6.90
142,Barcelona,,Paco Alcácer,1,0,0,3,33.33,6.90,6.90
143,Olympiacos FC,,Dimitris Nikolaou,1,0,0,2,50,6.90,6.90
144,FC Spartak Moscow,,Luiz Adriano,1,0,6,6,16.67,6.88,6.88
145,Chelsea,,Tiemoué Bakayoko,1,0,4,8,12.5,6.88,6.88
146,Napoli,,Amadou Diawara,1,0,3,5,20,6.88,6.88
147,Feyenoord,,Jeremiah St. Juste,1,0,3,1,100,6.86,6.86
148,FC Porto,,Héctor Herrera,1,1,4,7,14.29,6.85,6.85
149,Chelsea,,Davide Zappacosta,1,0,5,7,14.29,6.84,6.84
150,Barcelona,,Luis Suárez,1,5,9,32,3.13,6.83,6.83
151,Liverpool,,Georginio Wijnaldum,1,2,14,12,8.33,6.83,6.83
152,NK Maribor,,Marcos Tavares,1,0,5,10,10,6.82,6.82
153,Liverpool,,Daniel Sturridge,1,3,2,4,25,6.80,6.80
154,FC Porto,,Iván Marcano,1,0,1,5,20,6.79,6.79
155,CSKA Moscow,,Alan Dzagoev,1,1,4,10,10,6.78,6.78
156,Chelsea,,David Luiz,1,0,2,4,25,6.78,6.78
157,NK Maribor,,Jasmin Mešanović,1,0,1,2,50,6.78,6.78
158,Atlético Madrid,,Kévin Gameiro,1,2,1,6,16.67,6.77,6.77
159,Basel,,Ricky van Wolfswinkel,1,0,0,3,33.33,6.77,6.77
160,RB Leipzig,,Willi Orbán,1,0,0,2,50,6.77,6.77
161,FC Spartak Moscow,,Lorenzo Melgarejo,1,0,1,7,14.29,6.76,6.76
162,Tottenham Hotspur,,Fernando Llorente,1,1,1,5,20,6.76,6.76
163,Qarabağ,,Michel,1,1,9,5,20,6.75,6.75
164,Shakhtar Donetsk,,Ismaily,1,0,15,4,25,6.75,6.75
165,Beşiktaş,,Álvaro Negredo,1,0,0,1,100,6.73,6.73
166,Barcelona,,Ousmane Dembélé,1,0,3,3,33.33,6.73,6.73
167,FC Spartak Moscow,,Fernando,1,1,2,7,14.29,6.73,6.73
168,FC Porto,,Tiquinho Soares,1,1,0,11,9.09,6.70,6.70
169,Celtic,,Leigh Griffiths,1,0,1,3,33.33,6.70,6.70
170,FC Spartak Moscow,,Denis Glushakov,1,1,3,8,12.5,6.70,6.70
171,Feyenoord,,Sofyan Amrabat,1,0,11,2,50,6.70,6.70
172,Juventus,,Blaise Matuidi,1,0,2,4,25,6.70,6.70
173,Basel,,Blás Riveros,1,1,5,6,16.67,6.68,6.68
174,AS Monaco,,Kamil Glik,1,0,1,4,25,6.67,6.67
175,CSKA Moscow,,Georgi Schennikov,1,0,1,2,50,6.64,6.64
176,Celtic,,Callum McGregor,1,0,1,2,50,6.63,6.63
177,Roma,,Cengiz Ünder,1,0,4,5,20,6.62,6.62
178,Sevilla,,Guido Pizarro,1,0,4,4,25,6.61,6.61
179,CSKA Moscow,,Timur Zhamaletdinov,1,0,1,3,33.33,6.58,6.58
180,RB Leipzig,,Jean-Kévin Augustin,1,2,5,13,7.69,6.54,6.54
181,CSKA Moscow,,Konstantin Kuchaev,1,1,1,3,33.33,6.54,6.54
182,FC Spartak Moscow,,Aleksandr Samedov,1,1,2,3,33.33,6.50,6.50
183,AS Monaco,,Rony Lopes,1,0,6,8,12.5,6.46,6.46
184,Chelsea,,Álvaro Morata,1,7,6,21,4.76,6.44,6.44
185,Qarabağ,,Pedro Henrique,1,0,7,6,16.67,6.43,6.43
186,Sporting,,Gelson Martins,1,3,12,7,14.29,6.42,6.42
187,Celtic,,Patrick Roberts,1,0,6,4,25,6.37,6.37
188,Celtic,,Scott Sinclair,1,1,9,5,20,6.34,6.34
189,Beşiktaş,,Orkan Çınar,0,0,1,2,0,7.70,7.70
190,Tottenham Hotspur,,Kieran Trippier,0,0,2,0,0,7.67,7.67
191,Beşiktaş,,Tolga Zengin,0,0,0,0,0,7.55,7.55
192,Juventus,,Wojciech Szczęsny,0,0,0,0,0,7.50,7.50
193,Sevilla,,David Soria,0,0,0,0,0,7.45,7.45
194,Manchester United,,Luke Shaw,0,0,4,2,0,7.40,7.40
195,Barcelona,,Thomas Vermaelen,0,0,0,0,0,7.40,7.40
196,Real Madrid,,Toni Kroos,0,0,2,8,0,7.38,7.38
197,Liverpool,,Alberto Moreno,0,0,2,7,0,7.34,7.34
198,Manchester United,,David De Gea,0,0,0,0,0,7.33,7.33
199,Atlético Madrid,,Filipe Luís,0,1,10,6,0,7.33,7.33
200,Real Madrid,,Daniel Carvajal,0,1,10,5,0,7.33,7.33
201,Barcelona,,Andrés Iniesta,0,0,16,8,0,7.31,7.31
202,Tottenham Hotspur,,Juan Foyth,0,0,1,1,0,7.30,7.30
203,Barcelona,,Jasper Cillessen,0,0,0,0,0,7.30,7.30
204,FC Spartak Moscow,,Ilya Kutepov,0,0,0,0,0,7.27,7.27
205,Qarabağ,,Ibrahim Šehić,0,0,0,0,0,7.27,7.27
206,Manchester United,,Victor Lindelöf,0,0,2,0,0,7.26,7.26
207,Manchester United,,Ashley Young,0,0,3,2,0,7.25,7.25
208,Sevilla,,Nicolás Pareja,0,0,0,0,0,7.25,7.25
209,APOEL Nicosia,,Giorgos Merkis,0,0,0,1,0,7.25,7.25
210,Manchester City,,Brahim Díaz,0,0,11,1,0,7.25,7.25
211,Manchester United,,Antonio Valencia,0,0,6,2,0,7.25,7.25
212,Manchester United,,Nemanja Matić,0,0,8,3,0,7.21,7.21
213,Borussia Dortmund,,Shinji Kagawa,0,0,5,11,0,7.20,7.20
214,FC Porto,,Diogo Dalot,0,0,4,0,0,7.20,7.20
215,Manchester United,,Marcos Rojo,0,0,0,1,0,7.20,7.20
216,Benfica,,João Carvalho,0,0,2,2,0,7.20,7.20
217,Manchester United,,Alexis Sánchez,0,0,6,1,0,7.20,7.20
218,RB Leipzig,,Stefan Ilsanker,0,0,2,4,0,7.20,7.20
219,Beşiktaş,,Pepe,0,0,4,3,0,7.20,7.20
220,Barcelona,,Samuel Umtiti,0,0,1,1,0,7.19,7.19
221,Juventus,,Giorgio Chiellini,0,1,2,3,0,7.19,7.19
222,Tottenham Hotspur,,Danny Rose,0,0,4,0,0,7.17,7.17
223,Atlético Madrid,,Juanfran,0,0,4,0,0,7.17,7.17
224,Manchester United,,Ander Herrera,0,0,5,2,0,7.17,7.17
225,Barcelona,,Sergio Busquets,0,0,5,2,0,7.16,7.16
226,Roma,,Federico Fazio,0,0,8,5,0,7.15,7.15
227,Sporting,,André Pinto,0,1,0,3,0,7.15,7.15
228,Borussia Dortmund,,Marc Bartra,0,1,3,2,0,7.15,7.15
229,Roma,,Juan Jesus,0,0,0,0,0,7.15,7.15
230,Liverpool,,James Milner,0,2,9,8,0,7.15,7.15
231,Real Madrid,,Raphaël Varane,0,1,4,7,0,7.15,7.15
232,Olympiacos FC,,Silvio Proto,0,0,0,0,0,7.14,7.14
233,Olympiacos FC,,Panagiotis Tachtsidis,0,0,3,3,0,7.13,7.13
234,Chelsea,,N'Golo Kanté,0,0,9,3,0,7.12,7.12
235,RSC Anderlecht,,Adrien Trebel,0,0,7,8,0,7.12,7.12
236,Tottenham Hotspur,,Hugo Lloris,0,0,0,0,0,7.11,7.11
237,Paris Saint-Germain,,Alphonse Aréola,0,0,0,0,0,7.11,7.11
238,Sevilla,,Sergio Escudero,0,0,6,11,0,7.11,7.11
239,Tottenham Hotspur,,Toby Alderweireld,0,0,0,2,0,7.10,7.10
240,FC Spartak Moscow,,Dmitry Kombarov,0,0,3,3,0,7.10,7.10
241,AS Monaco,,Stevan Jovetić,0,0,1,2,0,7.10,7.10
242,FC Bayern München,,Marco Friedl,0,0,1,0,0,7.10,7.10
243,Shakhtar Donetsk,,Darijo Srna,0,0,0,1,0,7.10,7.10
244,Paris Saint-Germain,,Yuri Berchiche,0,0,1,1,0,7.10,7.10
245,Qarabağ,,Afran Ismayilov,0,0,0,0,0,7.10,7.10
246,Paris Saint-Germain,,Thiago Silva,0,0,0,2,0,7.10,7.10
247,Manchester City,,David Silva,0,0,8,1,0,7.09,7.09
248,RB Leipzig,,Kevin Kampl,0,1,7,1,0,7.08,7.08
249,Atlético Madrid,,Diego Godín,0,1,1,4,0,7.08,7.08
250,Manchester United,,Chris Smalling,0,2,1,7,0,7.08,7.08
251,Manchester United,,Matteo Darmian,0,1,1,1,0,7.07,7.07
252,Sporting,,Sebastián Coates,0,1,6,2,0,7.06,7.06
253,FC Porto,,Sérgio Oliveira,0,0,1,8,0,7.06,7.06
254,Napoli,,Raúl Albiol,0,0,0,2,0,7.06,7.06
255,FC Bayern München,,Arjen Robben,0,2,19,20,0,7.06,7.06
256,Manchester City,,Vincent Kompany,0,0,2,1,0,7.05,7.05
257,Manchester City,,Eliaquim Mangala,0,0,0,1,0,7.05,7.05
258,Benfica,,Lisandro López,0,0,0,4,0,7.05,7.05
259,RB Leipzig,,Dayot Upamecano,0,0,0,2,0,7.04,7.04
260,Tottenham Hotspur,,Harry Winks,0,0,5,1,0,7.04,7.04
261,Basel,,Manuel Akanji,0,0,1,1,0,7.03,7.03
262,FC Porto,,Iker Casillas,0,0,0,0,0,7.03,7.03
263,Roma,,Alisson,0,0,1,0,0,7.03,7.03
264,CSKA Moscow,,Bibars Natcho,0,0,2,5,0,7.03,7.03
265,Atlético Madrid,,Nicolás Gaitán,0,0,3,4,0,7.03,7.03
266,Manchester United,,Paul Pogba,0,0,7,5,0,7.02,7.02
267,Benfica,,Andrija Živković,0,0,8,7,0,7.02,7.02
268,Tottenham Hotspur,,Jan Vertonghen,0,0,1,2,0,7.02,7.02
269,Manchester City,,Danilo,0,0,7,3,0,7.02,7.02
270,Paris Saint-Germain,,Marquinhos,0,0,0,2,0,7.01,7.01
271,FC Bayern München,,Rafinha,0,0,1,3,0,7.01,7.01
272,Real Madrid,,Isco,0,4,19,22,0,7.01,7.01
273,Beşiktaş,,Ricardo Quaresma,0,0,10,15,0,7.00,7.00
274,Basel,,Raoul Petretta,0,0,3,2,0,7.00,7.00
275,FC Bayern München,,Manuel Neuer,0,0,0,0,0,7.00,7.00
276,Manchester United,,Axel Tuanzebe,0,0,2,0,0,7.00,7.00
277,Napoli,,Vlad Chiricheş,0,0,0,0,0,7.00,7.00
278,Feyenoord,,Kenneth Vermeer,0,0,0,0,0,7.00,7.00
279,Basel,,Léo Lacroix,0,0,0,0,0,7.00,7.00
280,FC Spartak Moscow,,Artem Rebrov,0,0,0,0,0,7.00,7.00
281,RB Leipzig,,Diego Demme,0,0,1,1,0,7.00,7.00
282,Qarabağ,,Ansi Agolli,0,0,2,2,0,7.00,7.00
283,Liverpool,,Joe Gomez,0,0,4,0,0,7.00,7.00
284,Atlético Madrid,,Gabi,0,0,0,3,0,7.00,7.00
285,Basel,,Éder Balanta,0,0,12,1,0,7.00,7.00
286,Beşiktaş,,Duško Tošić,0,1,2,2,0,7.00,7.00
287,Sevilla,,Steven​ N'Zonzi,0,0,5,7,0,7.00,7.00
288,Juventus,,Alex Sandro,0,0,13,5,0,6.99,6.99
289,Barcelona,,Jordi Alba,0,0,2,1,0,6.99,6.99
290,Liverpool,,Dejan Lovren,0,1,2,6,0,6.98,6.98
291,Roma,,Bruno Peres,0,0,11,3,0,6.98,6.98
292,Napoli,,Kalidou Koulibaly,0,0,1,1,0,6.98,6.98
293,Liverpool,,Jordan Henderson,0,0,1,2,0,6.98,6.98
294,Borussia Dortmund,,Marcel Schmelzer,0,0,1,2,0,6.98,6.98
295,Atlético Madrid,,José María Giménez,0,0,0,4,0,6.98,6.98
296,FC Bayern München,,David Alaba,0,0,0,9,0,6.97,6.97
297,Tottenham Hotspur,,Eric Dier,0,0,3,3,0,6.97,6.97
298,Manchester City,,Aymeric Laporte,0,0,1,2,0,6.97,6.97
299,Olympiacos FC,,Saša Zdjelar,0,0,1,0,0,6.97,6.97
300,CSKA Moscow,,Aleksei Berezutskiy,0,0,1,2,0,6.97,6.97
301,Celtic,,Mikael Lustig,0,0,0,2,0,6.97,6.97
302,RB Leipzig,,Bruma,0,1,22,11,0,6.96,6.96
303,FC Bayern München,,Sebastian Rudy,0,0,1,5,0,6.96,6.96
304,Shakhtar Donetsk,,Yaroslav Rakitskyi,0,0,0,1,0,6.96,6.96
305,FC Bayern München,,Sven Ulreich,0,0,0,0,0,6.95,6.95
306,FC Bayern München,,Jérôme Boateng,0,0,2,2,0,6.94,6.94
307,AS Monaco,,Fabinho,0,0,5,1,0,6.94,6.94
308,Qarabağ,,Jakub Rzeźniczak,0,0,1,0,0,6.94,6.94
309,Juventus,,Andrea Barzagli,0,0,0,0,0,6.94,6.94
310,Shakhtar Donetsk,,Andriy Pyatov,0,0,0,0,0,6.94,6.94
311,Celtic,,Kieran Tierney,0,0,6,3,0,6.93,6.93
312,Shakhtar Donetsk,,Alan Patrick,0,0,2,2,0,6.93,6.93
313,Benfica,,Filipe Augusto,0,0,4,3,0,6.93,6.93
314,Sevilla,,Sébastien Corchia,0,0,1,3,0,6.93,6.93
315,Olympiacos FC,,Alberto Botía,0,0,0,0,0,6.93,6.93
316,Feyenoord,,Ridgeciano Haps,0,0,10,0,0,6.93,6.93
317,Feyenoord,,Bart Nieuwkoop,0,0,0,0,0,6.93,6.93
318,FC Bayern München,,Arturo Vidal,0,1,1,11,0,6.93,6.93
319,Barcelona,,Marc-André ter Stegen,0,0,0,0,0,6.92,6.92
320,Borussia Dortmund,,Julian Weigl,0,0,4,2,0,6.92,6.92
321,AS Monaco,,João Moutinho,0,0,3,3,0,6.92,6.92
322,Basel,,Renato Steffen,0,2,6,11,0,6.92,6.92
323,Juventus,,Mattia De Sciglio,0,0,2,3,0,6.92,6.92
324,Manchester United,,Juan Mata,0,0,5,3,0,6.90,6.90
325,Tottenham Hotspur,,Moussa Sissoko,0,0,5,4,0,6.90,6.90
326,Sevilla,,Franco Vázquez,0,0,14,14,0,6.90,6.90
327,Atlético Madrid,,Šime Vrsaljko,0,0,0,0,0,6.90,6.90
328,Tottenham Hotspur,,Michel Vorm,0,0,0,0,0,6.90,6.90
329,Barcelona,,Javier Mascherano,0,0,0,0,0,6.90,6.90
330,Beşiktaş,,Matej Mitrović,0,0,0,0,0,6.90,6.90
331,Manchester City,,Yaya Touré,0,0,4,3,0,6.90,6.90
332,Borussia Dortmund,,Nuri Şahin,0,0,2,3,0,6.90,6.90
333,Olympiacos FC,,Sebá,0,0,4,2,0,6.90,6.90
334,Qarabağ,,Elvin Yunuszade,0,0,1,0,0,6.90,6.90
335,FC Spartak Moscow,,Serdar Taşçı,0,0,2,0,0,6.90,6.90
336,Liverpool,,Virgil van Dijk,0,1,2,2,0,6.90,6.90
337,Atlético Madrid,,Jan Oblak,0,0,0,0,0,6.90,6.90
338,CSKA Moscow,,Igor Akinfeev,0,0,0,0,0,6.90,6.90
339,Barcelona,,Nélson Semedo,0,0,11,2,0,6.90,6.90
340,Sevilla,,Jesús Navas,0,1,9,4,0,6.89,6.89
341,Liverpool,,Andrew Robertson,0,0,5,3,0,6.88,6.88
342,Liverpool,,Joël Matip,0,0,0,0,0,6.88,6.88
343,Benfica,,Pizzi,0,0,5,3,0,6.88,6.88
344,Beşiktaş,,Oğuzhan Özyakup,0,0,5,3,0,6.88,6.88
345,Olympiacos FC,,Björn Engels,0,0,0,2,0,6.88,6.88
346,Olympiacos FC,,Diogo Figueiras,0,0,2,5,0,6.88,6.88
347,Shakhtar Donetsk,,Taras Stepanenko,0,0,2,3,0,6.88,6.88
348,Atlético Madrid,,Koke,0,1,1,6,0,6.88,6.88
349,Paris Saint-Germain,,Thiago Motta,0,0,1,1,0,6.88,6.88
350,CSKA Moscow,,Sergey Ignashevich,0,0,0,0,0,6.88,6.88
351,Real Madrid,,Keylor Navas,0,0,1,0,0,6.87,6.87
352,FC Porto,,Ricardo Pereira,0,1,6,2,0,6.87,6.87
353,CSKA Moscow,,Mário Fernandes,0,0,5,2,0,6.87,6.87
354,Manchester United,,Eric Bailly,0,0,1,0,0,6.87,6.87
355,Paris Saint-Germain,,Javier Pastore,0,0,6,3,0,6.87,6.87
356,APOEL Nicosia,,Nauzet Pérez,0,0,0,0,0,6.87,6.87
357,FC Bayern München,,Niklas Süle,0,0,1,6,0,6.86,6.86
358,Sporting,,William Carvalho,0,0,5,2,0,6.86,6.86
359,RSC Anderlecht,,Uroš Spajić,0,0,0,1,0,6.86,6.86
360,Benfica,,Eduardo Salvio,0,0,17,10,0,6.86,6.86
361,Manchester City,,Kyle Walker,0,0,16,2,0,6.86,6.86
362,Manchester City,,Leroy Sané,0,1,30,16,0,6.86,6.86
363,Manchester City,,Ederson,0,0,0,0,0,6.86,6.86
364,Manchester United,,Sergio Romero,0,0,0,0,0,6.85,6.85
365,Real Madrid,,Kiko Casilla,0,0,0,0,0,6.85,6.85
