#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Liverpool,,Roberto Firmino,9,7,305,74.57,23,7.77,7.77
2,Liverpool,,Mohamed Salah,8,4,219,74.74,31,7.86,7.86
3,Chelsea,,Cesc Fàbregas,7,1,425,82.36,27,7.46,7.46
4,Paris Saint-Germain,,Neymar,6,3,304,77.95,24,8.73,8.73
5,Paris Saint-Germain,,Kylian Mbappé,6,3,213,80.68,14,7.49,7.49
6,Real Madrid,,Cristiano Ronaldo,5,3,315,81.4,16,8.11,8.11
7,Chelsea,,Eden Hazard,5,3,204,77.57,25,7.79,7.79
8,Tottenham Hotspur,,Kieran Trippier,5,3,141,81.03,7,7.67,7.67
9,FC Bayern München,,Joshua Kimmich,5,3,532,91.57,27,7.59,7.59
10,Real Madrid,,Gareth Bale,5,2,99,83.19,11,7.46,7.46
11,Liverpool,,Alberto Moreno,5,3,375,88.24,10,7.34,7.34
12,Real Madrid,,Marcelo,5,4,570,82.49,20,7.33,7.33
13,FC Bayern München,,James Rodríguez,5,2,536,89.78,26,7.32,7.32
14,Manchester City,,Bernardo Silva,5,2,287,85.67,17,7.21,7.21
15,Liverpool,,James Milner,5,8,480,84.51,23,7.15,7.15
16,FC Bayern München,,Corentin Tolisso,4,2,399,91.72,8,7.54,7.54
17,Manchester City,,Kevin De Bruyne,4,4,476,82.78,13,7.53,7.53
18,Napoli,,Dries Mertens,4,3,87,69.6,10,7.42,7.42
19,Roma,,Diego Perotti,4,1,257,83.44,17,7.38,7.38
20,Juventus,,Paulo Dybala,4,0,270,87.66,21,7.23,7.23
21,Manchester United,,Anthony Martial,4,2,115,79.31,9,7.13,7.13
22,Real Madrid,,Lucas Vázquez,4,2,266,86.93,14,7.12,7.12
23,RSC Anderlecht,,Sofiane Hanni,4,0,135,79.88,10,7.08,7.08
24,Real Madrid,,Isco,4,2,585,91.55,19,7.01,7.01
25,Tottenham Hotspur,,Harry Kane,3,2,77,78.57,14,7.90,7.90
26,Barcelona,,Lionel Messi,3,2,402,81.54,17,7.88,7.88
27,Sevilla,,Éver Banega,3,2,816,87.55,34,7.80,7.80
28,Sevilla,,Wissam Ben Yedder,3,0,149,78.84,12,7.48,7.48
29,Real Madrid,,Toni Kroos,3,1,813,93.88,25,7.38,7.38
30,Feyenoord,,Steven Berghuis,3,2,126,72,10,7.35,7.35
31,Barcelona,,Andrés Iniesta,3,2,451,90.2,8,7.31,7.31
32,Roma,,Radja Nainggolan,3,2,356,86.2,20,7.21,7.21
33,Borussia Dortmund,,Shinji Kagawa,3,2,214,88.43,10,7.20,7.20
34,FC Bayern München,,Thomas Müller,3,2,206,74.1,14,7.16,7.16
35,RB Leipzig,,Kevin Kampl,3,1,233,84.42,9,7.08,7.08
36,Benfica,,Andrija Živković,3,1,126,82.89,9,7.02,7.02
37,Real Madrid,,Luka Modrić,3,1,622,89.88,9,7.01,7.01
38,Shakhtar Donetsk,,Marlos Romero,3,2,232,84.67,16,7.00,7.00
39,Beşiktaş,,Ricardo Quaresma,3,3,106,74.65,11,7.00,7.00
40,Manchester United,,Juan Mata,3,1,212,88.33,9,6.90,6.90
41,Liverpool,,Sadio Mané,2,1,260,77.15,9,7.77,7.77
42,FC Bayern München,,Thiago Alcântara,2,0,515,91.31,12,7.57,7.57
43,RB Leipzig,,Naby Keïta,2,0,217,80.97,8,7.56,7.56
44,Tottenham Hotspur,,Dele Alli,2,4,155,80.73,12,7.46,7.46
45,Atlético Madrid,,Saúl Ñíguez,2,0,256,82.85,8,7.45,7.45
46,Roma,,Edin Džeko,2,2,176,71.26,18,7.42,7.42
47,FC Porto,,Vincent Aboubakar,2,2,89,65.93,4,7.40,7.40
48,Manchester United,,Romelu Lukaku,2,0,128,70.33,13,7.39,7.39
49,Atlético Madrid,,Antoine Griezmann,2,2,190,84.07,6,7.38,7.38
50,Shakhtar Donetsk,,Fred,2,1,390,85.9,9,7.36,7.36
51,Juventus,,Gonzalo Higuaín,2,1,164,78.47,11,7.34,7.34
52,Real Madrid,,Casemiro,2,0,506,91.17,7,7.33,7.33
53,Real Madrid,,Daniel Carvajal,2,3,376,84.88,11,7.33,7.33
54,Sporting,,Bruno Fernandes,2,1,220,79.42,10,7.32,7.32
55,Paris Saint-Germain,,Edinson Cavani,2,1,115,79.86,5,7.29,7.29
56,Manchester City,,İlkay Gündoğan,2,2,379,90.89,7,7.26,7.26
57,Manchester City,,Raheem Sterling,2,1,166,80.58,9,7.25,7.25
58,Borussia Dortmund,,Andriy Yarmolenko,2,1,123,81.46,8,7.24,7.24
59,Manchester United,,Ander Herrera,2,0,329,91.64,3,7.17,7.17
60,Juventus,,Miralem Pjanić,2,1,358,84.24,15,7.16,7.16
61,Sevilla,,Joaquín Correa,2,3,231,82.8,11,7.15,7.15
62,Barcelona,,Ivan Rakitić,2,0,679,91.02,8,7.15,7.15
63,Sevilla,,Sergio Escudero,2,2,460,85.34,9,7.11,7.11
64,Roma,,Aleksandar Kolarov,2,3,504,80.13,19,7.10,7.10
65,Liverpool,,Trent Alexander-Arnold,2,1,368,76.83,6,7.06,7.06
66,Roma,,Stephan El Shaarawy,2,1,138,85.71,9,7.06,7.06
67,Chelsea,,Pedro,2,2,140,85.89,11,7.03,7.03
68,Manchester United,,Paul Pogba,2,1,197,86.03,3,7.02,7.02
69,FC Bayern München,,Rafinha,2,0,345,89.15,7,7.01,7.01
70,Shakhtar Donetsk,,Taison,2,0,285,84.82,7,6.99,6.99
71,Basel,,Taulant Xhaka,2,1,207,87.34,5,6.98,6.98
72,Liverpool,,Jordan Henderson,2,0,488,82.71,8,6.98,6.98
73,FC Bayern München,,David Alaba,2,2,265,85.48,13,6.97,6.97
74,Sporting,,Seydou Doumbia,2,1,11,64.71,3,6.93,6.93
75,Celtic,,Kieran Tierney,2,1,199,79.6,7,6.93,6.93
76,Juventus,,Mattia De Sciglio,2,0,199,86.9,2,6.92,6.92
77,Real Madrid,,Borja Mayoral,2,1,34,87.18,4,6.90,6.90
78,FC Porto,,Yacine Brahimi,2,1,177,77.63,9,6.90,6.90
79,Sevilla,,Franco Vázquez,2,1,217,81.58,11,6.90,6.90
80,Liverpool,,Andrew Robertson,2,0,201,82.04,7,6.88,6.88
81,RB Leipzig,,Marcel Sabitzer,2,2,126,71.59,12,6.84,6.84
82,Borussia Dortmund,,Mario Götze,2,1,206,87.29,13,6.84,6.84
83,Juventus,,Sami Khedira,2,3,261,86.71,8,6.84,6.84
84,Liverpool,,Daniel Sturridge,2,2,20,83.33,3,6.80,6.80
85,Real Madrid,,Theo Hernández,2,1,113,93.39,4,6.80,6.80
86,Atlético Madrid,,Kévin Gameiro,2,0,26,78.79,4,6.77,6.77
87,Tottenham Hotspur,,Fernando Llorente,2,1,45,68.18,7,6.76,6.76
88,FC Bayern München,,Franck Ribéry,2,1,302,83.66,17,6.73,6.73
89,Roma,,Alessandro Florenzi,2,0,246,74.32,8,6.72,6.72
90,Celtic,,James Forrest,2,1,135,80.36,4,6.72,6.72
91,FC Spartak Moscow,,Andrey Eshchenko,2,1,147,81.22,8,6.62,6.62
92,FC Porto,,Moussa Marega,2,2,50,56.18,3,6.48,6.48
93,Basel,,Kevin Bua,2,0,20,71.43,2,6.47,6.47
94,Liverpool,,Philippe Coutinho,1,2,192,80.67,16,8.24,8.24
95,Paris Saint-Germain,,Marco Verratti,1,2,669,91.64,9,7.58,7.58
96,FC Bayern München,,Kingsley Coman,1,2,157,85.33,7,7.56,7.56
97,Manchester United,,Daley Blind,1,1,304,84.92,11,7.50,7.50
98,Napoli,,Lorenzo Insigne,1,0,227,82.55,2,7.46,7.46
99,Barcelona,,Thomas Vermaelen,1,0,87,89.69,1,7.40,7.40
100,Paris Saint-Germain,,Layvin Kurzawa,1,2,254,88.5,2,7.37,7.37
101,Paris Saint-Germain,,Dani Alves,1,0,482,86.54,15,7.35,7.35
102,Tottenham Hotspur,,Christian Eriksen,1,1,245,83.05,18,7.32,7.32
103,Beşiktaş,,Cenk Tosun,1,2,87,71.31,5,7.28,7.28
104,Manchester United,,Ashley Young,1,1,183,83.94,2,7.25,7.25
105,Real Madrid,,Karim Benzema,1,1,202,83.13,12,7.24,7.24
106,FC Porto,,Danilo Pereira,1,3,207,81.82,4,7.22,7.22
107,Manchester United,,Nemanja Matić,1,0,444,89.16,3,7.21,7.21
108,Real Madrid,,Sergio Ramos,1,0,663,92.34,1,7.21,7.21
109,FC Spartak Moscow,,Quincy Promes,1,2,155,83.33,14,7.20,7.20
110,Manchester United,,Alexis Sánchez,1,0,59,76.62,6,7.20,7.20
111,Barcelona,,Samuel Umtiti,1,0,635,90.97,2,7.19,7.19
112,Juventus,,Giorgio Chiellini,1,0,384,82.94,4,7.19,7.19
113,Juventus,,Juan Cuadrado,1,1,182,83.49,8,7.18,7.18
114,Tottenham Hotspur,,Danny Rose,1,0,66,76.74,3,7.17,7.17
115,Atlético Madrid,,Juanfran,1,0,108,81.82,3,7.17,7.17
116,Roma,,Federico Fazio,1,1,496,85.37,4,7.15,7.15
117,Borussia Dortmund,,Marc Bartra,1,0,214,82.31,1,7.15,7.15
