#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
118,Olympiacos FC,,Panagiotis Tachtsidis,1,0,99,84.62,1,7.13,7.13
119,Sevilla,,Clément Lenglet,1,0,444,89.52,4,7.12,7.12
120,Manchester United,,Marcus Rashford,1,1,92,75.41,5,7.11,7.11
121,FC Bayern München,,Robert Lewandowski,1,1,162,77.14,13,7.11,7.11
122,Basel,,Michael Lang,1,1,170,68.83,4,7.10,7.10
123,Manchester United,,Henrikh Mkhitaryan,1,0,160,83.33,5,7.10,7.10
124,Tottenham Hotspur,,Toby Alderweireld,1,1,135,81.33,2,7.10,7.10
125,AS Monaco,,Stevan Jovetić,1,0,17,70.83,4,7.10,7.10
126,Manchester City,,David Silva,1,2,315,87.02,15,7.09,7.09
127,Sporting,,Bas Dost,1,0,81,64.8,5,7.08,7.08
128,Tottenham Hotspur,,Heung-min Son,1,0,104,85.95,4,7.07,7.07
129,Sporting,,Sebastián Coates,1,1,98,80.33,1,7.06,7.06
130,FC Porto,,Sérgio Oliveira,1,0,134,83.23,4,7.06,7.06
131,Roma,,Daniele De Rossi,1,1,461,84.9,7,7.05,7.05
132,Liverpool,,Emre Can,1,0,349,85.75,4,7.04,7.04
133,Basel,,Manuel Akanji,1,1,210,81.08,1,7.03,7.03
134,Manchester City,,Gabriel Jesus,1,0,131,77.98,8,7.03,7.03
135,CSKA Moscow,,Bibars Natcho,1,1,149,76.8,4,7.03,7.03
136,Paris Saint-Germain,,Marquinhos,1,1,338,94.15,1,7.01,7.01
137,Celtic,,Moussa Dembélé,1,0,43,61.43,2,7.00,7.00
138,Basel,,Raoul Petretta,1,1,94,75.2,4,7.00,7.00
139,RB Leipzig,,Diego Demme,1,0,274,85.63,8,7.00,7.00
140,Liverpool,,Joe Gomez,1,0,187,89.05,3,7.00,7.00
141,Atlético Madrid,,Gabi,1,0,287,88.58,6,7.00,7.00
142,Basel,,Éder Balanta,1,0,199,69.34,3,7.00,7.00
143,Real Madrid,,Marco Asensio,1,1,268,91.47,14,6.99,6.99
144,Juventus,,Alex Sandro,1,1,404,83.3,11,6.99,6.99
145,Liverpool,,Dejan Lovren,1,1,557,84.14,4,6.98,6.98
146,Roma,,Bruno Peres,1,0,221,85.66,3,6.98,6.98
147,Basel,,Dimitri Oberlin,1,0,54,69.23,4,6.98,6.98
148,Borussia Dortmund,,Marcel Schmelzer,1,1,165,86.84,4,6.98,6.98
149,FC Bayern München,,Sebastian Rudy,1,0,218,92.37,4,6.96,6.96
150,Shakhtar Donetsk,,Yaroslav Rakitskyi,1,1,323,88.01,2,6.96,6.96
151,FC Bayern München,,Jérôme Boateng,1,1,383,84.55,4,6.94,6.94
152,FC Bayern München,,Arturo Vidal,1,0,288,86.49,5,6.93,6.93
153,Basel,,Renato Steffen,1,1,118,74.21,6,6.92,6.92
154,Paris Saint-Germain,,Adrien Rabiot,1,2,484,92.9,4,6.90,6.90
155,Sevilla,,Pablo Sarabia,1,2,280,81.87,16,6.90,6.90
156,Olympiacos FC,,Dimitris Nikolaou,1,0,72,80,1,6.90,6.90
157,Tottenham Hotspur,,Moussa Sissoko,1,1,152,88.37,7,6.90,6.90
158,Borussia Dortmund,,Nuri Şahin,1,0,190,87.56,1,6.90,6.90
159,Sevilla,,Jesús Navas,1,0,156,78.39,6,6.89,6.89
160,FC Spartak Moscow,,Luiz Adriano,1,0,106,73.1,9,6.88,6.88
161,Beşiktaş,,Oğuzhan Özyakup,1,0,220,79.42,7,6.88,6.88
162,Shakhtar Donetsk,,Bernard,1,0,255,82.26,11,6.88,6.88
163,Olympiacos FC,,Diogo Figueiras,1,2,105,76.64,6,6.88,6.88
164,Shakhtar Donetsk,,Taras Stepanenko,1,1,321,87.95,3,6.88,6.88
165,Atlético Madrid,,Koke,1,0,233,84.73,7,6.88,6.88
166,FC Porto,,Ricardo Pereira,1,2,180,76.92,12,6.87,6.87
167,Manchester City,,Leroy Sané,1,2,251,85.37,13,6.86,6.86
168,FC Porto,,Héctor Herrera,1,1,262,82.91,9,6.85,6.85
169,Chelsea,,Davide Zappacosta,1,0,89,78.07,4,6.84,6.84
170,APOEL Nicosia,,Carlão,1,1,83,92.22,1,6.84,6.84
171,Shakhtar Donetsk,,Ivan Ordets,1,0,338,89.89,2,6.84,6.84
172,Barcelona,,Luis Suárez,1,3,223,72.64,10,6.83,6.83
173,NK Maribor,,Marcos Tavares,1,1,142,79.78,10,6.82,6.82
174,Sporting,,Bruno César,1,0,78,84.78,4,6.80,6.80
175,NK Maribor,,Dare Vršič,1,0,22,81.48,2,6.80,6.80
176,Sevilla,,Nolito,1,0,97,69.78,8,6.80,6.80
177,Beşiktaş,,Ryan Babel,1,1,163,82.74,12,6.79,6.79
178,Atlético Madrid,,Ángel Correa,1,1,74,76.29,11,6.78,6.78
179,CSKA Moscow,,Alan Dzagoev,1,0,132,71.74,11,6.78,6.78
180,Celtic,,Olivier Ntcham,1,2,211,88.66,9,6.78,6.78
181,RB Leipzig,,Yussuf Poulsen,1,1,53,68.83,3,6.78,6.78
182,FC Spartak Moscow,,Lorenzo Melgarejo,1,1,46,71.88,3,6.76,6.76
183,FC Spartak Moscow,,Roman Zobnin,1,0,46,82.14,3,6.75,6.75
184,Chelsea,,Marcos Alonso,1,1,188,80,3,6.74,6.74
185,Sporting,,Marcos Acuña,1,1,92,71.32,5,6.74,6.74
186,Beşiktaş,,Álvaro Negredo,1,1,30,66.67,3,6.73,6.73
187,Sporting,,Fábio Coentrão,1,0,79,79,3,6.73,6.73
188,Roma,,Kevin Strootman,1,1,343,80.9,16,6.72,6.72
189,Borussia Dortmund,,Gonzalo Castro,1,1,98,89.91,2,6.70,6.70
190,Atlético Madrid,,Fernando Torres,1,1,42,82.35,3,6.70,6.70
191,Basel,,Blás Riveros,1,0,62,65.96,2,6.68,6.68
192,Qarabağ,,Dino Ndlovu,1,1,86,72.27,2,6.68,6.68
193,Borussia Dortmund,,Christian Pulišić,1,0,106,82.17,10,6.68,6.68
194,AS Monaco,,Adama Diakhaby,1,0,32,69.57,2,6.68,6.68
195,Real Madrid,,Mateo Kovačić,1,1,176,90.72,2,6.67,6.67
196,Chelsea,,Antonio Rüdiger,1,0,219,89.39,2,6.67,6.67
197,Roma,,Lorenzo Pellegrini,1,1,94,75.81,6,6.66,6.66
198,Benfica,,Diogo Gonçalves,1,0,61,80.26,2,6.63,6.63
199,RSC Anderlecht,,Łukasz Teodorczyk,1,1,79,66.39,5,6.62,6.62
200,Tottenham Hotspur,,Serge Aurier,1,1,191,80.59,4,6.60,6.60
201,Basel,,Valentin Stocker,1,0,13,41.94,3,6.60,6.60
202,Sevilla,,Luis Muriel,1,1,55,76.39,3,6.59,6.59
203,Shakhtar Donetsk,,Bogdan Butko,1,1,236,84.89,1,6.59,6.59
204,Qarabağ,,Wilde-Donald Guerrier,1,1,89,75.42,3,6.58,6.58
205,FC Spartak Moscow,,Ivelin Popov,1,0,72,78.26,1,6.56,6.56
206,Feyenoord,,Karim El Ahmadi,1,0,169,88.95,3,6.55,6.55
207,NK Maribor,,Valon Ahmedi,1,0,49,75.38,5,6.53,6.53
208,AS Monaco,,Keita Baldé,1,2,62,74.7,6,6.52,6.52
209,NK Maribor,,Martin Milec,1,1,191,77.02,5,6.52,6.52
210,AS Monaco,,Rony Lopes,1,1,55,63.95,7,6.46,6.46
211,RB Leipzig,,Lukas Klostermann,1,0,141,79.21,4,6.45,6.45
212,RSC Anderlecht,,Henry Onyekuru,1,0,77,77.78,5,6.43,6.43
213,Sporting,,Gelson Martins,1,1,131,83.97,4,6.42,6.42
214,APOEL Nicosia,,Ghayas Zahid,1,0,134,80.24,7,6.42,6.42
215,APOEL Nicosia,,Efstathios Aloneftis,1,0,61,57.01,7,6.30,6.30
216,Feyenoord,,Tonny Vilhena,1,1,116,74.36,2,6.23,6.23
217,Shakhtar Donetsk,,Viktor Kovalenko,1,0,12,85.71,1,6.13,6.13
218,Manchester City,,John Stones,0,0,533,95.52,1,7.92,7.92
219,Beşiktaş,,Orkan Çınar,0,1,11,100,4,7.70,7.70
220,Napoli,,Jorginho,0,0,124,84.93,3,7.60,7.60
221,Beşiktaş,,Tolga Zengin,0,0,30,53.57,0,7.55,7.55
222,Juventus,,Wojciech Szczęsny,0,0,22,81.48,0,7.50,7.50
223,Sevilla,,David Soria,0,0,50,71.43,0,7.45,7.45
224,Barcelona,,Lucas Digne,0,0,156,89.14,2,7.40,7.40
225,Manchester United,,Luke Shaw,0,0,39,79.59,0,7.40,7.40
226,Manchester United,,David De Gea,0,0,99,54.7,0,7.33,7.33
227,Atlético Madrid,,Filipe Luís,0,0,311,85.67,12,7.33,7.33
228,Sevilla,,Ganso,0,0,23,79.31,1,7.30,7.30
229,Tottenham Hotspur,,Juan Foyth,0,0,76,91.57,0,7.30,7.30
230,Barcelona,,Jasper Cillessen,0,0,26,81.25,0,7.30,7.30
231,Chelsea,,Willian,0,1,148,72.55,8,7.28,7.28
232,Manchester City,,Nicolás Otamendi,0,0,739,92.61,1,7.28,7.28
233,FC Spartak Moscow,,Ilya Kutepov,0,0,160,91.95,0,7.27,7.27
234,Qarabağ,,Ibrahim Šehić,0,0,86,42.57,1,7.27,7.27
235,Manchester United,,Victor Lindelöf,0,0,299,90.33,1,7.26,7.26
236,FC Porto,,Miguel Layún,0,0,21,58.33,1,7.25,7.25
237,Sevilla,,Nicolás Pareja,0,0,110,89.43,1,7.25,7.25
238,APOEL Nicosia,,Giorgos Merkis,0,0,23,74.19,1,7.25,7.25
239,Manchester City,,Brahim Díaz,0,0,37,88.1,1,7.25,7.25
240,Manchester United,,Antonio Valencia,0,0,140,80,1,7.25,7.25
241,AS Monaco,,Radamel Falcao,0,0,74,80.43,4,7.24,7.24
242,FC Bayern München,,Mats Hummels,0,0,434,84.77,3,7.23,7.23
243,Juventus,,Mario Mandžukić,0,0,104,67.1,2,7.20,7.20
244,FC Porto,,Diogo Dalot,0,0,31,75.61,0,7.20,7.20
245,Manchester United,,Marcos Rojo,0,0,81,89.01,0,7.20,7.20
246,Benfica,,João Carvalho,0,0,54,85.71,4,7.20,7.20
247,RB Leipzig,,Stefan Ilsanker,0,0,122,76.73,1,7.20,7.20
248,Beşiktaş,,Pepe,0,0,164,71.93,0,7.20,7.20
249,CSKA Moscow,,Vitinho,0,0,114,78.08,7,7.18,7.18
250,Borussia Dortmund,,Sokratis,0,0,344,94.25,0,7.18,7.18
251,Barcelona,,Sergio Busquets,0,0,752,92.95,7,7.16,7.16
252,Beşiktaş,,Vágner Love,0,0,25,67.57,1,7.15,7.15
253,Sporting,,André Pinto,0,0,82,91.11,0,7.15,7.15
254,Roma,,Juan Jesus,0,0,310,85.64,1,7.15,7.15
255,Real Madrid,,Raphaël Varane,0,0,487,90.02,2,7.15,7.15
256,FC Porto,,Felipe,0,1,220,78.01,1,7.14,7.14
257,Olympiacos FC,,Silvio Proto,0,0,63,50.4,0,7.14,7.14
258,Atlético Madrid,,Thomas Partey,0,0,267,89.9,5,7.13,7.13
259,Manchester City,,Sergio Agüero,0,1,95,77.24,6,7.13,7.13
260,Chelsea,,N'Golo Kanté,0,0,253,90.36,4,7.12,7.12
261,RSC Anderlecht,,Adrien Trebel,0,0,322,83.42,7,7.12,7.12
262,Basel,,Luca Zuffi,0,0,219,84.23,7,7.11,7.11
263,Tottenham Hotspur,,Hugo Lloris,0,0,124,60.19,1,7.11,7.11
264,Paris Saint-Germain,,Alphonse Aréola,0,0,131,79.39,0,7.11,7.11
265,FC Spartak Moscow,,Dmitry Kombarov,0,1,172,82.3,5,7.10,7.10
266,FC Bayern München,,Marco Friedl,0,0,48,88.89,0,7.10,7.10
267,Shakhtar Donetsk,,Darijo Srna,0,0,39,82.98,1,7.10,7.10
268,Paris Saint-Germain,,Yuri Berchiche,0,0,100,86.96,0,7.10,7.10
269,Qarabağ,,Afran Ismayilov,0,0,20,66.67,2,7.10,7.10
270,Paris Saint-Germain,,Thiago Silva,0,0,332,94.86,1,7.10,7.10
271,Napoli,,José Callejón,0,1,142,79.78,7,7.08,7.08
272,Basel,,Mohamed Elyounoussi,0,1,131,71.58,3,7.08,7.08
273,Real Madrid,,Nacho Fernández,0,0,329,91.14,3,7.08,7.08
274,Atlético Madrid,,Diego Godín,0,0,174,87.44,6,7.08,7.08
275,Manchester United,,Chris Smalling,0,0,398,93.21,0,7.08,7.08
276,FC Porto,,Alex Telles,0,1,185,77.41,14,7.07,7.07
277,RB Leipzig,,Timo Werner,0,0,52,65.82,4,7.07,7.07
278,Manchester United,,Matteo Darmian,0,0,113,83.09,1,7.07,7.07
279,Napoli,,Raúl Albiol,0,0,347,88.3,0,7.06,7.06
280,FC Bayern München,,Arjen Robben,0,1,239,85.97,15,7.06,7.06
281,Borussia Dortmund,,Pierre-Emerick Aubameyang,0,0,74,76.29,5,7.05,7.05
282,Manchester City,,Vincent Kompany,0,0,208,93.69,0,7.05,7.05
283,Manchester City,,Eliaquim Mangala,0,0,186,95.88,0,7.05,7.05
284,Benfica,,Lisandro López,0,0,143,92.26,0,7.05,7.05
285,RB Leipzig,,Dayot Upamecano,0,0,268,83.75,2,7.04,7.04
286,Tottenham Hotspur,,Harry Winks,0,0,315,92.11,2,7.04,7.04
287,Roma,,Konstantinos Manolas,0,0,472,86.45,2,7.04,7.04
288,Borussia Dortmund,,Raphaël Guerreiro,0,0,137,91.33,6,7.03,7.03
289,FC Bayern München,,Sandro Wagner,0,0,15,75,0,7.03,7.03
290,FC Porto,,Iker Casillas,0,0,55,56.12,0,7.03,7.03
291,Roma,,Alisson,0,0,271,80.42,0,7.03,7.03
292,Feyenoord,,Nicolai Jørgensen,0,0,54,75,1,7.03,7.03
293,AS Monaco,,Youri Tielemans,0,0,105,76.09,2,7.03,7.03
294,Atlético Madrid,,Nicolás Gaitán,0,0,64,81.01,7,7.03,7.03
295,Barcelona,,Gerard Piqué,0,0,505,90.18,1,7.02,7.02
296,Tottenham Hotspur,,Jan Vertonghen,0,1,250,86.51,4,7.02,7.02
297,Manchester City,,Danilo,0,0,347,91.08,1,7.02,7.02
298,Chelsea,,César Azpilicueta,0,0,435,88.24,3,7.01,7.01
299,Napoli,,Arkadiusz Milik,0,0,10,76.92,1,7.00,7.00
300,Juventus,,Federico Bernardeschi,0,0,28,70,1,7.00,7.00
301,FC Bayern München,,Manuel Neuer,0,0,21,91.3,0,7.00,7.00
302,Manchester United,,Axel Tuanzebe,0,0,9,81.82,0,7.00,7.00
303,Napoli,,Vlad Chiricheş,0,0,83,95.4,0,7.00,7.00
304,Feyenoord,,Kenneth Vermeer,0,0,19,54.29,0,7.00,7.00
305,Basel,,Léo Lacroix,0,0,64,88.89,0,7.00,7.00
306,FC Spartak Moscow,,Artem Rebrov,0,0,27,60,0,7.00,7.00
307,Qarabağ,,Ansi Agolli,0,0,164,85.86,3,7.00,7.00
308,Beşiktaş,,Duško Tošić,0,0,185,71.43,0,7.00,7.00
309,Sevilla,,Steven​ N'Zonzi,0,0,583,92.39,4,7.00,7.00
310,Barcelona,,Jordi Alba,0,0,452,87.94,8,6.99,6.99
311,Napoli,,Kalidou Koulibaly,0,0,382,88.84,2,6.98,6.98
312,Atlético Madrid,,José María Giménez,0,0,111,81.62,1,6.98,6.98
313,Tottenham Hotspur,,Eric Dier,0,1,292,80.89,2,6.97,6.97
314,FC Spartak Moscow,,Zé Luís,0,0,33,55,1,6.97,6.97
315,Manchester United,,Marouane Fellaini,0,0,103,82.4,1,6.97,6.97
316,Sevilla,,Simon Kjær,0,0,217,83.78,0,6.97,6.97
317,Manchester City,,Aymeric Laporte,0,0,295,92.19,2,6.97,6.97
318,Olympiacos FC,,Saša Zdjelar,0,0,88,83.81,0,6.97,6.97
319,CSKA Moscow,,Aleksei Berezutskiy,0,0,132,80,0,6.97,6.97
320,Celtic,,Mikael Lustig,0,0,290,85.55,2,6.97,6.97
321,RB Leipzig,,Bruma,0,0,113,81.29,8,6.96,6.96
322,Shakhtar Donetsk,,Facundo Ferreyra,0,1,101,78.91,7,6.95,6.95
323,Olympiacos FC,,Felipe Pardo,0,0,53,80.3,4,6.95,6.95
324,Liverpool,,Alex Oxlade-Chamberlain,0,0,90,82.57,4,6.95,6.95
325,Olympiacos FC,,Vadis Odjidja-Ofoe,0,0,139,80.35,4,6.95,6.95
326,FC Bayern München,,Javi Martínez,0,0,364,85.05,5,6.95,6.95
327,FC Bayern München,,Sven Ulreich,0,1,207,68.32,1,6.95,6.95
328,Napoli,,Piotr Zieliński,0,0,151,83.89,1,6.94,6.94
329,RB Leipzig,,Emil Forsberg,0,0,111,79.86,8,6.94,6.94
330,AS Monaco,,Fabinho,0,0,204,77.57,1,6.94,6.94
331,Qarabağ,,Jakub Rzeźniczak,0,0,195,88.64,0,6.94,6.94
332,Juventus,,Andrea Barzagli,0,0,462,92.96,0,6.94,6.94
333,Shakhtar Donetsk,,Andriy Pyatov,0,0,262,69.13,0,6.94,6.94
334,FC Porto,,Maxi Pereira,0,0,49,75.38,1,6.93,6.93
335,Shakhtar Donetsk,,Alan Patrick,0,0,36,90,0,6.93,6.93
336,Benfica,,Filipe Augusto,0,0,145,85.29,4,6.93,6.93
337,Sevilla,,Sébastien Corchia,0,0,50,90.91,1,6.93,6.93
338,Olympiacos FC,,Alberto Botía,0,0,56,93.33,0,6.93,6.93
339,Benfica,,Haris Seferović,0,0,54,73.97,3,6.93,6.93
340,Feyenoord,,Ridgeciano Haps,0,0,142,80.23,0,6.93,6.93
341,Feyenoord,,Bart Nieuwkoop,0,0,47,68.12,1,6.93,6.93
342,Barcelona,,Marc-André ter Stegen,0,0,202,74.54,0,6.92,6.92
343,Paris Saint-Germain,,Ángel Di María,0,1,48,76.19,3,6.92,6.92
344,CSKA Moscow,,Pontus Wernbloom,0,0,144,68.9,5,6.92,6.92
345,Borussia Dortmund,,Julian Weigl,0,0,243,88.04,0,6.92,6.92
346,NK Maribor,,Damjan Bohar,0,0,118,81.38,7,6.92,6.92
347,AS Monaco,,João Moutinho,0,1,230,80.7,9,6.92,6.92
348,Chelsea,,Michy Batshuayi,0,0,29,82.86,1,6.90,6.90
349,Tottenham Hotspur,,Georges-Kévin N'Koudou,0,0,40,86.96,0,6.90,6.90
350,Barcelona,,Paco Alcácer,0,0,41,77.36,0,6.90,6.90
351,Atlético Madrid,,Šime Vrsaljko,0,0,32,74.42,0,6.90,6.90
352,Tottenham Hotspur,,Michel Vorm,0,0,12,100,0,6.90,6.90
