#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Milan,,Sandro Tonali,9,2,360,78.6,22,7.08,7.08
2,Manchester City,,Kevin De Bruyne,8,6,265,77.71,22,7.61,7.61
3,FC Porto,,Mehdi Taremi,6,2,128,73.99,14,7.66,7.66
4,Benfica,,Alejandro Grimaldo,6,4,477,85.18,19,7.33,7.33
5,Inter,,Alessandro Bastoni,6,3,480,84.51,11,7.26,7.26
6,Inter,,Federico Dimarco,6,5,220,75.6,16,7.05,7.05
7,Napoli,,Giovanni Di Lorenzo,5,2,430,85.66,20,7.41,7.41
8,Napoli,,Piotr Zieliński,5,2,290,87.09,23,7.40,7.40
9,Tottenham Hotspur,,Ivan Perišić,5,3,141,75,10,7.40,7.40
10,Benfica,,João Mário,5,2,418,88.37,15,7.23,7.23
11,FC Bayern München,,Leon Goretzka,5,4,272,88.31,9,7.18,7.18
12,Milan,,Rafael Leão,5,3,165,75,17,7.03,7.03
13,Paris Saint-Germain,,Lionel Messi,4,4,346,87.37,19,7.93,7.93
14,FC Bayern München,,Joshua Kimmich,4,3,600,91.19,21,7.77,7.77
15,Liverpool,,Mohamed Salah,4,2,175,85.37,13,7.70,7.70
16,Juventus,,Ángel Di María,4,3,49,75.38,7,7.57,7.57
17,Real Madrid,,Federico Valverde,4,3,495,89.35,19,7.38,7.38
18,Manchester City,,Jack Grealish,4,1,416,87.76,36,7.25,7.25
19,Napoli,,Tanguy Ndombélé,4,1,230,87.12,9,7.16,7.16
20,FC Porto,,Otávio,4,2,185,77.73,14,7.13,7.13
21,Chelsea,,Ben Chilwell,4,0,257,81.59,13,7.11,7.11
22,Real Madrid,,Vinícius Júnior,4,5,327,80.54,18,7.11,7.11
23,Barcelona,,Robert Lewandowski,3,0,84,68.29,7,7.98,7.98
24,Paris Saint-Germain,,Neymar,3,2,314,85.79,16,7.45,7.45
25,Olympique de Marseille,,Amine Harit,3,2,178,89.9,13,7.40,7.40
26,Barcelona,,Ousmane Dembélé,3,2,164,79.61,12,7.35,7.35
27,FC Bayern München,,Kingsley Coman,3,1,210,83.67,15,7.29,7.29
28,Real Madrid,,Rodrygo,3,2,310,88.32,13,7.26,7.26
29,Benfica,,Alexander Bah,3,2,357,81.69,13,7.21,7.21
30,FC Bayern München,,João Cancelo,3,4,400,87.91,6,7.09,7.09
31,Real Madrid,,Luka Modrić,3,1,518,89.93,9,7.07,7.07
32,Napoli,,Khvicha Kvaratskhelia,3,4,201,76.72,17,7.04,7.04
33,RB Leipzig,,Christopher Nkunku,3,1,210,92.92,11,7.04,7.04
34,Chelsea,,Kai Havertz,3,0,202,79.22,12,7.02,7.02
35,FC Bayern München,,Serge Gnabry,3,3,134,83.23,4,6.99,6.99
36,Tottenham Hotspur,,Harry Kane,3,2,155,66.24,9,6.99,6.99
37,Real Madrid,,Daniel Carvajal,3,1,467,88.11,11,6.95,6.95
38,Napoli,,Hirving Lozano,3,1,106,79.1,8,6.94,6.94
39,Milan,,Theo Hernández,3,2,364,84.65,12,6.93,6.93
40,Benfica,,David Neres,3,1,154,78.97,7,6.87,6.87
41,RB Leipzig,,Dominik Szoboszlai,3,2,249,85.57,12,6.78,6.78
