#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
80,KRC Genk,,Bryan Heynen,2,1,55,67.9,4,7.07,7.07
81,Juventus,,Gonzalo Higuaín,2,2,111,81.62,4,7.05,7.05
82,Real Madrid,,Vinícius Júnior,2,1,68,83.95,5,7.02,7.02
83,RB Leipzig,,Nordi Mukiele,2,0,367,82.1,9,6.96,6.96
84,Manchester City,,Benjamin Mendy,2,1,372,89.64,5,6.95,6.95
85,Paris Saint-Germain,,Ander Herrera,2,0,167,87.89,3,6.92,6.92
86,Napoli,,Fabián Ruiz,2,0,433,85.74,6,6.86,6.86
87,Lille,,Victor Osimhen,2,0,60,75.95,7,6.84,6.84
88,Napoli,,Giovanni Di Lorenzo,2,2,345,83.54,5,6.81,6.81
89,Shakhtar Donetsk,,Alan Patrick,2,2,247,86.06,8,6.80,6.80
90,Galatasaray,,Ömer Bayram,2,1,67,80.72,4,6.78,6.78
91,Atalanta,,Hans Hateboer,2,1,168,81.16,5,6.78,6.78
92,Olympique Lyonnais,,Léo Dubois,2,2,287,75.73,8,6.71,6.71
93,Barcelona,,Jordi Alba,2,1,177,85.1,7,6.70,6.70
94,Borussia Dortmund,,Thorgan Hazard,2,0,171,79.91,11,6.70,6.70
95,Tottenham Hotspur,,Dele Alli,2,1,189,81.47,7,6.69,6.69
96,GNK Dinamo Zagreb,,Arijan Ademi,2,1,146,85.88,5,6.63,6.63
97,Lille,,Jonathan Ikoné,2,0,59,80.82,9,6.60,6.60
98,Lokomotiv Moscow,,Rifat Zhemaletdinov,2,0,69,69,5,6.32,6.32
99,Atlético Madrid,,Thomas Partey,1,1,418,84.79,13,7.61,7.61
100,Barcelona,,Luis Suárez,1,2,131,73.18,11,7.60,7.60
101,AFC Ajax,,Nicolás Tagliafico,1,1,206,79.84,6,7.50,7.50
102,Borussia Dortmund,,Erling Haaland,1,1,85,66.41,4,7.48,7.48
103,Atlético Madrid,,João Félix,1,1,118,84.89,7,7.42,7.42
104,Juventus,,Cristiano Ronaldo,1,0,233,82.62,5,7.33,7.33
105,FC Bayern München,,Philippe Coutinho,1,3,248,82.39,15,7.32,7.32
106,Inter,,Matías Vecino,1,0,48,55.17,3,7.30,7.30
107,Barcelona,,Carles Aleñá,1,0,80,85.11,4,7.30,7.30
108,Chelsea,,Fikayo Tomori,1,1,222,86.05,2,7.25,7.25
109,Tottenham Hotspur,,Giovani Lo Celso,1,0,182,83.87,7,7.24,7.24
110,Barcelona,,Arthur,1,1,239,89.85,2,7.23,7.23
111,Zenit St. Petersburg,,Yaroslav Rakitskyi,1,0,149,76.02,1,7.22,7.22
112,Napoli,,Kalidou Koulibaly,1,0,352,84.21,1,7.20,7.20
113,FC Bayern München,,Corentin Tolisso,1,3,236,89.39,9,7.18,7.18
114,KRC Genk,,Carlos Cuesta,1,0,80,77.67,1,7.15,7.15
115,Paris Saint-Germain,,Thomas Meunier,1,0,205,81.67,3,7.12,7.12
116,FC Bayern München,,Benjamin Pavard,1,2,483,90.62,5,7.11,7.11
117,Benfica,,Rafa Silva,1,1,44,77.19,2,7.10,7.10
118,AFC Ajax,,Dušan Tadić,1,3,138,79.31,10,7.10,7.10
119,Olympiacos FC,,Konstantinos Tsimikas,1,1,147,75,10,7.10,7.10
120,RB Leipzig,,Angeliño,1,2,206,80.78,6,7.08,7.08
121,Atlético Madrid,,Marcos Llorente,1,1,35,74.47,2,7.08,7.08
122,Paris Saint-Germain,,Mauro Icardi,1,0,56,73.68,3,7.07,7.07
123,Inter,,Marcelo Brozović,1,1,290,87.61,5,7.07,7.07
124,Chelsea,,César Azpilicueta,1,0,320,82.9,6,7.06,7.06
125,Inter,,Borja Valero,1,0,72,88.89,3,7.05,7.05
126,FC Bayern München,,David Alaba,1,0,532,90.78,4,7.05,7.05
127,GNK Dinamo Zagreb,,Mislav Oršić,1,1,76,67.86,5,7.03,7.03
128,Atalanta,,Mario Pašalić,1,2,269,80.78,13,7.03,7.03
129,Paris Saint-Germain,,Leandro Paredes,1,0,301,91.77,5,7.03,7.03
130,RB Leipzig,,Dani Olmo,1,1,143,74.48,10,7.03,7.03
131,Bayer 04 Leverkusen,,Nadiem Amiri,1,0,112,84.85,6,7.03,7.03
132,Barcelona,,Gerard Piqué,1,0,493,91.64,1,7.01,7.01
133,Olympiacos FC,,Guilherme,1,1,212,87.6,5,7.00,7.00
134,FC Bayern München,,Lucas Hernández,1,1,128,88.28,1,7.00,7.00
135,Inter,,Stefan de Vrij,1,1,308,89.53,2,7.00,7.00
136,Borussia Dortmund,,Mats Hummels,1,0,366,84.92,2,7.00,7.00
137,Liverpool,,Fabinho,1,1,348,87.66,2,6.99,6.99
138,Liverpool,,Jordan Henderson,1,0,336,84.21,7,6.98,6.98
139,Atlético Madrid,,José María Giménez,1,1,168,90.32,2,6.98,6.98
140,Lokomotiv Moscow,,Aleksei Miranchuk,1,0,111,76.55,7,6.98,6.98
141,Barcelona,,Nélson Semedo,1,1,342,87.92,5,6.97,6.97
142,Borussia Dortmund,,Mario Götze,1,1,58,85.29,4,6.97,6.97
143,Atlético Madrid,,Koke,1,1,442,87.18,15,6.97,6.97
144,Benfica,,Gabriel Pires,1,0,256,78.77,7,6.96,6.96
145,Chelsea,,Kurt Zouma,1,1,351,91.17,3,6.96,6.96
146,FC Bayern München,,Kingsley Coman,1,1,203,87.12,13,6.96,6.96
147,Shakhtar Donetsk,,Júnior Moraes,1,1,92,76.03,7,6.95,6.95
148,AFC Ajax,,Edson Álvarez,1,0,212,90.6,2,6.95,6.95
149,Atalanta,,Robin Gosens,1,0,204,75,4,6.95,6.95
150,Tottenham Hotspur,,Juan Foyth,1,0,115,92,1,6.93,6.93
151,Lille,,Boubakary Soumaré,1,0,242,86.12,6,6.92,6.92
152,Chelsea,,Jorginho,1,0,410,90.91,4,6.91,6.91
153,Manchester City,,Fernandinho,1,0,401,90.11,1,6.91,6.91
154,Chelsea,,Tammy Abraham,1,1,75,68.18,8,6.89,6.89
155,Real Madrid,,Daniel Carvajal,1,1,363,84.62,10,6.89,6.89
156,FK Crvena zvezda,,Marko Marin,1,2,162,77.88,14,6.88,6.88
157,Napoli,,Arkadiusz Milik,1,0,56,90.32,2,6.88,6.88
158,Olympique Lyonnais,,Moussa Dembélé,1,0,86,67.72,6,6.88,6.88
159,Chelsea,,Reece James,1,0,164,85.42,6,6.88,6.88
160,Paris Saint-Germain,,Eric Maxim Choupo-Moting,1,0,37,77.08,4,6.88,6.88
161,Bayer 04 Leverkusen,,Kerem Demirbay,1,0,198,81.15,7,6.88,6.88
162,Manchester City,,Sergio Agüero,1,0,36,70.59,3,6.87,6.87
163,Galatasaray,,Jean Michaël Seri,1,0,278,88.54,9,6.87,6.87
164,Red Bull Salzburg,,Enock Mwepu,1,3,202,82.45,7,6.86,6.86
165,Liverpool,,Joe Gomez,1,0,430,86.52,1,6.86,6.86
166,Lokomotiv Moscow,,João Mário,1,1,84,73.04,8,6.85,6.85
167,Olympiacos FC,,Daniel Podence,1,0,113,75.84,9,6.83,6.83
168,Tottenham Hotspur,,Ben Davies,1,1,143,85.63,4,6.83,6.83
169,Club Brugge KV,,Federico Ricca,1,0,71,69.61,2,6.83,6.83
170,Napoli,,Mário Rui,1,0,247,84.01,5,6.83,6.83
171,Olympique Lyonnais,,Martin Terrier,1,0,56,72.73,2,6.82,6.82
172,Chelsea,,Callum Hudson-Odoi,1,1,63,81.82,7,6.82,6.82
173,Club Brugge KV,,Hans Vanaken,1,0,235,85.14,6,6.82,6.82
174,Benfica,,Franco Cervi,1,1,101,75.94,4,6.80,6.80
175,Atalanta,,Ruslan Malinovskyi,1,1,109,82.58,7,6.80,6.80
176,Inter,,Valentino Lazaro,1,1,39,79.59,1,6.80,6.80
177,Manchester City,,David Silva,1,0,92,87.62,3,6.80,6.80
178,Shakhtar Donetsk,,Mykola Matviyenko,1,0,291,88.72,2,6.80,6.80
179,RB Leipzig,,Lukas Klostermann,1,1,523,88.64,8,6.78,6.78
180,SK Slavia Praha,,Petr Ševčík,1,0,207,81.5,8,6.78,6.78
181,Barcelona,,Ousmane Dembélé,1,0,46,74.19,5,6.78,6.78
182,Olympique Lyonnais,,Kenny Tete,1,0,41,64.06,2,6.78,6.78
183,Manchester City,,Bernardo Silva,1,1,280,92.72,5,6.77,6.77
184,Tottenham Hotspur,,Lucas Moura,1,1,77,81.05,2,6.77,6.77
185,Atalanta,,Marten de Roon,1,1,364,81.8,6,6.77,6.77
186,Olympique Lyonnais,,Maxence Caqueret,1,0,64,85.33,2,6.77,6.77
187,Bayer 04 Leverkusen,,Mitchell Weiser,1,0,153,79.69,3,6.77,6.77
188,Benfica,,Chiquinho,1,0,90,81.82,3,6.77,6.77
189,Chelsea,,Mason Mount,1,0,110,73.83,9,6.76,6.76
190,Tottenham Hotspur,,Erik Lamela,1,2,81,89.01,3,6.76,6.76
191,Lokomotiv Moscow,,Maciej Rybus,1,0,122,76.25,5,6.76,6.76
192,Atlético Madrid,,Thomas Lemar,1,0,96,90.57,3,6.76,6.76
193,Club Brugge KV,,Percy Tau,1,1,49,70,3,6.73,6.73
194,Galatasaray,,Christian Luyindama,1,0,128,84.21,1,6.73,6.73
195,Olympiacos FC,,Mady Camara,1,0,146,73.37,3,6.72,6.72
196,KRC Genk,,Théo Bongonda,1,1,41,71.93,2,6.72,6.72
197,Borussia Dortmund,,Paco Alcácer,1,1,12,70.59,3,6.70,6.70
198,Shakhtar Donetsk,,Viktor Kovalenko,1,1,106,82.81,3,6.70,6.70
199,Juventus,,Federico Bernardeschi,1,1,65,77.38,3,6.68,6.68
200,Barcelona,,Sergi Roberto,1,0,283,91.59,3,6.68,6.68
201,Barcelona,,Ansu Fati,1,0,42,80.77,2,6.68,6.68
202,Atlético Madrid,,Héctor Herrera,1,0,156,86.67,6,6.67,6.67
203,Club Brugge KV,,Eduard Sobol,1,0,70,73.68,1,6.67,6.67
204,Shakhtar Donetsk,,Serhiy Kryvtsov,1,0,268,83.49,1,6.67,6.67
205,Tottenham Hotspur,,Serge Aurier,1,2,166,79.05,10,6.66,6.66
206,SK Slavia Praha,,Milan Škoda,1,1,14,70,1,6.65,6.65
207,Tottenham Hotspur,,Danny Rose,1,1,139,79.89,2,6.65,6.65
208,Napoli,,Kévin Malcuit,1,0,55,80.88,2,6.65,6.65
209,KRC Genk,,Joseph Paintsil,1,0,45,84.91,7,6.65,6.65
210,Barcelona,,Arturo Vidal,1,1,243,88.04,7,6.63,6.63
211,Atlético Madrid,,Diego Costa,1,1,74,72.55,2,6.63,6.63
212,Atalanta,,Remo Freuler,1,1,313,83.91,2,6.63,6.63
213,Real Madrid,,Lucas Vázquez,1,0,42,82.35,3,6.63,6.63
214,Club Brugge KV,,Ruud Vormer,1,0,83,84.69,9,6.60,6.60
215,Bayer 04 Leverkusen,,Kai Havertz,1,0,215,84.31,4,6.60,6.60
216,SK Slavia Praha,,Jan Bořil,1,0,223,78.52,5,6.58,6.58
217,Real Madrid,,Ferland Mendy,1,0,190,89.2,4,6.58,6.58
218,Zenit St. Petersburg,,Daler Kuzyaev,1,0,46,79.31,4,6.58,6.58
219,Chelsea,,Emerson Palmieri,1,1,95,81.2,2,6.57,6.57
220,Valencia,,Maximiliano Gómez,1,1,61,76.25,7,6.55,6.55
221,Galatasaray,,Younès Belhanda,1,0,124,83.22,2,6.55,6.55
222,KRC Genk,,Dieumerci Ndongala,1,2,20,62.5,3,6.53,6.53
223,Olympiacos FC,,Omar Elabdellaoui,1,0,200,84.75,2,6.53,6.53
224,Shakhtar Donetsk,,Dodô,1,1,120,83.33,1,6.53,6.53
225,Shakhtar Donetsk,,Marlos Romero,1,1,188,92.16,5,6.50,6.50
226,Galatasaray,,Ryan Babel,1,0,89,78.07,3,6.50,6.50
227,SK Slavia Praha,,Ondřej Kúdela,1,0,263,87.09,1,6.50,6.50
228,KRC Genk,,Junya Ito,1,0,72,69.23,4,6.38,6.38
229,Borussia Dortmund,,Marco Reus,1,1,104,84.55,5,6.38,6.38
230,Atlético Madrid,,Ángel Correa,1,0,78,68.42,4,6.36,6.36
231,RB Leipzig,,Marcelo Saracchi,1,0,57,78.08,1,6.30,6.30
232,Lille,,Zeki Çelik,1,0,182,75.83,11,6.28,6.28
233,GNK Dinamo Zagreb,,Petar Stojanović,1,1,106,69.74,3,6.23,6.23
234,KRC Genk,,Casper De Norre,1,0,77,76.24,4,6.23,6.23
235,Barcelona,,Neto,0,0,24,61.54,0,8.00,8.00
236,Barcelona,,Jean-Clair Todibo,0,0,47,83.93,0,7.70,7.70
237,Juventus,,Douglas Costa,0,0,17,85,0,7.60,7.60
238,Juventus,,Merih Demiral,0,0,46,82.14,0,7.60,7.60
239,Liverpool,,Alex Oxlade-Chamberlain,0,1,154,83.7,5,7.56,7.56
240,AFC Ajax,,André Onana,0,0,117,59.39,0,7.47,7.47
241,Napoli,,Dries Mertens,0,1,126,74.12,12,7.45,7.45
242,Zenit St. Petersburg,,Andrey Lunev,0,0,29,56.86,0,7.45,7.45
243,Barcelona,,Carles Pérez,0,0,23,92,1,7.40,7.40
244,Juventus,,Gianluigi Buffon,0,0,26,83.87,0,7.40,7.40
245,SK Slavia Praha,,Tomáš Souček,0,0,271,82.62,6,7.37,7.37
246,SK Slavia Praha,,Ondřej Kolář,0,0,165,71.43,0,7.35,7.35
247,Zenit St. Petersburg,,Mikhail Kerzhakov,0,0,84,71.19,0,7.33,7.33
248,Juventus,,Juan Cuadrado,0,1,340,88.31,7,7.32,7.32
249,Valencia,,Gabriel Paulista,0,0,267,87.54,1,7.32,7.32
250,KRC Genk,,Stephen Odey,0,0,4,100,0,7.30,7.30
251,Lokomotiv Moscow,,Guilherme Marinato,0,0,77,57.89,0,7.30,7.30
252,Galatasaray,,Fernando Muslera,0,0,126,55.02,0,7.28,7.28
253,Olympique Lyonnais,,Memphis Depay,0,0,171,77.73,13,7.28,7.28
254,Tottenham Hotspur,,Paulo Gazzaniga,0,0,72,64.86,0,7.28,7.28
255,RB Leipzig,,Dayot Upamecano,0,0,463,87.19,1,7.28,7.28
256,Valencia,,Geoffrey Kondogbia,0,0,178,85.58,2,7.26,7.26
257,Paris Saint-Germain,,Keylor Navas,0,0,162,69.23,0,7.26,7.26
258,Paris Saint-Germain,,Thiago Silva,0,0,563,91.4,2,7.24,7.24
259,Real Madrid,,Éder Militão,0,0,155,87.08,0,7.23,7.23
260,Bayer 04 Leverkusen,,Sven Bender,0,0,428,92.64,0,7.22,7.22
261,Real Madrid,,Sergio Ramos,0,0,317,92.15,0,7.20,7.20
262,Club Brugge KV,,Matej Mitrović,0,0,44,84.62,0,7.20,7.20
263,Paris Saint-Germain,,Tanguy Nianzou,0,0,42,95.45,1,7.20,7.20
264,Bayer 04 Leverkusen,,Wendell,0,0,268,89.33,2,7.20,7.20
265,Atlético Madrid,,Felipe,0,0,219,76.31,0,7.19,7.19
266,Red Bull Salzburg,,Maximilian Wöber,0,0,232,80.56,3,7.17,7.17
267,Paris Saint-Germain,,Marquinhos,0,0,618,86.31,2,7.16,7.16
268,Atlético Madrid,,Santiago Arias,0,0,96,84.96,3,7.15,7.15
269,Atlético Madrid,,Saúl Ñíguez,0,0,365,79.69,8,7.14,7.14
270,Real Madrid,,Casemiro,0,1,434,84.44,7,7.14,7.14
271,Liverpool,,Virgil van Dijk,0,0,654,88.86,4,7.14,7.14
272,AFC Ajax,,Quincy Promes,0,0,159,81.12,6,7.12,7.12
273,Paris Saint-Germain,,Presnel Kimpembe,0,0,604,91.24,0,7.12,7.12
274,Olympique Lyonnais,,Joachim Andersen,0,0,213,89.5,2,7.10,7.10
275,Juventus,,Daniele Rugani,0,0,127,92.7,0,7.10,7.10
276,Liverpool,,Alisson,0,0,131,90.34,0,7.10,7.10
277,Zenit St. Petersburg,,Sebastián Driussi,0,0,137,82.53,6,7.10,7.10
278,Juventus,,Danilo,0,0,323,87.53,1,7.10,7.10
279,Juventus,,Leonardo Bonucci,0,0,545,89.2,1,7.10,7.10
280,Manchester City,,Rodri,0,0,632,93.22,3,7.09,7.09
281,FC Bayern München,,Manuel Neuer,0,0,371,86.89,1,7.08,7.08
282,Inter,,Diego Godín,0,0,209,81.96,1,7.08,7.08
283,Olympique Lyonnais,,Marçal,0,0,195,81.93,2,7.07,7.07
284,Real Madrid,,Eden Hazard,0,1,229,88.42,11,7.07,7.07
285,Napoli,,Nikola Maksimović,0,0,108,82.44,0,7.07,7.07
286,Juventus,,Matthijs de Ligt,0,0,359,91.35,0,7.07,7.07
287,Napoli,,Alex Meret,0,0,133,79.64,0,7.07,7.07
288,RB Leipzig,,Péter Gulácsi,0,0,246,77.6,1,7.06,7.06
289,Tottenham Hotspur,,Davinson Sánchez,0,0,326,87.87,1,7.04,7.04
290,Paris Saint-Germain,,Thilo Kehrer,0,0,150,79.79,0,7.04,7.04
291,Borussia Dortmund,,Roman Bürki,0,0,127,64.8,0,7.04,7.04
292,Inter,,Nicolò Barella,0,0,104,85.25,2,7.03,7.03
293,Atlético Madrid,,Stefan Savić,0,0,100,76.92,0,7.03,7.03
294,Liverpool,,Georginio Wijnaldum,0,0,301,91.77,7,7.01,7.01
