#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Inter,,André Onana,47,8,0,27,1,7.41,7.41
2,Real Madrid,,Thibaut Courtois,42,5,1,27,1,7.34,7.34
3,Club Brugge KV,,Simon Mignolet,34,5,0,24,2,7.41,7.41
4,FC Porto,,Diogo Costa,31,4,3,19,4,7.53,7.53
5,Shakhtar Donetsk,,Anatoliy Trubin,30,0,0,21,1,7.27,7.27
6,Eintracht Frankfurt,,Kevin Trapp,29,2,1,20,3,7.13,7.13
7,Manchester City,,Ederson,28,7,0,14,7,7.29,7.29
8,Chelsea,,Kepa Arrizabalaga,28,3,0,15,5,7.10,7.10
9,Paris Saint-Germain,,Gianluigi Donnarumma,26,0,0,14,2,6.88,6.88
10,GNK Dinamo Zagreb,,Dominik Livaković,25,1,0,16,1,6.98,6.98
11,FC København,,Kamil Grabara,24,1,1,11,1,7.43,7.43
12,Rangers,,Allan McGregor,24,0,1,19,2,6.74,6.74
13,Viktoria Plzeň,,Jindřich Staněk,23,0,0,15,3,6.44,6.44
14,Milan,,Mike Maignan,22,2,1,15,2,7.21,7.21
15,Napoli,,Alex Meret,22,4,1,15,3,7.12,7.12
16,Maccabi Haifa,,Josh Cohen,22,1,0,14,4,6.40,6.40
17,Red Bull Salzburg,,Philipp Köhn,21,1,0,16,5,6.95,6.95
18,AFC Ajax,,Remko Pasveer,21,1,0,13,1,6.47,6.47
19,Milan,,Ciprian Tătărușanu,20,3,0,14,4,7.48,7.48
20,RB Leipzig,,Janis Blaswich,20,2,0,18,2,7.00,7.00
21,Benfica,,Odysseas Vlachodimos,19,2,0,12,5,6.67,6.67
22,Borussia Dortmund,,Gregor Kobel,17,2,1,14,1,7.83,7.83
23,Tottenham Hotspur,,Hugo Lloris,17,2,0,9,5,7.10,7.10
24,Bayer 04 Leverkusen,,Lukáš Hrádecký,17,2,1,7,0,6.83,6.83
25,Sporting,,Antonio Adán,17,2,0,14,2,6.52,6.52
26,Liverpool,,Alisson,16,3,1,12,2,6.66,6.66
27,Celtic,,Joe Hart,16,0,0,12,1,6.23,6.23
28,Atlético Madrid,,Jan Oblak,15,1,0,12,1,7.00,7.00
29,Sevilla,,Bono,14,0,0,9,0,6.38,6.38
30,FC Bayern München,,Yann Sommer,13,2,0,12,3,7.28,7.28
31,Barcelona,,Marc-André ter Stegen,13,0,0,8,0,6.54,6.54
32,Borussia Dortmund,,Alexander Meyer,12,1,0,10,2,6.92,6.92
33,Olympique de Marseille,,Pau López,12,1,0,7,3,6.70,6.70
34,Juventus,,Wojciech Szczęsny,10,0,0,5,1,6.35,6.35
35,FC Bayern München,,Manuel Neuer,9,3,0,7,0,7.57,7.57
36,Juventus,,Mattia Perin,9,0,0,7,0,7.05,7.05
37,FC Bayern München,,Sven Ulreich,8,2,0,5,1,7.33,7.33
38,Viktoria Plzeň,,Marián Tvrdoň,8,0,0,4,0,6.80,6.80
39,Barcelona,,Iñaki Peña,6,0,0,3,0,7.40,7.40
40,Tottenham Hotspur,,Fraser Forster,6,1,0,5,1,7.10,7.10
41,Manchester City,,Stefan Ortega,5,1,0,4,1,7.00,7.00
42,Rangers,,Jon McLaughlin,5,0,0,2,1,6.50,6.50
43,Sevilla,,Marko Dmitrović,4,2,0,2,0,7.40,7.40
44,Sporting,,Franco Israel,4,0,0,2,0,6.15,6.15
45,Real Madrid,,Andriy Lunin,3,0,0,2,0,6.65,6.65
46,FC København,,Mathew Ryan,3,1,0,1,1,6.55,6.55
47,Atlético Madrid,,Ivo Grbić,3,0,0,2,0,6.30,6.30
48,RB Leipzig,,Péter Gulácsi,2,0,0,1,0,5.77,5.77
49,Chelsea,,Edouard Mendy,1,0,0,1,1,6.50,6.50
