#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Barcelona,,Sergio Busquets,41,15,11,0,7.17,7.17
2,Napoli,,Allan,39,5,3,0,6.72,6.72
3,AFC Ajax,,Noussair Mazraoui,37,21,13,0,6.85,6.85
4,AFC Ajax,,Nicolás Tagliafico,36,20,25,0,6.96,6.96
5,Liverpool,,Andrew Robertson,30,7,24,0,6.90,6.90
6,AFC Ajax,,Hakim Ziyech,28,14,3,0,7.48,7.48
7,Barcelona,,Clément Lenglet,28,8,40,0,7.04,7.04
8,AFC Ajax,,Frenkie de Jong,27,19,19,1,6.92,6.92
9,Liverpool,,Fabinho,27,12,15,0,6.78,6.78
10,AFC Ajax,,Donny van de Beek,26,14,8,0,7.03,7.03
11,Benfica,,Alejandro Grimaldo,25,7,13,0,7.13,7.13
12,Paris Saint-Germain,,Marco Verratti,25,5,4,0,7.04,7.04
13,Barcelona,,Arturo Vidal,25,10,3,0,6.74,6.74
14,Liverpool,,James Milner,24,9,12,0,7.03,7.03
15,Inter,,Milan Škriniar,24,2,25,0,6.78,6.78
16,FC Porto,,Éder Militão,23,17,40,1,6.97,6.97
17,AFC Ajax,,Daley Blind,23,20,43,0,6.87,6.87
18,FC Bayern München,,Mats Hummels,22,11,22,0,7.35,7.35
19,Club Brugge KV,,Marvelous Nakamba,22,15,9,0,7.02,7.02
20,AFC Ajax,,Lasse Schöne,22,16,13,0,6.92,6.92
21,FC Schalke 04,,Benjamin Stambouli,22,11,8,0,6.86,6.86
22,Liverpool,,Trent Alexander-Arnold,21,18,19,0,7.32,7.32
23,Olympique Lyonnais,,Lucas Tousart,21,4,10,0,6.74,6.74
24,Liverpool,,Sadio Mané,20,5,5,0,7.12,7.12
25,FC Porto,,Otávio,20,5,3,0,6.98,6.98
26,FC Schalke 04,,Matija Nastasić,20,12,23,1,6.93,6.93
27,Benfica,,Ljubomir Fejsa,20,6,3,0,6.84,6.84
28,Tottenham Hotspur,,Moussa Sissoko,20,10,5,0,6.71,6.71
29,Young Boys,,Kevin Mbabu,20,3,6,0,6.64,6.64
30,FC Schalke 04,,Daniel Caligiuri,20,11,9,0,6.57,6.57
31,Olympique Lyonnais,,Tanguy Ndombélé,19,12,5,0,7.14,7.14
32,FC Bayern München,,Javi Martínez,18,20,9,0,7.43,7.43
33,Juventus,,Miralem Pjanić,18,16,6,0,7.32,7.32
34,Liverpool,,Jordan Henderson,18,13,9,0,7.10,7.10
