#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,Paris Saint-Germain,,Neymar,6,51,11,3,77.95,
2,Liverpool,,Philippe Coutinho,5,17,3,2,80.67,
3,Real Madrid,,Cristiano Ronaldo,15,22,5,3,81.4,
4,Manchester City,,John Stones,3,3,3,0,95.52,
5,Tottenham Hotspur,,Harry Kane,7,20,2,2,78.57,
6,Barcelona,,Lionel Messi,6,37,9,2,81.54,
7,Liverpool,,Mohamed Salah,10,28,6,4,74.74,
8,Sevilla,,Éver Banega,1,30,13,2,87.55,
9,Chelsea,,Eden Hazard,3,34,2,3,77.57,
10,Liverpool,,Sadio Mané,10,38,22,1,77.15,
11,Liverpool,,Roberto Firmino,10,23,23,7,74.57,
12,Beşiktaş,,Orkan Çınar,0,1,1,1,100,
13,Tottenham Hotspur,,Kieran Trippier,0,2,4,3,81.03,
14,Napoli,,Jorginho,1,2,7,0,84.93,
15,FC Bayern München,,Joshua Kimmich,4,2,12,3,91.57,
16,Paris Saint-Germain,,Marco Verratti,2,9,26,2,91.64,
17,FC Bayern München,,Thiago Alcântara,3,19,26,0,91.31,
18,FC Bayern München,,Kingsley Coman,2,18,6,2,85.33,
19,RB Leipzig,,Naby Keïta,2,24,15,0,80.97,
20,Beşiktaş,,Tolga Zengin,0,0,0,0,53.57,
21,FC Bayern München,,Corentin Tolisso,3,4,9,2,91.72,
22,Manchester City,,Kevin De Bruyne,1,17,13,4,82.78,
23,Manchester United,,Daley Blind,1,1,13,1,84.92,
24,Juventus,,Wojciech Szczęsny,0,0,0,0,81.48,
25,Paris Saint-Germain,,Kylian Mbappé,4,27,2,3,80.68,
26,Sevilla,,Wissam Ben Yedder,8,5,3,0,78.84,
27,Chelsea,,Cesc Fàbregas,1,2,19,1,82.36,
28,Napoli,,Lorenzo Insigne,3,8,1,0,82.55,
29,Tottenham Hotspur,,Dele Alli,2,12,11,4,80.73,
30,Real Madrid,,Gareth Bale,3,3,2,2,83.19,
31,Atlético Madrid,,Saúl Ñíguez,1,8,20,0,82.85,
32,Sevilla,,David Soria,0,0,0,0,71.43,
33,Roma,,Edin Džeko,8,9,6,2,71.26,
34,Napoli,,Dries Mertens,2,5,4,3,69.6,
35,FC Porto,,Vincent Aboubakar,5,2,1,2,65.93,
36,Barcelona,,Lucas Digne,1,3,8,0,89.14,
37,Manchester United,,Luke Shaw,0,4,0,0,79.59,
38,Barcelona,,Thomas Vermaelen,0,0,0,0,89.69,
39,Manchester United,,Romelu Lukaku,5,15,6,0,70.33,
40,Atlético Madrid,,Antoine Griezmann,2,5,6,2,84.07,
41,Roma,,Diego Perotti,3,37,17,1,83.44,
42,Real Madrid,,Toni Kroos,0,2,19,1,93.88,
43,Paris Saint-Germain,,Layvin Kurzawa,3,3,9,2,88.5,
44,Shakhtar Donetsk,,Fred,1,23,23,1,85.9,
45,Paris Saint-Germain,,Dani Alves,2,12,24,0,86.54,
46,Feyenoord,,Steven Berghuis,1,7,10,2,72,
47,Juventus,,Gonzalo Higuaín,5,18,10,1,78.47,
48,Liverpool,,Alberto Moreno,0,2,17,3,88.24,
49,Real Madrid,,Casemiro,1,13,45,0,91.17,
50,Manchester United,,David De Gea,0,0,0,0,54.7,
51,Atlético Madrid,,Filipe Luís,0,10,22,0,85.67,
52,Real Madrid,,Marcelo,3,10,17,4,82.49,
53,Real Madrid,,Daniel Carvajal,0,10,23,3,84.88,
54,Tottenham Hotspur,,Christian Eriksen,2,4,5,1,83.05,
55,FC Bayern München,,James Rodríguez,1,10,17,2,89.78,
56,Sporting,,Bruno Fernandes,1,9,15,1,79.42,
57,Barcelona,,Andrés Iniesta,0,16,11,2,90.2,
58,Sevilla,,Ganso,1,0,1,0,79.31,
59,Tottenham Hotspur,,Juan Foyth,0,1,2,0,91.57,
60,Barcelona,,Jasper Cillessen,0,0,0,0,81.25,
61,Paris Saint-Germain,,Edinson Cavani,7,0,1,1,79.86,
62,Beşiktaş,,Cenk Tosun,4,9,2,2,71.31,
63,Chelsea,,Willian,3,26,5,1,72.55,
64,Manchester City,,Nicolás Otamendi,1,1,17,0,92.61,
65,FC Spartak Moscow,,Ilya Kutepov,0,0,11,0,91.95,
66,Qarabağ,,Ibrahim Šehić,0,0,0,0,42.57,
67,Manchester United,,Victor Lindelöf,0,2,5,0,90.33,
68,Manchester City,,İlkay Gündoğan,2,10,16,2,90.89,
69,Manchester City,,Raheem Sterling,4,24,4,1,80.58,
70,FC Porto,,Miguel Layún,1,4,4,0,58.33,
71,Manchester United,,Ashley Young,0,3,6,1,83.94,
72,Sevilla,,Nicolás Pareja,0,0,6,0,89.43,
73,APOEL Nicosia,,Giorgos Merkis,0,0,4,0,74.19,
74,Manchester City,,Brahim Díaz,0,11,0,0,88.1,
75,Manchester United,,Antonio Valencia,0,6,7,0,80,
76,Real Madrid,,Karim Benzema,5,13,5,1,83.13,
77,AS Monaco,,Radamel Falcao,3,7,5,0,80.43,
78,Borussia Dortmund,,Andriy Yarmolenko,1,8,6,1,81.46,
79,FC Bayern München,,Mats Hummels,1,8,18,0,84.77,
80,Juventus,,Paulo Dybala,1,10,4,0,87.66,
81,FC Porto,,Danilo Pereira,1,2,13,3,81.82,
82,Manchester United,,Nemanja Matić,0,8,17,0,89.16,
83,Manchester City,,Bernardo Silva,1,20,10,2,85.67,
84,Roma,,Radja Nainggolan,2,13,18,2,86.2,
85,Real Madrid,,Sergio Ramos,1,4,19,0,92.34,
86,Juventus,,Mario Mandžukić,4,1,8,0,67.1,
87,FC Spartak Moscow,,Quincy Promes,2,9,2,2,83.33,
88,Borussia Dortmund,,Shinji Kagawa,0,5,3,2,88.43,
89,FC Porto,,Diogo Dalot,0,4,1,0,75.61,
90,Manchester United,,Marcos Rojo,0,0,1,0,89.01,
91,Benfica,,João Carvalho,0,2,0,0,85.71,
92,Manchester United,,Alexis Sánchez,0,6,4,0,76.62,
93,RB Leipzig,,Stefan Ilsanker,0,2,12,0,76.73,
94,Beşiktaş,,Pepe,0,4,16,0,71.93,
95,Barcelona,,Samuel Umtiti,0,1,12,0,90.97,
96,Juventus,,Giorgio Chiellini,0,2,15,0,82.94,
97,CSKA Moscow,,Vitinho,2,11,5,0,78.08,
98,Juventus,,Juan Cuadrado,1,9,17,1,83.49,
99,Borussia Dortmund,,Sokratis,1,4,13,0,94.25,
100,Tottenham Hotspur,,Danny Rose,0,4,9,0,76.74,
101,Atlético Madrid,,Juanfran,0,4,10,0,81.82,
102,Manchester United,,Ander Herrera,0,5,13,0,91.64,
103,Juventus,,Miralem Pjanić,1,8,10,1,84.24,
104,FC Bayern München,,Thomas Müller,3,6,10,2,74.1,
105,Barcelona,,Sergio Busquets,0,5,23,0,92.95,
106,Roma,,Federico Fazio,0,8,21,1,85.37,
107,Sevilla,,Joaquín Correa,1,21,13,3,82.8,
108,Beşiktaş,,Vágner Love,1,4,1,0,67.57,
109,Barcelona,,Ivan Rakitić,1,4,13,0,91.02,
110,Sporting,,André Pinto,0,0,3,0,91.11,
111,Borussia Dortmund,,Marc Bartra,0,3,17,0,82.31,
112,Roma,,Juan Jesus,0,0,15,0,85.64,
113,Liverpool,,James Milner,0,9,25,8,84.51,
114,Real Madrid,,Raphaël Varane,0,4,12,0,90.02,
115,FC Porto,,Felipe,1,3,11,1,78.01,
116,Olympiacos FC,,Silvio Proto,0,0,0,0,50.4,
117,Atlético Madrid,,Thomas Partey,1,8,9,0,89.9,
118,Olympiacos FC,,Panagiotis Tachtsidis,0,3,7,0,84.62,
119,Manchester City,,Sergio Agüero,4,7,3,1,77.24,
120,Manchester United,,Anthony Martial,1,20,1,2,79.31,
121,Real Madrid,,Lucas Vázquez,1,11,17,2,86.93,
122,Sevilla,,Clément Lenglet,1,2,16,0,89.52,
123,Chelsea,,N'Golo Kanté,0,9,22,0,90.36,
124,RSC Anderlecht,,Adrien Trebel,0,7,25,0,83.42,
125,Basel,,Luca Zuffi,1,8,9,0,84.23,
126,Tottenham Hotspur,,Hugo Lloris,0,0,0,0,60.19,
127,Manchester United,,Marcus Rashford,3,17,4,1,75.41,
128,Paris Saint-Germain,,Alphonse Aréola,0,0,0,0,79.39,
129,Sevilla,,Sergio Escudero,0,6,21,2,85.34,
130,FC Bayern München,,Robert Lewandowski,5,8,7,1,77.14,
131,Basel,,Michael Lang,3,7,12,1,68.83,
132,Roma,,Aleksandar Kolarov,1,26,22,3,80.13,
133,Manchester United,,Henrikh Mkhitaryan,1,3,10,0,83.33,
134,Tottenham Hotspur,,Toby Alderweireld,0,0,6,1,81.33,
135,FC Spartak Moscow,,Dmitry Kombarov,0,3,9,1,82.3,
136,AS Monaco,,Stevan Jovetić,0,1,0,0,70.83,
137,FC Bayern München,,Marco Friedl,0,1,1,0,88.89,
138,Shakhtar Donetsk,,Darijo Srna,0,0,0,0,82.98,
139,Paris Saint-Germain,,Yuri Berchiche,0,1,6,0,86.96,
140,Qarabağ,,Afran Ismayilov,0,0,6,0,66.67,
141,Paris Saint-Germain,,Thiago Silva,0,0,5,0,94.86,
142,Manchester City,,David Silva,0,8,3,2,87.02,
