#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
99,Juventus,,Danilo,0,1,9,1,89.86,
100,Benfica,,Odysseas Vlachodimos,0,0,1,0,64.17,
101,Young Boys,,Nicolas Moumie Ngamaleu,1,32,15,1,84.57,
102,Lille,,Jonathan Bamba,0,17,8,0,80.38,
103,FC Bayern München,,Benjamin Pavard,0,2,14,1,89.08,
104,Manchester City,,Phil Foden,3,6,6,2,81.18,
105,Real Madrid,,Luka Modrić,0,14,15,4,89.49,
106,FC Bayern München,,Serge Gnabry,3,11,7,0,82.89,
107,Zenit St. Petersburg,,Magomed Ozdoev,1,0,0,0,100,
108,Barcelona,,Gerard Piqué,1,0,7,0,91.16,
109,VfL Wolfsburg,,Maximilian Arnold,0,2,11,3,80.38,
110,AFC Ajax,,Noussair Mazraoui,0,10,28,2,87.07,
111,Shakhtar Donetsk,,Valeriy Bondar,0,1,0,0,94.34,
112,VfL Wolfsburg,,Pavao Pervan,0,0,0,0,55.56,
113,Milan,,Ciprian Tătărușanu,0,0,0,0,84.62,
114,Chelsea,,Ben Chilwell,0,0,7,0,85.9,
115,Juventus,,Juan Cuadrado,0,10,7,0,85.71,
116,Juventus,,Manuel Locatelli,0,3,13,0,85.87,
117,Atlético Madrid,,Rodrigo de Paul,1,4,19,0,77.9,
118,Paris Saint-Germain,,Marquinhos,0,0,10,1,92.63,
119,Villarreal,,Gerard Moreno,2,4,8,4,63.1,
120,Atalanta,,Duván Zapata,3,8,4,3,72.5,
121,Zenit St. Petersburg,,Wendel,1,3,12,0,89.69,
122,Chelsea,,Mateo Kovačić,0,12,13,1,93.71,
123,Sevilla,,Ivan Rakitić,2,1,3,1,81.05,
124,Borussia Dortmund,,Mats Hummels,0,3,14,0,88.89,
125,Chelsea,,Antonio Rüdiger,1,3,13,1,88.3,
126,Liverpool,,Jordan Henderson,1,0,12,1,88.15,
127,Juventus,,Mattia De Sciglio,0,3,11,1,86.43,
128,FC Bayern München,,Dayot Upamecano,0,5,15,0,91.17,
129,Real Madrid,,Éder Militão,0,4,25,0,85.85,
130,Real Madrid,,Casemiro,0,12,30,0,87.73,
131,Atalanta,,Remo Freuler,1,4,8,1,85.52,
132,FC Bayern München,,Corentin Tolisso,0,1,2,1,89.39,
133,Liverpool,,Alex Oxlade-Chamberlain,0,16,12,0,86.5,
134,AFC Ajax,,Jurriën Timber,0,7,11,0,93.29,
135,Benfica,,Darwin Núñez,6,13,6,0,56.48,
136,Barcelona,,Jordi Alba,0,1,2,1,84.64,
137,Real Madrid,,Lucas Vázquez,0,6,11,0,87.55,
138,Real Madrid,,Daniel Carvajal,0,7,16,1,86.97,
139,Liverpool,,Fabinho,1,5,30,0,90.54,
140,Chelsea,,Andreas Christensen,1,5,8,1,91.81,
141,Inter,,Robin Gosens,1,2,1,0,74.07,
142,Liverpool,,Thiago Alcântara,1,10,13,0,91.06,
143,RB Leipzig,,Amadou Haidara,0,2,10,0,85.37,
144,Benfica,,Nicolás Otamendi,0,0,13,0,84.11,
145,Juventus,,Álvaro Morata,2,2,6,0,74.45,
146,Atlético Madrid,,Stefan Savić,0,2,7,0,77.95,
147,FC Porto,,Sérgio Oliveira,1,1,9,0,74.44,
148,Chelsea,,Ross Barkley,0,2,0,0,88.57,
149,Sevilla,,Diego Carlos,0,2,7,0,87.62,
150,Shakhtar Donetsk,,Maycon,0,1,9,0,93.81,
151,Sheriff Tiraspol,,Gustavo Dulanto,0,1,17,0,78.97,
152,Liverpool,,Sadio Mané,5,16,9,0,78.65,
153,Juventus,,Rodrigo Bentancur,0,2,14,1,85.86,
154,Milan,,Alessio Romagnoli,0,1,8,0,85.17,
155,Paris Saint-Germain,,Neymar,0,14,6,2,84.44,
156,Barcelona,,Sergio Busquets,0,1,15,0,87.21,
157,Juventus,,Alex Sandro,1,3,18,0,85.37,
158,Borussia Dortmund,,Erling Haaland,3,2,0,0,56,
159,Lille,,Jonathan Ikoné,1,11,2,2,81.05,
160,Lille,,Angel Gomes,1,1,6,1,68,
161,Benfica,,Morato,1,1,3,0,87.86,
162,Manchester United,,Harry Maguire,1,1,8,0,87.46,
163,Inter,,Stefan de Vrij,1,0,5,0,89.88,
164,Villarreal,,Pau Torres,1,5,15,0,87.55,
165,Manchester City,,Fernandinho,0,2,9,2,86.21,
166,Beşiktaş,,Serdar Saatçı,0,1,1,0,70.83,
167,Sheriff Tiraspol,,Dumitru Celeadnic,0,0,0,0,71.43,
168,Manchester United,,Juan Mata,0,1,3,0,88.89,
169,Sevilla,,Erik Lamela,0,8,6,0,79.63,
170,Juventus,,Daniele Rugani,0,1,6,0,92.31,
171,Shakhtar Donetsk,,Mykola Matviyenko,0,3,2,0,92.78,
172,Club Brugge KV,,Charles De Ketelaere,0,6,8,1,72.39,
173,Sevilla,,Fernando,0,9,5,0,84.51,
174,Dynamo Kyiv,,Mykola Shaparenko,0,9,17,0,90.22,
175,Zenit St. Petersburg,,Sardar Azmoun,2,1,4,0,66.07,
176,Chelsea,,Saúl Ñíguez,0,2,8,0,86.21,
177,Inter,,Lautaro Martínez,1,3,3,0,79.65,
178,Red Bull Salzburg,,Nicolas Seiwald,0,3,26,1,72.62,
179,Chelsea,,Hakim Ziyech,1,7,7,2,78.34,
180,Club Brugge KV,,Noa Lang,0,19,8,1,70.2,
181,Manchester United,,Diogo Dalot,0,3,10,0,80.58,
182,Borussia Dortmund,,Thorgan Hazard,0,0,2,0,77.46,
183,Liverpool,,Luis Díaz,4,36,10,1,82.84,
184,Chelsea,,Callum Hudson-Odoi,1,7,6,2,90.78,
185,FC Bayern München,,Niklas Süle,0,1,6,0,94.23,
186,Manchester City,,Bernardo Silva,3,15,16,3,91.89,
187,Barcelona,,Clément Lenglet,0,1,6,0,89.38,
188,Real Madrid,,Federico Valverde,0,12,20,1,82.56,
189,Manchester City,,Kyle Walker,1,1,13,0,84.91,
190,Villarreal,,Étienne Capoue,2,7,14,4,87.17,
191,Paris Saint-Germain,,Ángel Di María,0,2,6,1,86.75,
192,Red Bull Salzburg,,Mohamed Camara,0,14,17,0,86.79,
193,Manchester City,,Nathan Aké,1,0,4,0,90.98,
194,AFC Ajax,,Nicolás Tagliafico,0,0,6,1,80.28,
195,Chelsea,,N'Golo Kanté,0,7,10,1,87.68,
196,FC Bayern München,,Manuel Neuer,0,0,0,1,88.2,
197,Borussia Dortmund,,Raphaël Guerreiro,0,3,5,0,84.17,
198,Sevilla,,Bono,0,1,0,0,79.01,
199,Young Boys,,Sandro Lauper,0,1,13,0,89.66,
200,Manchester City,,İlkay Gündoğan,0,6,7,2,90.15,
201,Lille,,Burak Yılmaz,3,7,0,0,68.29,
202,Liverpool,,Joël Matip,0,3,8,0,91.88,
203,Lille,,Zeki Çelik,0,6,22,0,79.04,
204,Red Bull Salzburg,,Karim Adeyemi,3,9,3,1,55.95,
205,RB Leipzig,,Dominik Szoboszlai,2,5,1,0,79.41,
206,Barcelona,,Nico González,0,9,4,0,88.03,
207,Manchester United,,Raphaël Varane,0,1,3,0,89.72,
208,Sevilla,,Marcos Acuña,0,5,15,0,76.6,
209,VfL Wolfsburg,,Koen Casteels,0,0,0,0,67.27,
210,Young Boys,,Christopher Martins Pereira,0,0,13,0,88.44,
211,Red Bull Salzburg,,Jérôme Onguene,0,3,6,0,81.85,
212,Sheriff Tiraspol,,Adama Malouda Traoré,2,12,8,1,73.2,
213,Real Madrid,,David Alaba,1,1,16,0,91.34,
214,Dynamo Kyiv,,Serhiy Sydorchuk,0,5,21,0,86.15,
215,Benfica,,João Mário,0,4,6,3,92.52,
216,Atlético Madrid,,Jan Oblak,0,0,0,0,47.24,
217,Benfica,,Jan Vertonghen,0,3,15,0,80.32,
218,Sporting,,Pablo Sarabia,2,2,7,1,72.87,
219,VfL Wolfsburg,,Renato Steffen,2,3,11,0,67.03,
220,Liverpool,,Divock Origi,1,3,4,1,78.26,
221,Juventus,,Dušan Vlahović,1,1,0,0,75,
222,Villarreal,,Paco Alcácer,1,0,1,0,77.78,
223,Sheriff Tiraspol,,Momo Yansane,1,0,1,0,82.05,
224,Zenit St. Petersburg,,Daler Kuzyaev,1,3,5,0,83.54,
225,Young Boys,,Michel Aebischer,0,3,8,2,84.92,
226,Shakhtar Donetsk,,Vitão,0,0,1,0,89.87,
227,Beşiktaş,,Berkay Vardar,0,0,1,0,50,
228,Liverpool,,Tyler Morton,0,2,2,0,83.72,
229,Liverpool,,Nathaniel Phillips,0,1,1,0,77.27,
230,Milan,,Tiemoué Bakayoko,0,1,3,0,80.56,
231,Sevilla,,Gonzalo Montiel,0,0,6,0,82.5,
232,Manchester United,,Victor Lindelöf,0,0,5,0,91.52,
233,Lille,,Sven Botman,0,2,6,0,88.85,
234,Benfica,,André Almeida,0,1,9,0,74.77,
235,Manchester United,,Fred,0,2,13,0,83.71,
236,Sporting,,Luís Neto,0,0,3,0,89.24,
237,Juventus,,Adrien Rabiot,0,3,14,0,89.05,
238,Villarreal,,Raúl Albiol,0,1,10,0,83.55,
239,Villarreal,,Arnaut Danjuma,6,16,2,1,78.26,
240,Atlético Madrid,,Marcos Llorente,0,5,15,0,81.63,
241,Manchester City,,Oleksandr Zinchenko,0,2,13,2,85.91,
242,Lille,,José Fonte,0,0,9,0,84.03,
243,Lille,,Tiago Djaló,0,6,12,0,84.87,
244,Young Boys,,Jordan Siebatcheu,2,2,3,0,75.38,
245,Young Boys,,Meschack Elia,1,5,6,0,84.68,
246,Barcelona,,Frenkie de Jong,0,7,13,0,89.61,
247,Lille,,Ivo Grbić,0,0,0,0,45.21,
248,Inter,,Federico Dimarco,0,0,7,0,92.54,
249,VfL Wolfsburg,,Lukas Nmecha,2,6,5,0,73.91,
250,Chelsea,,César Azpilicueta,1,3,12,1,85.34,
251,Benfica,,Julian Weigl,0,7,11,1,87.67,
252,Manchester City,,Aymeric Laporte,0,1,12,0,94.53,
253,Sporting,,Paulinho,3,4,3,1,70.67,
254,Lille,,Jonathan David,3,10,6,0,79.72,
255,Sporting,,Bruno Tabata,1,1,2,1,78.48,
256,AFC Ajax,,Ryan Gravenberch,0,14,14,1,88.83,
257,Young Boys,,Mohamed Camara,0,1,9,0,88.94,
258,Shakhtar Donetsk,,Pedrinho,0,10,3,0,89.51,
259,Zenit St. Petersburg,,Stanislav Kritsyuk,0,1,0,0,71.76,
260,Manchester City,,John Stones,0,2,3,0,95.13,
261,Chelsea,,Christian Pulišić,2,7,3,1,83.08,
262,FC Bayern München,,Jamal Musiala,1,15,10,0,80.84,
263,Manchester City,,Rúben Dias,0,1,11,1,90.68,
264,Real Madrid,,Ferland Mendy,0,11,12,3,90.61,
265,Red Bull Salzburg,,Noah Okafor,3,2,3,0,60.56,
266,FC Bayern München,,Eric Maxim Choupo-Moting,1,4,0,0,81.25,
267,Paris Saint-Germain,,Ander Herrera,1,2,11,0,87.01,
268,Sheriff Tiraspol,,Cristiano,0,8,13,3,72.6,
269,Sporting,,Matheus Nunes,0,20,12,2,81.48,
270,AFC Ajax,,Perr Schuurs,0,0,3,1,86.09,
271,Shakhtar Donetsk,,Anatoliy Trubin,0,0,0,0,77.22,
272,Milan,,Simon Kjær,0,0,5,0,84.89,
273,Shakhtar Donetsk,,Andriy Pyatov,0,0,0,0,86.67,
274,Dynamo Kyiv,,Illia Zabarnyi,0,0,13,0,88.8,
275,Chelsea,,Marcos Alonso,0,5,10,0,85.42,
276,Shakhtar Donetsk,,Fernando,2,7,8,0,78.08,
277,Young Boys,,Vincent Sierro,1,0,3,0,76,
278,Benfica,,Alejandro Grimaldo,0,13,20,3,79.61,
279,Red Bull Salzburg,,Maximilian Wöber,1,2,13,0,79.28,
280,Atlético Madrid,,Geoffrey Kondogbia,0,4,20,0,82.93,
281,RB Leipzig,,André Silva,3,5,1,1,79.17,
282,Atalanta,,Merih Demiral,1,1,8,0,89.94,
283,Sevilla,,Rafa Mir,1,2,1,0,55.77,
284,Red Bull Salzburg,,Bernardo,0,0,0,1,68.42,
285,VfL Wolfsburg,,Yannick Gerhardt,0,1,6,1,71.43,
286,Barcelona,,Pedri,0,2,4,0,87,
287,Sevilla,,Suso,0,4,1,0,80.39,
288,FC Bayern München,,Omar Richards,0,1,8,0,93.02,
289,Borussia Dortmund,,Axel Witsel,0,1,8,0,92.43,
290,Real Madrid,,Nacho Fernández,0,4,10,0,93.75,
291,Paris Saint-Germain,,Idrissa Gueye,1,6,14,0,87.62,
292,Paris Saint-Germain,,Presnel Kimpembe,0,1,11,0,91.58,
293,Villarreal,,Gerónimo Rulli,0,0,0,0,62.14,
294,FC Porto,,Marko Grujić,0,2,8,1,80.29,
295,Manchester United,,Scott McTominay,0,4,4,0,86.57,
296,Borussia Dortmund,,Manuel Akanji,0,1,6,0,85.32,
297,Sevilla,,Lucas Ocampos,1,12,7,1,76.83,
298,Dynamo Kyiv,,Denys Garmash,1,3,9,0,75,
299,Real Madrid,,Eden Hazard,0,2,1,0,90.57,
300,Milan,,Mike Maignan,0,0,0,0,63.16,
301,Atlético Madrid,,Kieran Trippier,0,0,8,0,73.12,
302,Borussia Dortmund,,Reinier,0,4,3,0,84.72,
303,Benfica,,Lucas Veríssimo,0,0,5,0,76.85,
304,RB Leipzig,,Kevin Kampl,0,2,6,0,87.89,
305,Young Boys,,Guillaume Faivre,0,0,0,0,76.86,
306,FC Porto,,Otávio,0,4,14,0,72.92,
307,Zenit St. Petersburg,,Wílmar Barrios,0,3,15,0,89.9,
308,Atalanta,,Teun Koopmeiners,0,0,5,1,81.45,
309,Villarreal,,Serge Aurier,0,0,3,1,86.57,
310,Milan,,Fikayo Tomori,1,0,5,0,82.86,
311,RB Leipzig,,Angeliño,0,3,1,3,70.93,
312,Sevilla,,Papu Gómez,0,8,2,0,84.09,
313,Red Bull Salzburg,,Oumar Solet,0,1,3,0,84.67,
314,Chelsea,,Romelu Lukaku,2,1,0,0,78.69,
315,Real Madrid,,Marco Asensio,1,1,4,2,82.76,
316,Villarreal,,Giovani Lo Celso,0,9,17,0,80.69,
317,VfL Wolfsburg,,Maxence Lacroix,0,2,8,0,79.53,
318,AFC Ajax,,Edson Álvarez,0,3,17,0,91.03,
319,Atlético Madrid,,José María Giménez,0,2,5,0,80.84,
320,Inter,,Samir Handanović,0,0,1,0,86.64,
321,Benfica,,Gilberto,1,14,25,0,73.67,
322,Manchester City,,Raheem Sterling,3,17,8,2,89.95,
323,Chelsea,,Kai Havertz,3,9,5,0,82.1,
324,Benfica,,Roman Yaremchuk,3,8,2,0,65.26,
325,Paris Saint-Germain,,Georginio Wijnaldum,2,1,0,0,91,
326,Club Brugge KV,,Mats Rits,2,0,4,0,76.92,
327,Chelsea,,Trevoh Chalobah,1,1,0,0,82.73,
328,Manchester United,,Anthony Elanga,1,1,4,0,57.14,
329,Atalanta,,Luis Muriel,1,4,2,0,79.31,
330,Villarreal,,Manu Trigueros,1,0,10,0,79.17,
331,Atalanta,,Aleksei Miranchuk,0,2,1,1,81.82,
332,Manchester United,,Dean Henderson,0,0,0,0,54.55,
333,Real Madrid,,Miguel Gutiérrez,0,0,1,0,84.09,
334,Sporting,,Dário Essugo,0,0,0,0,77.78,
335,Manchester City,,Zack Steffen,0,0,1,0,90.48,
336,Manchester United,,Teden Mengi,0,0,0,0,72.73,
337,Inter,,Aleksandar Kolarov,0,0,0,0,100,
338,FC Porto,,Bruno Costa,0,0,1,0,90,
339,Young Boys,,Fabian Lustenberger,0,0,1,0,85.14,
340,Dynamo Kyiv,,Artem Shabanov,0,1,1,0,90.63,
341,Young Boys,,Nico Maier,0,1,0,0,50,
342,AFC Ajax,,Mohammed Kudus,0,1,0,0,94.12,
343,Milan,,Fodé Ballo-Touré,0,1,8,0,85.19,
344,Lille,,Hatem Ben Arfa,0,3,0,0,81.82,
345,Milan,,Rade Krunić,0,3,2,0,81.32,
346,Malmö FF,,Johan Dahlin,0,0,0,0,44.57,
347,Milan,,Theo Hernández,0,17,6,0,79.9,
348,Shakhtar Donetsk,,Manor Solomon,0,9,4,0,90.23,
349,Club Brugge KV,,Éder Balanta,0,8,14,0,71.62,
350,Juventus,,Arthur,0,2,4,0,93.54,
351,Red Bull Salzburg,,Rasmus Kristensen,0,8,37,0,65.03,
352,Manchester United,,Aaron Wan-Bissaka,0,8,12,0,85.16,
353,Milan,,Sandro Tonali,0,7,11,0,79.1,
354,Sporting,,João Palhinha,0,5,22,0,84.32,
355,Liverpool,,Naby Keïta,1,8,15,1,88.18,
356,Manchester United,,Luke Shaw,0,3,4,2,82.82,
357,Paris Saint-Germain,,Leandro Paredes,0,0,8,0,93.69,
358,Borussia Dortmund,,Julian Brandt,0,7,6,0,85.25,
359,Malmö FF,,Anel Ahmedhodžić,0,2,2,0,83.26,
360,Beşiktaş,,Souza,0,3,19,0,83.97,
361,VfL Wolfsburg,,Josuha Guilavogui,0,1,8,0,83.65,
362,Atlético Madrid,,João Félix,1,5,3,1,80.13,
363,Atalanta,,Matteo Pessina,1,7,5,0,75,
364,Sheriff Tiraspol,,Boban Nikolov,1,0,3,0,80.77,
365,RB Leipzig,,Yussuf Poulsen,0,2,0,1,58.33,
366,Manchester United,,Donny van de Beek,0,3,8,0,85.71,
367,Villarreal,,Pervis Estupiñán,0,5,19,0,80.36,
368,Villarreal,,Yéremy Pino,1,11,8,0,80.95,
369,Borussia Dortmund,,Thomas Meunier,0,11,13,1,73.36,
370,Beşiktaş,,Alex Teixeira,0,7,4,0,93.02,
371,Malmö FF,,Ismael Diawara,0,0,0,0,64.52,
372,Real Madrid,,Eduardo Camavinga,0,1,14,1,85.39,
373,Shakhtar Donetsk,,Ismaily,0,5,6,0,82.07,
374,Dynamo Kyiv,,Oleksandr Syrota,0,0,8,0,85.22,
375,Zenit St. Petersburg,,Dmitri Chistyakov,0,0,2,0,91.51,
376,AFC Ajax,,Davy Klaassen,1,0,7,1,86.11,
377,RB Leipzig,,Nordi Mukiele,1,2,15,1,70.95,
378,Manchester City,,Cole Palmer,1,0,2,0,72.73,
379,RB Leipzig,,Dani Olmo,0,2,1,1,81.58,
380,FC Bayern München,,Josip Stanišić,0,0,0,1,100,
381,Borussia Dortmund,,Nico Schulz,0,3,7,1,86.51,
382,RB Leipzig,,Konrad Laimer,0,7,13,1,77.37,
383,Chelsea,,Malang Sarr,0,1,4,0,91.89,
384,AFC Ajax,,Mohamed Daramy,0,5,0,0,84,
385,VfL Wolfsburg,,Maximilian Philipp,0,3,2,0,84.62,
