#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,Barcelona,,Lionel Messi,12,35,10,3,84.49,
2,Paris Saint-Germain,,Neymar,5,32,5,2,82.91,
3,Barcelona,,Jasper Cillessen,0,0,0,0,74.07,
4,Roma,,Edin Džeko,5,9,2,3,66.18,
5,Real Madrid,,Toni Kroos,1,4,17,2,94.02,
6,Borussia Dortmund,,Raphaël Guerreiro,4,0,5,0,90.91,
7,Club Brugge KV,,Ethan Horvath,0,0,0,0,38.75,
8,AFC Ajax,,Dušan Tadić,6,20,12,4,75.34,
9,CSKA Moscow,,Nikola Vlašić,3,18,14,2,84.36,
10,Olympique Lyonnais,,Nabil Fekir,3,8,12,2,88.06,
11,AFC Ajax,,Carel Eiting,0,2,1,1,85.26,
12,CSKA Moscow,,Ilya Pomazun,0,0,0,0,14.81,
13,Borussia Dortmund,,Marco Reus,1,7,16,1,80.17,
14,Atlético Madrid,,Antoine Griezmann,4,6,9,2,75.39,
15,Valencia,,Carlos Soler,2,6,14,2,81.42,
16,Manchester City,,Kevin De Bruyne,0,4,3,4,82.01,
17,Juventus,,Cristiano Ronaldo,6,18,3,2,84.59,
18,Shakhtar Donetsk,,Taison,2,11,7,1,85.87,
19,Manchester City,,Leroy Sané,4,19,6,4,85.8,
20,Galatasaray,,Emre Akbaba,0,0,2,1,72,
21,AFC Ajax,,Hakim Ziyech,3,31,28,3,75.63,
22,FC Bayern München,,Joshua Kimmich,0,2,11,2,90.17,
23,Real Madrid,,Karim Benzema,4,14,2,2,86.67,
24,Borussia Dortmund,,Maximilian Philipp,0,3,2,1,73.68,
25,Borussia Dortmund,,Manuel Akanji,0,2,13,0,95.04,
26,Tottenham Hotspur,,Christian Eriksen,2,7,9,4,80.56,
27,FC Bayern München,,Javi Martínez,1,3,18,0,83.28,
28,FC Bayern München,,Robert Lewandowski,8,6,2,0,71.83,
29,Roma,,Lorenzo Pellegrini,1,6,7,3,79.11,
30,Borussia Dortmund,,Axel Witsel,1,9,11,0,94.55,
31,Paris Saint-Germain,,Ángel Di María,2,12,6,3,85.63,
32,TSG Hoffenheim,,Andrej Kramarić,5,6,1,1,84.65,
33,Paris Saint-Germain,,Kylian Mbappé,4,17,1,5,80.7,
34,Real Madrid,,Gareth Bale,3,7,2,2,80.79,
35,Manchester City,,Riyad Mahrez,1,2,9,4,85.64,
36,Barcelona,,Juan Miranda,0,1,2,0,83.33,
37,Juventus,,Medhi Benatia,0,0,2,0,94.52,
38,Lokomotiv Moscow,,Maciej Rybus,0,3,9,0,78.46,
39,Manchester City,,Raheem Sterling,5,31,10,2,83.47,
40,Manchester City,,Sergio Agüero,6,11,4,1,88.2,
41,Manchester City,,Bernardo Silva,4,15,15,1,89.26,
42,Juventus,,Giorgio Chiellini,0,1,8,0,89.46,
43,Barcelona,,Jordi Alba,1,7,11,5,87.53,
44,FC Bayern München,,James Rodríguez,0,4,6,1,88.21,
45,Manchester City,,David Silva,3,7,11,2,84.16,
46,FC Bayern München,,Mats Hummels,1,2,22,0,87.58,
47,Roma,,Robin Olsen,0,0,0,0,64.2,
48,Tottenham Hotspur,,Harry Kane,5,13,9,1,78.03,
49,Juventus,,Paulo Dybala,5,11,6,0,89.27,
50,Barcelona,,Ousmane Dembélé,3,11,2,1,78.43,
51,Real Madrid,,Sergio Ramos,0,0,10,0,91.22,
52,Inter,,Samir Handanović,0,0,0,0,80.38,
53,Juventus,,Miralem Pjanić,2,5,18,1,87.81,
54,Manchester City,,Oleksandr Zinchenko,0,1,8,2,92.88,
55,Liverpool,,Trent Alexander-Arnold,0,7,21,3,65.49,
56,Napoli,,Lorenzo Insigne,3,4,1,0,80.95,
57,Atlético Madrid,,Koke,2,3,14,1,88.24,
58,Real Madrid,,Marco Asensio,2,13,2,0,87.85,
59,FC Porto,,Alex Telles,1,4,12,3,73.91,
60,Barcelona,,Luis Suárez,1,14,7,3,80.42,
61,Roma,,Justin Kluivert,1,9,8,0,79.55,
62,Galatasaray,,Ozan Kabak,0,4,17,0,88.73,
63,FC Porto,,Moussa Marega,6,10,8,2,69.78,
64,Viktoria Plzeň,,Michael Krmenčík,2,3,0,0,71.43,
65,Atlético Madrid,,Filipe Luís,0,3,11,1,85.71,
66,FC Bayern München,,Niklas Süle,0,1,6,0,92.13,
67,Roma,,Cengiz Ünder,3,11,2,1,71.43,
68,Real Madrid,,Isco,1,5,4,0,87.29,
69,Galatasaray,,Maicon,0,0,9,0,85.38,
70,Manchester United,,Paul Pogba,2,10,5,1,85.19,
71,AS Monaco,,Aleksandr Golovin,0,3,6,1,84.68,
72,Valencia,,Ezequiel Garay,0,0,2,0,87.2,
73,FK Crvena zvezda,,Milan Borjan,0,0,0,0,50,
74,Borussia Dortmund,,Abdou Diallo,0,6,12,0,88.93,
75,Real Madrid,,Marcelo,1,2,4,1,85.66,
76,FC Bayern München,,Thiago Alcântara,0,6,9,1,86.28,
77,Barcelona,,Philippe Coutinho,3,22,6,3,86.72,
78,PSV Eindhoven,,Luuk de Jong,3,1,8,0,64,
79,Napoli,,Kalidou Koulibaly,0,3,14,0,87.53,
80,Olympique Lyonnais,,Memphis Depay,1,6,0,4,82.43,
81,Liverpool,,Mohamed Salah,5,24,11,2,71.17,
82,Napoli,,Dries Mertens,3,1,2,0,75.68,
83,TSG Hoffenheim,,Joelinton,1,14,11,1,77.45,
84,Barcelona,,Rafinha Alcântara,1,1,2,0,94.74,
85,Olympique Lyonnais,,Houssem Aouar,0,18,17,3,88.18,
86,Tottenham Hotspur,,Paulo Gazzaniga,0,1,0,0,81.82,
87,FC Schalke 04,,Abdul Rahman Baba,0,1,3,0,79.41,
88,TSG Hoffenheim,,Justin Hoogma,0,1,8,0,78.57,
89,Roma,,Diego Perotti,0,2,3,0,75,
90,Club Brugge KV,,Brandon Mechele,0,0,8,0,91.87,
91,Olympique Lyonnais,,Maxwel Cornet,3,5,6,0,67.24,
92,Juventus,,Leonardo Bonucci,0,0,7,2,87.57,
93,Liverpool,,Alisson,0,0,0,0,76.69,
94,Borussia Dortmund,,Dan-Axel Zagadou,0,1,4,0,92.12,
95,Paris Saint-Germain,,Thiago Silva,0,1,7,0,92.35,
96,Manchester City,,Gabriel Jesus,4,3,2,0,82.41,
97,Barcelona,,Ivan Rakitić,1,2,9,2,91.36,
98,Napoli,,Marek Hamšík,1,0,12,1,88.91,
99,Manchester City,,Phil Foden,1,3,1,0,84.38,
100,Napoli,,José Callejón,0,3,6,2,86.33,
101,Barcelona,,Sergio Busquets,0,6,41,1,93.19,
102,Valencia,,Cristiano Piccini,0,5,10,0,67.71,
103,Napoli,,Raúl Albiol,0,1,2,0,90.1,
104,Galatasaray,,Badou Ndiaye,0,12,13,0,82.92,
105,Liverpool,,Virgil van Dijk,2,1,12,2,86.7,
106,Barcelona,,Gerard Piqué,2,3,12,0,88.53,
107,Shakhtar Donetsk,,Júnior Moraes,3,2,4,2,77.45,
108,FC Porto,,Jesús Corona,3,13,15,2,78.87,
109,Club Brugge KV,,Hans Vanaken,2,7,16,1,86.42,
110,FC Schalke 04,,Alexander Nübel,0,0,0,0,61.36,
111,Shakhtar Donetsk,,Yaroslav Rakitskyi,0,2,1,0,86.42,
112,FC Schalke 04,,Naldo,0,0,8,0,83.41,
113,Roma,,Federico Fazio,0,2,9,0,86.26,
114,Club Brugge KV,,Benoît Poulain,0,0,7,0,82.61,
115,Juventus,,João Cancelo,0,11,15,2,81.22,
116,Manchester United,,Marouane Fellaini,1,0,11,0,89.18,
117,Olympique Lyonnais,,Tanguy Ndombélé,2,23,19,0,88.19,
118,Inter,,Mauro Icardi,4,1,2,0,73.33,
119,Benfica,,Alejandro Grimaldo,2,9,25,0,85.96,
120,Benfica,,Pizzi,0,6,2,1,82.01,
121,Inter,,Ivan Perišić,0,4,10,0,66.45,
122,Olympique Lyonnais,,Anthony Lopes,0,0,1,0,57.92,
123,Young Boys,,Guillaume Hoarau,3,0,8,0,66.67,
124,FC Bayern München,,Jérôme Boateng,0,0,7,0,85.95,
125,Tottenham Hotspur,,Lucas Moura,5,31,12,0,75.33,
126,Liverpool,,Sadio Mané,4,28,20,1,75.77,
127,Benfica,,Jonas,1,1,0,1,71.43,
128,Real Madrid,,Lucas Vázquez,1,3,12,1,85.43,
129,Real Madrid,,Sergio Reguilón,0,6,7,1,80.84,
130,Inter,,Stefan de Vrij,0,0,6,1,89.31,
131,Liverpool,,Jordan Henderson,0,3,18,1,84.58,
132,Borussia Dortmund,,Marwin Hitz,0,0,0,0,88.89,
133,Club Brugge KV,,Matej Mitrović,0,0,2,0,93.94,
134,Roma,,Juan Jesus,0,0,3,0,92.81,
135,Borussia Dortmund,,Ömer Toprak,0,0,5,0,95.42,
136,Manchester United,,Nemanja Matić,0,4,13,0,87.94,
137,Galatasaray,,Garry Rodrigues,1,5,7,1,83.21,
138,Real Madrid,,Casemiro,1,4,14,0,90.08,
139,Atlético Madrid,,José María Giménez,2,1,5,0,83.33,
140,AFC Ajax,,Matthijs de Ligt,2,1,16,0,84.68,
141,Club Brugge KV,,Ruud Vormer,1,1,12,1,78.8,
142,AS Monaco,,Youri Tielemans,0,3,14,0,83.53,
143,Tottenham Hotspur,,Kieran Trippier,0,2,17,2,75.99,
144,Liverpool,,Joël Matip,0,2,13,1,83.14,
145,FC Porto,,Felipe,1,4,13,0,79.27,
146,CSKA Moscow,,Ilzat Akhmetov,0,7,12,1,82.97,
147,Tottenham Hotspur,,Juan Foyth,0,3,1,0,90,
148,Benfica,,Andrija Živković,0,2,0,0,83.33,
149,Borussia Dortmund,,Julian Weigl,0,1,10,0,93.75,
150,Borussia Dortmund,,Marius Wolf,0,3,9,0,78.95,
151,Paris Saint-Germain,,Marco Verratti,0,8,25,0,91.97,
152,Barcelona,,Clément Lenglet,0,4,28,0,87.9,
153,Real Madrid,,Nacho Fernández,0,1,11,0,93.48,
154,Valencia,,Gabriel Paulista,0,0,8,0,89.41,
155,AFC Ajax,,Donny van de Beek,3,12,26,2,77.44,
156,Liverpool,,James Milner,2,4,24,2,81.55,
157,Paris Saint-Germain,,Edinson Cavani,2,2,0,1,83.1,
158,Galatasaray,,Sofiane Feghouli,1,3,1,0,77.38,
159,TSG Hoffenheim,,Steven Zuber,1,1,2,0,77.5,
160,Benfica,,Alfa Semedo,1,5,3,0,85.92,
161,Real Madrid,,Dani Ceballos,0,1,0,0,94.94,
162,Olympique Lyonnais,,Kenny Tete,0,2,12,0,78.3,
163,Borussia Dortmund,,Marcel Schmelzer,0,1,4,0,88.27,
164,AEK Athens,,Vasilis Lampropoulos,0,1,5,0,80.23,
165,Young Boys,,Djibril Sow,0,1,12,0,87.73,
166,PSV Eindhoven,,Jeroen Zoet,0,1,0,0,58.76,
167,Tottenham Hotspur,,Davinson Sánchez,0,4,11,0,89.35,
168,Valencia,,Santi Mina,2,4,1,0,78.87,
169,FK Crvena zvezda,,Milan Pavkov,2,2,5,0,40,
170,Galatasaray,,Eren Derdiyok,2,2,1,0,60,
171,Borussia Dortmund,,Jacob Bruun Larsen,1,1,2,1,88.89,
172,Real Madrid,,Vinícius Júnior,0,11,6,2,80,
173,Manchester City,,İlkay Gündoğan,0,6,9,1,92.23,
174,Juventus,,Federico Bernardeschi,0,16,4,1,82.51,
175,Real Madrid,,Raphaël Varane,0,0,3,0,89.12,
176,Atlético Madrid,,Santiago Arias,0,1,9,0,82.61,
177,FK Crvena zvezda,,Marko Marin,1,9,5,3,77.85,
178,Inter,,Matías Vecino,1,3,15,1,77.52,
179,Valencia,,Neto,0,0,0,0,58.43,
180,Club Brugge KV,,Marvelous Nakamba,0,2,22,0,84.03,
181,Liverpool,,Roberto Firmino,4,10,12,1,78.21,
182,Napoli,,Fabián Ruiz,0,8,11,0,85.19,
183,Club Brugge KV,,Stefano Denswil,0,2,5,0,85.85,
184,FC Bayern München,,Manuel Neuer,0,0,0,0,76.01,
185,Real Madrid,,Luka Modrić,0,6,8,1,88.61,
