#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,Barcelona,,Lionel Messi,10,92,14,5,86.16,
2,Shakhtar Donetsk,,Ivan Ordets,0,0,4,1,94,
3,Sporting,,Nani,4,16,9,2,79.17,
4,Barcelona,,Sergi Samper,0,1,5,0,93.14,
5,Chelsea,,Eden Hazard,3,51,2,2,82.04,
6,Real Madrid,,Keylor Navas,0,1,0,0,59.18,
7,Sporting,,Jefferson,1,1,6,2,75,
8,Chelsea,,Cesc Fàbregas,2,12,24,3,87.36,
9,FC Porto,,Casemiro,1,1,45,1,81.74,
10,Atlético Madrid,,Koke,2,13,26,4,81.25,
11,Real Madrid,,Álvaro Medrán,1,1,0,0,85.71,
12,FC Porto,,Ricardo Pereira,0,1,14,0,89.58,
13,Atlético Madrid,,José María Giménez,0,4,7,0,79.76,
14,Real Madrid,,Cristiano Ronaldo,10,25,2,3,81.54,
15,Real Madrid,,Pepe,0,1,10,1,90.6,
16,Atlético Madrid,,Jan Oblak,0,0,0,0,45.33,
17,Barcelona,,Luis Suárez,7,17,10,3,74.6,
18,Shakhtar Donetsk,,Luiz Adriano,9,2,4,1,61.9,
19,Juventus,,Carlos Tévez,7,29,10,1,84.75,
20,Paris Saint-Germain,,Thiago Motta,0,5,20,2,90.8,
21,Chelsea,,Nemanja Matić,2,15,46,1,90.17,
22,FC Porto,,Yacine Brahimi,5,42,6,3,87.19,
23,RSC Anderlecht,,Chancel Mbemba,2,8,15,0,77.58,
24,Benfica,,Lisandro López,0,0,3,0,81.93,
25,Zenit St. Petersburg,,Nicolas Lombaerts,0,2,12,0,89.97,
26,Real Madrid,,Karim Benzema,6,13,4,1,81.69,
27,FC Bayern München,,Arjen Robben,2,11,4,1,87.07,
28,Athletic Club,,Mikel San José,2,0,14,0,78.55,
29,Real Madrid,,Marcelo,1,29,24,2,86.52,
30,Borussia Dortmund,,Marco Reus,3,5,14,1,87.57,
31,FC Bayern München,,Thiago Alcântara,2,11,11,1,84.31,
32,Barcelona,,Marc Bartra,0,4,10,1,92.68,
33,Chelsea,,Filipe Luís,0,5,23,0,88.72,
34,FC Bayern München,,Franck Ribéry,3,15,8,0,85.84,
35,FC Schalke 04,,Christian Fuchs,1,2,12,1,78.3,
36,Shakhtar Donetsk,,Darijo Srna,1,3,16,1,79.53,
37,Real Madrid,,Toni Kroos,0,5,31,3,95.07,
38,Borussia Dortmund,,Sokratis,1,2,18,0,84.45,
39,FC Porto,,Alex Sandro,0,13,37,1,80.93,
40,Real Madrid,,Isco,0,38,33,0,89.71,
41,Real Madrid,,James Rodríguez,1,5,12,2,86.97,
42,FC Porto,,Danilo,1,5,17,1,77.19,
43,Barcelona,,Neymar,10,37,11,0,82.28,
44,Arsenal,,Aaron Ramsey,3,4,15,1,86.46,
45,Arsenal,,Santi Cazorla,0,24,18,2,86.12,
46,Roma,,Francesco Totti,2,6,1,1,77.83,
47,Barcelona,,Dani Alves,0,12,33,4,86.63,
48,FC Bayern München,,Thomas Müller,7,11,9,3,74.51,
49,FC Bayern München,,David Alaba,0,3,5,2,92.55,
50,Chelsea,,Nathan Aké,0,0,2,1,95,
51,AFC Ajax,,Joël Veltman,0,4,16,0,93.62,
52,Real Madrid,,Raphaël Varane,0,4,23,0,92.8,
53,Bayer 04 Leverkusen,,Hakan Çalhanoğlu,2,9,15,2,75.96,
54,Atlético Madrid,,Diego Godín,1,2,19,0,70.92,
55,Chelsea,,Willian,1,11,12,1,88.45,
56,Paris Saint-Germain,,Marco Verratti,1,17,32,0,91.71,
57,Bayer 04 Leverkusen,,Lars Bender,0,4,31,0,74.07,
58,Liverpool,,Steven Gerrard,2,4,11,0,86.09,
59,AFC Ajax,,Ricardo Kishna,0,15,6,2,77.39,
60,Borussia Dortmund,,Nuri Şahin,0,0,6,1,95.17,
61,Zenit St. Petersburg,,Domenico Criscito,0,2,23,0,81.69,
62,Chelsea,,John Terry,2,0,3,2,93.04,
63,Paris Saint-Germain,,Lucas Moura,0,31,10,1,85.27,
64,FC Bayern München,,Jérôme Boateng,3,1,19,3,87.08,
65,Roma,,Maicon,1,6,9,0,88.81,
66,Real Madrid,,Luka Modrić,0,10,11,1,92.01,
67,Galatasaray,,Felipe Melo,0,9,29,0,87.69,
68,Borussia Dortmund,,Adrián Ramos,3,2,1,0,84.62,
69,Borussia Dortmund,,Kevin Großkreutz,0,1,15,2,78.69,
70,Real Madrid,,Sergio Ramos,0,2,25,0,88.16,
71,Manchester City,,David Silva,0,12,8,1,88.27,
72,Bayer 04 Leverkusen,,Emir Spahić,0,3,21,0,72.92,
73,FC Bayern München,,Xabi Alonso,2,2,27,1,91.01,
74,Roma,,Davide Astori,0,0,3,0,84.03,
75,Juventus,,Stefano Sturaro,0,0,0,0,80,
76,Liverpool,,Kolo Touré,0,2,1,0,89.19,
77,Arsenal,,Laurent Koscielny,0,2,8,0,92.17,
78,RSC Anderlecht,,Silvio Proto,0,0,0,0,47.97,
