#,Time,Time,Nome,Gols,Gols esperados (xG),Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
380,Atlético Madrid,,Ángel Correa,1,2.07,9,1,0,84.21,
381,Borussia Dortmund,,Julian Ryerson,0,0.19,14,27,0,85.85,
382,Manchester City,,Ederson,0,,0,0,0,94.09,
383,Atlético Madrid,,Rodrigo Riquelme,0,0.66,12,10,0,86.3,
384,Inter,,Matteo Darmian,0,0.1,4,8,0,81.94,
385,Napoli,,Giovanni Simeone,1,1.37,1,3,0,65.38,
386,FC København,,Roony Bardghji,1,0.45,6,0,0,90,
387,Shakhtar Donetsk,,Yehor Nazaryna,0,0.23,0,4,1,88.12,
388,PSV Eindhoven,,Sergiño Dest,0,0.16,14,13,1,87.2,
389,Real Sociedad,,Javi Galán,0,,4,9,0,76.25,
390,Royal Antwerp FC,,Ritchie De Laet,0,0.05,1,4,0,78.26,
391,Milan,,Rade Krunić,0,0.03,0,4,0,90.7,
392,Borussia Dortmund,,Salih Özcan,0,0.15,0,10,0,86.22,
393,Barcelona,,Sergi Roberto,0,0.02,1,3,1,88.81,
394,Newcastle United,,Jamaal Lascelles,0,0.1,1,5,0,82.76,
395,Atlético Madrid,,Stefan Savić,0,0.05,0,5,0,89.24,
396,FK Crvena zvezda,,Cherif Ndiaye,1,2.85,5,4,0,75,
397,RB Leipzig,,Emil Forsberg,1,0.82,4,8,0,76.29,
398,Manchester City,,John Stones,0,0.02,0,2,1,95.41,
399,PSV Eindhoven,,Hirving Lozano,0,0.69,7,5,0,83.02,
400,Real Sociedad,,Robin Le Normand,0,0.17,0,8,0,89.38,
401,Paris Saint-Germain,,Lucas Hernández,1,0.65,4,15,0,90.56,
402,Borussia Dortmund,,Emre Can,0,0.17,3,19,0,86.44,
403,Royal Antwerp FC,,Vincent Janssen,1,0.96,2,4,0,88.24,
404,Manchester City,,Kalvin Phillips,1,0.91,0,2,0,91.45,
405,Sporting Braga,,Sikou Niakaté,1,0.86,0,6,0,87.65,
406,RB Leipzig,,Mohamed Simakan,1,0.7,1,12,0,82.24,
407,Manchester United,,Marcus Rashford,0,0.08,9,3,2,80.18,
408,1. FC Union Berlin,,Aissa Laïdouni,0,0.21,6,5,1,81.63,
409,FC Bayern München,,Konrad Laimer,0,0.09,10,32,1,86.6,
410,Manchester United,,Luke Shaw,0,0.06,0,2,1,71.7,
411,Young Boys,,Donat Rrudhani,0,,0,0,0,100,
412,Red Bull Salzburg,,Leandro Morgalla,0,,0,0,0,83.33,
413,Sevilla,,Loïc Badé,0,,0,4,0,82.98,
414,Lazio,,Manuel Lazzari,0,,5,10,0,82.3,
415,Real Madrid,,Ferland Mendy,0,,5,14,0,91.67,
416,FC Porto,,Alan Varela,0,0.44,3,15,0,89.86,
417,Sporting Braga,,Vítor Carvalho,0,0.31,1,4,0,92.93,
418,Red Bull Salzburg,,Sekou Koita,0,0.12,1,2,0,72.73,
419,FC Porto,,Zaidu Sanusi,0,0.1,2,7,0,84.51,
420,Napoli,,Stanislav Lobotka,0,0.07,1,11,0,92.01,
421,Red Bull Salzburg,,Mads Bidstrup,0,0.03,2,22,0,67.36,
422,Arsenal,,Fábio Vieira,0,0.02,1,0,0,87.76,
423,Paris Saint-Germain,,Bradley Barcola,1,2.41,19,12,1,81.87,
424,Napoli,,Giacomo Raspadori,1,0.34,2,3,0,80,
425,RC Lens,,Elye Wahi,2,1.08,5,2,1,78.57,
426,Atlético Madrid,,César Azpilicueta,0,,1,6,0,89.76,
427,Benfica,,Petar Musa,0,1.25,8,6,0,69.49,
428,Galatasaray,,Kaan Ayhan,0,0.37,2,8,0,76.81,
429,Real Sociedad,,Arsen Zakharyan,0,0.35,1,4,0,85.05,
430,Arsenal,,William Saliba,0,0.3,2,10,0,89.39,
431,Borussia Dortmund,,Sébastien Haller,1,0.31,0,0,0,70.59,
432,Real Madrid,,Fran García,0,,1,1,1,94.27,
433,Feyenoord,,Justin Bijlow,0,,1,0,0,86.59,
434,Milan,,Tommaso Pobega,0,0.65,1,3,0,62.5,
435,Shakhtar Donetsk,,Artem Bondarenko,0,0.49,1,4,0,90.91,
436,Arsenal,,Kai Havertz,1,0.99,3,16,0,84.45,
437,Milan,,Noah Okafor,0,0.07,1,0,1,66.67,
438,1. FC Union Berlin,,Paul Jaeckel,0,,1,2,0,72.55,
439,Red Bull Salzburg,,Petar Ratkov,0,0.53,0,1,0,51.35,
440,Inter,,Carlos Augusto,0,0.42,1,10,0,77.58,
441,FK Crvena zvezda,,Vladimir Lučić,0,0.06,12,2,0,77.23,
442,FK Crvena zvezda,,Aleksandar Katai,1,0.37,3,2,0,71.43,
443,Feyenoord,,Ayase Ueda,0,1.48,0,1,0,72,
444,Real Sociedad,,Aritz Elustondo,0,0.08,2,7,0,86.79,
445,Celtic,,Gustaf Lagerbielke,1,0.79,0,2,0,91.18,
446,Manchester United,,Christian Eriksen,0,0.18,0,0,1,79.55,
447,Manchester United,,Kobbie Mainoo,0,,1,2,0,95,
448,Feyenoord,,Timon Wellenreuther,0,,0,0,0,89.06,
449,FC København,,Scott McKenna,0,0.12,0,2,0,89.61,
450,Benfica,,Juan Bernat,0,0.11,1,3,0,96.55,
451,1. FC Union Berlin,,Diogo Leite,0,0.02,2,11,0,82.18,
452,FC København,,Elias Jelert,0,,8,11,0,80.6,
453,Lazio,,Adam Marušić,0,0.04,2,9,0,84.33,
454,Red Bull Salzburg,,Samson Baidoo,0,0.16,2,9,0,81.12,
455,Young Boys,,Meschack Elia,2,0.73,6,4,0,77.78,
456,Royal Antwerp FC,,Alhassan Yusuf,1,0.23,3,9,1,85.63,
457,Atlético Madrid,,Saúl Ñíguez,1,0.39,0,8,0,81.78,
458,Newcastle United,,Lewis Miley,0,,0,3,1,80.3,
459,Manchester United,,Anthony Martial,0,,2,0,1,86.67,
460,1. FC Union Berlin,,Leonardo Bonucci,0,,0,1,0,71.95,
461,Galatasaray,,Angeliño,0,,4,7,0,73.21,
462,RC Lens,,Salis Abdul Samed,0,0.19,1,9,0,85.94,
463,Arsenal,,Oleksandr Zinchenko,0,0.06,0,6,0,89.32,
464,Manchester United,,Antony,0,0.04,6,7,0,78.95,
465,FC København,,Peter Ankersen,0,0.23,2,12,0,77.72,
466,Inter,,Marko Arnautović,2,2.85,2,0,0,74.19,
467,Borussia Dortmund,,Felix Nmecha,1,0.48,4,8,0,75.42,
468,Manchester United,,Raphaël Varane,0,,0,4,0,87.98,
469,Sevilla,,Marko Dmitrović,0,,0,0,0,59.12,
470,Newcastle United,,Alexander Isak,1,1.42,2,1,0,79.1,
471,FK Crvena zvezda,,Mirko Ivanić,0,0.47,1,7,1,75.86,
472,1. FC Union Berlin,,Lucas Tousart,0,0.14,0,10,1,64.06,
473,Inter,,Kristjan Asllani,0,0.08,3,2,0,92.11,
474,Benfica,,Rafa Silva,2,2.34,4,7,0,81.18,
475,Sevilla,,Nemanja Gudelj,2,0.44,0,12,0,87.94,
476,Arsenal,,Edward Nketiah,1,0.36,1,0,0,82.93,
477,Sporting Braga,,Abel Ruíz,0,0.94,0,1,0,87.72,
478,FC Porto,,Nico González,0,0.11,2,4,0,77.01,
479,Lazio,,Daichi Kamada,0,0.13,1,7,0,84.55,
480,Celtic,,Luis Palma,2,1.06,3,5,0,76.7,
481,Royal Antwerp FC,,Arbnor Muja,1,0.8,6,5,0,78.1,
482,Royal Antwerp FC,,Michel Ange Balikwisha,1,0.68,6,9,0,83.7,
483,Borussia Dortmund,,Jamie Gittens,1,0.53,5,2,0,64.81,
484,Young Boys,,Lewin Blum,1,0.09,1,5,0,69.64,
485,RB Leipzig,,Yussuf Poulsen,0,0.57,4,1,1,70.27,
486,FC København,,Elias Achouri,0,0.3,17,16,1,74.1,
487,Shakhtar Donetsk,,Yukhym Konoplia,0,0.06,3,8,1,79.63,
488,FC Bayern München,,Frans Krätzig,0,,0,0,0,87.5,
489,FC København,,Victor Froholdt,0,,0,2,0,66.67,
490,Barcelona,,Marc Casadó,0,,0,0,0,77.27,
491,Manchester United,,Hannibal Mejbri,0,,2,2,0,79.17,
492,Feyenoord,,Antoni Milambo,0,,1,0,0,96,
493,Real Madrid,,Éder Militão,0,,0,1,0,75,
494,Red Bull Salzburg,,Kamil Piątkowski,0,,0,5,0,71.76,
495,Sevilla,,Boubakary Soumaré,0,,3,5,0,93.38,
496,FC København,,Viktor Claesson,0,0.77,3,7,0,71.67,
497,RC Lens,,Kevin Danso,0,0.55,2,4,0,87.16,
498,Manchester United,,Facundo Pellistri,0,0.36,2,3,0,90.48,
499,Red Bull Salzburg,,Fernando,0,0.26,1,0,0,71.43,
500,FC København,,Oscar Højlund,0,0.24,2,3,0,80,
501,RC Lens,,Wesley Saïd,0,0.16,1,1,0,62.5,
502,FK Crvena zvezda,,Peter Olayinka,0,0.14,1,6,0,59.52,
503,Manchester United,,Sofyan Amrabat,0,0.05,0,8,0,87.95,
504,1. FC Union Berlin,,Christopher Trimmel,0,0.05,0,4,0,72.73,
505,Feyenoord,,Thomas Van den Belt,0,0.05,1,1,0,86.67,
506,Barcelona,,Pau Cubarsí,0,0.04,0,6,0,86.21,
507,Red Bull Salzburg,,Aleksa Terzić,0,0.02,0,3,0,65.57,
508,Lazio,,Danilo Cataldi,0,0.02,2,2,0,86.67,
509,RB Leipzig,,Castello Lukeba,0,0.09,1,7,0,90.27,
510,RB Leipzig,,Eljif Elmas,0,0.09,9,1,0,85.53,
511,Milan,,Olivier Giroud,1,2.58,0,3,1,64.71,
512,Arsenal,,Jakub Kiwior,0,0.51,3,8,0,82.84,
513,RC Lens,,Facundo Medina,0,0.36,2,9,0,85.98,
514,Paris Saint-Germain,,Randal Kolo Muani,1,1.9,7,7,0,70.8,
515,RC Lens,,Adrien Thomasson,1,0.37,0,0,0,78.57,
516,1. FC Union Berlin,,Josip Juranović,0,0.2,2,6,0,75,
517,Young Boys,,Darian Maleš,0,0.2,3,3,0,73.81,
518,FC Bayern München,,Eric Maxim Choupo-Moting,0,0.33,1,1,0,82.35,
519,Sevilla,,Dodi Lukebakio,0,0.19,5,2,0,82.54,
520,Royal Antwerp FC,,George Ilenikhena,1,0.78,1,1,0,75,
521,Red Bull Salzburg,,Maurits Kjaergaard,0,0.12,0,2,1,78.31,
522,Manchester City,,Stefan Ortega,0,,1,0,0,81.17,
523,RB Leipzig,,Péter Gulácsi,0,,0,0,0,83.87,
524,FC Bayern München,,Sven Ulreich,0,,0,0,0,77.24,
525,Royal Antwerp FC,,Mandela Keita,0,,4,8,0,87.62,
526,Sevilla,,Mariano Díaz,0,0.21,0,1,0,50,
527,Benfica,,David Neres,0,0.15,2,2,0,85.96,
528,Galatasaray,,Tanguy Ndombélé,0,0.06,2,3,0,92.68,
529,Lazio,,Nicolò Rovella,0,0.03,0,5,0,88.46,
530,Inter,,Denzel Dumfries,0,0.9,4,3,1,75,
531,Benfica,,Orkun Kökçü,0,0.18,4,6,0,81.56,
532,Lazio,,Valentín Castellanos,0,1.37,0,2,0,63.04,
533,FK Crvena zvezda,,Marko Stamenić,1,0.53,1,5,0,74.36,
534,Benfica,,Casper Tengstedt,0,0.14,0,1,1,63.64,
535,Manchester United,,Jonny Evans,0,,0,1,0,82.61,
536,Celtic,,Nathaniel Phillips,0,,0,0,0,90.72,
537,RC Lens,,Ruben Aguilar,0,,0,4,0,76,
538,Barcelona,,Iñigo Martínez,0,,0,2,0,86.89,
539,RB Leipzig,,Lukas Klostermann,0,,0,6,0,95.48,
540,FK Crvena zvezda,,Kosta Nedeljković,0,0.18,6,4,0,79.07,
541,Sevilla,,Suso,0,0.08,1,1,0,96,
542,Real Sociedad,,Jon Pacheco,0,0.07,0,2,0,90.14,
543,Royal Antwerp FC,,Soumaila Coulibaly,0,0.06,1,5,0,91.37,
544,Paris Saint-Germain,,Gonçalo Ramos,0,1.73,0,4,0,86.57,
545,Sporting Braga,,Josafat Mendes,0,,1,3,0,85.59,
546,Milan,,Yunus Musah,0,0.23,5,6,0,83.5,
547,Celtic,,Kyogo Furuhashi,2,1.5,1,0,0,70.73,
548,Red Bull Salzburg,,Oumar Solet,0,,0,3,0,86.49,
549,Sporting Braga,,André Horta,0,,0,3,0,88.89,
550,RB Leipzig,,Timo Werner,0,0.12,0,1,0,63.64,
551,Manchester United,,Diogo Dalot,0,0.11,7,7,0,78.85,
552,FC København,,Andreas Cornelius,0,0.09,0,1,0,63.64,
553,FC Porto,,Jorge Sánchez,0,0.08,2,7,0,80,
554,FK Crvena zvezda,,Milan Rodić,0,0.07,2,9,0,71.85,
555,1. FC Union Berlin,,Robin Knoche,0,0.03,0,6,0,85.71,
556,PSV Eindhoven,,Mauro Júnior,0,0.02,3,2,0,82.35,
557,Sevilla,,Djibril Sow,0,0.01,0,5,0,85.71,
558,RB Leipzig,,Benjamin Šeško,2,2.84,5,4,0,72.09,
559,RC Lens,,Massadio Haïdara,0,,0,2,0,78.95,
560,Red Bull Salzburg,,Nene Dorgeles,0,1.1,0,3,0,83.33,
561,Sporting Braga,,José Fonte,0,0.27,2,4,0,88.21,
562,Celtic,,Cameron Carter-Vickers,0,0.12,1,4,0,91.86,
563,RB Leipzig,,Nicolas Seiwald,0,0.03,1,9,0,78.95,
564,1. FC Union Berlin,,Kevin Volland,1,0.68,1,5,0,60,
565,RB Leipzig,,Christoph Baumgartner,0,0.83,1,3,0,75,
566,Celtic,,Alistair Johnston,0,0.06,4,15,0,80.68,
567,Celtic,,Paulo Bernardo,0,0.03,8,2,0,79.83,
568,Barcelona,,Oriol Romeu,0,0.14,2,7,0,90.04,
569,Galatasaray,,Tetê,1,0.15,4,7,0,68.37,
570,FC København,,Orri Steinn Óskarsson,0,,0,2,1,63.64,
571,Sevilla,,Juanlu Sánchez,0,,4,15,1,79.84,
572,FK Crvena zvezda,,Jean-Philippe Krasso,0,0.47,2,3,1,48.48,
573,Galatasaray,,Barış Alper Yılmaz,0,0.07,0,2,1,79.41,
574,Shakhtar Donetsk,,Oleksiy Kashchuk,0,,0,0,0,100,
575,Milan,,Chaka Traorè,0,,0,0,0,83.33,
576,Young Boys,,Łukasz Łakomy,0,,0,1,0,66.67,
577,Borussia Dortmund,,Giovanni Reyna,0,,1,1,0,88.89,
578,Atlético Madrid,,Çağlar Söyüncü,0,,0,0,0,94.55,
579,Napoli,,Hamed Junior Traorè,0,,1,0,0,72.34,
580,Lazio,,Nicolò Casale,0,,0,1,0,94.81,
581,FC Porto,,Gonçalo Borges,0,,1,1,0,100,
582,Sevilla,,Erik Lamela,0,0.26,0,7,0,78,
583,Sporting Braga,,Pizzi,0,0.15,1,0,0,82.76,
584,Napoli,,Jesper Lindstrøm,0,0.13,2,6,0,78.13,
585,Young Boys,,Aurèle Amenda,0,0.07,1,7,0,87.94,
586,1. FC Union Berlin,,Rani Khedira,0,0.05,0,6,0,81.36,
587,Young Boys,,Miguel Changa Chaiwa,0,0.04,0,1,0,57.89,
588,Benfica,,Chiquinho,0,0.04,0,1,0,92.68,
589,Manchester United,,Sergio Reguilón,0,0.04,3,2,0,76.71,
590,Napoli,,Gianluca Gaetano,0,0.03,0,0,0,75,
591,Arsenal,,Mohamed Elneny,0,0.02,0,0,0,84,
592,Real Sociedad,,Umar Sadiq,0,0.01,4,2,0,84.21,
593,Young Boys,,Silvère Ganvoula,0,0.79,2,0,0,65.71,
594,Napoli,,Juan Jesus,0,,0,11,0,85.71,
595,Royal Antwerp FC,,Jean Butez,0,,0,0,0,74.21,
596,Red Bull Salzburg,,Karim Konaté,0,1.84,4,2,0,76,
597,Celtic,,Yang Hyun-Jun,0,,4,4,0,72.41,
598,Red Bull Salzburg,,Forson Amankwah,0,0.16,0,3,0,80.77,
599,Real Sociedad,,Álvaro Odriozola,0,,0,1,0,91.11,
600,1. FC Union Berlin,,Danilho Doekhi,0,,0,5,0,78.16,
601,Celtic,,Tomoki Iwata,0,,0,3,0,78.26,
602,RC Lens,,Nampalys Mendy,0,,0,8,0,83.89,
603,Feyenoord,,Luka Ivanušec,0,0.08,2,3,1,84.62,
604,Napoli,,Jens Cajuste,0,,1,7,0,79.73,
605,Newcastle United,,Elliot Anderson,0,,2,2,0,73.33,
606,Paris Saint-Germain,,Nordi Mukiele,0,,0,0,0,89.74,
607,Borussia Dortmund,,Youssoufa Moukoko,0,,1,1,0,80,
608,Shakhtar Donetsk,,Valeriy Bondar,0,,0,7,0,90.8,
609,FK Crvena zvezda,,Jovan Mijatović,0,0.9,2,0,0,94.74,
610,Manchester United,,Mason Mount,0,0.47,0,2,0,86.49,
611,PSV Eindhoven,,Patrick van Aanholt,0,0.16,0,4,0,87.5,
612,Lazio,,Luca Pellegrini,0,0.04,2,2,0,86.46,
613,Benfica,,Tiago Gouveia,0,0.02,1,0,0,66.67,
614,Lazio,,Elseid Hysaj,0,,1,8,0,83.51,
615,PSV Eindhoven,,Guus Til,0,0.22,1,2,0,81.58,
616,1. FC Union Berlin,,Janik Haberer,0,0.19,2,5,0,75.96,
617,Celtic,,Hyun-gyu Oh,0,0.15,2,1,0,75,
618,Manchester United,,Alejandro Garnacho,1,1,4,4,0,82.19,
619,FC Porto,,Marko Grujić,0,,0,2,0,60,
620,RC Lens,,David Pereira da Costa,0,,2,2,0,87.72,
621,FC Porto,,Fábio Cardoso,0,,0,2,0,91.97,
622,FC København,,Christian Sørensen,0,,0,0,0,82.05,
623,FK Crvena zvezda,,Nasser Djiga,0,0.19,4,8,0,82.46,
624,Feyenoord,,Ondrej Lingr,0,0.07,1,0,0,85.71,
625,Barcelona,,Marcos Alonso,0,0.04,0,1,0,88.46,
626,Shakhtar Donetsk,,Giorgi Gocholeishvili,0,0.2,4,12,1,73.64,
627,Shakhtar Donetsk,,Newerton Palmares,0,0.66,6,5,0,75,
628,RC Lens,,Morgan Guilavogui,0,0.57,0,0,0,64.29,
629,Arsenal,,Thomas Partey,0,,0,0,0,80,
630,FK Crvena zvezda,,Kings Kangwa,0,,0,1,0,88.89,
631,Inter,,Emil Audero,0,,0,0,0,93.55,
632,FC Porto,,Fran Navarro,0,,0,0,0,100,
633,FK Crvena zvezda,,Miloš Degenek,0,,0,0,0,0,
634,FK Crvena zvezda,,Uroš Kabić,0,,0,1,0,66.67,
635,Red Bull Salzburg,,Dijon Kameri,0,,0,0,0,100,
636,FC Porto,,Toni Martínez,0,,0,0,0,20,
637,Sevilla,,Joan Jordán,0,,0,5,0,74.19,
638,Sevilla,,Kike Salas,0,,1,4,0,70.79,
639,Sevilla,,Óliver Torres,0,,0,1,0,73.33,
640,Royal Antwerp FC,,Zeno Van Den Bosch,0,,0,1,0,83.33,
641,Manchester United,,Victor Lindelöf,0,,0,0,0,87.01,
642,Sporting Braga,,Serdar Saatçı,0,0.29,1,7,0,89.73,
643,Celtic,,James Forrest,0,0.14,0,2,0,80.65,
644,Real Sociedad,,Jon Magunazelaia,0,0.12,0,0,0,50,
645,Real Sociedad,,Jon Ander Olasagasti,0,0.11,0,0,0,50,
646,FK Crvena zvezda,,Srđan Mijailović,0,0.1,2,14,0,73.1,
647,PSV Eindhoven,,Armel Bella-Kotchap,0,0.04,0,3,0,86,
648,Sporting Braga,,Roger Fernandes,0,0.02,1,0,0,33.33,
649,Celtic,,Greg Taylor,0,0.02,3,11,0,84.65,
650,Feyenoord,,Leo Sauer,0,0.02,1,0,0,100,
651,Royal Antwerp FC,,Jelle Bataille,0,,3,9,1,77.78,
652,Shakhtar Donetsk,,Dmytro Kryskiv,0,0.08,3,7,0,79.65,
653,Sevilla,,Adrià Pedrosa,0,0.08,2,6,0,77.08,
654,Paris Saint-Germain,,Manuel Ugarte,0,0.07,1,8,0,91.63,
655,Benfica,,David Jurásek,0,,1,6,0,47.46,
656,FK Crvena zvezda,,Stefan Mitrović,0,0.13,3,0,0,76.19,
657,Shakhtar Donetsk,,Kevin Kelsy,1,0.25,0,2,0,66.67,
658,Benfica,,Gonçalo Guedes,0,,1,0,0,90,
659,FC Porto,,Danny Namaso,0,,0,0,0,100,
660,1. FC Union Berlin,,Brenden Aaronson,0,0.48,1,1,0,72.5,
661,Real Sociedad,,Carlos Fernández,0,0.13,0,1,0,57.69,
662,RC Lens,,Neil El Aynaoui,0,,1,5,0,87.8,
663,Royal Antwerp FC,,Anthony Valencia,0,,0,0,0,72.73,
664,Newcastle United,,Sandro Tonali,0,0.1,0,1,0,63.41,
665,Shakhtar Donetsk,,Novatus Miroshi,0,,0,1,0,90.7,
666,Arsenal,,Cédric Soares,0,,0,0,0,69.23,
667,Feyenoord,,Thomas Beelen,0,,0,2,0,92.86,
668,Young Boys,,David von Ballmoos,0,,0,0,0,74.19,
669,Paris Saint-Germain,,Carlos Soler,0,,0,0,0,100,
670,Galatasaray,,Kerem Demirbay,0,,0,2,0,83.33,
671,Shakhtar Donetsk,,Marian Shved,0,,0,0,0,100,
672,Royal Antwerp FC,,Kobe Corbanie,0,,0,1,0,84.62,
673,Sporting Braga,,Diogo Fonseca,0,0.35,0,0,0,56.25,
674,Sevilla,,Rafa Mir,0,0.09,0,0,0,16.67,
675,Newcastle United,,Joe Willock,0,0.05,0,2,0,85,
676,RB Leipzig,,Fabio Carvalho,0,0.11,1,6,0,85,
677,Real Sociedad,,Mohamed-Ali Cho,0,0.04,0,0,0,84,
678,Sporting Braga,,Adrián Marín,0,,0,0,0,80,
679,Newcastle United,,Callum Wilson,0,0.81,0,0,0,81.82,
680,Young Boys,,Saidy Janko,0,,8,4,0,76.29,
681,Young Boys,,Noah Persson,0,,0,0,0,68.18,
682,Royal Antwerp FC,,Owen Wijndal,0,0.01,0,13,0,84.34,
683,Sevilla,,Marcos Acuña,0,0.15,1,2,1,73.13,
684,Manchester United,,Lisandro Martínez,0,,2,0,0,97.87,
685,Atlético Madrid,,Reinildo Mandava,0,,0,1,0,78.57,
686,Galatasaray,,Kâzımcan Karataş,0,,1,4,0,81.82,
687,1. FC Union Berlin,,Aljoscha Kemlein,0,,0,0,0,100,
688,Celtic,,Mitchel Frame,0,,0,2,0,66.67,
689,Celtic,,David Turnbull,0,,0,1,0,62.5,
690,Feyenoord,,Bart Nieuwkoop,0,,0,3,0,88.57,
691,FC København,,William Clem,0,0.05,0,1,0,88.24,
692,Sevilla,,Tanguy Nianzou,0,0.01,0,0,0,75,
693,Royal Antwerp FC,,Gyrano Kerk,0,0.22,3,3,0,64.44,
694,FC København,,Valdemar Lund,0,,0,0,0,100,
695,FC København,,Jordan Larsson,0,1.04,0,0,0,76.92,
696,Young Boys,,Sandro Lauper,0,0.14,1,4,0,82.14,
697,Barcelona,,Hector Fort,0,,0,0,0,96.77,
698,Newcastle United,,Lewis Hall,0,,0,1,0,73.68,
699,Newcastle United,,Martin Dúbravka,0,,0,0,0,75.86,
700,Manchester City,,Mahamadou Susoho,0,,0,0,0,93.33,
701,Inter,,Davy Klaassen,0,,0,1,0,82.35,
702,Napoli,,Alessandro Zanoli,0,0.03,1,0,0,100,
703,Milan,,Pierre Kalulu,0,,1,0,0,80.56,
704,Feyenoord,,Marcos López,0,,0,0,0,80.95,
705,Benfica,,Florentino Luís,0,,0,3,0,81.97,
706,Royal Antwerp FC,,Jürgen Ekkelenkamp,0,0.15,1,0,0,84.75,
707,Celtic,,Daizen Maeda,0,0.42,8,2,1,81.69,
708,FC Porto,,Romário Baró,0,,1,0,0,88.24,
709,FK Crvena zvezda,,Uroš Spajić,0,,0,0,0,85.71,
710,Shakhtar Donetsk,,Stav Lemkin,0,,0,1,0,92.86,
711,RC Lens,,Abdukodir Khusanov,0,,0,2,0,66.67,
712,Galatasaray,,Victor Nelsson,0,0.01,0,3,0,86.96,
713,Benfica,,António Silva,0,,2,8,0,88.71,
714,PSV Eindhoven,,Isaac Babadi,0,,0,1,0,86.67,
715,Celtic,,Odin Thiago Holm,0,,2,0,0,84.62,
716,Real Sociedad,,Jon Aramburu,0,,0,0,0,66.67,0
717,Newcastle United,,Harvey Barnes,0,,0,0,0,0,0
718,Milan,,Simon Kjær,0,,0,0,0,100,0
719,Napoli,,Cyril Ngonge,0,,0,0,0,0,0
720,Manchester City,,Jacob Wright,0,,0,0,0,100,0
721,Milan,,Davide Bartesaghi,0,,0,0,0,100,0
722,Atlético Madrid,,Ilias Kostis,0,,0,0,0,0,0
723,PSV Eindhoven,,Fredrik Oppegård,0,,0,1,0,0,0
724,Sporting Braga,,Rony Lopes,0,0.11,0,0,0,80,0
