#,Time,Time,Nome,Gols,Gols esperados (xG),Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
89,FC Bayern München,,Kingsley Coman,2,1.72,16,4,0,85.24,
90,RC Lens,,Przemysław Frankowski,1,0.79,3,20,2,76.61,
91,Newcastle United,,Miguel Almirón,1,1.39,1,15,0,77.33,
92,RB Leipzig,,Kevin Kampl,0,0.05,2,8,2,92.31,
93,Paris Saint-Germain,,Danilo Pereira,0,,0,4,0,94.81,
94,FC Bayern München,,Dayot Upamecano,0,0.28,0,16,0,93.17,
95,Paris Saint-Germain,,Fabián Ruiz,0,1.36,8,14,2,90.62,
96,Barcelona,,Ferran Torres,3,1.84,4,4,1,77.62,
97,Lazio,,Luis Alberto,0,0.87,4,4,1,85.14,
98,Shakhtar Donetsk,,Danylo Sikan,4,3.03,6,6,0,75.51,
99,Celtic,,Matt O'Riley,0,0.14,3,14,3,80.28,
100,Galatasaray,,Hakim Ziyech,2,0.23,3,4,1,72.97,
101,Atlético Madrid,,Marcos Llorente,0,0.25,4,10,1,85.42,
102,Manchester City,,Rúben Dias,0,0.67,1,11,0,95.9,
103,Manchester City,,Manuel Akanji,2,0.95,1,12,0,94.99,
104,Newcastle United,,Dan Burn,1,0.22,0,6,0,69.89,
105,Shakhtar Donetsk,,Irakli Azarovi,0,0.07,0,9,1,85.81,
106,FK Crvena zvezda,,Osman Bukari,2,0.97,12,5,2,68.52,
107,Napoli,,Leo Østigård,1,0.38,1,4,0,84.78,
108,Benfica,,Nicolás Otamendi,0,0.48,1,12,1,85.89,
109,FK Crvena zvezda,,Omri Glazer,0,,0,0,0,74.53,
110,Arsenal,,David Raya,0,,0,0,0,73.23,
111,Napoli,,Matteo Politano,1,0.58,6,3,1,77.82,
112,Barcelona,,Jules Koundé,0,0.05,5,11,0,88.09,
113,Sporting Braga,,Mutassim Al-Musrati,0,0.29,1,9,0,89.04,
114,Inter,,Henrikh Mkhitaryan,0,0.27,9,10,0,85.43,
115,Manchester United,,Rasmus Højlund,5,3.31,5,0,0,67.61,
116,Real Madrid,,Nico Paz,1,0.01,5,2,0,91.67,
117,Milan,,Theo Hernández,0,0.76,4,7,1,82.17,
118,Milan,,Ruben Loftus-Cheek,0,0.55,13,3,0,74.36,
119,FC Porto,,David Carmo,0,0.01,1,5,0,88.42,
120,Paris Saint-Germain,,Kang-in Lee,1,1.21,5,7,1,92.08,
121,PSV Eindhoven,,Luuk de Jong,3,3.77,0,5,0,65.36,
122,Manchester City,,Bernardo Silva,2,1.77,3,11,0,89.85,
123,Atlético Madrid,,Rodrigo de Paul,1,0.71,6,10,0,82.62,
124,Real Madrid,,Eduardo Camavinga,0,0.26,13,25,1,90.84,
125,Arsenal,,Gabriel Martinelli,2,1.81,20,4,1,83.45,
126,Barcelona,,Pedri,0,0.34,3,10,3,84.52,
127,Borussia Dortmund,,Nico Schlotterbeck,0,0.35,2,26,2,85.11,
128,Sporting Braga,,Rodrigo Zalazar,0,0.13,6,18,1,87.92,
129,Atlético Madrid,,Koke,0,0.06,2,15,1,89.79,
130,Real Madrid,,Rodrygo,5,5.71,18,8,2,92.18,
131,FC Bayern München,,Thomas Müller,1,1.32,1,5,1,80.37,
132,Manchester United,,Harry Maguire,1,0.28,0,1,0,85.52,
133,Benfica,,João Mário,3,1.46,6,2,0,89.61,
134,Real Madrid,,Daniel Carvajal,1,0.59,3,24,1,82.21,
135,Paris Saint-Germain,,Nuno Mendes,0,0.2,7,11,0,87.76,
136,Galatasaray,,Dries Mertens,0,0.13,0,0,0,73.44,
137,FC København,,Lukas Lerager,3,1.36,3,17,1,71.26,
138,Feyenoord,,Mats Wieffer,1,0.63,9,9,1,86.17,
139,Young Boys,,Filip Ugrinić,1,0.54,5,14,1,89.29,
140,Benfica,,Anatoliy Trubin,0,,0,0,0,76.61,
141,Milan,,Fikayo Tomori,0,0.52,0,17,0,89.45,
142,Napoli,,Amir Rrahmani,1,0.46,2,5,0,88.81,
143,Manchester City,,Rico Lewis,0,0.72,5,8,3,93.66,
144,FC Bayern München,,Leroy Sané,2,1.66,35,13,1,84.33,
145,Inter,,Davide Frattesi,1,0.94,1,10,2,77.78,
146,Real Madrid,,Federico Valverde,1,1.15,10,21,0,90.16,
147,Newcastle United,,Joelinton,1,0.54,5,5,0,84.14,
148,Paris Saint-Germain,,Milan Škriniar,1,0.53,0,12,0,93.57,
149,Galatasaray,,Davinson Sánchez,0,0.38,2,8,2,84.3,
150,Royal Antwerp FC,,Senne Lammens,0,,0,0,0,40.38,
151,Celtic,,Stephen Welsh,0,,0,3,0,89.47,
152,Newcastle United,,Matt Targett,0,,0,0,0,80.77,
153,1. FC Union Berlin,,Frederik Rønnow,0,,0,0,0,62.87,
154,Milan,,Luka Jović,0,0.56,0,0,0,75,
155,Real Sociedad,,Igor Zubeldia,0,0.29,1,14,0,86.95,
156,Newcastle United,,Bruno Guimarães,0,0.27,6,13,1,82.23,
157,Newcastle United,,Kieran Trippier,0,0.12,3,11,1,82.89,
158,RC Lens,,Brice Samba,0,,0,0,0,70.49,
159,Sporting Braga,,Matheus,0,,0,0,0,72.04,
160,Lazio,,Ivan Provedel,1,0.47,0,0,0,82.63,
161,Real Madrid,,Antonio Rüdiger,0,0.74,1,11,2,90.62,
162,Real Sociedad,,Hamari Traoré,0,0.07,6,7,0,83.51,
163,Arsenal,,Leandro Trossard,4,1.55,4,4,1,77.4,
164,Galatasaray,,Mauro Icardi,2,4.17,1,2,0,64.13,
165,Napoli,,Piotr Zieliński,1,2.04,5,2,0,86.67,
166,FC Bayern München,,Aleksandar Pavlović,0,,2,1,0,93.92,
167,Benfica,,Alexander Bah,0,,2,11,0,75.38,
168,Manchester City,,Sergio Gómez,0,0.23,1,3,0,92.31,
169,Lazio,,Mattia Zaccagni,0,0.23,8,8,0,80,
170,Manchester City,,Kyle Walker,0,0.2,1,7,0,90.77,
171,Newcastle United,,Valentino Livramento,0,0.03,2,9,0,84.68,
172,RB Leipzig,,Loïs Openda,4,3.52,10,2,0,71.58,
173,Real Sociedad,,Álex Remiro,0,,0,0,0,61.75,
174,Sporting Braga,,João Moutinho,0,0.11,7,8,0,93.28,
175,Inter,,Benjamin Pavard,0,0.01,1,7,0,87.85,
176,Borussia Dortmund,,Marcel Sabitzer,1,1.17,4,12,5,81.76,
177,FC København,,Diogo Gonçalves,2,1.93,5,9,1,84.41,
178,FC Porto,,Pepê,1,1.19,10,10,2,76.73,
179,Real Sociedad,,Ander Barrenetxea,1,0.4,16,12,1,78.7,
180,RB Leipzig,,Xaver Schlager,1,0.06,5,21,2,86.18,
181,FC København,,Magnus Mattsson,1,0.54,1,6,0,65,
182,Feyenoord,,Alireza Jahanbakhsh,1,0.25,1,6,0,82.14,
183,FC Bayern München,,Sacha Boey,1,0.24,7,20,0,79.73,
184,Manchester City,,Micah Hamilton,1,0.2,0,1,0,90.91,
185,Paris Saint-Germain,,Marquinhos,0,0.44,1,17,1,90.82,
186,FC Bayern München,,Matthijs de Ligt,0,0.16,0,8,1,90.88,
187,Real Sociedad,,Aihen Muñoz,0,0.09,3,13,1,83.9,
188,Newcastle United,,Jacob Murphy,0,0.07,0,2,1,85.71,
189,Sevilla,,Fernando,0,,3,13,0,89.52,
190,Lazio,,Mario Gila Fuentes,0,0.14,1,8,0,91.36,
191,FC København,,Denis Vavro,0,0.13,0,6,0,82.94,
192,FC København,,Kevin Diks,0,0.04,1,8,0,90.91,
193,Borussia Dortmund,,Ian Maatsen,1,0.18,5,15,0,85.05,
194,Red Bull Salzburg,,Roko Šimić,1,1.2,3,2,1,61.11,
195,Atlético Madrid,,Nahuel Molina,0,0.09,1,24,2,77.74,
196,Lazio,,Gustav Isaksen,0,0.74,8,0,1,79.07,
197,FC Porto,,Wendell,0,0.15,5,16,0,85.06,
198,Borussia Dortmund,,Donyell Malen,1,2.09,7,3,0,77.27,
199,Barcelona,,Marc-André ter Stegen,0,,1,0,0,78.71,
200,FC København,,Kamil Grabara,0,,0,0,0,63.56,
201,Atlético Madrid,,Memphis Depay,1,1.02,3,0,0,85.71,
202,Benfica,,Tomás Araújo,0,,3,3,0,78.57,
203,Inter,,Stefan de Vrij,0,,1,9,0,93.6,
204,Paris Saint-Germain,,Gianluigi Donnarumma,0,,0,1,0,84.47,
205,FC København,,Rasmus Falk Jensen,0,0.08,3,19,1,86.4,
206,Manchester City,,Nathan Aké,0,0.94,1,4,0,96.84,
207,Paris Saint-Germain,,Warren Zaïre-Emery,1,0.71,10,15,3,92.22,
208,Real Madrid,,Kepa Arrizabalaga,0,,0,0,0,87.93,
209,Real Sociedad,,Martín Zubimendi,0,0.63,5,18,0,87.76,
210,Royal Antwerp FC,,Chidera Ejuke,0,0.24,18,2,0,92.21,
211,FC Bayern München,,Manuel Neuer,0,,1,0,0,84.62,
212,Newcastle United,,Fabian Schär,1,0.23,0,7,0,86.97,
213,Sporting Braga,,Simon Banza,0,1.1,5,1,1,72,
214,Celtic,,Joe Hart,0,,0,0,0,90.38,
215,Barcelona,,Andreas Christensen,1,0.71,1,11,0,94.4,
216,FC Bayern München,,Mathys Tel,2,0.46,11,1,1,80.95,
217,Borussia Dortmund,,Niclas Füllkrug,3,5.4,2,2,3,67.52,
218,Shakhtar Donetsk,,Georgiy Sudakov,1,1.08,6,4,0,81.79,
219,1. FC Union Berlin,,David Datro Fofana,1,0.9,5,2,0,72.73,
220,Barcelona,,Gavi,1,0.46,3,3,0,92.74,
221,PSV Eindhoven,,Jordan Teze,1,0.26,1,15,0,85.48,
222,Manchester City,,Oscar Bobb,1,0.22,3,2,0,87.63,
223,Feyenoord,,Ramiz Zerrouki,1,0.15,5,10,0,86.61,
224,Shakhtar Donetsk,,Yaroslav Rakitskyi,1,0.05,0,3,0,85.78,
225,FC Bayern München,,Raphaël Guerreiro,0,0.41,1,5,2,87.98,
226,PSV Eindhoven,,Malik Tillman,0,0.42,6,13,1,80.25,
227,Young Boys,,Joël Monteiro,0,0.34,7,8,1,76.47,
228,FC Bayern München,,Noussair Mazraoui,0,0.13,6,17,1,87.53,
229,1. FC Union Berlin,,Jérôme Roussillon,0,0.06,3,8,1,80.49,
230,Arsenal,,Aaron Ramsdale,0,,0,0,0,82.86,
231,Newcastle United,,Sven Botman,0,,0,0,0,87.23,
232,Barcelona,,Iñaki Peña,0,,0,0,0,87.69,
233,RB Leipzig,,Christopher Lenz,0,,2,6,0,76,
234,Paris Saint-Germain,,Lucas Beraldo,0,,2,11,0,88.32,
235,Arsenal,,Gabriel Magalhães,0,0.43,0,9,0,90.91,
236,Lazio,,Patric,0,0.04,1,3,0,86.27,
237,PSV Eindhoven,,Olivier Boscagli,0,0.05,3,15,0,81.24,
238,Real Sociedad,,Sheraldo Becker,2,1.31,0,0,0,69.62,
239,Feyenoord,,Quinten Timber,0,0.6,7,6,0,80.99,
240,Shakhtar Donetsk,,Mykola Matviyenko,1,0.45,0,11,0,85.83,
241,Royal Antwerp FC,,Toby Alderweireld,0,1.55,1,6,0,82.65,
242,Lazio,,Ciro Immobile,4,3.06,6,2,0,79.13,
243,Feyenoord,,Yankuba Minteh,1,1.32,11,9,0,72.92,
244,Real Madrid,,Aurélien Tchouaméni,0,0.17,0,9,0,92.96,
245,Barcelona,,João Félix,3,1.61,7,4,1,77.12,
246,Galatasaray,,Kerem Aktürkoğlu,2,2.1,3,5,0,71.05,
247,RC Lens,,Angelo Fulgini,2,1.42,3,6,0,76.79,
248,Red Bull Salzburg,,Luka Sučić,1,0.3,9,6,0,75.76,
249,RC Lens,,Florian Sotoca,0,0.51,2,10,1,66.15,
250,Inter,,Francesco Acerbi,0,0.22,1,3,1,86.62,
251,Galatasaray,,Lucas Torreira,0,0.35,4,11,0,87.14,
252,Milan,,Yacine Adli,0,0.14,2,3,0,85.9,
253,Real Madrid,,Luka Modrić,0,1.05,1,6,0,92.33,
254,Sevilla,,Lucas Ocampos,1,0.69,16,5,0,65.79,
255,FC Bayern München,,Eric Dier,0,0.34,0,7,0,90.18,
256,RC Lens,,Deiver Machado,0,0.24,5,10,0,77.36,
257,PSV Eindhoven,,Yorbe Vertessen,1,0.41,4,1,1,75,
258,Young Boys,,Ebrima Colley,1,0.79,1,3,0,57.58,
259,Benfica,,Arthur Cabral,1,0.68,1,3,0,74.07,
260,RC Lens,,Andy Diouf,0,,2,1,0,70,
261,Sporting Braga,,Cristián Borja,0,,2,13,0,89.85,
262,Barcelona,,Ronald Araújo,0,0.9,2,12,0,86.65,
263,Manchester City,,Mateo Kovačić,0,0.41,4,7,0,92.31,
264,Celtic,,Liam Scales,0,0.12,1,8,0,89.33,
265,FK Crvena zvezda,,Guélor Kanga,0,0.05,1,4,0,82.02,
266,Arsenal,,Jorginho,1,0.81,0,16,0,88.79,
267,Atlético Madrid,,Pablo Barrios,1,0.32,4,5,1,88.64,
268,Inter,,Federico Dimarco,1,0.47,1,0,0,79.77,
269,Atlético Madrid,,José María Giménez,0,0.16,0,1,1,88.19,
270,1. FC Union Berlin,,Kevin Behrens,0,0.93,1,3,0,64.52,
271,Milan,,Malick Thiaw,0,0.1,0,8,0,90.68,
272,FC Porto,,Diogo Costa,0,,0,0,0,73.59,
273,Feyenoord,,Dávid Hancko,1,1.3,2,3,0,91.44,
274,Shakhtar Donetsk,,Taras Stepanenko,0,0.46,0,14,1,85.46,
275,FC København,,Birger Meling,0,0.05,3,7,1,78.31,
276,RC Lens,,Jonathan Gradit,0,,3,18,0,79.15,
277,Milan,,Tijjani Reijnders,0,0.34,9,11,0,89.5,
278,Red Bull Salzburg,,Andreas Ulmer,0,0.06,0,7,0,76.06,
279,Borussia Dortmund,,Jadon Sancho,1,0.17,26,9,0,82.11,
280,Borussia Dortmund,,Marco Reus,2,2.02,3,12,1,80.89,
281,Milan,,Samuel Chukwueze,2,0.94,5,2,0,79.17,
282,FC Porto,,João Mário,0,0.06,16,21,1,80,
283,Newcastle United,,Sean Longstaff,1,0.13,3,7,0,82.48,
284,Atlético Madrid,,Axel Witsel,0,0.18,1,7,0,95.2,
285,Sevilla,,Youssef En-Nesyri,2,1.82,1,5,0,65.15,
286,1. FC Union Berlin,,Robin Gosens,1,0.4,1,6,0,74.5,
287,Lazio,,Alessio Romagnoli,0,0.74,0,7,1,91.21,
288,Young Boys,,Ulisses Garcia,0,0.37,11,14,0,77.82,
289,PSV Eindhoven,,André Ramalho,0,0.21,0,8,0,88.97,
290,Real Sociedad,,Mikel Oyarzabal,2,1.99,2,8,0,82.64,
291,PSV Eindhoven,,Jerdy Schouten,0,,6,13,0,90.71,
292,Inter,,Alessandro Bastoni,0,0.31,3,5,0,86.89,
293,FC Bayern München,,Alphonso Davies,1,0.23,20,14,0,87.17,
294,Atlético Madrid,,Mario Hermoso,1,0.1,6,7,0,86.71,
295,Atlético Madrid,,Álvaro Morata,5,4.6,3,5,1,74.03,
296,Inter,,Alexis Sánchez,2,1.25,2,5,0,75.28,
297,Barcelona,,Marc Guiu,1,0.37,0,1,0,33.33,
298,Shakhtar Donetsk,,Eguinaldo,1,0.12,0,1,0,0,
299,Arsenal,,Takehiro Tomiyasu,0,0.33,2,4,2,85.17,
300,Lazio,,Felipe Anderson,0,0.65,13,17,1,80.17,
301,Arsenal,,Ben White,0,0.57,3,9,1,87.19,
302,Lazio,,Mattéo Guendouzi,0,0.53,5,6,1,86.88,
303,Real Madrid,,David Alaba,0,0.38,1,1,1,91.41,
304,Benfica,,Fredrik Aursnes,0,0.07,1,13,1,79.3,
305,FC Bayern München,,Bouna Sarr,0,,0,0,0,100,
306,Milan,,Marco Sportiello,0,,0,0,0,80,
307,Real Sociedad,,Kieran Tierney,0,,0,2,0,82.14,
308,Barcelona,,Frenkie de Jong,0,,4,9,0,91.35,
309,FK Crvena zvezda,,Aleksandar Dragović,0,0.62,0,6,0,90.23,
310,Real Sociedad,,André Silva,0,0.25,2,2,0,74.07,
311,Celtic,,Callum McGregor,0,0.24,2,4,0,89.39,
312,FC Bayern München,,Min-jae Kim,0,0.13,0,10,0,93.01,
313,Celtic,,Reo Hatate,0,0.13,0,0,0,72.46,
314,RB Leipzig,,Amadou Haidara,0,0.11,0,7,0,87.76,
315,PSV Eindhoven,,Armando Obispo,0,0.07,0,0,0,86.96,
316,Young Boys,,Fabian Lustenberger,0,0.06,1,2,0,86.21,
317,Celtic,,Michael Johnston,0,0.04,3,3,0,83.33,
318,Inter,,Yann Bisseck,0,0.04,1,1,0,92.26,
319,FC Porto,,Iván Jaime,0,0.03,0,6,0,87.1,
320,Feyenoord,,Javairô Dilrosun,0,0.03,0,0,0,71.43,
321,Red Bull Salzburg,,Strahinja Pavlović,0,0.01,4,12,0,81.59,
322,Inter,,Marcus Thuram,1,1.48,12,4,0,72.45,
323,Real Madrid,,Lucas Vázquez,0,0.13,2,5,1,89.53,
324,Red Bull Salzburg,,Oscar Gloukh,2,1.24,6,6,1,82.76,
325,1. FC Union Berlin,,Alex Král,1,0.06,1,7,1,80.95,
326,Young Boys,,Cheikh Niasse,0,0.28,2,6,1,83.12,
327,Real Sociedad,,Beñat Turrientes,0,0.54,5,4,0,81.82,
328,Galatasaray,,Abdülkerim Bardakcı,0,0.53,3,19,0,81.65,
329,Feyenoord,,Quilindschy Hartman,0,0.26,1,15,0,81.25,
330,Borussia Dortmund,,Marius Wolf,0,0.25,1,13,0,67.57,
331,Red Bull Salzburg,,Amar Dedić,0,0.23,12,12,0,80.3,
332,Sporting Braga,,Álvaro Djaló,2,1.85,9,7,0,78.16,
333,Arsenal,,Reiss Nelson,0,0.39,7,6,2,96.51,
