#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,FC Bayern München,,Robert Lewandowski,15,12,10,5,78.63,
2,Barcelona,,Lionel Messi,3,57,2,3,81.87,
3,Barcelona,,Neto,0,0,0,0,61.54,
4,Real Madrid,,Toni Kroos,1,7,15,1,93.8,
5,Tottenham Hotspur,,Harry Kane,6,8,3,0,75.51,
6,Manchester City,,Kevin De Bruyne,2,14,8,2,77.13,
7,FC Bayern München,,Serge Gnabry,9,12,21,2,85.12,
8,Paris Saint-Germain,,Ángel Di María,3,15,9,6,82.2,
9,Paris Saint-Germain,,Neymar,3,43,7,4,74.54,
10,Red Bull Salzburg,,Hee-Chan Hwang,3,8,3,3,75.45,
11,Barcelona,,Jean-Clair Todibo,0,2,8,0,83.93,
12,Real Madrid,,Rodrygo,4,9,6,3,86.72,
13,Atlético Madrid,,Thomas Partey,1,15,29,1,84.79,
14,Barcelona,,Luis Suárez,5,8,2,2,73.18,
15,Juventus,,Douglas Costa,1,4,0,0,85,
16,FC Bayern München,,Thiago Alcântara,0,13,34,2,90.99,
17,Juventus,,Merih Demiral,0,1,2,0,82.14,
18,Manchester City,,Gabriel Jesus,6,16,6,3,86.53,
19,Liverpool,,Alex Oxlade-Chamberlain,3,9,7,1,83.7,
20,FC Bayern München,,Joshua Kimmich,2,7,15,4,88.05,
21,Borussia Dortmund,,Achraf Hakimi,4,17,20,0,84.92,
22,Atalanta,,Josip Iličić,5,21,4,0,84.21,
23,Real Madrid,,Karim Benzema,5,10,4,2,87.24,
24,Benfica,,Pizzi,3,4,6,2,81.65,
25,Manchester City,,Raheem Sterling,6,18,6,3,80,
26,AFC Ajax,,Hakim Ziyech,2,13,14,4,76.04,
27,AFC Ajax,,Nicolás Tagliafico,1,5,27,1,79.84,
28,Real Madrid,,Marcelo,0,3,3,3,86.34,
29,Borussia Dortmund,,Erling Haaland,10,6,4,1,66.41,
30,AFC Ajax,,André Onana,0,0,0,0,59.39,
31,Manchester City,,Riyad Mahrez,1,12,9,4,88.05,
32,Napoli,,Dries Mertens,6,2,17,1,74.12,
33,Tottenham Hotspur,,Heung-min Son,5,13,8,1,81.89,
34,Juventus,,Alex Sandro,0,9,10,1,87.64,
35,Zenit St. Petersburg,,Andrey Lunev,0,0,0,0,56.86,
36,Manchester City,,Phil Foden,2,8,4,2,88.24,
37,Atlético Madrid,,João Félix,3,7,1,1,84.89,
38,Chelsea,,Willian,1,28,5,1,78.3,
39,RB Leipzig,,Emil Forsberg,4,12,8,1,83.58,
40,Barcelona,,Carles Pérez,1,1,1,0,92,
41,Juventus,,Gianluigi Buffon,0,0,0,0,83.87,
42,Juventus,,Paulo Dybala,3,12,1,2,86.43,
43,SK Slavia Praha,,Tomáš Souček,2,3,15,0,82.62,
44,Atalanta,,Papu Gómez,1,16,6,2,85.47,
45,FC Bayern München,,Alphonso Davies,0,26,18,3,89.16,
46,SK Slavia Praha,,Ondřej Kolář,0,1,1,0,71.43,
47,Liverpool,,Naby Keïta,1,11,9,0,91.38,
48,Liverpool,,Trent Alexander-Arnold,0,3,16,1,79.35,
49,Juventus,,Cristiano Ronaldo,4,14,1,0,82.62,
50,Zenit St. Petersburg,,Mikhail Kerzhakov,0,0,0,0,71.19,
51,Manchester City,,İlkay Gündoğan,2,7,11,1,93.62,
52,FC Bayern München,,Philippe Coutinho,3,16,6,3,82.39,
53,AFC Ajax,,Donny van de Beek,2,4,11,1,78.85,
54,Juventus,,Juan Cuadrado,1,10,8,1,88.31,
55,Valencia,,Gabriel Paulista,0,1,8,0,87.54,
56,Borussia Dortmund,,Jadon Sancho,2,24,1,2,85.18,
57,Napoli,,Lorenzo Insigne,2,18,5,1,83.66,
58,Valencia,,Dani Parejo,1,10,12,3,87.77,
59,KRC Genk,,Stephen Odey,1,0,0,0,100,
60,Inter,,Matías Vecino,1,2,7,0,55.17,
61,Barcelona,,Carles Aleñá,0,3,1,0,85.11,
62,Lokomotiv Moscow,,Guilherme Marinato,0,0,1,0,57.89,
63,Valencia,,Ferran Torres,2,12,8,2,80.59,
64,Galatasaray,,Fernando Muslera,0,0,0,0,55.02,
65,Olympique Lyonnais,,Memphis Depay,6,14,3,0,77.73,
66,Chelsea,,Christian Pulišić,1,14,5,1,75.79,
67,Tottenham Hotspur,,Paulo Gazzaniga,0,0,0,0,64.86,
68,RB Leipzig,,Dayot Upamecano,0,15,25,0,87.19,
69,Liverpool,,Roberto Firmino,1,18,13,3,78.69,
70,Valencia,,Geoffrey Kondogbia,1,3,18,0,85.58,
71,Paris Saint-Germain,,Keylor Navas,0,1,0,0,69.23,
72,Liverpool,,Sadio Mané,2,22,13,1,81.08,
73,Chelsea,,Fikayo Tomori,0,4,13,1,86.05,
74,Paris Saint-Germain,,Thiago Silva,0,0,12,0,91.4,
75,Tottenham Hotspur,,Giovani Lo Celso,1,14,9,0,83.87,
76,Liverpool,,Mohamed Salah,4,24,2,2,76.9,
77,Real Madrid,,Éder Militão,0,4,7,0,87.08,
78,Paris Saint-Germain,,Kylian Mbappé,5,15,4,5,85.25,
79,Barcelona,,Arthur,0,7,6,1,89.85,
80,Zenit St. Petersburg,,Yaroslav Rakitskyi,1,8,6,0,76.02,
81,Bayer 04 Leverkusen,,Sven Bender,1,0,14,0,92.64,
82,Atlético Madrid,,Kieran Trippier,0,3,9,1,76.11,
83,Borussia Dortmund,,Julian Brandt,2,10,6,3,78.52,
84,Real Madrid,,Sergio Ramos,2,0,3,0,92.15,
85,Liverpool,,Dejan Lovren,1,0,3,0,92.17,
86,Tottenham Hotspur,,Tanguy Ndombélé,0,17,10,2,87.55,
87,Club Brugge KV,,Matej Mitrović,0,0,1,0,84.62,
88,Paris Saint-Germain,,Tanguy Nianzou,0,0,3,0,95.45,
89,Bayer 04 Leverkusen,,Wendell,0,4,14,0,89.33,
90,Napoli,,Kalidou Koulibaly,0,4,14,0,84.21,
91,Atlético Madrid,,Felipe,1,0,12,0,76.31,
92,FC Bayern München,,Corentin Tolisso,3,1,4,3,89.39,
93,Paris Saint-Germain,,Marco Verratti,0,8,22,0,92.86,
94,Benfica,,Adel Taarabt,0,11,4,1,86.55,
95,FC Bayern München,,Ivan Perišić,3,2,3,3,80.12,
96,Inter,,Lautaro Martínez,5,7,6,0,66.67,
97,FC Bayern München,,Leon Goretzka,1,3,15,1,88.11,
98,Benfica,,Alejandro Grimaldo,0,6,9,0,79.23,
99,Valencia,,José Luis Gayà,0,5,15,0,75.48,
100,Red Bull Salzburg,,Maximilian Wöber,0,5,9,0,80.56,
101,Paris Saint-Germain,,Marquinhos,2,1,22,0,86.31,
102,Juventus,,Miralem Pjanić,0,1,11,0,89.67,
103,Tottenham Hotspur,,Christian Eriksen,1,0,5,1,77.84,
104,Napoli,,José Callejón,0,0,6,1,85.42,
105,RB Leipzig,,Marcel Sabitzer,4,5,6,3,83.14,
106,Valencia,,Rodrigo,2,9,4,2,79.52,
107,Paris Saint-Germain,,Juan Bernat,2,17,16,2,89.6,
108,Zenit St. Petersburg,,Artem Dzyuba,2,6,5,1,70.59,
109,Atlético Madrid,,Santiago Arias,0,0,5,0,84.96,
110,KRC Genk,,Carlos Cuesta,0,1,9,0,77.67,
111,Atlético Madrid,,Saúl Ñíguez,1,12,18,0,79.69,
112,FC Bayern München,,Thomas Müller,4,5,15,2,80.46,
113,RB Leipzig,,Timo Werner,4,7,5,2,78.69,
114,Real Madrid,,Casemiro,1,7,23,1,84.44,
115,Liverpool,,Virgil van Dijk,0,1,9,0,88.86,
116,Inter,,Stefano Sensi,0,6,1,0,80.34,
117,AFC Ajax,,Quincy Promes,4,6,7,0,81.12,
118,Paris Saint-Germain,,Thomas Meunier,1,1,10,0,81.67,
119,Shakhtar Donetsk,,Taison,0,14,5,0,89.33,
120,Paris Saint-Germain,,Presnel Kimpembe,0,7,23,0,91.24,
121,Red Bull Salzburg,,Zlatko Junuzović,0,2,11,3,75.42,
122,FC Bayern München,,Benjamin Pavard,0,1,9,2,90.62,
123,Atlético Madrid,,Renan Lodi,0,7,23,1,76.41,
124,Zenit St. Petersburg,,Magomed Ozdoev,1,5,14,2,76.99,
125,Benfica,,Rafa Silva,1,4,3,1,77.19,
126,Olympique Lyonnais,,Joachim Andersen,1,1,3,0,89.5,
127,AFC Ajax,,Dušan Tadić,0,7,5,3,79.31,
128,Lille,,Benjamin André,0,3,18,2,81.08,
129,Olympiacos FC,,Konstantinos Tsimikas,0,14,17,1,75,
130,Juventus,,Daniele Rugani,0,0,3,0,92.7,
131,Liverpool,,Alisson,0,0,0,0,90.34,
132,Zenit St. Petersburg,,Sebastián Driussi,0,4,13,0,82.53,
133,Juventus,,Danilo,0,1,13,0,87.53,
134,Juventus,,Leonardo Bonucci,0,3,5,0,89.2,
135,Chelsea,,Mateo Kovačić,1,33,10,0,90.72,
136,Manchester City,,Rodri,0,12,21,0,93.22,
137,SK Slavia Praha,,Nicolae Stanciu,0,5,5,0,78.46,
138,FC Bayern München,,Manuel Neuer,0,1,0,0,86.89,
139,Inter,,Antonio Candreva,1,5,3,1,67.88,
140,RB Leipzig,,Angeliño,0,5,5,2,80.78,
141,Inter,,Diego Godín,0,3,16,0,81.96,
142,Atlético Madrid,,Marcos Llorente,2,2,2,1,74.47,
143,Paris Saint-Germain,,Mauro Icardi,5,1,1,0,73.68,
144,Olympique Lyonnais,,Marçal,0,4,9,0,81.93,
145,KRC Genk,,Bryan Heynen,0,0,6,1,67.9,
146,Real Madrid,,Eden Hazard,0,14,3,1,88.42,
147,Inter,,Marcelo Brozović,0,7,16,1,87.61,
148,Napoli,,Nikola Maksimović,0,0,6,0,82.44,
149,Juventus,,Matthijs de Ligt,0,0,7,0,91.35,
150,Napoli,,Alex Meret,0,0,0,0,79.64,
151,Olympique Lyonnais,,Houssem Aouar,1,35,14,4,80.4,
152,RB Leipzig,,Péter Gulácsi,0,0,0,0,77.6,
153,Chelsea,,César Azpilicueta,2,1,13,0,82.9,
154,Juventus,,Gonzalo Higuaín,2,11,0,2,81.62,
155,Inter,,Borja Valero,0,2,3,0,88.89,
156,FC Bayern München,,David Alaba,0,2,7,0,90.78,
157,Tottenham Hotspur,,Davinson Sánchez,0,2,8,0,87.87,
158,Paris Saint-Germain,,Thilo Kehrer,0,1,14,0,79.79,
159,Borussia Dortmund,,Roman Bürki,0,1,0,0,64.8,
160,GNK Dinamo Zagreb,,Mislav Oršić,4,4,6,1,67.86,
161,Atalanta,,Mario Pašalić,3,10,8,2,80.78,
162,Paris Saint-Germain,,Leandro Paredes,0,2,8,0,91.77,
163,RB Leipzig,,Dani Olmo,3,19,12,1,74.48,
164,Inter,,Nicolò Barella,1,5,11,0,85.25,
165,Atlético Madrid,,Stefan Savić,1,0,6,0,76.92,
166,Bayer 04 Leverkusen,,Nadiem Amiri,0,6,8,0,84.85,
167,Real Madrid,,Vinícius Júnior,1,5,5,1,83.95,
168,Barcelona,,Gerard Piqué,0,2,4,0,91.64,
169,Liverpool,,Georginio Wijnaldum,2,14,7,0,91.77,
170,Olympiacos FC,,Guilherme,1,13,10,1,87.6,
171,Real Madrid,,Isco,1,7,6,0,89,
172,Benfica,,Raúl de Tomás,1,1,0,0,96.43,
173,FC Bayern München,,Lucas Hernández,0,4,1,1,88.28,
174,Inter,,Stefan de Vrij,0,1,11,1,89.53,
175,Tottenham Hotspur,,Steven Bergwijn,0,1,1,0,77.27,
176,Atalanta,,Simon Kjær,0,0,4,0,68.57,
177,Barcelona,,Moussa Wagué,0,2,4,0,84.85,
178,Barcelona,,Samuel Umtiti,0,1,1,0,93.28,
179,Borussia Dortmund,,Mats Hummels,0,1,18,0,84.92,
180,Barcelona,,Marc-André ter Stegen,0,0,0,0,81.43,
181,Liverpool,,Fabinho,0,4,16,1,87.66,
182,Valencia,,Kévin Gameiro,2,1,0,1,77.01,
183,Liverpool,,Jordan Henderson,0,1,11,0,84.21,
184,FC Bayern München,,Niklas Süle,0,0,11,0,90.84,
185,Inter,,Romelu Lukaku,2,5,2,2,56.79,
186,Atlético Madrid,,José María Giménez,0,0,3,1,90.32,
187,Juventus,,Adrien Rabiot,0,6,12,0,86.96,
188,Lokomotiv Moscow,,Aleksei Miranchuk,2,10,6,0,76.55,
189,Paris Saint-Germain,,Idrissa Gueye,0,3,20,1,90.87,
190,Barcelona,,Nélson Semedo,0,18,20,1,87.92,
191,Atalanta,,José Luis Palomino,0,2,25,0,77.11,
192,Manchester City,,Nicolás Otamendi,0,0,18,0,92.69,
193,Borussia Dortmund,,Mario Götze,0,0,3,1,85.29,
194,Olympiacos FC,,Giorgos Masouras,0,4,15,1,87.1,
195,Atlético Madrid,,Koke,0,7,16,1,87.18,
196,RB Leipzig,,Ethan Ampadu,0,0,4,0,91.46,
197,Borussia Dortmund,,Thomas Delaney,0,2,7,0,84.66,
198,Inter,,Milan Škriniar,0,2,15,0,85.58,
199,Olympique Lyonnais,,Bertrand Traoré,1,11,2,0,78.85,
200,Bayer 04 Leverkusen,,Jonathan Tah,0,0,5,0,91.03,
201,Benfica,,Gabriel Pires,0,7,16,0,78.77,
202,Olympique Lyonnais,,Youssouf Koné,0,14,7,0,87.87,
