#,Time,Time,Nome,Gols,Gols esperados (xG),Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,Barcelona,,Robert Lewandowski,5,3.15,3,5,0,68.29,
2,Paris Saint-Germain,,Lionel Messi,4,2.64,14,4,4,87.37,
3,Borussia Dortmund,,Gregor Kobel,0,0,0,0,0,74.42,
4,Benfica,,Henrique Araújo,1,0.23,0,0,0,83.33,
5,FC Bayern München,,Joshua Kimmich,1,1.7,3,19,3,91.19,
6,FC Bayern München,,Lucas Hernández,1,0.36,1,3,0,88.06,
7,Liverpool,,Mohamed Salah,8,4,9,3,2,85.37,
8,Atlético Madrid,,Felipe,0,0.18,0,4,0,85.19,
9,FC Porto,,Mehdi Taremi,5,5.98,3,8,2,73.99,
10,Manchester City,,Kevin De Bruyne,2,1.26,10,9,6,77.71,
11,Red Bull Salzburg,,Fernando,0,0.58,1,1,1,90,
12,Juventus,,Ángel Di María,0,0.32,4,1,3,75.38,
13,FC Bayern München,,Manuel Neuer,0,0,0,0,0,80.19,
14,Paris Saint-Germain,,Kylian Mbappé,7,3.61,17,0,3,80.47,
15,FC Porto,,Diogo Costa,0,0,0,0,1,70.36,
16,Milan,,Ciprian Tătărușanu,0,0,0,0,0,76.58,
17,Chelsea,,Jorginho,1,0.88,4,14,0,93.3,
18,FC Bayern München,,Leroy Sané,4,2.52,10,10,1,85.54,
19,Paris Saint-Germain,,Neymar,2,2.11,14,3,2,85.79,
20,Liverpool,,Konstantinos Tsimikas,0,0.12,4,5,2,78.23,
21,FC København,,Kamil Grabara,0,0,0,0,0,57.94,
22,Club Brugge KV,,Simon Mignolet,0,0,0,0,0,71.33,
23,Napoli,,Giovanni Di Lorenzo,2,1.16,8,18,2,85.66,
24,Manchester City,,Erling Haaland,12,10.66,12,1,1,74.59,
25,Manchester City,,Rúben Dias,1,1.74,3,26,0,95.07,
26,Inter,,André Onana,0,0,0,0,0,74.89,
27,Napoli,,Giacomo Raspadori,4,0.97,0,4,3,80.81,
28,Napoli,,Piotr Zieliński,4,4.02,8,8,2,87.09,
29,Manchester City,,Rodri,2,0.91,9,24,0,92.2,
30,Celtic,,Jota,2,0.9,11,1,0,78.65,
31,Olympique de Marseille,,Amine Harit,1,1.04,11,1,2,89.9,
32,Tottenham Hotspur,,Ivan Perišić,0,0.17,8,19,3,75,
33,Juventus,,Samuel Iling Junior,0,0,0,0,1,50,
34,Tottenham Hotspur,,Pape Matar Sarr,0,0.06,1,5,0,83.05,
35,Barcelona,,Iñaki Peña,0,0,0,0,0,94.12,
36,Sevilla,,Marko Dmitrović,0,0,0,0,0,64.18,
37,Real Madrid,,Federico Valverde,2,1.65,11,18,3,89.35,
38,Borussia Dortmund,,Thomas Meunier,0,0.13,2,13,1,80.48,
39,Real Madrid,,Toni Kroos,0,0.28,2,26,2,93.82,
