#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,Barcelona,,Lionel Messi,11,28,10,2,81.44,
2,Sevilla,,Ganso,0,1,3,0,91.14,
3,Arsenal,,Santi Cazorla,0,5,8,1,90.19,
4,Real Madrid,,Cristiano Ronaldo,12,15,3,5,87.14,
5,Barcelona,,Neymar,4,50,16,8,74.78,
6,Borussia Dortmund,,Marco Reus,4,2,3,1,76.98,
7,Real Madrid,,Casemiro,2,5,47,2,86.54,
8,FC Bayern München,,Thiago Alcântara,2,16,28,3,91.74,
9,FC Bayern München,,Arturo Vidal,3,3,36,0,91.08,
10,Borussia Dortmund,,Adrián Ramos,1,2,1,0,61.9,
11,Olympique Lyonnais,,Lucas Tousart,0,1,1,0,93.33,
12,FC København,,Ludwig Augustinsson,0,0,12,3,78.33,
13,Beşiktaş,,Anderson Talisca,1,4,2,0,75,
14,Juventus,,Dani Alves,3,14,34,4,87.31,
15,Tottenham Hotspur,,Jan Vertonghen,0,4,11,0,87.93,
16,FC København,,Zanka,2,0,5,0,87.39,
17,Bayer 04 Leverkusen,,Lars Bender,0,2,16,0,76.27,
18,Bayer 04 Leverkusen,,Kevin Kampl,1,21,22,2,83.91,
19,Arsenal,,Rob Holding,0,0,3,0,91.43,
20,FC København,,Erik Berg,0,0,7,0,91.58,
21,FC Bayern München,,Arjen Robben,3,16,8,0,83,
22,Borussia Dortmund,,Shinji Kagawa,3,7,2,2,88.04,
23,Arsenal,,Lucas Pérez,3,1,1,2,75.41,
24,Olympique Lyonnais,,Maxime Gonalons,0,6,25,0,92.08,
25,Sevilla,,Steven N'Zonzi,1,11,18,0,90.83,
26,Borussia Dortmund,,Nuri Şahin,1,1,9,1,85.96,
27,Paris Saint-Germain,,Marco Verratti,0,10,29,2,89.53,
28,Borussia Dortmund,,Ousmane Dembélé,2,31,13,6,74.18,
29,Atlético Madrid,,José María Giménez,0,3,20,0,76.77,
30,Dynamo Kyiv,,Evgeniy Khacheridi,0,0,8,0,91.86,
31,Arsenal,,Mesut Özil,4,7,8,3,84.63,
32,Atlético Madrid,,Antoine Griezmann,6,4,21,2,79.62,
33,Paris Saint-Germain,,Lucas Moura,1,11,15,1,80.41,
34,Arsenal,,Alexis Sánchez,3,22,9,3,78.67,
35,Tottenham Hotspur,,Toby Alderweireld,1,0,4,0,89.01,
36,Paris Saint-Germain,,Ángel Di María,4,2,9,1,80.74,
37,Real Madrid,,Toni Kroos,1,5,23,1,93.36,
38,Bayer 04 Leverkusen,,Julian Baumgartlinger,0,3,22,0,78.21,
39,Juventus,,Giorgio Chiellini,1,1,18,0,87.1,
40,Real Madrid,,Gareth Bale,2,14,6,1,78.88,
41,FC København,,Thomas Delaney,1,2,15,0,81.84,
42,Olympique Lyonnais,,Maciej Rybus,0,1,7,0,89.13,
43,Manchester City,,Sergio Agüero,5,21,6,2,81.33,
44,Tottenham Hotspur,,Harry Kane,2,2,2,0,74.67,
45,Tottenham Hotspur,,Kieran Trippier,0,0,7,0,82.09,
46,FC København,,Federico Santander,1,4,6,0,68.09,
47,Real Madrid,,Mateo Kovačić,1,9,7,0,95.48,
48,FC Porto,,Danilo Pereira,0,8,15,0,90.53,
49,Napoli,,Marek Hamšík,2,7,10,2,85.09,
50,Barcelona,,Javier Mascherano,0,2,26,0,92.17,
51,Real Madrid,,Raphaël Varane,2,6,22,0,90.24,
52,Juventus,,Paulo Dybala,4,25,10,0,85.61,
53,Real Madrid,,Sergio Ramos,1,0,25,2,88.42,
54,AS Monaco,,Fabinho,1,15,33,3,85.11,
55,Legia Warszawa,,Thibault Moulin,1,5,11,1,80.09,
56,Juventus,,Daniele Rugani,1,0,2,0,89.76,
57,PSV Eindhoven,,Remko Pasveer,0,0,0,0,41.67,
58,Beşiktaş,,Tolga Zengin,0,0,0,0,60,
59,Bayer 04 Leverkusen,,Benjamin Henrichs,0,9,29,1,71.38,
60,Arsenal,,Theo Walcott,4,9,5,0,76.29,
61,Manchester City,,Kevin De Bruyne,1,8,9,1,84.06,
62,PSV Eindhoven,,Luuk de Jong,1,0,5,1,60.92,
63,CSKA Moscow,,Pontus Wernbloom,0,2,27,0,75.45,
64,Sevilla,,Sergio Escudero,1,9,30,1,83.29,
65,FC Bayern München,,Xabi Alonso,0,3,16,1,89.73,
