#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,FC Bayern München,,Sebastian Rode,0,0,3,1,91.89,
2,Barcelona,,Lionel Messi,6,34,5,1,85.18,
3,Real Madrid,,Cristiano Ronaldo,16,8,4,4,83.45,
4,Arsenal,,Mohamed Elneny,1,3,3,0,93.02,
5,Barcelona,,Neymar,3,46,13,4,83.43,
6,FC Bayern München,,Thiago Alcântara,1,19,28,4,90.71,
7,Arsenal,,Alexis Sánchez,3,44,13,5,76.63,
8,Manchester United,,Ander Herrera,0,3,8,0,94.51,
9,Manchester City,,Wilfried Bony,2,4,0,2,67.61,
10,Chelsea,,Willian,5,24,10,1,81.95,
11,Zenit St. Petersburg,,Hulk,4,34,6,4,78.07,
12,Paris Saint-Germain,,Marco Verratti,0,3,18,1,94.78,
13,Paris Saint-Germain,,Layvin Kurzawa,0,1,5,0,91.23,
14,Sevilla,,Grzegorz Krychowiak,0,8,15,0,91.3,
15,Barcelona,,Luis Suárez,8,9,6,3,71.81,
16,FC Porto,,Vincent Aboubakar,3,13,5,1,70.2,
17,Real Madrid,,Casemiro,0,7,43,0,87.99,
18,Paris Saint-Germain,,Ángel Di María,3,30,4,2,84.27,
19,Astana,,Roger Cañas,0,3,12,0,86.62,
20,Bayer 04 Leverkusen,,Hakan Çalhanoğlu,2,6,13,4,75.19,
21,PSV Eindhoven,,Jeffrey Bruma,0,3,24,0,85.17,
22,Atlético Madrid,,Gabi,0,8,45,3,83.28,
23,FC Bayern München,,Xabi Alonso,1,3,19,0,91.63,
24,Olympique Lyonnais,,Maxime Gonalons,0,1,29,1,90.04,
25,FC Bayern München,,Arturo Vidal,2,0,26,3,91.24,
26,Paris Saint-Germain,,Zlatan Ibrahimović,5,12,8,3,79.96,
27,Chelsea,,Ruben Loftus-Cheek,0,6,3,0,93.33,
28,Bayer 04 Leverkusen,,André Ramalho,0,0,2,0,82.09,
29,Roma,,Ervin Zukanović,0,0,0,0,84.85,
