#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
1,Dynamo Kyiv,,Ruslan Neshcheret,0,0,0,0,90.91,
2,Juventus,,Gianluigi Buffon,0,0,0,0,85.71,
3,Barcelona,,Lionel Messi,5,29,5,2,88.68,
4,FC Bayern München,,Joshua Kimmich,1,11,13,4,87.78,
5,Borussia Dortmund,,Erling Haaland,10,8,1,2,75.32,
6,Juventus,,Juan Cuadrado,0,11,12,6,86.28,
7,Manchester United,,Bruno Fernandes,4,3,9,1,73.97,
8,Liverpool,,Adrián,0,0,0,0,62.07,
9,Lazio,,Ciro Immobile,5,4,2,1,81.62,
10,Liverpool,,Caoimhin Kelleher,0,0,0,0,67.09,
11,Manchester City,,Kevin De Bruyne,3,11,9,4,84.16,
12,Paris Saint-Germain,,Kylian Mbappé,8,37,2,2,77.32,
13,Lazio,,Thomas Strakosha,0,0,0,0,53.33,
14,Inter,,Aleksandar Kolarov,0,2,0,0,91.04,
15,Juventus,,Álvaro Morata,6,11,4,1,72.05,
16,Real Madrid,,Toni Kroos,0,6,19,2,92.92,
17,Sevilla,,Marcos Acuña,0,8,9,1,85.6,
18,FC Midtjylland,,Daniel Høegh,0,0,2,0,65.22,
19,Atalanta,,Cristian Romero,1,1,18,1,86.27,
20,Paris Saint-Germain,,Neymar,6,33,5,2,81.37,
21,Manchester United,,Marcus Rashford,6,15,1,0,79.29,
22,AFC Ajax,,David Neres,1,9,6,0,79.07,
23,Manchester City,,Phil Foden,3,26,16,3,87.23,
24,FC Bayern München,,Manuel Neuer,0,0,0,0,86.49,
25,Borussia M'gladbach,,Florian Neuhaus,0,10,24,0,85.55,
26,Barcelona,,Philippe Coutinho,1,5,0,0,81.9,
27,Borussia Dortmund,,Jadon Sancho,2,14,3,3,87.8,
28,Inter,,Romelu Lukaku,4,10,0,0,70.09,
29,RB Leipzig,,Angeliño,3,0,15,3,72.49,
30,Paris Saint-Germain,,Keylor Navas,0,0,0,0,72.92,
31,Borussia M'gladbach,,Alassane Pléa,5,4,2,3,77.18,
32,Juventus,,Cristiano Ronaldo,4,10,0,2,81.43,
33,Atlético Madrid,,João Félix,3,21,6,0,76.62,
34,Sevilla,,Suso,1,7,6,0,78.15,
35,Borussia Dortmund,,Axel Witsel,1,3,8,0,94.07,
36,FC Porto,,Diogo Leite,0,3,0,0,92.11,
37,FK Krasnodar,,Matvey Safonov,0,2,0,0,51.49,
38,Chelsea,,Edouard Mendy,0,0,0,0,76.18,
39,Real Madrid,,Sergio Ramos,2,2,2,1,90.77,
40,Juventus,,Alex Sandro,0,6,10,1,85.38,
41,Paris Saint-Germain,,Marquinhos,3,5,18,0,88.95,
42,Sevilla,,Youssef En-Nesyri,6,3,1,0,72.73,
43,AFC Ajax,,Antony,1,5,7,0,71.24,
44,Juventus,,Matthijs de Ligt,0,1,9,0,91.19,
45,RB Leipzig,,Christopher Nkunku,1,8,18,2,83.9,
46,Sevilla,,Papu Gómez,1,12,3,2,81.53,
47,Barcelona,,Ansu Fati,1,4,1,2,89,
48,FC Bayern München,,Jérôme Boateng,1,1,15,0,89.31,
49,Lazio,,Francesco Acerbi,0,9,15,1,86.04,
50,Manchester City,,Benjamin Mendy,0,1,1,0,94.2,
51,Chelsea,,Faustino Anjorin,0,1,4,0,88.89,
52,Juventus,,Adrien Rabiot,1,3,18,1,89.43,
53,Liverpool,,Alisson,0,0,1,0,79.48,
54,FC Bayern München,,Robert Lewandowski,5,6,2,0,79.69,
55,Barcelona,,Ousmane Dembélé,3,16,4,2,80.32,
56,Real Madrid,,Éder Militão,0,4,20,1,88.06,
57,Liverpool,,Curtis Jones,1,7,6,2,88.8,
58,Real Madrid,,Karim Benzema,6,12,8,0,87.22,
59,Borussia M'gladbach,,Oscar Wendt,1,0,7,0,83.52,
60,Liverpool,,Joe Gomez,0,0,4,1,84.62,
61,Liverpool,,Trent Alexander-Arnold,0,5,10,2,72.55,
62,FC Porto,,Agustín Marchesín,0,0,1,0,52.57,
63,Manchester City,,Riyad Mahrez,4,18,13,2,84.26,
64,Manchester City,,Ferran Torres,4,7,4,0,80.88,
65,Club Brugge KV,,Hans Vanaken,3,5,5,0,85.64,
66,Borussia M'gladbach,,Nico Elvedi,1,1,15,0,93.91,
67,Olympiacos FC,,Mathieu Valbuena,0,4,4,1,86.36,
68,Borussia Dortmund,,Thorgan Hazard,1,2,8,1,87.61,
69,FC Porto,,Sérgio Oliveira,5,5,15,0,77.37,
