#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Liverpool,,Alisson,46,6,0,27,0,7.18,7.18
2,AFC Ajax,,André Onana,40,4,0,32,0,6.94,6.94
3,FK Crvena zvezda,,Milan Borjan,39,2,1,29,3,7.23,7.23
4,PSV Eindhoven,,Jeroen Zoet,37,0,0,23,1,7.03,7.03
5,Olympique Lyonnais,,Anthony Lopes,35,1,0,18,2,7.13,7.13
6,Inter,,Samir Handanović,32,0,0,19,1,7.33,7.33
7,Tottenham Hotspur,,Hugo Lloris,30,4,1,18,5,6.82,6.82
8,Roma,,Robin Olsen,29,2,0,13,1,7.35,7.35
9,TSG Hoffenheim,,Oliver Baumann,29,0,0,20,0,6.82,6.82
10,Barcelona,,Marc-André ter Stegen,27,6,0,13,2,7.00,7.00
11,AEK Athens,,Vasilis Barkas,27,0,0,16,0,6.65,6.65
12,Benfica,,Odysseas Vlachodimos,24,1,0,15,4,6.85,6.85
13,Manchester United,,David De Gea,24,3,0,17,0,6.71,6.71
14,FC Bayern München,,Manuel Neuer,23,4,0,13,2,7.01,7.01
15,Juventus,,Wojciech Szczęsny,23,5,1,12,4,6.97,6.97
16,FC Porto,,Iker Casillas,22,1,1,11,4,6.62,6.62
17,CSKA Moscow,,Igor Akinfeev,21,1,1,9,0,6.92,6.92
18,Manchester City,,Ederson,21,3,0,12,7,6.76,6.76
19,Lokomotiv Moscow,,Guilherme Marinato,21,1,0,13,1,6.40,6.40
20,Real Madrid,,Thibaut Courtois,20,2,0,14,3,6.86,6.86
21,Shakhtar Donetsk,,Andriy Pyatov,20,0,0,12,2,6.33,6.33
22,Valencia,,Neto,19,1,0,12,0,7.02,7.02
23,Borussia Dortmund,,Roman Bürki,17,4,0,9,1,6.96,6.96
24,Galatasaray,,Fernando Muslera,17,2,0,13,3,6.77,6.77
25,Napoli,,David Ospina,16,2,0,10,5,6.95,6.95
26,FC Schalke 04,,Ralf Fährmann,16,2,1,10,1,6.37,6.37
27,Viktoria Plzeň,,Aleš Hruška,14,0,0,10,2,6.50,6.50
28,Viktoria Plzeň,,Matúš Kozáčik,13,0,0,10,0,7.00,7.00
29,Young Boys,,David von Ballmoos,13,0,0,5,0,6.05,6.05
30,Club Brugge KV,,Ethan Horvath,11,3,0,4,0,7.67,7.67
31,Atlético Madrid,,Jan Oblak,10,4,0,4,0,6.60,6.60
32,CSKA Moscow,,Ilya Pomazun,9,0,0,5,1,7.60,7.60
33,Paris Saint-Germain,,Alphonse Aréola,9,0,0,5,0,6.43,6.43
34,Paris Saint-Germain,,Gianluigi Buffon,9,1,0,3,0,6.26,6.26
35,AS Monaco,,Diego Benaglio,8,0,0,6,0,6.30,6.30
36,Real Madrid,,Keylor Navas,7,1,0,4,0,7.00,7.00
37,Barcelona,,Jasper Cillessen,6,0,0,2,0,8.00,8.00
38,Young Boys,,Marco Wölfli,6,0,0,5,0,6.90,6.90
39,Club Brugge KV,,Karlo Letica,6,0,0,3,1,6.30,6.30
40,Valencia,,Jaume Doménech,4,0,0,0,0,7.00,7.00
41,AS Monaco,,Loïc Badiashile,4,0,0,1,0,7.00,7.00
42,Tottenham Hotspur,,Paulo Gazzaniga,3,0,0,3,2,7.20,7.20
43,Tottenham Hotspur,,Michel Vorm,3,0,0,2,0,6.30,6.30
44,Roma,,Antonio Mirante,3,0,0,2,0,6.25,6.25
45,FC Schalke 04,,Alexander Nübel,2,2,0,1,1,7.15,7.15
46,Manchester United,,Sergio Romero,2,0,0,2,0,6.30,6.30
47,AS Monaco,,Danijel Subašić,2,0,0,2,0,5.80,5.80
48,Olympique Lyonnais,,Mathieu Gorgelin,1,0,0,1,0,5.70,5.70
49,Borussia Dortmund,,Marwin Hitz,0,1,0,0,0,7.10,7.10
50,CSKA Moscow,,Georgiy Kyrnats,0,0,0,0,0,0,
