#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Chelsea,,César Azpilicueta,26,11,30,0,7.20,7.20
2,Chelsea,,Jorginho,26,26,11,0,7.02,7.02
3,Borussia M'gladbach,,Florian Neuhaus,24,9,8,0,7.43,7.43
4,Manchester City,,João Cancelo,24,6,6,0,7.14,7.14
5,FC Bayern München,,Lucas Hernández,24,5,16,0,7.09,7.09
6,Borussia Dortmund,,Jude Bellingham,24,5,7,0,7.02,7.02
7,FC Porto,,Otávio,24,0,8,0,7.01,7.01
8,Real Madrid,,Casemiro,23,18,9,0,7.15,7.15
9,Manchester City,,Kyle Walker,23,14,15,0,7.10,7.10
10,Chelsea,,Reece James,22,4,21,0,7.10,7.10
11,RB Leipzig,,Dayot Upamecano,22,14,13,1,6.94,6.94
12,Paris Saint-Germain,,Marco Verratti,21,6,2,0,7.20,7.20
13,Borussia M'gladbach,,Stefan Lainer,21,11,23,0,6.85,6.85
14,Başakşehir FK,,Rafael,21,12,11,0,6.40,6.40
15,Real Madrid,,Éder Militão,20,10,17,0,7.28,7.28
16,FC Porto,,Mateus Uribe,20,8,12,0,6.90,6.90
17,Paris Saint-Germain,,Ander Herrera,20,13,10,0,6.90,6.90
18,Real Madrid,,Toni Kroos,19,19,2,0,7.53,7.53
19,AFC Ajax,,Noussair Mazraoui,19,14,15,0,7.20,7.20
20,Liverpool,,Fabinho,19,13,27,0,7.20,7.20
21,FC Porto,,Zaidu Sanusi,19,13,25,0,7.03,7.03
22,Atalanta,,Rafael Tolói,19,13,22,0,6.86,6.86
23,Atalanta,,Remo Freuler,19,11,5,0,6.51,6.51
24,Atalanta,,Cristian Romero,18,30,28,0,7.47,7.47
25,Paris Saint-Germain,,Marquinhos,18,10,36,0,7.33,7.33
26,RB Leipzig,,Christopher Nkunku,18,8,2,0,7.31,7.31
27,Juventus,,Adrien Rabiot,18,16,4,0,7.29,7.29
28,Juventus,,Danilo,18,20,9,0,7.19,7.19
29,Paris Saint-Germain,,Leandro Paredes,18,18,10,0,6.99,6.99
30,Real Madrid,,Nacho Fernández,18,12,19,0,6.98,6.98
31,FC Midtjylland,,Frank Onyeka,18,18,8,0,6.73,6.73
32,Paris Saint-Germain,,Idrissa Gueye,18,5,9,0,6.66,6.66
33,Red Bull Salzburg,,Andreas Ulmer,18,11,7,0,6.57,6.57
