#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Barcelona,,Lionel Messi,10,5,92,56,17.86,8.52,8.52
2,Real Madrid,,Cristiano Ronaldo,10,6,25,71,14.08,7.60,7.60
3,Barcelona,,Neymar,10,9,37,33,30.3,7.43,7.43
4,Shakhtar Donetsk,,Luiz Adriano,9,2,2,15,60,7.59,7.59
5,Barcelona,,Luis Suárez,7,7,17,38,18.42,7.59,7.59
6,Juventus,,Carlos Tévez,7,4,29,38,18.42,7.58,7.58
7,FC Bayern München,,Thomas Müller,7,4,11,24,29.17,7.40,7.40
8,FC Porto,,Jackson Martínez,7,5,5,26,26.92,7.26,7.26
9,Real Madrid,,Karim Benzema,6,1,13,19,31.58,7.54,7.54
10,Manchester City,,Sergio Agüero,6,3,12,19,31.58,7.20,7.20
11,Paris Saint-Germain,,Edinson Cavani,6,5,9,33,18.18,7.20,7.20
12,FC Bayern München,,Robert Lewandowski,6,9,12,45,13.33,7.12,7.12
13,FC Porto,,Yacine Brahimi,5,1,42,14,35.71,7.57,7.57
14,Atlético Madrid,,Mario Mandžukić,5,3,4,14,35.71,7.17,7.17
15,FC Schalke 04,,Klaas-Jan Huntelaar,5,1,4,18,27.78,7.15,7.15
16,Juventus,,Álvaro Morata,5,4,20,25,20,7.04,7.04
17,Sporting,,Nani,4,0,16,24,16.67,8.14,8.14
18,Borussia Dortmund,,Ciro Immobile,4,0,5,19,21.05,7.18,7.18
19,FC Bayern München,,Mario Götze,4,0,5,22,18.18,7.05,7.05
20,HB Tórshavn,,Levi Hanssen,3,,,,,,
21,Celtic,,Callum McGregor,3,,,,,,
22,Chelsea,,Eden Hazard,3,3,51,16,18.75,7.90,7.90
23,Borussia Dortmund,,Marco Reus,3,0,5,8,37.5,7.53,7.53
24,FC Bayern München,,Franck Ribéry,3,1,15,10,30,7.50,7.50
25,Arsenal,,Aaron Ramsey,3,0,4,8,37.5,7.43,7.43
26,FC Bayern München,,Jérôme Boateng,3,0,1,10,30,7.34,7.34
27,Borussia Dortmund,,Adrián Ramos,3,0,2,6,50,7.33,7.33
28,Arsenal,,Alexis Sánchez,3,2,29,20,15,7.27,7.27
29,FC Porto,,Vincent Aboubakar,3,0,3,9,33.33,7.18,7.18
30,Arsenal,,Lukas Podolski,3,0,2,6,50,7.14,7.14
31,Borussia Dortmund,,Pierre-Emerick Aubameyang,3,5,6,21,14.29,7.10,7.10
32,AFC Ajax,,Lasse Schöne,3,1,9,15,20,7.10,7.10
33,FC Porto,,Héctor Herrera,3,0,13,10,30,7.09,7.09
34,FC Porto,,Ricardo Quaresma,3,0,12,12,25,7.08,7.08
35,Roma,,Gervinho,3,2,17,12,25,7.07,7.07
36,Arsenal,,Danny Welbeck,3,3,11,18,16.67,7.05,7.05
37,Malmö FF,,Markus Rosenberg,3,2,0,16,18.75,7.05,7.05
38,CSKA Moscow,,Seydou Doumbia,3,2,12,12,25,7.00,7.00
39,Bayer 04 Leverkusen,,Heung-min Son,3,1,7,16,18.75,6.93,6.93
40,Shakhtar Donetsk,,Alex Teixeira,3,2,12,14,21.43,6.90,6.90
41,Basel,,Derlis González,3,1,13,13,23.08,6.84,6.84
42,Red Bull Salzburg,,Martin Hinteregger,2,,,,,,
43,Qarabağ,,Reynaldo Silva,2,,,,,,
44,Celtic,,Teemu Pukki,2,,,,,,
45,GNK Dinamo Zagreb,,El Arbi Hillel Soudani,2,,,,,,
46,Red Bull Salzburg,,Jonathan Soriano,2,,,,,,
47,Sheriff Tiraspol,,Ismail Isa,2,,,,,,
48,Maccabi Tel Aviv,,Tal Ben Haim,2,,,,,,
49,HJK,,Demba Savage,2,,,,,,
50,Qarabağ,,Chumbinho,2,,,,,,
51,Qarabağ,,Danilo Dias,2,,,,,,
52,BATE Borisov,,Sergey Krivets,2,,,,,,
53,ŠK Slovan Bratislava,,Marko Milinković,2,,,,,,
54,Celtic,,Virgil van Dijk,2,,,,,,
55,Chelsea,,Cesc Fàbregas,2,1,12,5,40,7.81,7.81
56,Atlético Madrid,,Koke,2,0,13,8,25,7.79,7.79
57,Chelsea,,Nemanja Matić,2,0,15,4,50,7.58,7.58
58,RSC Anderlecht,,Chancel Mbemba,2,0,8,4,50,7.55,7.55
59,FC Bayern München,,Arjen Robben,2,0,11,21,9.52,7.54,7.54
60,Athletic Club,,Mikel San José,2,0,0,9,22.22,7.54,7.54
61,FC Bayern München,,Thiago Alcântara,2,0,11,6,33.33,7.53,7.53
