#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
74,Chelsea,,Pierre-Emerick Aubameyang,2,2.29,2,0,15,13.33,6.95,6.95
75,Inter,,Henrikh Mkhitaryan,2,1.74,2,6,15,13.33,6.94,6.94
76,Liverpool,,Harvey Elliott,2,1.11,1,5,11,18.18,6.94,6.94
77,GNK Dinamo Zagreb,,Mislav Oršić,2,1.08,0,2,13,15.38,6.93,6.93
78,Club Brugge KV,,Kamal Sowah,2,2.06,0,7,13,15.38,6.91,6.91
79,Sporting,,Francisco Trincão,2,0.53,0,5,9,22.22,6.85,6.85
80,Juventus,,Arkadiusz Milik,2,0.43,2,1,8,25,6.84,6.84
81,AFC Ajax,,Steven Bergwijn,2,1.78,0,5,10,20,6.83,6.83
82,Sevilla,,Youssef En-Nesyri,2,1.65,3,0,12,16.67,6.80,6.80
83,RB Leipzig,,Timo Werner,2,2.41,0,4,13,15.38,6.79,6.79
84,Milan,,Alexis Saelemaekers,2,0.5,0,13,6,33.33,6.79,6.79
85,Viktoria Plzeň,,Tomáš Chorý,2,2.04,2,0,11,18.18,6.77,6.77
86,Shakhtar Donetsk,,Oleksandr Zubkov,2,1.01,1,2,8,25,6.76,6.76
87,Juventus,,Weston McKennie,2,0.61,0,2,4,50,6.74,6.74
88,Maccabi Haifa,,Abdoulaye Seck,2,0.38,0,3,4,50,6.73,6.73
89,Borussia Dortmund,,Karim Adeyemi,2,1.79,0,10,11,18.18,6.70,6.70
90,Eintracht Frankfurt,,Randal Kolo Muani,2,1.39,2,6,12,16.67,6.59,6.59
91,Benfica,,Henrique Araújo,1,0.23,0,0,1,100,7.80,7.80
92,FC Bayern München,,Joshua Kimmich,1,1.7,0,3,22,4.55,7.77,7.77
93,FC Bayern München,,Lucas Hernández,1,0.36,0,1,1,100,7.75,7.75
94,Chelsea,,Jorginho,1,0.88,0,4,3,33.33,7.47,7.47
95,Manchester City,,Rúben Dias,1,1.74,2,3,13,7.69,7.41,7.41
96,Olympique de Marseille,,Amine Harit,1,1.04,2,11,9,11.11,7.40,7.40
97,Barcelona,,Ousmane Dembélé,1,1.07,0,12,10,10,7.35,7.35
98,Napoli,,Leo Østigård,1,0.11,0,0,1,100,7.33,7.33
99,FC Bayern München,,Kingsley Coman,1,0.96,0,17,14,7.14,7.29,7.29
100,Atlético Madrid,,Antoine Griezmann,1,2.53,3,4,21,4.76,7.23,7.23
101,Liverpool,,Trent Alexander-Arnold,1,0.33,0,5,9,11.11,7.21,7.21
102,Chelsea,,Reece James,1,0.55,0,16,8,12.5,7.18,7.18
103,Liverpool,,Luis Díaz,1,0.49,0,4,9,11.11,7.17,7.17
104,Barcelona,,Marcos Alonso,1,1.01,0,2,3,33.33,7.16,7.16
105,Napoli,,Tanguy Ndombélé,1,0.88,0,11,8,12.5,7.16,7.16
106,Napoli,,Frank Anguissa,1,0.82,0,14,9,11.11,7.15,7.15
107,Bayer 04 Leverkusen,,Robert Andrich,1,0.34,0,0,5,20,7.14,7.14
108,Manchester City,,Phil Foden,1,0.97,1,7,9,11.11,7.14,7.14
109,Red Bull Salzburg,,Nicolas Seiwald,1,0.41,0,1,6,16.67,7.13,7.13
110,RB Leipzig,,Mohamed Simakan,1,0.37,0,6,2,50,7.13,7.13
111,Tottenham Hotspur,,Pierre-Emile Højbjerg,1,0.33,0,7,6,16.67,7.13,7.13
112,Manchester City,,Manuel Akanji,1,0.94,1,1,7,14.29,7.13,7.13
113,Inter,,Hakan Çalhanoğlu,1,0.44,0,4,13,7.69,7.10,7.10
114,Liverpool,,Joël Matip,1,0.4,0,1,5,20,7.10,7.10
115,Viktoria Plzeň,,Jan Kliment,1,0.11,0,0,1,100,7.10,7.10
116,Manchester City,,İlkay Gündoğan,1,1.61,3,11,19,5.26,7.08,7.08
117,Borussia Dortmund,,Julian Brandt,1,0.85,0,10,12,8.33,7.07,7.07
118,Tottenham Hotspur,,Rodrigo Bentancur,1,0.39,0,6,5,20,7.07,7.07
119,Tottenham Hotspur,,Clément Lenglet,1,0.18,0,1,1,100,7.06,7.06
120,Manchester City,,John Stones,1,0.1,0,10,3,33.33,7.05,7.05
121,Manchester City,,Rico Lewis,1,0.28,0,2,2,50,7.05,7.05
122,Club Brugge KV,,Andreas Skov Olsen,1,0.13,0,3,3,33.33,7.04,7.04
123,Atlético Madrid,,Rodrigo de Paul,1,0.22,0,3,5,20,7.04,7.04
124,Borussia Dortmund,,Marco Reus,1,0.85,1,3,6,16.67,7.03,7.03
125,Milan,,Matteo Gabbia,1,0.37,0,0,1,100,7.03,7.03
126,Milan,,Rafael Leão,1,1.58,4,39,19,5.26,7.03,7.03
127,Sevilla,,Tanguy Nianzou,1,0.14,0,2,2,50,7.00,7.00
128,Tottenham Hotspur,,Harry Kane,1,3.6,3,8,22,4.55,6.99,6.99
129,Olympique de Marseille,,Leonardo Balerdi,1,0.24,0,0,3,33.33,6.98,6.98
130,Napoli,,Matteo Politano,1,1.27,0,4,13,7.69,6.97,6.97
131,Sporting,,Nuno Santos,1,0.32,0,3,3,33.33,6.97,6.97
132,Sporting,,Paulinho,1,0.25,1,1,2,50,6.96,6.96
133,Real Madrid,,Éder Militão,1,0.48,0,3,4,25,6.96,6.96
134,Sevilla,,Isco,1,0.66,1,7,8,12.5,6.95,6.95
135,Eintracht Frankfurt,,Faride Alidou,1,0.27,0,2,2,50,6.95,6.95
136,Chelsea,,Mateo Kovačić,1,0.26,0,8,4,25,6.95,6.95
137,Chelsea,,Denis Zakaria,1,0.13,0,0,1,100,6.95,6.95
138,Napoli,,Hirving Lozano,1,1.31,1,11,12,8.33,6.94,6.94
139,Paris Saint-Germain,,Carlos Soler,1,0.25,0,2,2,50,6.93,6.93
140,Real Madrid,,Antonio Rüdiger,1,0.27,1,0,6,16.67,6.89,6.89
141,Club Brugge KV,,Bjorn Meijer,1,0.36,0,2,5,20,6.89,6.89
142,FC Porto,,Mateus Uribe,1,1.36,0,5,10,10,6.89,6.89
143,AFC Ajax,,Edson Álvarez,1,0.86,0,1,10,10,6.88,6.88
144,Bayer 04 Leverkusen,,Callum Hudson-Odoi,1,0.83,0,9,8,12.5,6.88,6.88
145,FC Bayern München,,Thomas Müller,1,1.33,0,0,9,11.11,6.88,6.88
146,Milan,,Ismaël Bennacer,1,0.49,0,13,7,14.29,6.87,6.87
147,Barcelona,,Franck Kessié,1,0.27,0,1,3,33.33,6.87,6.87
148,Sevilla,,Gonzalo Montiel,1,0.15,0,1,1,100,6.87,6.87
149,FC Porto,,Zaidu Sanusi,1,0.28,0,2,5,20,6.86,6.86
150,Inter,,Denzel Dumfries,1,1.72,3,8,11,9.09,6.85,6.85
151,FC København,,Hakon Arnar Haraldsson,1,0.98,0,4,8,12.5,6.85,6.85
152,Benfica,,Fredrik Aursnes,1,0.51,0,4,6,16.67,6.85,6.85
153,Inter,,Robin Gosens,1,0.34,0,1,4,25,6.85,6.85
154,Chelsea,,Wesley Fofana,1,0.32,0,2,2,50,6.84,6.84
155,AFC Ajax,,Francisco Conceição,1,0.55,0,0,1,100,6.83,6.83
156,Club Brugge KV,,Antonio Nusa,1,0.26,0,4,1,100,6.83,6.83
157,Paris Saint-Germain,,Nuno Mendes,1,0.16,0,11,1,100,6.82,6.82
158,FC Porto,,Evanilson,1,0.85,1,2,9,11.11,6.81,6.81
159,Red Bull Salzburg,,Junior Adamu,1,1.31,1,1,5,20,6.80,6.80
160,Real Madrid,,Eden Hazard,1,0.88,1,2,2,50,6.80,6.80
161,Borussia Dortmund,,Thorgan Hazard,1,0.25,0,1,4,25,6.80,6.80
162,GNK Dinamo Zagreb,,Bruno Petković,1,0.48,0,3,2,50,6.78,6.78
163,Shakhtar Donetsk,,Lassina Traoré,1,0.46,1,1,5,20,6.78,6.78
164,RB Leipzig,,Dominik Szoboszlai,1,2.18,2,5,15,6.67,6.78,6.78
165,Eintracht Frankfurt,,Jesper Lindstrøm,1,0.89,0,9,11,9.09,6.77,6.77
166,Sevilla,,Rafa Mir,1,0.48,0,0,8,12.5,6.77,6.77
167,RB Leipzig,,Emil Forsberg,1,0.88,0,3,6,16.67,6.75,6.75
