#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
327,Manchester City,,Sergio Gómez,0,0.24,0,5,7,0,6.88,6.88
328,Bayer 04 Leverkusen,,Odilon Kossounou,0,0.09,0,3,2,0,6.88,6.88
329,Eintracht Frankfurt,,Djibril Sow,0,0.07,0,0,3,0,6.88,6.88
330,Barcelona,,Frenkie de Jong,0,0,0,4,0,0,6.88,6.88
331,Paris Saint-Germain,,Gianluigi Donnarumma,0,0,0,0,0,0,6.88,6.88
332,Real Madrid,,Aurélien Tchouaméni,0,0.4,0,3,9,0,6.87,6.87
333,Inter,,Marcelo Brozović,0,0.17,0,5,4,0,6.87,6.87
334,Liverpool,,Virgil van Dijk,0,1.03,0,1,12,0,6.85,6.85
335,Tottenham Hotspur,,Matt Doherty,0,0.14,0,0,4,0,6.85,6.85
336,Atlético Madrid,,Thomas Lemar,0,0.05,0,1,1,0,6.85,6.85
337,FC Porto,,Pepe,0,0.04,0,0,1,0,6.85,6.85
338,Juventus,,Nicolò Fagioli,0,0,0,1,0,0,6.85,6.85
339,Napoli,,Alessandro Zanoli,0,0,0,1,0,0,6.85,6.85
340,Eintracht Frankfurt,,Makoto Hasebe,0,0,0,0,0,0,6.85,6.85
341,RB Leipzig,,Xaver Schlager,0,0.06,0,5,2,0,6.84,6.84
342,Borussia Dortmund,,Giovanni Reyna,0,0.17,0,5,3,0,6.83,6.83
343,AFC Ajax,,Calvin Bassey,0,0,0,5,0,0,6.83,6.83
344,Atlético Madrid,,Reinildo Mandava,0,0.29,0,3,3,0,6.83,6.83
345,FC København,,Victor Kristiansen,0,0.16,0,1,2,0,6.83,6.83
346,Tottenham Hotspur,,Bryan Gil,0,0.02,0,1,1,0,6.83,6.83
347,Club Brugge KV,,Dedryck Boyata,0,0,0,0,0,0,6.83,6.83
348,Sporting,,Manuel Ugarte,0,0,0,10,0,0,6.83,6.83
349,Bayer 04 Leverkusen,,Lukáš Hrádecký,0,0,0,0,0,0,6.83,6.83
350,Tottenham Hotspur,,Eric Dier,0,1.1,2,0,9,0,6.83,6.83
351,Tottenham Hotspur,,Cristian Romero,0,0.28,0,0,2,0,6.83,6.83
352,Juventus,,Alex Sandro,0,0.03,0,2,1,0,6.83,6.83
353,AFC Ajax,,Dušan Tadić,0,0.45,1,5,4,0,6.82,6.82
354,Bayer 04 Leverkusen,,Kerem Demirbay,0,1.14,1,1,7,0,6.82,6.82
355,Atlético Madrid,,Saúl Ñíguez,0,0.56,1,1,5,0,6.82,6.82
356,Chelsea,,César Azpilicueta,0,0,0,1,0,0,6.82,6.82
357,Olympique de Marseille,,Jonathan Clauss,0,0.29,0,7,5,0,6.82,6.82
358,Tottenham Hotspur,,Pedro Porro,0,0.2,0,7,6,0,6.82,6.82
359,Atlético Madrid,,Nahuel Molina,0,0.15,0,2,3,0,6.82,6.82
360,Maccabi Haifa,,Neta Lavi,0,0.05,0,3,1,0,6.82,6.82
361,Chelsea,,Ruben Loftus-Cheek,0,0.09,0,3,2,0,6.81,6.81
362,RB Leipzig,,Willi Orbán,0,0.45,1,3,4,0,6.81,6.81
363,Bayer 04 Leverkusen,,Jeremie Frimpong,0,0.44,1,4,4,0,6.80,6.80
364,Barcelona,,Jules Koundé,0,0,0,2,0,0,6.80,6.80
365,FC København,,Valdemar Lund,0,0.32,0,0,3,0,6.80,6.80
366,FC København,,Paul Mukairu,0,0.27,0,4,2,0,6.80,6.80
367,Manchester City,,Cole Palmer,0,0.26,0,4,4,0,6.80,6.80
368,Real Madrid,,David Alaba,0,0.26,0,3,5,0,6.80,6.80
369,Barcelona,,Sergio Busquets,0,0.23,1,1,2,0,6.80,6.80
370,Tottenham Hotspur,,Ryan Sessegnon,0,0.2,1,1,1,0,6.80,6.80
371,Red Bull Salzburg,,Amar Dedić,0,0.15,0,4,3,0,6.80,6.80
372,Atlético Madrid,,Koke,0,0.12,0,0,2,0,6.80,6.80
373,Sporting,,Sebastián Coates,0,0.1,0,1,2,0,6.80,6.80
374,Juventus,,Federico Chiesa,0,0.09,0,0,1,0,6.80,6.80
375,Tottenham Hotspur,,Japhet Tanganga,0,0.06,0,0,1,0,6.80,6.80
376,Real Madrid,,Ferland Mendy,0,0.03,0,2,1,0,6.80,6.80
377,Bayer 04 Leverkusen,,Piero Hincapié,0,0.03,0,2,1,0,6.80,6.80
378,Liverpool,,Alex Oxlade-Chamberlain,0,0,0,2,0,0,6.80,6.80
379,Sporting,,Dário Essugo,0,0,0,1,0,0,6.80,6.80
380,Celtic,,Carl Starfelt,0,0,0,0,0,0,6.80,6.80
381,FC Porto,,André Franco,0,0,0,0,0,0,6.80,6.80
382,Viktoria Plzeň,,Marián Tvrdoň,0,0,0,0,0,0,6.80,6.80
383,Sevilla,,Adnan Januzaj,0,0,0,2,0,0,6.80,6.80
384,Tottenham Hotspur,,Oliver Skipp,0,0,0,1,0,0,6.80,6.80
385,Chelsea,,João Félix,0,1.94,3,15,20,0,6.79,6.79
386,Napoli,,Mathías Olivera,0,0.58,3,1,4,0,6.79,6.79
387,Borussia Dortmund,,Salih Özcan,0,0.06,0,2,2,0,6.79,6.79
388,Real Madrid,,Dani Ceballos,0,0.26,0,5,2,0,6.79,6.79
389,FC Bayern München,,Josip Stanišić,0,0,0,3,0,0,6.79,6.79
390,Olympique de Marseille,,Cengiz Ünder,0,0.52,1,2,6,0,6.78,6.78
391,Viktoria Plzeň,,Lukáš Kalvach,0,0.31,1,2,3,0,6.78,6.78
392,Inter,,Matteo Darmian,0,0.07,0,1,2,0,6.78,6.78
393,Sevilla,,Papu Gómez,0,0.34,0,3,6,0,6.78,6.78
394,FC København,,Ísak Bergmann Jóhannesson,0,0.23,2,1,3,0,6.78,6.78
395,Shakhtar Donetsk,,Bogdan Mykhaylichenko,0,0.14,0,0,5,0,6.78,6.78
396,Paris Saint-Germain,,Vitinha,0,0.55,1,8,5,0,6.78,6.78
397,Club Brugge KV,,Hans Vanaken,0,0.3,1,1,4,0,6.78,6.78
398,Paris Saint-Germain,,Marquinhos,0,0.11,0,1,2,0,6.78,6.78
399,Manchester City,,Aymeric Laporte,0,0,0,0,0,0,6.78,6.78
400,FC Bayern München,,Jamal Musiala,0,1.51,2,24,10,0,6.77,6.77
401,Juventus,,Filip Kostić,0,0.4,0,2,6,0,6.77,6.77
402,FC Bayern München,,Ryan Gravenberch,0,0.53,0,1,4,0,6.77,6.77
403,Sporting,,Gonçalo Inácio,0,0.18,0,6,1,0,6.77,6.77
404,Paris Saint-Germain,,Pablo Sarabia,0,0.12,0,1,3,0,6.77,6.77
405,Celtic,,Callum McGregor,0,0.06,0,1,2,0,6.77,6.77
406,Atlético Madrid,,Stefan Savić,0,0,0,0,0,0,6.77,6.77
407,Club Brugge KV,,Casper Nielsen,0,0.56,0,0,8,0,6.76,6.76
408,Bayer 04 Leverkusen,,Adam Hložek,0,0.46,2,1,5,0,6.76,6.76
409,Inter,,Kristjan Asllani,0,0.74,1,1,1,0,6.76,6.76
410,Club Brugge KV,,Denis Odoi,0,0.09,0,2,1,0,6.76,6.76
411,RB Leipzig,,Marcel Halstenberg,0,0.02,0,1,1,0,6.75,6.75
412,GNK Dinamo Zagreb,,Arijan Ademi,0,0.36,0,1,6,0,6.75,6.75
413,Maccabi Haifa,,Mohammad Abu Fani,0,0.35,0,7,11,0,6.75,6.75
414,Celtic,,Reo Hatate,0,0.29,0,3,6,0,6.75,6.75
415,FC Porto,,Pepê,0,0.27,1,12,5,0,6.75,6.75
416,Olympique de Marseille,,Dimitri Payet,0,0.15,0,1,2,0,6.75,6.75
417,FC København,,Andreas Cornelius,0,0.13,0,0,1,0,6.75,6.75
418,Celtic,,Cameron Carter-Vickers,0,0.11,0,0,2,0,6.75,6.75
419,Barcelona,,Gerard Piqué,0,0.01,0,0,1,0,6.75,6.75
420,Olympique de Marseille,,Pape Gueye,0,0,0,0,0,0,6.75,6.75
421,Inter,,Stefan de Vrij,0,0,0,0,0,0,6.75,6.75
422,Red Bull Salzburg,,Luka Sučić,0,1.11,0,6,14,0,6.74,6.74
423,Atlético Madrid,,Matheus Cunha,0,0.61,1,4,5,0,6.74,6.74
424,GNK Dinamo Zagreb,,Stefan Ristovski,0,0.08,0,0,2,0,6.74,6.74
425,Rangers,,Allan McGregor,0,0,0,0,0,0,6.74,6.74
426,Liverpool,,Fabinho,0,0,0,2,0,0,6.74,6.74
427,Celtic,,Josip Juranović,0,0.82,1,4,2,0,6.73,6.73
428,FC København,,Rasmus Falk Jensen,0,0.09,0,2,1,0,6.73,6.73
429,Barcelona,,Eric García,0,0,0,0,0,0,6.73,6.73
430,Red Bull Salzburg,,Bernardo,0,0.22,0,0,2,0,6.73,6.73
431,Liverpool,,Andrew Robertson,0,0.11,0,3,2,0,6.72,6.72
432,Maccabi Haifa,,Pierre Cornud,0,0.05,0,4,1,0,6.72,6.72
433,Paris Saint-Germain,,Juan Bernat,0,0,0,0,0,0,6.72,6.72
434,Sevilla,,Joan Jordán,0,0,0,1,0,0,6.72,6.72
435,FC Porto,,Wendell,0,0.08,0,2,2,0,6.72,6.72
436,Chelsea,,Conor Gallagher,0,1.46,2,3,9,0,6.71,6.71
437,Bayer 04 Leverkusen,,Nadiem Amiri,0,0.15,0,1,3,0,6.70,6.70
438,Juventus,,Bremer,0,0.39,1,1,3,0,6.70,6.70
439,Celtic,,Moritz Jenz,0,0.27,0,0,3,0,6.70,6.70
440,Red Bull Salzburg,,Nicolás Capaldo,0,0.23,0,0,3,0,6.70,6.70
441,GNK Dinamo Zagreb,,Dario Špikić,0,0.18,1,6,4,0,6.70,6.70
442,Club Brugge KV,,Eduard Sobol,0,0.12,0,0,1,0,6.70,6.70
443,Sporting,,Abdul Fatawu Issahaku,0,0.11,0,1,2,0,6.70,6.70
444,Barcelona,,Héctor Bellerín,0,0.07,0,0,1,0,6.70,6.70
445,Benfica,,Diogo Gonçalves,0,0.04,0,3,1,0,6.70,6.70
446,Eintracht Frankfurt,,Timothy Chandler,0,0.03,0,0,1,0,6.70,6.70
447,Viktoria Plzeň,,Aleš Čermák,0,0.02,0,0,1,0,6.70,6.70
448,RB Leipzig,,Abdou Diallo,0,0.02,0,5,1,0,6.70,6.70
449,Red Bull Salzburg,,Lucas Gourna-Douath,0,0.02,0,1,1,0,6.70,6.70
450,Barcelona,,Marc Casadó,0,0,0,0,0,0,6.70,6.70
451,Sporting,,Mateus Fernandes,0,0,0,0,0,0,6.70,6.70
452,Barcelona,,Álvaro Sanz Catalán,0,0,0,0,0,0,6.70,6.70
453,GNK Dinamo Zagreb,,Rasmus Lauritsen,0,0,0,0,0,0,6.70,6.70
454,Celtic,,James McCarthy,0,0,0,0,0,0,6.70,6.70
455,Sporting,,Rochinha,0,0,0,0,0,0,6.70,6.70
456,Bayer 04 Leverkusen,,Exequiel Palacios,0,0,0,0,0,0,6.70,6.70
457,Manchester City,,Josh Wilson-Esbrand,0,0,0,0,0,0,6.70,6.70
458,Benfica,,Morato,0,0,0,0,0,0,6.70,6.70
459,Juventus,,Mattia De Sciglio,0,0,0,1,0,0,6.70,6.70
460,AFC Ajax,,Brian Brobbey,0,0,0,0,0,0,6.70,6.70
461,Olympique de Marseille,,Pau López,0,0,0,1,0,0,6.70,6.70
462,Shakhtar Donetsk,,Taras Stepanenko,0,0,0,0,0,0,6.70,6.70
463,RB Leipzig,,David Raum,0,0,0,4,0,0,6.70,6.70
464,Real Madrid,,Eduardo Camavinga,0,0.26,0,7,4,0,6.69,6.69
465,Paris Saint-Germain,,Fabián Ruiz,0,0.29,1,5,5,0,6.69,6.69
466,Maccabi Haifa,,Frantzdy Pierrot,0,0.67,1,1,5,0,6.68,6.68
467,Eintracht Frankfurt,,Sebastian Rode,0,0.18,0,0,3,0,6.68,6.68
468,Real Madrid,,Lucas Vázquez,0,0,0,2,0,0,6.68,6.68
469,Juventus,,Danilo,0,0.28,0,5,2,0,6.68,6.68
470,Olympique de Marseille,,Samuel Gigot,0,0.27,0,0,1,0,6.68,6.68
471,Eintracht Frankfurt,,Evan Ndicka,0,0.11,0,0,3,0,6.68,6.68
472,Rangers,,Fashion Sakala,0,0.54,0,2,7,0,6.68,6.68
473,Red Bull Salzburg,,Dijon Kameri,0,0.18,0,1,4,0,6.68,6.68
474,Sporting,,Jeremiah St. Juste,0,0.03,0,0,1,0,6.68,6.68
475,Eintracht Frankfurt,,Mario Götze,0,0.47,1,4,4,0,6.67,6.67
476,Liverpool,,James Milner,0,0.04,0,3,1,0,6.67,6.67
477,Benfica,,Odysseas Vlachodimos,0,0,0,0,0,0,6.67,6.67
478,AFC Ajax,,Kenneth Taylor,0,0.54,1,4,7,0,6.67,6.67
479,Sevilla,,Alex Telles,0,0.18,0,3,4,0,6.67,6.67
480,FC København,,Lukas Lerager,0,0.69,1,2,7,0,6.67,6.67
481,GNK Dinamo Zagreb,,Petar Bočkaj,0,0.35,0,0,3,0,6.67,6.67
482,GNK Dinamo Zagreb,,Sadegh Moharrami,0,0.05,0,3,1,0,6.67,6.67
483,Liverpool,,Alisson,0,0,0,1,0,0,6.66,6.66
484,Club Brugge KV,,Raphael Onyedika,0,0.63,1,3,7,0,6.66,6.66
485,Tottenham Hotspur,,Ben Davies,0,0.04,0,2,2,0,6.66,6.66
486,Benfica,,João Neves,0,0,0,0,0,0,6.65,6.65
487,Chelsea,,N'Golo Kanté,0,0.64,1,1,2,0,6.65,6.65
488,FC Porto,,Danny Namaso,0,0.25,1,3,4,0,6.65,6.65
489,Borussia Dortmund,,Sébastien Haller,0,0.23,0,1,2,0,6.65,6.65
490,Sevilla,,Thomas Delaney,0,0.2,0,0,3,0,6.65,6.65
491,Inter,,Roberto Gagliardini,0,0.07,0,1,1,0,6.65,6.65
492,Benfica,,Gonçalo Guedes,0,0.04,0,2,1,0,6.65,6.65
493,Real Madrid,,Andriy Lunin,0,0,0,0,0,0,6.65,6.65
494,Paris Saint-Germain,,Renato Sanches,0,0,0,1,0,0,6.65,6.65
495,Manchester City,,Kalvin Phillips,0,0,0,0,0,0,6.65,6.65
496,Borussia Dortmund,,Youssoufa Moukoko,0,2.06,3,2,9,0,6.64,6.64
497,Maccabi Haifa,,Nikita Rukavytsya,0,0.12,0,2,2,0,6.64,6.64
498,RB Leipzig,,Kevin Kampl,0,0,0,1,0,0,6.64,6.64
499,Maccabi Haifa,,Dolev Haziza,0,0.03,0,3,1,0,6.63,6.63
500,Olympique de Marseille,,Luis Javier Suárez,0,0.49,1,0,4,0,6.63,6.63
501,Sevilla,,Suso,0,0.26,0,1,7,0,6.63,6.63
502,Celtic,,Greg Taylor,0,0.25,1,2,2,0,6.63,6.63
503,Napoli,,Alessio Zerbin,0,0.2,0,0,2,0,6.63,6.63
504,Sporting,,Matheus Reis,0,0.13,0,0,1,0,6.63,6.63
505,Liverpool,,Stefan Bajčetić,0,0.04,0,1,2,0,6.63,6.63
506,FC Porto,,Bruno Costa,0,0.02,0,0,1,0,6.63,6.63
507,GNK Dinamo Zagreb,,Marko Bulat,0,0.02,0,0,1,0,6.63,6.63
508,Shakhtar Donetsk,,Artem Bondarenko,0,0,0,1,0,0,6.63,6.63
509,Milan,,Divock Origi,0,0.66,1,2,6,0,6.63,6.63
510,Chelsea,,Hakim Ziyech,0,0.62,1,4,12,0,6.63,6.63
511,Paris Saint-Germain,,Nordi Mukiele,0,0,0,0,0,0,6.63,6.63
512,Napoli,,Eljif Elmas,0,0.22,0,2,4,0,6.62,6.62
513,FC Bayern München,,Mathys Tel,0,0.63,1,0,7,0,6.62,6.62
514,Eintracht Frankfurt,,Ansgar Knauff,0,0.51,1,8,7,0,6.62,6.62
515,FC København,,Kevin Diks,0,0.52,1,0,3,0,6.62,6.62
516,Bayer 04 Leverkusen,,Patrik Schick,0,2.51,4,4,16,0,6.60,6.60
517,Red Bull Salzburg,,Benjamin Šeško,0,1.17,2,3,13,0,6.60,6.60
518,AFC Ajax,,Devyne Rensch,0,0.53,1,0,2,0,6.60,6.60
519,Sevilla,,José Ángel Carmona,0,0.46,1,5,3,0,6.60,6.60
520,Juventus,,Matías Soulé,0,0.43,1,3,2,0,6.60,6.60
521,Liverpool,,Fabio Carvalho,0,0.19,0,2,4,0,6.60,6.60
522,FC København,,Davit Khocholava,0,0.09,0,0,1,0,6.60,6.60
523,Sevilla,,Nemanja Gudelj,0,0.07,0,0,2,0,6.60,6.60
524,Shakhtar Donetsk,,Oleg Ocheretko,0,0.06,0,1,1,0,6.60,6.60
525,Milan,,Fikayo Tomori,0,0.06,0,0,2,0,6.60,6.60
526,Barcelona,,Ronald Araújo,0,0.05,0,0,1,0,6.60,6.60
527,GNK Dinamo Zagreb,,Mahir Emreli,0,0.02,0,0,1,0,6.60,6.60
528,Liverpool,,Calvin Ramsay,0,0,0,0,0,0,6.60,6.60
529,Sporting,,Jovane Cabral,0,0,0,0,0,0,6.60,6.60
530,Borussia Dortmund,,Soumaila Coulibaly,0,0,0,0,0,0,6.60,6.60
531,Club Brugge KV,,Mats Rits,0,0,0,0,0,0,6.60,6.60
532,Celtic,,Stephen Welsh,0,0,0,0,0,0,6.60,6.60
533,Club Brugge KV,,Lynnt Audoor,0,0,0,0,0,0,6.60,6.60
534,Bayer 04 Leverkusen,,Sardar Azmoun,0,0,0,1,0,0,6.60,6.60
535,FC København,,Nicolai Boilesen,0,0,0,0,0,0,6.60,6.60
536,Paris Saint-Germain,,Warren Zaïre-Emery,0,0,0,2,0,0,6.60,6.60
537,Tottenham Hotspur,,Yves Bissouma,0,0,0,0,0,0,6.60,6.60
538,Paris Saint-Germain,,Presnel Kimpembe,0,0,0,0,0,0,6.60,6.60
539,Eintracht Frankfurt,,Hrvoje Smolčić,0,0,0,0,0,0,6.60,6.60
540,Viktoria Plzeň,,Jhon Mosquera,0,0.36,1,4,9,0,6.58,6.58
541,FC Porto,,Toni Martínez,0,0.39,1,1,4,0,6.58,6.58
542,Rangers,,Steven Davis,0,0.07,0,0,0,0,6.58,6.58
543,GNK Dinamo Zagreb,,Martin Baturina,0,0,0,0,0,0,6.58,6.58
544,Benfica,,Gilberto,0,0,0,3,0,0,6.58,6.58
545,Liverpool,,Joe Gomez,0,0.12,0,0,1,0,6.58,6.58
546,Sevilla,,Marcos Acuña,0,0.09,0,1,2,0,6.58,6.58
547,Borussia Dortmund,,Marius Wolf,0,0.35,0,2,5,0,6.58,6.58
548,Sevilla,,Kasper Dolberg,0,0.15,0,3,1,0,6.58,6.58
549,Rangers,,Connor Goldson,0,0.01,0,0,1,0,6.58,6.58
550,Viktoria Plzeň,,Erik Jirka,0,0.27,0,0,4,0,6.57,6.57
551,FC København,,Mohamed Daramy,0,0.1,0,12,2,0,6.57,6.57
552,Sporting,,Sotiris Alexandropoulos,0,0.08,0,0,3,0,6.57,6.57
553,Napoli,,Juan Jesus,0,0,0,0,0,0,6.57,6.57
554,Sevilla,,Erik Lamela,0,0.48,1,2,3,0,6.56,6.56
555,Borussia Dortmund,,Anthony Modeste,0,0.58,1,0,4,0,6.56,6.56
556,Paris Saint-Germain,,Achraf Hakimi,0,0.51,1,5,4,0,6.55,6.55
557,Rangers,,Ryan Jack,0,0,0,1,0,0,6.55,6.55
558,Tottenham Hotspur,,Dejan Kulusevski,0,0.22,0,2,3,0,6.55,6.55
559,Liverpool,,Curtis Jones,0,0.16,1,0,3,0,6.55,6.55
560,Viktoria Plzeň,,Modou N'Diaye,0,0.11,0,3,3,0,6.55,6.55
561,FC København,,Mathew Ryan,0,0,0,0,0,0,6.55,6.55
562,RB Leipzig,,Lukas Klostermann,0,0,0,0,0,0,6.55,6.55
563,Sporting,,José Marsà,0,0,0,0,0,0,6.55,6.55
564,Celtic,,Oliver Abildgaard,0,0,0,0,0,0,6.55,6.55
565,Napoli,,Gianluca Gaetano,0,0,0,1,0,0,6.55,6.55
566,Club Brugge KV,,Éder Balanta,0,0,0,1,0,0,6.55,6.55
567,Chelsea,,Christian Pulišić,0,0.19,0,1,1,0,6.54,6.54
568,Atlético Madrid,,Álvaro Morata,0,0.99,2,0,4,0,6.54,6.54
569,Maccabi Haifa,,Dylan Batubinsika,0,0.33,0,0,2,0,6.54,6.54
570,Barcelona,,Marc-André ter Stegen,0,0,0,0,0,0,6.54,6.54
571,Celtic,,Kyogo Furuhashi,0,1.71,3,1,11,0,6.53,6.53
572,Atlético Madrid,,Ángel Correa,0,0.81,1,4,9,0,6.53,6.53
573,Viktoria Plzeň,,Václav Jemelka,0,0,0,1,0,0,6.53,6.53
574,AFC Ajax,,Youri Baas,0,0.07,0,0,1,0,6.53,6.53
575,Atlético Madrid,,Marcos Llorente,0,0,0,1,1,0,6.53,6.53
576,Olympique de Marseille,,Gerson,0,0,0,0,0,0,6.53,6.53
577,Tottenham Hotspur,,Lucas Moura,0,0,0,2,0,0,6.53,6.53
578,Celtic,,James Forrest,0,0,0,1,0,0,6.53,6.53
579,Bayer 04 Leverkusen,,Amine Adli,0,0.67,0,1,3,0,6.53,6.53
580,Eintracht Frankfurt,,Rafael Borré,0,0.46,0,1,6,0,6.53,6.53
581,Eintracht Frankfurt,,Christopher Lenz,0,0.28,1,0,2,0,6.53,6.53
582,Milan,,Fodé Ballo-Touré,0,0,0,1,0,0,6.53,6.53
583,Sporting,,Hidemasa Morita,0,0.05,0,0,2,0,6.52,6.52
584,FC Porto,,David Carmo,0,0.16,0,0,2,0,6.52,6.52
585,RB Leipzig,,Yussuf Poulsen,0,0,0,0,0,0,6.52,6.52
586,Sporting,,Antonio Adán,0,0,0,0,0,0,6.52,6.52
587,Celtic,,Daizen Maeda,0,1.44,3,2,6,0,6.52,6.52
588,GNK Dinamo Zagreb,,Luka Ivanušec,0,0.92,1,8,8,0,6.50,6.50
589,Red Bull Salzburg,,Andreas Ulmer,0,0.18,0,0,2,0,6.50,6.50
590,Viktoria Plzeň,,Fortune Akpan Bassey,0,0.16,0,0,4,0,6.50,6.50
591,Celtic,,Aaron Mooy,0,0.08,0,0,1,0,6.50,6.50
592,Shakhtar Donetsk,,Ivan Petriak,0,0.08,0,0,3,0,6.50,6.50
593,Eintracht Frankfurt,,Kristijan Jakić,0,0.07,0,2,2,0,6.50,6.50
594,Benfica,,Julian Draxler,0,0.07,0,1,1,0,6.50,6.50
595,FC Bayern München,,Paul Wanner,0,0.06,0,1,1,0,6.50,6.50
596,AFC Ajax,,Lucas Ocampos,0,0.05,0,0,1,0,6.50,6.50
597,Red Bull Salzburg,,Sekou Koita,0,0.04,0,0,1,0,6.50,6.50
598,Chelsea,,Edouard Mendy,0,0,0,0,0,0,6.50,6.50
599,Real Madrid,,Mariano Díaz,0,0,0,0,0,0,6.50,6.50
600,Tottenham Hotspur,,Arnaut Danjuma,0,0,0,0,0,0,6.50,6.50
601,Borussia Dortmund,,Julian Ryerson,0,0,0,0,0,0,6.50,6.50
602,Paris Saint-Germain,,El Chadaille Bitshiabu,0,0,0,0,0,0,6.50,6.50
603,Maccabi Haifa,,Suf Podgoreanu,0,0,0,1,0,0,6.50,6.50
604,Rangers,,Jon McLaughlin,0,0,0,0,0,0,6.50,6.50
605,Red Bull Salzburg,,Roko Šimić,0,0,0,0,0,0,6.50,6.50
606,Shakhtar Donetsk,,Serhiy Kryvtsov,0,0,0,0,0,0,6.50,6.50
607,Eintracht Frankfurt,,Philipp Max,0,0,0,0,0,0,6.50,6.50
608,Borussia Dortmund,,Antonios Papadopoulos,0,0,0,0,0,0,6.50,6.50
609,FC Porto,,Bernardo Folha,0,0,0,0,0,0,6.50,6.50
610,Bayer 04 Leverkusen,,Timothy Fosu-Mensah,0,0,0,0,0,0,6.50,6.50
611,Borussia Dortmund,,Tom Rothe,0,0,0,0,0,0,6.50,6.50
612,Shakhtar Donetsk,,Neven Đurasek,0,0,0,0,0,0,6.50,6.50
613,AFC Ajax,,Jurriën Timber,0,0.38,1,3,2,0,6.48,6.48
614,Celtic,,Liel Abada,0,0.34,0,1,5,0,6.48,6.48
615,Shakhtar Donetsk,,Yukhym Konoplia,0,0.04,0,1,1,0,6.48,6.48
616,FC København,,Christian Sørensen,0,0.03,0,0,1,0,6.48,6.48
617,AFC Ajax,,Jorge Sánchez,0,0.16,0,3,2,0,6.48,6.48
618,Olympique de Marseille,,Issa Kaboré,0,0.03,0,0,1,0,6.48,6.48
619,Sevilla,,Jesús Navas,0,0,0,1,0,0,6.47,6.47
620,Inter,,Raoul Bellanova,0,0,0,1,0,0,6.47,6.47
621,Rangers,,Borna Barišić,0,0,0,0,0,0,6.47,6.47
622,AFC Ajax,,Remko Pasveer,0,0,0,0,0,0,6.47,6.47
623,Inter,,Danilo D'Ambrosio,0,0.19,0,1,2,0,6.46,6.46
624,Celtic,,David Turnbull,0,0.13,0,0,3,0,6.46,6.46
625,Borussia Dortmund,,Donyell Malen,0,0.92,2,4,8,0,6.45,6.45
626,Bayer 04 Leverkusen,,Paulinho,0,0.31,1,3,2,0,6.45,6.45
627,Milan,,Sergiño Dest,0,0.29,0,0,2,0,6.45,6.45
628,FC Porto,,Gonçalo Borges,0,0.05,0,2,1,0,6.45,6.45
629,Tottenham Hotspur,,Davinson Sánchez,0,0,0,0,0,0,6.45,6.45
630,Maccabi Haifa,,Raz Meir,0,0,0,0,0,0,6.45,6.45
631,FC København,,Elias Jelert,0,0,0,2,0,0,6.45,6.45
632,Eintracht Frankfurt,,Tuta,0,0.11,0,2,2,0,6.44,6.44
633,Milan,,Ante Rebić,0,0.79,2,3,6,0,6.44,6.44
634,FC Porto,,João Mário,0,0.3,1,3,3,0,6.44,6.44
635,GNK Dinamo Zagreb,,Josip Drmić,0,0.11,1,0,1,0,6.44,6.44
636,Viktoria Plzeň,,Jindřich Staněk,0,0,0,0,0,0,6.44,6.44
637,FC Porto,,Gabriel Veron,0,0,0,0,0,0,6.43,6.43
638,Viktoria Plzeň,,Mohamed Tijani,0,0,0,0,0,0,6.43,6.43
639,Shakhtar Donetsk,,Danylo Sikan,0,0.19,1,0,2,0,6.43,6.43
640,Paris Saint-Germain,,Hugo Ekitiké,0,0.18,1,0,2,0,6.43,6.43
641,Eintracht Frankfurt,,Luca Pellegrini,0,0.09,0,3,3,0,6.43,6.43
642,Rangers,,Malik Tillman,0,0.15,0,5,2,0,6.42,6.42
643,Maccabi Haifa,,Ali Mohamed,0,0,0,2,0,0,6.42,6.42
644,Viktoria Plzeň,,Milan Havel,0,0.05,0,2,1,0,6.42,6.42
645,Sporting,,Pedro Gonçalves,0,0.33,1,2,3,0,6.40,6.40
646,Rangers,,Alfredo Morelos,0,1.58,3,0,6,0,6.40,6.40
647,Olympique de Marseille,,Sead Kolašinac,0,0.35,1,1,1,0,6.40,6.40
648,Viktoria Plzeň,,Václav Pilař,0,0.28,0,2,5,0,6.40,6.40
649,FC Bayern München,,Daley Blind,0,0.22,0,1,3,0,6.40,6.40
650,Chelsea,,Armando Broja,0,0.1,0,1,1,0,6.40,6.40
651,Shakhtar Donetsk,,Andrii Totovytskyi,0,0.1,0,0,1,0,6.40,6.40
652,Liverpool,,Arthur,0,0.07,0,0,1,0,6.40,6.40
653,Rangers,,Rabbi Matondo,0,0.07,1,1,1,0,6.40,6.40
654,Rangers,,Rıdvan Yılmaz,0,0.01,0,1,1,0,6.40,6.40
655,Barcelona,,Memphis Depay,0,0,0,1,0,0,6.40,6.40
656,Club Brugge KV,,Cyle Larin,0,0,0,0,0,0,6.40,6.40
657,GNK Dinamo Zagreb,,Antonio Marin,0,0,0,0,0,0,6.40,6.40
658,Shakhtar Donetsk,,Dmytro Kryskiv,0,0,0,0,0,0,6.40,6.40
659,FC København,,Orri Steinn Óskarsson,0,0,0,0,0,0,6.40,6.40
660,Eintracht Frankfurt,,Lucas Alario,0,0,0,0,0,0,6.40,6.40
