#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
1,Barcelona,,Lionel Messi,12,3,35,54,22.22,8.90,8.90
2,FC Bayern München,,Robert Lewandowski,8,4,6,26,30.77,7.43,7.43
3,AFC Ajax,,Dušan Tadić,6,0,20,21,28.57,7.63,7.63
4,Juventus,,Cristiano Ronaldo,6,1,18,48,12.5,7.54,7.54
5,Manchester City,,Sergio Agüero,6,4,11,30,20,7.39,7.39
6,FC Porto,,Moussa Marega,6,3,10,26,23.08,7.27,7.27
7,Paris Saint-Germain,,Neymar,5,1,32,24,20.83,8.18,8.18
8,Roma,,Edin Džeko,5,3,9,29,17.24,7.90,7.90
9,TSG Hoffenheim,,Andrej Kramarić,5,0,6,18,27.78,7.40,7.40
10,Manchester City,,Raheem Sterling,5,2,31,23,21.74,7.39,7.39
11,Tottenham Hotspur,,Harry Kane,5,4,13,32,15.63,7.34,7.34
12,Juventus,,Paulo Dybala,5,2,11,21,23.81,7.34,7.34
13,Liverpool,,Mohamed Salah,5,5,24,52,9.62,7.21,7.21
14,Tottenham Hotspur,,Lucas Moura,5,2,31,26,19.23,7.12,7.12
15,Borussia Dortmund,,Raphaël Guerreiro,4,1,0,10,40,7.70,7.70
16,Atlético Madrid,,Antoine Griezmann,4,2,6,22,18.18,7.55,7.55
17,Manchester City,,Leroy Sané,4,0,19,12,33.33,7.50,7.50
18,Real Madrid,,Karim Benzema,4,2,14,21,19.05,7.45,7.45
19,Paris Saint-Germain,,Kylian Mbappé,4,6,17,29,13.79,7.40,7.40
20,Manchester City,,Bernardo Silva,4,1,15,12,33.33,7.38,7.38
21,Manchester City,,Gabriel Jesus,4,3,3,21,19.05,7.17,7.17
22,Inter,,Mauro Icardi,4,4,1,21,19.05,7.13,7.13
23,Liverpool,,Sadio Mané,4,10,28,25,16,7.12,7.12
24,Liverpool,,Roberto Firmino,4,1,10,17,23.53,7.02,7.02
25,Tottenham Hotspur,,Heung-min Son,4,2,20,33,12.12,6.74,6.74
26,CSKA Moscow,,Nikola Vlašić,3,0,18,15,20,7.63,7.63
27,Olympique Lyonnais,,Nabil Fekir,3,1,8,26,11.54,7.63,7.63
28,AFC Ajax,,Hakim Ziyech,3,5,31,56,5.36,7.48,7.48
29,Real Madrid,,Gareth Bale,3,6,7,23,13.04,7.40,7.40
30,Manchester City,,David Silva,3,0,7,13,23.08,7.36,7.36
31,Barcelona,,Ousmane Dembélé,3,2,11,18,16.67,7.34,7.34
32,Napoli,,Lorenzo Insigne,3,1,4,18,16.67,7.30,7.30
33,Roma,,Cengiz Ünder,3,1,11,14,21.43,7.25,7.25
34,Barcelona,,Philippe Coutinho,3,1,22,33,9.09,7.22,7.22
