#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
89,RB Leipzig,,David Raum,13,7,9,0,6.70,6.70
90,Eintracht Frankfurt,,Evan Ndicka,13,13,27,0,6.68,6.68
91,FC København,,Kevin Diks,13,4,9,0,6.62,6.62
92,GNK Dinamo Zagreb,,Robert Ljubičić,13,10,6,0,6.50,6.50
93,Manchester City,,Nathan Aké,12,7,12,0,7.27,7.27
94,Benfica,,João Mário,12,5,7,0,7.23,7.23
95,Napoli,,Min-jae Kim,12,22,32,0,7.21,7.21
96,FC Bayern München,,Benjamin Pavard,12,13,20,0,7.13,7.13
97,Tottenham Hotspur,,Pierre-Emile Højbjerg,12,11,4,0,7.13,7.13
98,Chelsea,,Ben Chilwell,12,4,5,0,7.11,7.11
99,Chelsea,,Kalidou Koulibaly,12,8,20,0,7.09,7.09
100,Manchester City,,İlkay Gündoğan,12,7,6,0,7.08,7.08
101,Tottenham Hotspur,,Rodrigo Bentancur,12,5,3,0,7.07,7.07
102,Juventus,,Juan Cuadrado,12,8,3,0,7.05,7.05
103,Napoli,,Khvicha Kvaratskhelia,12,2,5,0,7.04,7.04
104,Maccabi Haifa,,Daniel Sundgren,12,5,9,0,7.03,7.03
105,Club Brugge KV,,Kamal Sowah,12,4,5,0,6.91,6.91
106,RB Leipzig,,Amadou Haidara,12,10,3,0,6.90,6.90
107,Chelsea,,Marc Cucurella,12,8,6,0,6.90,6.90
108,GNK Dinamo Zagreb,,Josip Šutalo,12,9,26,0,6.88,6.88
109,Celtic,,Josip Juranović,12,5,8,0,6.73,6.73
110,Red Bull Salzburg,,Lucas Gourna-Douath,12,4,1,0,6.70,6.70
111,Viktoria Plzeň,,Jhon Mosquera,12,4,7,0,6.58,6.58
112,Viktoria Plzeň,,Václav Jemelka,12,5,11,0,6.53,6.53
113,Viktoria Plzeň,,Milan Havel,12,4,12,0,6.42,6.42
114,Barcelona,,Ousmane Dembélé,11,2,0,0,7.35,7.35
115,FC Bayern München,,Kingsley Coman,11,2,1,0,7.29,7.29
116,Benfica,,Chiquinho,11,7,4,0,7.06,7.06
117,Benfica,,Rafa Silva,11,1,0,0,7.01,7.01
118,Benfica,,Gonçalo Ramos,11,1,10,0,7.01,7.01
119,Benfica,,António Silva,11,14,33,0,7.01,7.01
120,GNK Dinamo Zagreb,,Josip Mišić,11,8,8,0,7.00,7.00
121,Olympique de Marseille,,Leonardo Balerdi,11,13,12,0,6.98,6.98
122,Chelsea,,Mateo Kovačić,11,6,1,0,6.95,6.95
123,Club Brugge KV,,Brandon Mechele,11,11,37,0,6.95,6.95
124,Benfica,,David Neres,11,1,0,0,6.87,6.87
125,RB Leipzig,,Xaver Schlager,11,5,2,1,6.84,6.84
126,Atlético Madrid,,Reinildo Mandava,11,5,7,0,6.83,6.83
127,Paris Saint-Germain,,Nuno Mendes,11,1,7,0,6.82,6.82
128,Club Brugge KV,,Denis Odoi,11,7,18,0,6.76,6.76
129,Maccabi Haifa,,Pierre Cornud,11,3,8,0,6.72,6.72
130,Paris Saint-Germain,,Juan Bernat,11,1,2,0,6.72,6.72
131,Eintracht Frankfurt,,Sebastian Rode,11,3,1,0,6.68,6.68
132,Liverpool,,James Milner,11,2,2,0,6.67,6.67
133,Rangers,,James Tavernier,11,6,11,0,6.48,6.48
134,Maccabi Haifa,,Ali Mohamed,11,7,2,0,6.42,6.42
135,Olympique de Marseille,,Nuno Tavares,11,4,5,0,6.32,6.32
136,FC Bayern München,,Leroy Sané,10,6,0,0,7.45,7.45
137,Milan,,Malick Thiaw,10,10,12,0,7.33,7.33
138,FC Bayern München,,Sadio Mané,10,4,1,0,7.17,7.17
139,Bayer 04 Leverkusen,,Robert Andrich,10,5,10,0,7.14,7.14
140,Tottenham Hotspur,,Heung-min Son,10,1,3,0,7.13,7.13
141,Real Madrid,,Vinícius Júnior,10,1,0,0,7.11,7.11
142,Juventus,,Leandro Paredes,10,3,0,0,7.03,7.03
143,FC Bayern München,,Marcel Sabitzer,10,5,3,0,6.97,6.97
144,Inter,,Francesco Acerbi,10,11,45,0,6.96,6.96
145,Real Madrid,,Éder Militão,10,9,37,0,6.96,6.96
146,Napoli,,Hirving Lozano,10,2,2,0,6.94,6.94
147,Borussia Dortmund,,Nico Schlotterbeck,10,3,14,0,6.93,6.93
148,Paris Saint-Germain,,Danilo Pereira,10,6,12,0,6.92,6.92
149,Shakhtar Donetsk,,Mykola Matviyenko,10,9,33,0,6.90,6.90
