#,Time,Time,Nome,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol,Notas Sofascore,Nota Sofascore
1,Roma,,Alisson,46,5,0,30,11,7.03,7.03
2,Qarabağ,,Ibrahim Šehić,34,1,0,20,1,7.27,7.27
3,Shakhtar Donetsk,,Andriy Pyatov,33,0,1,21,6,6.94,6.94
4,Real Madrid,,Keylor Navas,33,2,0,24,3,6.87,6.87
5,FC Bayern München,,Sven Ulreich,31,3,0,18,5,6.95,6.95
6,NK Maribor,,Jasmin Handanović,31,0,1,19,3,6.78,6.78
7,Paris Saint-Germain,,Alphonse Aréola,29,4,0,16,4,7.11,7.11
8,CSKA Moscow,,Igor Akinfeev,27,1,0,18,1,6.90,6.90
9,Liverpool,,Loris Karius,27,6,0,14,9,6.62,6.62
10,Manchester United,,David De Gea,25,4,0,15,0,7.33,7.33
11,Tottenham Hotspur,,Hugo Lloris,25,1,0,16,5,7.11,7.11
12,Olympiacos FC,,Silvio Proto,24,1,0,17,3,7.14,7.14
13,Beşiktaş,,Fabri,24,1,0,11,2,6.83,6.83
14,Manchester City,,Ederson,23,4,1,12,9,6.86,6.86
15,Borussia Dortmund,,Roman Bürki,23,0,0,18,8,6.73,6.73
16,Juventus,,Gianluigi Buffon,23,2,0,14,1,6.64,6.64
17,Celtic,,Craig Gordon,23,1,0,12,1,6.50,6.50
18,Barcelona,,Marc-André ter Stegen,22,5,0,11,2,6.92,6.92
19,Sporting,,Rui Patrício,21,0,0,11,1,6.72,6.72
20,Chelsea,,Thibaut Courtois,20,2,0,10,1,6.68,6.68
21,Napoli,,Pepe Reina,18,1,1,10,1,6.67,6.67
22,Sevilla,,Sergio Rico,18,2,0,11,2,6.59,6.59
23,Basel,,Tomáš Vaclík,17,4,0,12,4,6.81,6.81
24,APOEL Nicosia,,Nauzet Pérez,16,0,0,11,2,6.87,6.87
25,RB Leipzig,,Péter Gulácsi,16,0,0,11,3,6.53,6.53
26,Atlético Madrid,,Jan Oblak,14,3,0,7,0,6.90,6.90
27,RSC Anderlecht,,Matz Sels,14,0,0,8,1,6.67,6.67
28,FC Spartak Moscow,,Aleksandr Selikhov,14,0,0,8,1,6.50,6.50
29,Beşiktaş,,Tolga Zengin,13,0,0,8,0,7.55,7.55
30,FC Porto,,José Sá,12,0,0,6,0,6.20,6.20
31,RSC Anderlecht,,Frank Boeckx,11,1,0,5,2,6.67,6.67
32,Feyenoord,,Brad Jones,11,0,0,4,2,6.24,6.24
33,Sevilla,,David Soria,9,1,0,6,1,7.45,7.45
34,FC Spartak Moscow,,Artem Rebrov,9,0,0,4,0,7.00,7.00
35,Benfica,,Mile Svilar,9,0,1,5,4,6.60,6.60
36,FC Porto,,Iker Casillas,8,2,0,8,2,7.03,7.03
37,AS Monaco,,Diego Benaglio,8,0,0,7,3,6.33,6.33
38,Manchester United,,Sergio Romero,7,0,0,3,0,6.85,6.85
39,Benfica,,Bruno Varela,7,0,0,4,1,6.80,6.80
40,Real Madrid,,Kiko Casilla,6,1,0,3,0,6.85,6.85
41,APOEL Nicosia,,Boy Waterman,5,0,0,3,1,6.40,6.40
42,AS Monaco,,Danijel Subašić,4,0,0,4,0,6.23,6.23
43,Juventus,,Wojciech Szczęsny,3,1,0,2,0,7.50,7.50
44,Barcelona,,Jasper Cillessen,3,1,0,1,0,7.30,7.30
45,Feyenoord,,Kenneth Vermeer,3,0,0,2,0,7.00,7.00
46,Benfica,,Júlio César,3,0,0,3,0,6.20,6.20
47,Olympiacos FC,,Stefanos Kapino,3,0,0,3,0,5.90,5.90
48,APOEL Nicosia,,Raúl Gudiño,2,0,0,1,0,6.50,6.50
49,FC Bayern München,,Manuel Neuer,1,1,0,0,0,7.00,7.00
50,Manchester City,,Claudio Bravo,1,0,0,1,3,6.50,6.50
51,Tottenham Hotspur,,Michel Vorm,0,1,0,0,0,6.90,6.90
52,Borussia Dortmund,,Roman Weidenfeller,0,0,0,0,0,0,
