#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
1,Red Bull Salzburg,,Rasmus Kristensen,37,10,18,0,6.79,6.79
2,Villarreal,,Juan Foyth,37,12,21,0,6.55,6.55
3,Atlético Madrid,,Reinildo Mandava,34,10,11,0,7.22,7.22
4,Real Madrid,,Casemiro,30,16,16,0,7.07,7.07
5,Liverpool,,Fabinho,30,18,4,0,7.05,7.05
6,AFC Ajax,,Noussair Mazraoui,28,4,12,0,7.10,7.10
7,Manchester City,,Rodri,26,14,7,0,7.17,7.17
8,Red Bull Salzburg,,Nicolas Seiwald,26,4,7,0,6.98,6.98
9,Real Madrid,,Éder Militão,25,26,31,0,7.08,7.08
10,Benfica,,Gilberto,25,21,16,0,6.81,6.81
11,Real Madrid,,Toni Kroos,23,6,2,0,7.37,7.37
12,Chelsea,,Jorginho,22,13,1,0,7.38,7.38
13,Lille,,Zeki Çelik,22,3,10,0,6.93,6.93
14,Sporting,,João Palhinha,22,7,7,0,6.78,6.78
15,Real Madrid,,Vinícius Júnior,21,2,1,0,7.27,7.27
16,Dynamo Kyiv,,Serhiy Sydorchuk,21,12,5,0,6.92,6.92
17,Villarreal,,Dani Parejo,20,9,4,0,7.28,7.28
18,Inter,,Arturo Vidal,20,4,6,0,7.19,7.19
19,Real Madrid,,Federico Valverde,20,9,11,0,6.95,6.95
20,Benfica,,Alejandro Grimaldo,20,7,20,0,6.86,6.86
21,Atlético Madrid,,Geoffrey Kondogbia,20,14,2,0,6.86,6.86
22,Manchester City,,Riyad Mahrez,19,8,1,0,7.68,7.68
23,FC Bayern München,,Joshua Kimmich,19,16,6,0,7.66,7.66
24,Inter,,Marcelo Brozović,19,14,9,0,7.35,7.35
25,Atlético Madrid,,Rodrigo de Paul,19,7,10,0,7.09,7.09
26,Beşiktaş,,Souza,19,15,7,0,6.78,6.78
27,Villarreal,,Pervis Estupiñán,19,10,29,0,6.77,6.77
28,Sheriff Tiraspol,,Fernando Costanza,19,11,29,0,6.75,6.75
29,Sheriff Tiraspol,,Edmund Addo,19,11,5,0,6.73,6.73
30,Red Bull Salzburg,,Andreas Ulmer,19,12,9,0,6.25,6.25
31,Juventus,,Alex Sandro,18,6,5,0,7.01,7.01
32,Lille,,Benjamin André,18,8,8,0,6.73,6.73
33,Liverpool,,Trent Alexander-Arnold,17,9,7,0,7.44,7.44
34,FC Bayern München,,Alphonso Davies,17,6,6,0,7.34,7.34
35,Sheriff Tiraspol,,Gustavo Dulanto,17,6,31,0,7.03,7.03
36,Dynamo Kyiv,,Mykola Shaparenko,17,9,3,0,6.98,6.98
37,Red Bull Salzburg,,Mohamed Camara,17,12,4,0,6.94,6.94
38,Villarreal,,Giovani Lo Celso,17,3,4,0,6.82,6.82
39,AFC Ajax,,Edson Álvarez,17,4,10,0,6.81,6.81
40,Zenit St. Petersburg,,Douglas Santos,16,10,14,0,7.64,7.64
41,Liverpool,,Ibrahima Konaté,16,13,23,1,7.18,7.18
42,Atalanta,,José Luis Palomino,16,13,14,0,7.14,7.14
43,FC Bayern München,,Lucas Hernández,16,10,10,0,7.13,7.13
44,Real Madrid,,Daniel Carvajal,16,12,23,0,7.05,7.05
45,Manchester City,,Bernardo Silva,16,7,4,0,6.95,6.95
46,Real Madrid,,David Alaba,16,11,28,1,6.92,6.92
47,Paris Saint-Germain,,Nuno Mendes,16,4,12,0,6.75,6.75
48,Atalanta,,Marten de Roon,16,15,9,0,6.73,6.73
49,Paris Saint-Germain,,Achraf Hakimi,16,5,13,0,6.59,6.59
50,Inter,,Milan Škriniar,15,9,22,0,7.25,7.25
51,Inter,,Nicolò Barella,15,5,0,0,7.18,7.18
52,Atlético Madrid,,Antoine Griezmann,15,4,4,0,7.16,7.16
53,Young Boys,,Nicolas Moumie Ngamaleu,15,10,3,0,7.12,7.12
54,Real Madrid,,Luka Modrić,15,16,5,0,7.11,7.11
55,FC Bayern München,,Dayot Upamecano,15,14,11,0,7.08,7.08
56,Barcelona,,Sergio Busquets,15,11,5,0,7.02,7.02
57,Villarreal,,Pau Torres,15,10,62,0,7.00,7.00
58,Sevilla,,Marcos Acuña,15,7,3,0,6.92,6.92
59,Benfica,,Jan Vertonghen,15,12,42,1,6.91,6.91
60,Atlético Madrid,,Marcos Llorente,15,9,5,0,6.89,6.89
61,Zenit St. Petersburg,,Wílmar Barrios,15,9,11,0,6.83,6.83
62,Liverpool,,Naby Keïta,15,3,6,0,6.78,6.78
63,RB Leipzig,,Nordi Mukiele,15,8,9,0,6.75,6.75
64,Milan,,Ismaël Bennacer,15,5,4,1,6.72,6.72
65,FC Bayern München,,Leroy Sané,14,4,0,0,7.65,7.65
66,Chelsea,,Reece James,14,7,5,0,7.35,7.35
67,Atalanta,,Rafael Tolói,14,4,5,0,7.18,7.18
68,FC Bayern München,,Benjamin Pavard,14,18,20,0,7.11,7.11
69,Borussia Dortmund,,Mats Hummels,14,7,16,0,7.08,7.08
70,Juventus,,Rodrigo Bentancur,14,4,1,0,7.02,7.02
71,Villarreal,,Étienne Capoue,14,25,25,1,6.94,6.94
72,Juventus,,Adrien Rabiot,14,7,7,0,6.90,6.90
73,AFC Ajax,,Ryan Gravenberch,14,6,12,0,6.88,6.88
74,Paris Saint-Germain,,Idrissa Gueye,14,7,5,0,6.84,6.84
75,FC Porto,,Otávio,14,1,3,0,6.83,6.83
76,Club Brugge KV,,Éder Balanta,14,12,5,0,6.80,6.80
77,Real Madrid,,Eduardo Camavinga,14,0,5,0,6.76,6.76
78,Atlético Madrid,,Koke,14,5,4,0,6.69,6.69
79,Red Bull Salzburg,,Brenden Aaronson,14,2,4,0,6.61,6.61
80,Milan,,Davide Calabria,14,2,12,0,6.55,6.55
81,Club Brugge KV,,Clinton Mata,14,11,5,0,6.50,6.50
82,FC Porto,,Zaidu Sanusi,14,4,7,1,6.45,6.45
83,Beşiktaş,,Welinton,14,6,11,0,6.28,6.28
84,Manchester City,,João Cancelo,13,25,8,0,7.49,7.49
85,AFC Ajax,,Lisandro Martínez,13,12,23,0,7.31,7.31
86,Paris Saint-Germain,,Marco Verratti,13,6,5,0,7.28,7.28
87,Liverpool,,Roberto Firmino,13,2,1,0,7.23,7.23
88,Inter,,Ivan Perišić,13,7,10,0,7.19,7.19
89,Juventus,,Manuel Locatelli,13,9,3,0,7.10,7.10
90,Chelsea,,Mateo Kovačić,13,0,1,0,7.08,7.08
91,Chelsea,,Antonio Rüdiger,13,6,13,1,7.08,7.08
92,Liverpool,,Thiago Alcântara,13,16,9,0,7.05,7.05
93,Benfica,,Nicolás Otamendi,13,19,54,0,7.04,7.04
94,Manchester City,,Kyle Walker,13,9,5,0,6.94,6.94
