#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
1,Zenit St. Petersburg,,Hulk,9,4,146,78.07,19,7.61,7.61
2,Barcelona,,Neymar,8,4,423,83.43,36,7.91,7.91
3,Real Madrid,,Gareth Bale,7,2,215,83.98,21,7.48,7.48
4,FC Bayern München,,Thiago Alcântara,6,4,654,90.71,23,7.88,7.88
5,Real Madrid,,Isco,6,3,449,90.34,25,7.23,7.23
6,Bayer 04 Leverkusen,,Karim Bellarabi,6,2,137,75.69,12,7.15,7.15
7,Real Madrid,,Cristiano Ronaldo,5,4,343,83.45,23,8.11,8.11
8,Barcelona,,Luis Suárez,5,3,163,71.81,14,7.59,7.59
9,Atlético Madrid,,Gabi,5,3,757,83.28,24,7.53,7.53
10,Atlético Madrid,,Antoine Griezmann,5,1,386,81.61,25,7.38,7.38
11,Barcelona,,Dani Alves,5,3,547,88.23,12,7.29,7.29
12,Manchester City,,Raheem Sterling,5,2,184,82.14,15,7.04,7.04
13,Roma,,Edin Džeko,5,1,94,62.25,13,6.83,6.83
14,Barcelona,,Lionel Messi,4,1,408,85.18,10,8.17,8.17
15,Chelsea,,Willian,4,1,227,81.95,20,7.64,7.64
16,Paris Saint-Germain,,Ángel Di María,4,2,466,84.27,22,7.58,7.58
17,Valencia,,Dani Parejo,4,0,338,85.79,7,7.25,7.25
18,FC Bayern München,,Douglas Costa,4,3,409,86.47,26,7.19,7.19
19,Paris Saint-Germain,,Lucas Moura,4,1,163,85.79,11,7.17,7.17
20,Juventus,,Álvaro Morata,4,2,109,76.22,11,7.15,7.15
21,VfL Wolfsburg,,Max Kruse,4,1,278,84.5,19,7.10,7.10
22,Arsenal,,Alexis Sánchez,3,5,200,76.63,17,7.81,7.81
23,Bayer 04 Leverkusen,,Hakan Çalhanoğlu,3,4,200,75.19,19,7.55,7.55
24,Paris Saint-Germain,,Zlatan Ibrahimović,3,3,391,79.96,12,7.50,7.50
25,Real Madrid,,Toni Kroos,3,1,906,94.57,31,7.49,7.49
26,Juventus,,Paul Pogba,3,2,283,77.75,15,7.44,7.44
27,Roma,,Miralem Pjanić,3,1,287,85.16,17,7.34,7.34
28,FC Bayern München,,Kingsley Coman,3,5,146,86.9,14,7.31,7.31
29,Barcelona,,Sergio Busquets,3,0,649,92.32,15,7.31,7.31
30,Zenit St. Petersburg,,Oleg Shatov,3,3,156,82.11,6,7.21,7.21
31,Atlético Madrid,,Koke,3,1,618,82.07,32,7.14,7.14
32,VfL Wolfsburg,,Julian Draxler,3,2,300,88.5,13,7.12,7.12
33,Barcelona,,Ivan Rakitić,3,2,458,86.25,8,7.11,7.11
34,FC Bayern München,,Thomas Müller,3,2,306,81.82,19,7.10,7.10
35,Manchester United,,Juan Mata,3,2,179,89.95,14,7.08,7.08
36,Arsenal,,Nacho Monreal,3,1,171,85.07,6,6.92,6.92
37,Atlético Madrid,,Juanfran,3,2,353,82.48,12,6.84,6.84
38,Roma,,Mohamed Salah,3,0,154,78.97,16,6.71,6.71
39,FC Bayern München,,Sebastian Rode,2,1,68,91.89,5,8.60,8.60
40,FC Porto,,Vincent Aboubakar,2,1,106,70.2,7,7.58,7.58
