#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
329,PSV Eindhoven,,Olivier Boscagli,0,0.05,0,3,2,0,6.99,6.99
330,Feyenoord,,Quinten Timber,0,0.6,2,7,8,0,6.98,6.98
331,Royal Antwerp FC,,Toby Alderweireld,0,1.55,2,1,10,0,6.98,6.98
332,Real Madrid,,Aurélien Tchouaméni,0,0.17,0,0,5,0,6.98,6.98
333,RC Lens,,Florian Sotoca,0,0.51,1,2,9,0,6.97,6.97
334,Inter,,Francesco Acerbi,0,0.22,0,1,1,0,6.97,6.97
335,Galatasaray,,Lucas Torreira,0,0.35,2,4,5,0,6.97,6.97
336,Milan,,Yacine Adli,0,0.14,0,2,2,0,6.97,6.97
337,Real Madrid,,Luka Modrić,0,1.05,1,1,7,0,6.96,6.96
338,FC Bayern München,,Eric Dier,0,0.34,1,0,4,0,6.96,6.96
339,RC Lens,,Deiver Machado,0,0.24,2,5,5,0,6.96,6.96
340,RC Lens,,Andy Diouf,0,,0,2,0,0,6.95,6.95
341,Sporting Braga,,Cristián Borja,0,,0,2,0,0,6.95,6.95
342,Barcelona,,Ronald Araújo,0,0.9,1,2,6,0,6.95,6.95
343,Manchester City,,Mateo Kovačić,0,0.41,0,4,6,0,6.95,6.95
344,Celtic,,Liam Scales,0,0.12,0,1,2,0,6.95,6.95
345,FK Crvena zvezda,,Guélor Kanga,0,0.05,0,1,3,0,6.95,6.95
346,Atlético Madrid,,José María Giménez,0,0.16,0,0,3,0,6.94,6.94
347,1. FC Union Berlin,,Kevin Behrens,0,0.93,1,1,6,0,6.94,6.94
348,Milan,,Malick Thiaw,0,0.1,0,0,2,0,6.94,6.94
349,FC Porto,,Diogo Costa,0,,0,0,0,0,6.94,6.94
350,Shakhtar Donetsk,,Taras Stepanenko,0,0.46,0,0,7,0,6.93,6.93
351,FC København,,Birger Meling,0,0.05,0,3,1,0,6.93,6.93
352,RC Lens,,Jonathan Gradit,0,,0,3,0,0,6.93,6.93
353,Milan,,Tijjani Reijnders,0,0.34,0,9,6,0,6.93,6.93
354,Red Bull Salzburg,,Andreas Ulmer,0,0.06,0,0,1,0,6.93,6.93
355,FC Porto,,João Mário,0,0.06,0,16,1,0,6.93,6.93
356,Atlético Madrid,,Axel Witsel,0,0.18,0,1,3,0,6.92,6.92
357,Lazio,,Alessio Romagnoli,0,0.74,1,0,5,0,6.92,6.92
358,Young Boys,,Ulisses Garcia,0,0.37,0,11,8,0,6.92,6.92
359,PSV Eindhoven,,André Ramalho,0,0.21,0,0,3,0,6.92,6.92
360,PSV Eindhoven,,Jerdy Schouten,0,,0,6,0,0,6.91,6.91
361,Inter,,Alessandro Bastoni,0,0.31,1,3,3,0,6.91,6.91
362,Arsenal,,Takehiro Tomiyasu,0,0.33,1,2,2,0,6.90,6.90
363,Lazio,,Felipe Anderson,0,0.65,2,13,9,0,6.90,6.90
364,Arsenal,,Ben White,0,0.57,1,3,8,0,6.90,6.90
365,Lazio,,Mattéo Guendouzi,0,0.53,0,5,6,0,6.90,6.90
366,Real Madrid,,David Alaba,0,0.38,0,1,4,0,6.90,6.90
367,Benfica,,Fredrik Aursnes,0,0.07,0,1,2,0,6.90,6.90
368,FC Bayern München,,Bouna Sarr,0,,0,0,0,0,6.90,6.90
369,Milan,,Marco Sportiello,0,,0,0,0,0,6.90,6.90
370,Real Sociedad,,Kieran Tierney,0,,0,0,2,0,6.90,6.90
371,Barcelona,,Frenkie de Jong,0,,0,4,0,0,6.90,6.90
372,FK Crvena zvezda,,Aleksandar Dragović,0,0.62,1,0,2,0,6.90,6.90
373,Real Sociedad,,André Silva,0,0.25,0,2,4,0,6.90,6.90
374,Celtic,,Callum McGregor,0,0.24,0,2,4,0,6.90,6.90
375,FC Bayern München,,Min-jae Kim,0,0.13,0,0,2,0,6.90,6.90
376,Celtic,,Reo Hatate,0,0.13,0,0,3,0,6.90,6.90
377,RB Leipzig,,Amadou Haidara,0,0.11,0,0,4,0,6.90,6.90
378,PSV Eindhoven,,Armando Obispo,0,0.07,0,0,1,0,6.90,6.90
379,Young Boys,,Fabian Lustenberger,0,0.06,0,1,1,0,6.90,6.90
380,Celtic,,Michael Johnston,0,0.04,0,3,2,0,6.90,6.90
381,Inter,,Yann Bisseck,0,0.04,0,1,2,0,6.90,6.90
382,FC Porto,,Iván Jaime,0,0.03,0,0,1,0,6.90,6.90
383,Feyenoord,,Javairô Dilrosun,0,0.03,0,0,1,0,6.90,6.90
384,Red Bull Salzburg,,Strahinja Pavlović,0,0.01,0,4,1,0,6.90,6.90
385,Real Madrid,,Lucas Vázquez,0,0.13,0,2,3,0,6.89,6.89
386,Young Boys,,Cheikh Niasse,0,0.28,1,2,4,0,6.88,6.88
387,Real Sociedad,,Beñat Turrientes,0,0.54,1,5,7,0,6.88,6.88
388,Galatasaray,,Abdülkerim Bardakcı,0,0.53,1,3,2,0,6.88,6.88
389,Feyenoord,,Quilindschy Hartman,0,0.26,1,1,4,0,6.88,6.88
390,Borussia Dortmund,,Marius Wolf,0,0.25,0,1,3,0,6.88,6.88
391,Red Bull Salzburg,,Amar Dedić,0,0.23,0,12,6,0,6.88,6.88
392,Arsenal,,Reiss Nelson,0,0.39,0,7,6,0,6.88,6.88
393,RB Leipzig,,Janis Blaswich,0,,0,0,0,0,6.88,6.88
394,Young Boys,,Loris Benito,0,0.27,1,0,1,0,6.88,6.88
395,Sporting Braga,,Victor Gómez,0,,0,1,0,0,6.88,6.88
396,FC Porto,,André Franco,0,0.75,1,1,5,0,6.88,6.88
397,Real Madrid,,Nacho Fernández,0,0.42,0,2,6,0,6.88,6.88
398,Feyenoord,,Gernot Trauner,0,0.24,1,0,2,0,6.88,6.88
399,Red Bull Salzburg,,Nicolás Capaldo,0,0.15,0,2,3,0,6.88,6.88
400,Manchester United,,André Onana,0,,0,0,0,0,6.87,6.87
401,Galatasaray,,Fernando Muslera,0,,0,0,0,0,6.87,6.87
402,Feyenoord,,Lutsharel Geertruida,0,0.39,1,8,2,0,6.87,6.87
403,Napoli,,Mathías Olivera,0,0.26,1,0,1,0,6.87,6.87
404,Arsenal,,Emile Smith Rowe,0,0.16,0,0,3,0,6.87,6.87
405,Barcelona,,Alejandro Balde,0,0.1,0,10,2,0,6.87,6.87
406,PSV Eindhoven,,Walter Benítez,0,,0,0,0,0,6.86,6.86
407,Benfica,,Morato,0,0.25,0,1,3,0,6.86,6.86
408,FC Porto,,Otávio,0,,0,1,0,0,6.85,6.85
409,Young Boys,,Jean-Pierre Nsame,0,0.45,1,0,4,0,6.85,6.85
410,Milan,,Davide Calabria,0,0.21,1,2,1,0,6.85,6.85
411,Sevilla,,Jesús Navas,0,,0,0,0,0,6.85,6.85
412,Borussia Dortmund,,Niklas Süle,0,,0,2,0,0,6.85,6.85
413,Newcastle United,,Anthony Gordon,0,0.59,1,4,6,0,6.85,6.85
414,Inter,,Juan Cuadrado,0,0.02,0,2,1,0,6.85,6.85
415,Young Boys,,Mohamed Camara,0,,0,5,0,0,6.84,6.84
416,Galatasaray,,Sérgio Oliveira,0,0.12,0,4,3,0,6.84,6.84
417,Red Bull Salzburg,,Lucas Gourna-Douath,0,0.02,0,6,1,0,6.84,6.84
418,Manchester United,,Aaron Wan-Bissaka,0,,0,2,0,0,6.83,6.83
419,FC København,,Nicolai Boilesen,0,,0,0,0,0,6.83,6.83
420,Paris Saint-Germain,,Marco Asensio,0,0.43,0,2,8,0,6.83,6.83
421,Napoli,,Mário Rui,0,0.02,0,0,1,0,6.83,6.83
422,Borussia Dortmund,,Julian Ryerson,0,0.19,0,14,5,0,6.83,6.83
423,Manchester City,,Ederson,0,,0,0,0,0,6.83,6.83
424,Atlético Madrid,,Rodrigo Riquelme,0,0.66,1,12,10,0,6.83,6.83
425,Inter,,Matteo Darmian,0,0.1,0,4,2,0,6.83,6.83
426,Shakhtar Donetsk,,Yehor Nazaryna,0,0.23,1,0,3,0,6.83,6.83
427,PSV Eindhoven,,Sergiño Dest,0,0.16,0,14,4,0,6.83,6.83
428,Real Sociedad,,Javi Galán,0,,0,4,0,0,6.83,6.83
429,Royal Antwerp FC,,Ritchie De Laet,0,0.05,0,1,1,0,6.83,6.83
430,Milan,,Rade Krunić,0,0.03,0,0,1,0,6.83,6.83
431,Borussia Dortmund,,Salih Özcan,0,0.15,0,0,3,0,6.82,6.82
432,Barcelona,,Sergi Roberto,0,0.02,0,1,1,0,6.82,6.82
433,Newcastle United,,Jamaal Lascelles,0,0.1,0,1,2,0,6.82,6.82
434,Atlético Madrid,,Stefan Savić,0,0.05,0,0,2,0,6.82,6.82
435,Manchester City,,John Stones,0,0.02,0,0,1,0,6.82,6.82
436,PSV Eindhoven,,Hirving Lozano,0,0.69,0,7,16,0,6.81,6.81
437,Real Sociedad,,Robin Le Normand,0,0.17,1,0,6,0,6.81,6.81
438,Borussia Dortmund,,Emre Can,0,0.17,0,3,5,0,6.81,6.81
439,Manchester United,,Marcus Rashford,0,0.08,0,9,3,0,6.80,6.80
440,1. FC Union Berlin,,Aissa Laïdouni,0,0.21,0,6,2,0,6.80,6.80
441,FC Bayern München,,Konrad Laimer,0,0.09,0,10,2,0,6.80,6.80
442,Manchester United,,Luke Shaw,0,0.06,0,0,2,0,6.80,6.80
443,Young Boys,,Donat Rrudhani,0,,0,0,0,0,6.80,6.80
444,Red Bull Salzburg,,Leandro Morgalla,0,,0,0,0,0,6.80,6.80
445,Sevilla,,Loïc Badé,0,,0,0,0,0,6.80,6.80
446,Lazio,,Manuel Lazzari,0,,0,5,0,0,6.80,6.80
447,Real Madrid,,Ferland Mendy,0,,0,5,0,0,6.80,6.80
448,FC Porto,,Alan Varela,0,0.44,1,3,8,0,6.80,6.80
449,Sporting Braga,,Vítor Carvalho,0,0.31,0,1,4,0,6.80,6.80
450,Red Bull Salzburg,,Sekou Koita,0,0.12,0,1,2,0,6.80,6.80
451,FC Porto,,Zaidu Sanusi,0,0.1,0,2,3,0,6.80,6.80
452,Napoli,,Stanislav Lobotka,0,0.07,0,1,1,0,6.80,6.80
453,Red Bull Salzburg,,Mads Bidstrup,0,0.03,0,2,1,0,6.80,6.80
454,Arsenal,,Fábio Vieira,0,0.02,0,1,1,0,6.80,6.80
455,Atlético Madrid,,César Azpilicueta,0,,0,1,0,0,6.78,6.78
456,Benfica,,Petar Musa,0,1.25,2,8,7,0,6.78,6.78
457,Galatasaray,,Kaan Ayhan,0,0.37,1,2,3,0,6.78,6.78
458,Real Sociedad,,Arsen Zakharyan,0,0.35,1,1,4,0,6.78,6.78
459,Arsenal,,William Saliba,0,0.3,1,2,3,0,6.78,6.78
460,Real Madrid,,Fran García,0,,0,1,0,0,6.78,6.78
461,Feyenoord,,Justin Bijlow,0,,0,1,0,0,6.78,6.78
462,Milan,,Tommaso Pobega,0,0.65,0,1,8,0,6.78,6.78
463,Shakhtar Donetsk,,Artem Bondarenko,0,0.49,1,1,3,0,6.78,6.78
464,Milan,,Noah Okafor,0,0.07,0,1,2,0,6.77,6.77
465,1. FC Union Berlin,,Paul Jaeckel,0,,0,1,0,0,6.77,6.77
466,Red Bull Salzburg,,Petar Ratkov,0,0.53,0,0,8,0,6.77,6.77
467,Inter,,Carlos Augusto,0,0.42,0,1,6,0,6.77,6.77
468,FK Crvena zvezda,,Vladimir Lučić,0,0.06,0,12,3,0,6.77,6.77
469,Feyenoord,,Ayase Ueda,0,1.48,1,0,10,0,6.76,6.76
470,Real Sociedad,,Aritz Elustondo,0,0.08,0,2,2,0,6.76,6.76
471,Manchester United,,Christian Eriksen,0,0.18,1,0,2,0,6.75,6.75
472,Manchester United,,Kobbie Mainoo,0,,0,1,0,0,6.75,6.75
473,Feyenoord,,Timon Wellenreuther,0,,0,0,0,0,6.75,6.75
474,FC København,,Scott McKenna,0,0.12,0,0,1,0,6.75,6.75
475,Benfica,,Juan Bernat,0,0.11,0,1,1,0,6.75,6.75
476,1. FC Union Berlin,,Diogo Leite,0,0.02,0,2,1,0,6.75,6.75
477,FC København,,Elias Jelert,0,,0,8,0,0,6.74,6.74
478,Lazio,,Adam Marušić,0,0.04,0,2,2,0,6.74,6.74
479,Red Bull Salzburg,,Samson Baidoo,0,0.16,0,2,1,0,6.74,6.74
480,Newcastle United,,Lewis Miley,0,,0,0,0,0,6.73,6.73
481,Manchester United,,Anthony Martial,0,,0,2,0,0,6.73,6.73
482,1. FC Union Berlin,,Leonardo Bonucci,0,,0,0,0,0,6.73,6.73
483,Galatasaray,,Angeliño,0,,0,4,0,0,6.73,6.73
484,RC Lens,,Salis Abdul Samed,0,0.19,0,1,2,0,6.73,6.73
485,Arsenal,,Oleksandr Zinchenko,0,0.06,0,0,1,0,6.73,6.73
486,Manchester United,,Antony,0,0.04,0,6,2,0,6.73,6.73
487,FC København,,Peter Ankersen,0,0.23,0,2,4,0,6.73,6.73
488,Manchester United,,Raphaël Varane,0,,0,0,0,0,6.73,6.73
489,Sevilla,,Marko Dmitrović,0,,0,0,0,0,6.73,6.73
490,FK Crvena zvezda,,Mirko Ivanić,0,0.47,1,1,7,0,6.72,6.72
491,1. FC Union Berlin,,Lucas Tousart,0,0.14,0,0,2,0,6.72,6.72
492,Inter,,Kristjan Asllani,0,0.08,0,3,4,0,6.72,6.72
493,Sporting Braga,,Abel Ruíz,0,0.94,1,0,7,0,6.72,6.72
494,FC Porto,,Nico González,0,0.11,0,2,2,0,6.72,6.72
495,Lazio,,Daichi Kamada,0,0.13,0,1,4,0,6.71,6.71
496,RB Leipzig,,Yussuf Poulsen,0,0.57,0,4,6,0,6.70,6.70
497,FC København,,Elias Achouri,0,0.3,0,17,10,0,6.70,6.70
498,Shakhtar Donetsk,,Yukhym Konoplia,0,0.06,0,3,1,0,6.70,6.70
499,FC Bayern München,,Frans Krätzig,0,,0,0,0,0,6.70,6.70
500,FC København,,Victor Froholdt,0,,0,0,0,0,6.70,6.70
501,Barcelona,,Marc Casadó,0,,0,0,0,0,6.70,6.70
502,Manchester United,,Hannibal Mejbri,0,,0,2,0,0,6.70,6.70
503,Feyenoord,,Antoni Milambo,0,,0,1,0,0,6.70,6.70
504,Real Madrid,,Éder Militão,0,,0,0,0,0,6.70,6.70
505,Red Bull Salzburg,,Kamil Piątkowski,0,,0,0,0,0,6.70,6.70
506,Sevilla,,Boubakary Soumaré,0,,0,3,0,0,6.70,6.70
507,FC København,,Viktor Claesson,0,0.77,1,3,6,0,6.70,6.70
508,RC Lens,,Kevin Danso,0,0.55,0,2,7,0,6.70,6.70
509,Manchester United,,Facundo Pellistri,0,0.36,1,2,3,0,6.70,6.70
510,Red Bull Salzburg,,Fernando,0,0.26,0,1,3,0,6.70,6.70
511,FC København,,Oscar Højlund,0,0.24,0,2,1,0,6.70,6.70
512,RC Lens,,Wesley Saïd,0,0.16,0,1,3,0,6.70,6.70
513,FK Crvena zvezda,,Peter Olayinka,0,0.14,0,1,3,0,6.70,6.70
514,Manchester United,,Sofyan Amrabat,0,0.05,0,0,1,0,6.70,6.70
515,1. FC Union Berlin,,Christopher Trimmel,0,0.05,0,0,1,0,6.70,6.70
516,Feyenoord,,Thomas Van den Belt,0,0.05,0,1,1,0,6.70,6.70
517,Barcelona,,Pau Cubarsí,0,0.04,0,0,1,0,6.70,6.70
518,Red Bull Salzburg,,Aleksa Terzić,0,0.02,0,0,1,0,6.70,6.70
519,Lazio,,Danilo Cataldi,0,0.02,0,2,1,0,6.70,6.70
520,RB Leipzig,,Castello Lukeba,0,0.09,0,1,1,0,6.69,6.69
521,RB Leipzig,,Eljif Elmas,0,0.09,0,9,2,0,6.69,6.69
522,Arsenal,,Jakub Kiwior,0,0.51,0,3,5,0,6.68,6.68
523,RC Lens,,Facundo Medina,0,0.36,0,2,4,0,6.68,6.68
524,1. FC Union Berlin,,Josip Juranović,0,0.2,0,2,4,0,6.68,6.68
525,Young Boys,,Darian Maleš,0,0.2,0,3,4,0,6.68,6.68
526,FC Bayern München,,Eric Maxim Choupo-Moting,0,0.33,1,1,4,0,6.68,6.68
527,Sevilla,,Dodi Lukebakio,0,0.19,0,5,4,0,6.68,6.68
528,Red Bull Salzburg,,Maurits Kjaergaard,0,0.12,0,0,3,0,6.67,6.67
529,Manchester City,,Stefan Ortega,0,,0,1,0,0,6.67,6.67
530,RB Leipzig,,Péter Gulácsi,0,,0,0,0,0,6.67,6.67
531,FC Bayern München,,Sven Ulreich,0,,0,0,0,0,6.67,6.67
532,Royal Antwerp FC,,Mandela Keita,0,,0,4,0,0,6.67,6.67
533,Sevilla,,Mariano Díaz,0,0.21,0,0,3,0,6.67,6.67
534,Benfica,,David Neres,0,0.15,0,2,4,0,6.67,6.67
535,Galatasaray,,Tanguy Ndombélé,0,0.06,0,2,1,0,6.67,6.67
536,Lazio,,Nicolò Rovella,0,0.03,0,0,2,0,6.67,6.67
537,Inter,,Denzel Dumfries,0,0.9,2,4,7,0,6.66,6.66
538,Benfica,,Orkun Kökçü,0,0.18,0,4,3,0,6.66,6.66
539,Lazio,,Valentín Castellanos,0,1.37,1,0,7,0,6.66,6.66
540,Benfica,,Casper Tengstedt,0,0.14,0,0,2,0,6.65,6.65
541,Manchester United,,Jonny Evans,0,,0,0,0,0,6.65,6.65
542,Celtic,,Nathaniel Phillips,0,,0,0,0,0,6.65,6.65
543,RC Lens,,Ruben Aguilar,0,,0,0,0,0,6.65,6.65
544,Barcelona,,Iñigo Martínez,0,,0,0,0,0,6.65,6.65
545,RB Leipzig,,Lukas Klostermann,0,,0,0,0,0,6.65,6.65
546,FK Crvena zvezda,,Kosta Nedeljković,0,0.18,0,6,3,0,6.65,6.65
547,Sevilla,,Suso,0,0.08,0,1,2,0,6.65,6.65
548,Real Sociedad,,Jon Pacheco,0,0.07,0,0,1,0,6.65,6.65
549,Royal Antwerp FC,,Soumaila Coulibaly,0,0.06,0,1,1,0,6.65,6.65
550,Paris Saint-Germain,,Gonçalo Ramos,0,1.73,2,0,9,0,6.64,6.64
551,Sporting Braga,,Josafat Mendes,0,,0,1,0,0,6.64,6.64
552,Milan,,Yunus Musah,0,0.23,0,5,2,0,6.64,6.64
553,Red Bull Salzburg,,Oumar Solet,0,,0,0,0,0,6.63,6.63
554,Sporting Braga,,André Horta,0,,0,0,0,0,6.63,6.63
555,RB Leipzig,,Timo Werner,0,0.12,0,0,1,0,6.63,6.63
556,Manchester United,,Diogo Dalot,0,0.11,0,7,2,0,6.63,6.63
557,FC København,,Andreas Cornelius,0,0.09,1,0,1,0,6.63,6.63
558,FC Porto,,Jorge Sánchez,0,0.08,0,2,2,0,6.63,6.63
559,FK Crvena zvezda,,Milan Rodić,0,0.07,0,2,3,0,6.63,6.63
560,1. FC Union Berlin,,Robin Knoche,0,0.03,0,0,1,0,6.63,6.63
561,PSV Eindhoven,,Mauro Júnior,0,0.02,0,3,1,0,6.63,6.63
562,Sevilla,,Djibril Sow,0,0.01,0,0,1,0,6.63,6.63
563,RC Lens,,Massadio Haïdara,0,,0,0,0,0,6.63,6.63
564,Red Bull Salzburg,,Nene Dorgeles,0,1.1,2,0,5,0,6.63,6.63
565,Sporting Braga,,José Fonte,0,0.27,0,2,3,0,6.63,6.63
566,Celtic,,Cameron Carter-Vickers,0,0.12,0,1,2,0,6.63,6.63
567,RB Leipzig,,Nicolas Seiwald,0,0.03,0,1,1,0,6.63,6.63
568,RB Leipzig,,Christoph Baumgartner,0,0.83,3,1,6,0,6.62,6.62
569,Celtic,,Alistair Johnston,0,0.06,0,4,1,0,6.62,6.62
570,Celtic,,Paulo Bernardo,0,0.03,0,8,1,0,6.62,6.62
571,Barcelona,,Oriol Romeu,0,0.14,0,2,1,0,6.61,6.61
572,FC København,,Orri Steinn Óskarsson,0,,0,0,0,0,6.60,6.60
573,Sevilla,,Juanlu Sánchez,0,,0,4,0,0,6.60,6.60
574,FK Crvena zvezda,,Jean-Philippe Krasso,0,0.47,1,2,3,0,6.60,6.60
575,Galatasaray,,Barış Alper Yılmaz,0,0.07,0,0,1,0,6.60,6.60
576,Shakhtar Donetsk,,Oleksiy Kashchuk,0,,0,0,0,0,6.60,6.60
577,Milan,,Chaka Traorè,0,,0,0,0,0,6.60,6.60
578,Young Boys,,Łukasz Łakomy,0,,0,0,0,0,6.60,6.60
579,Borussia Dortmund,,Giovanni Reyna,0,,0,1,0,0,6.60,6.60
580,Atlético Madrid,,Çağlar Söyüncü,0,,0,0,0,0,6.60,6.60
581,Napoli,,Hamed Junior Traorè,0,,0,1,0,0,6.60,6.60
582,Lazio,,Nicolò Casale,0,,0,0,0,0,6.60,6.60
583,FC Porto,,Gonçalo Borges,0,,0,1,0,0,6.60,6.60
584,Sevilla,,Erik Lamela,0,0.26,0,0,1,0,6.60,6.60
585,Sporting Braga,,Pizzi,0,0.15,0,1,2,0,6.60,6.60
586,Napoli,,Jesper Lindstrøm,0,0.13,1,2,1,0,6.60,6.60
587,Young Boys,,Aurèle Amenda,0,0.07,1,1,2,0,6.60,6.60
588,1. FC Union Berlin,,Rani Khedira,0,0.05,0,0,2,0,6.60,6.60
589,Young Boys,,Miguel Changa Chaiwa,0,0.04,0,0,1,0,6.60,6.60
590,Benfica,,Chiquinho,0,0.04,0,0,1,0,6.60,6.60
591,Manchester United,,Sergio Reguilón,0,0.04,0,3,2,0,6.60,6.60
592,Napoli,,Gianluca Gaetano,0,0.03,0,0,1,0,6.60,6.60
593,Arsenal,,Mohamed Elneny,0,0.02,0,0,1,0,6.60,6.60
594,Real Sociedad,,Umar Sadiq,0,0.01,0,4,1,0,6.60,6.60
595,Young Boys,,Silvère Ganvoula,0,0.79,2,2,7,0,6.58,6.58
596,Napoli,,Juan Jesus,0,,0,0,0,0,6.58,6.58
597,Royal Antwerp FC,,Jean Butez,0,,0,0,0,0,6.58,6.58
598,Red Bull Salzburg,,Karim Konaté,0,1.84,2,4,11,0,6.58,6.58
599,Celtic,,Yang Hyun-Jun,0,,0,4,0,0,6.58,6.58
600,Red Bull Salzburg,,Forson Amankwah,0,0.16,0,0,3,0,6.58,6.58
601,Real Sociedad,,Álvaro Odriozola,0,,0,0,0,0,6.57,6.57
602,1. FC Union Berlin,,Danilho Doekhi,0,,0,0,0,0,6.57,6.57
603,Celtic,,Tomoki Iwata,0,,0,0,0,0,6.57,6.57
604,RC Lens,,Nampalys Mendy,0,,0,0,0,0,6.57,6.57
605,Feyenoord,,Luka Ivanušec,0,0.08,0,2,3,0,6.56,6.56
606,Napoli,,Jens Cajuste,0,,0,1,0,0,6.56,6.56
607,Newcastle United,,Elliot Anderson,0,,0,2,0,0,6.55,6.55
608,Paris Saint-Germain,,Nordi Mukiele,0,,0,0,0,0,6.55,6.55
609,Borussia Dortmund,,Youssoufa Moukoko,0,,0,1,0,0,6.55,6.55
610,Shakhtar Donetsk,,Valeriy Bondar,0,,0,0,0,0,6.55,6.55
611,FK Crvena zvezda,,Jovan Mijatović,0,0.9,1,2,4,0,6.55,6.55
612,Manchester United,,Mason Mount,0,0.47,0,0,4,0,6.55,6.55
613,PSV Eindhoven,,Patrick van Aanholt,0,0.16,1,0,2,0,6.55,6.55
614,Lazio,,Luca Pellegrini,0,0.04,0,2,2,0,6.55,6.55
615,Benfica,,Tiago Gouveia,0,0.02,0,1,1,0,6.55,6.55
616,Lazio,,Elseid Hysaj,0,,0,1,0,0,6.54,6.54
617,PSV Eindhoven,,Guus Til,0,0.22,1,1,4,0,6.54,6.54
618,1. FC Union Berlin,,Janik Haberer,0,0.19,1,2,4,0,6.54,6.54
619,Celtic,,Hyun-gyu Oh,0,0.15,0,2,3,0,6.54,6.54
620,FC Porto,,Marko Grujić,0,,0,0,0,0,6.53,6.53
621,RC Lens,,David Pereira da Costa,0,,0,2,0,0,6.53,6.53
622,FC Porto,,Fábio Cardoso,0,,0,0,0,0,6.53,6.53
623,FC København,,Christian Sørensen,0,,0,0,0,0,6.53,6.53
624,FK Crvena zvezda,,Nasser Djiga,0,0.19,0,4,2,0,6.53,6.53
625,Feyenoord,,Ondrej Lingr,0,0.07,0,1,1,0,6.53,6.53
626,Barcelona,,Marcos Alonso,0,0.04,0,0,1,0,6.53,6.53
627,Shakhtar Donetsk,,Giorgi Gocholeishvili,0,0.2,1,4,2,0,6.53,6.53
628,Shakhtar Donetsk,,Newerton Palmares,0,0.66,2,6,7,0,6.53,6.53
629,RC Lens,,Morgan Guilavogui,0,0.57,1,0,3,0,6.53,6.53
630,Arsenal,,Thomas Partey,0,,0,0,0,0,6.50,6.50
631,FK Crvena zvezda,,Kings Kangwa,0,,0,0,0,0,6.50,6.50
632,Inter,,Emil Audero,0,,0,0,0,0,6.50,6.50
633,FC Porto,,Fran Navarro,0,,0,0,0,0,6.50,6.50
634,FK Crvena zvezda,,Miloš Degenek,0,,0,0,0,0,6.50,6.50
635,FK Crvena zvezda,,Uroš Kabić,0,,0,0,0,0,6.50,6.50
636,Red Bull Salzburg,,Dijon Kameri,0,,0,0,0,0,6.50,6.50
637,FC Porto,,Toni Martínez,0,,0,0,0,0,6.50,6.50
638,Sevilla,,Joan Jordán,0,,0,0,0,0,6.50,6.50
639,Sevilla,,Kike Salas,0,,0,1,0,0,6.50,6.50
640,Sevilla,,Óliver Torres,0,,0,0,0,0,6.50,6.50
641,Royal Antwerp FC,,Zeno Van Den Bosch,0,,0,0,0,0,6.50,6.50
642,Manchester United,,Victor Lindelöf,0,,0,0,0,0,6.50,6.50
643,Sporting Braga,,Serdar Saatçı,0,0.29,0,1,2,0,6.50,6.50
644,Celtic,,James Forrest,0,0.14,0,0,1,0,6.50,6.50
645,Real Sociedad,,Jon Magunazelaia,0,0.12,0,0,1,0,6.50,6.50
646,Real Sociedad,,Jon Ander Olasagasti,0,0.11,0,0,1,0,6.50,6.50
647,FK Crvena zvezda,,Srđan Mijailović,0,0.1,0,2,3,0,6.50,6.50
648,PSV Eindhoven,,Armel Bella-Kotchap,0,0.04,0,0,1,0,6.50,6.50
649,Sporting Braga,,Roger Fernandes,0,0.02,0,1,1,0,6.50,6.50
650,Celtic,,Greg Taylor,0,0.02,0,3,1,0,6.50,6.50
651,Feyenoord,,Leo Sauer,0,0.02,0,1,1,0,6.50,6.50
652,Royal Antwerp FC,,Jelle Bataille,0,,0,3,0,0,6.48,6.48
653,Shakhtar Donetsk,,Dmytro Kryskiv,0,0.08,0,3,4,0,6.48,6.48
654,Sevilla,,Adrià Pedrosa,0,0.08,0,2,1,0,6.48,6.48
655,Paris Saint-Germain,,Manuel Ugarte,0,0.07,0,1,4,0,6.48,6.48
656,Benfica,,David Jurásek,0,,0,1,0,0,6.47,6.47
657,FK Crvena zvezda,,Stefan Mitrović,0,0.13,0,3,5,0,6.47,6.47
658,Benfica,,Gonçalo Guedes,0,,0,1,0,0,6.45,6.45
659,FC Porto,,Danny Namaso,0,,0,0,0,0,6.45,6.45
660,1. FC Union Berlin,,Brenden Aaronson,0,0.48,1,1,3,0,6.45,6.45
661,Real Sociedad,,Carlos Fernández,0,0.13,1,0,1,0,6.45,6.45
662,RC Lens,,Neil El Aynaoui,0,,0,1,0,0,6.43,6.43
663,Royal Antwerp FC,,Anthony Valencia,0,,0,0,0,0,6.43,6.43
664,Newcastle United,,Sandro Tonali,0,0.1,0,0,2,0,6.43,6.43
665,Shakhtar Donetsk,,Novatus Miroshi,0,,0,0,0,0,6.40,6.40
666,Arsenal,,Cédric Soares,0,,0,0,0,0,6.40,6.40
667,Feyenoord,,Thomas Beelen,0,,0,0,0,0,6.40,6.40
668,Young Boys,,David von Ballmoos,0,,0,0,0,0,6.40,6.40
669,Paris Saint-Germain,,Carlos Soler,0,,0,0,0,0,6.40,6.40
670,Galatasaray,,Kerem Demirbay,0,,0,0,0,0,6.40,6.40
