#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
74,FC Bayern München,,Serge Gnabry,2,0.5,0,0,4,50,6.83,6.83
75,RC Lens,,Elye Wahi,2,1.08,0,5,14,14.29,6.78,6.78
76,Young Boys,,Meschack Elia,2,0.73,1,6,7,28.57,6.73,6.73
77,Inter,,Marko Arnautović,2,2.85,3,2,7,28.57,6.73,6.73
78,Benfica,,Rafa Silva,2,2.34,3,4,12,16.67,6.72,6.72
79,Sevilla,,Nemanja Gudelj,2,0.44,0,0,4,50,6.72,6.72
80,Celtic,,Luis Palma,2,1.06,0,3,6,33.33,6.70,6.70
81,Celtic,,Kyogo Furuhashi,2,1.5,2,1,10,20,6.63,6.63
82,RB Leipzig,,Benjamin Šeško,2,2.84,4,5,15,13.33,6.63,6.63
83,RB Leipzig,,Willi Orbán,1,0.25,0,1,5,20,7.90,7.90
84,Manchester City,,Rodri,1,0.81,2,10,12,8.33,7.86,7.86
85,Manchester City,,Jérémy Doku,1,1.28,1,29,12,8.33,7.59,7.59
86,RB Leipzig,,David Raum,1,0.21,0,0,2,50,7.56,7.56
87,Feyenoord,,Calvin Stengs,1,0.4,1,12,4,25,7.52,7.52
88,FC Bayern München,,Joshua Kimmich,1,0.73,0,4,9,11.11,7.49,7.49
89,FK Crvena zvezda,,In-Beom Hwang,1,0.91,1,3,13,7.69,7.47,7.47
90,Benfica,,Ángel Di María,1,0.34,0,8,12,8.33,7.40,7.40
91,Real Madrid,,Dani Ceballos,1,0.19,0,3,2,50,7.40,7.40
92,Manchester City,,Joško Gvardiol,1,0.13,0,6,2,50,7.38,7.38
93,Inter,,Hakan Çalhanoğlu,1,1.14,0,1,12,8.33,7.38,7.38
94,PSV Eindhoven,,Johan Bakayoko,1,1.24,1,20,24,4.17,7.36,7.36
95,Borussia Dortmund,,Mats Hummels,1,0.93,1,7,10,10,7.35,7.35
96,RB Leipzig,,Dani Olmo,1,0.89,0,3,9,11.11,7.30,7.30
97,Galatasaray,,Cédric Bakambu,1,0.53,0,0,7,14.29,7.30,7.30
98,Sporting Braga,,André Castro,1,0.03,0,0,1,100,7.30,7.30
99,Paris Saint-Germain,,Achraf Hakimi,1,0.95,0,8,17,5.88,7.26,7.26
100,Atlético Madrid,,Arthur Vermeeren,1,0.53,0,6,5,20,7.25,7.25
101,Milan,,Rafael Leão,1,1.1,2,18,11,9.09,7.24,7.24
102,FC Porto,,Stephen Eustaquio,1,0.54,0,1,7,14.29,7.23,7.23
103,Napoli,,Giovanni Di Lorenzo,1,0.39,0,6,10,10,7.23,7.23
104,RC Lens,,Przemysław Frankowski,1,0.79,0,3,1,100,7.20,7.20
105,Newcastle United,,Miguel Almirón,1,1.39,1,1,12,8.33,7.20,7.20
106,Newcastle United,,Dan Burn,1,0.22,0,0,3,33.33,7.18,7.18
107,Napoli,,Leo Østigård,1,0.38,0,1,4,25,7.17,7.17
108,Napoli,,Matteo Politano,1,0.58,0,6,13,7.69,7.16,7.16
109,Real Madrid,,Nico Paz,1,0.01,0,5,1,100,7.15,7.15
110,Paris Saint-Germain,,Kang-in Lee,1,1.21,1,5,12,8.33,7.14,7.14
111,Atlético Madrid,,Rodrigo de Paul,1,0.71,0,6,6,16.67,7.14,7.14
112,FC Bayern München,,Thomas Müller,1,1.32,3,1,7,14.29,7.13,7.13
113,Manchester United,,Harry Maguire,1,0.28,0,0,2,50,7.13,7.13
114,Real Madrid,,Daniel Carvajal,1,0.59,0,3,8,12.5,7.12,7.12
115,Feyenoord,,Mats Wieffer,1,0.63,0,9,7,14.29,7.12,7.12
116,Young Boys,,Filip Ugrinić,1,0.54,0,5,9,11.11,7.12,7.12
117,Napoli,,Amir Rrahmani,1,0.46,0,2,5,20,7.11,7.11
118,Inter,,Davide Frattesi,1,0.94,0,1,10,10,7.10,7.10
119,Real Madrid,,Federico Valverde,1,1.15,0,10,24,4.17,7.10,7.10
